query	target	base	layer0	pre	mid	post	attention_increment	mlp_increment	attention_branch	mlp_branch	attention_scale	mlp_scale	attention_rounding	mlp_rounding
J05	MP	M00	0	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	1	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	2	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	3	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	4	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	5	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	6	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	7	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	8	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	9	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	10	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	11	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	12	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	13	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	14	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	15	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	16	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	17	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	18	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	19	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	20	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	21	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	22	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	23	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	24	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	25	-3.999999761581421	-3.999999761581421	-3.999999761581421	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	26	-3.999999761581421	-5.291501998901367	-5.291501998901367	-1.2915022373199463	0.0	-1.5118578147386315	0.0	0.22035520697456312	-0.0	3.704441220442334e-07	0.0
J05	MP	M00	27	-5.291501998901367	-5.291501998901367	-5.291501998901367	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	28	-5.291501998901367	-5.291501998901367	-6.412043571472168	0.0	-1.1205415725708008	0.0	-1.479702461214024	-0.0	0.3591609252327633	0.0	-3.6589540008957755e-08
J05	MP	M00	29	-6.412043571472168	-6.412043571472168	-6.412043571472168	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	30	-6.412043571472168	-6.412043571472168	-6.412043571472168	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	31	-6.412043571472168	-6.412043571472168	-6.412043571472168	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	32	-6.412043571472168	-6.412043571472168	-6.412043571472168	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	33	-6.412043571472168	-6.412043571472168	-6.412043571472168	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	34	-6.412043571472168	-6.412043571472168	-6.412043571472168	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MP	M00	35	-6.412043571472168	-6.412043571472168	-6.412043571472168	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0
J05	MS	M00	0	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	1	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	2	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	3	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	4	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	5	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	6	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	7	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	8	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	9	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	10	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	11	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	12	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	13	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	14	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	15	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	16	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	17	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	18	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	19	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	20	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	21	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	22	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	23	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	24	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	25	2.384185791015625e-07	2.384185791015625e-07	2.384185791015625e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J05	MS	M00	26	2.384185791015625e-07	0.0	0.0	-2.384185791015625e-07	0.0	6.327529078475891e-08	0.0	-2.9311731486458825e-08	0.0	-2.723821383998626e-07	0.0
J05	MS	M00	27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
