condition,stratum,n,task,label,f1,fn,fp,precision,recall,tp
C0,all,643,group,LGBTQ,0.6976744186046512,16,10,0.75,0.6521739130434783,30
C0,all,643,group,Racism,0.7302904564315352,37,28,0.7586206896551724,0.704,88
C0,all,643,group,Region,0.6483516483516484,36,28,0.6781609195402298,0.6210526315789474,59
C0,all,643,group,Sexism,0.5267489711934157,93,22,0.7441860465116279,0.40764331210191085,64
C0,all,643,group,others,0.0,38,0,0.0,0.0,0
C0,all,643,hate,hate,0.14251781472684086,360,1,0.967741935483871,0.07692307692307693,30
C0,all,643,hate,non-hate,0.5826589595375723,1,360,0.4117647058823529,0.9960474308300395,252
C0,Lq_hit,223,group,LGBTQ,0.7307692307692307,10,4,0.8260869565217391,0.6551724137931034,19
C0,Lq_hit,223,group,Racism,0.7627118644067796,20,8,0.8490566037735849,0.6923076923076923,45
C0,Lq_hit,223,group,Region,0.78125,13,1,0.9615384615384616,0.6578947368421053,25
C0,Lq_hit,223,group,Sexism,0.5,60,6,0.8461538461538461,0.3548387096774194,33
C0,Lq_hit,223,group,others,0.0,14,0,0.0,0.0,0
C0,Lq_hit,223,hate,hate,0.1346153846153846,180,0,1.0,0.07216494845360824,14
C0,Lq_hit,223,hate,non-hate,0.24369747899159663,0,180,0.13875598086124402,1.0,29
C0,Lq_no_hit,420,group,LGBTQ,0.6470588235294118,6,6,0.6470588235294118,0.6470588235294118,11
C0,Lq_no_hit,420,group,Racism,0.6991869918699187,17,20,0.6825396825396826,0.7166666666666667,43
C0,Lq_no_hit,420,group,Region,0.576271186440678,23,27,0.5573770491803278,0.5964912280701754,34
C0,Lq_no_hit,420,group,Sexism,0.5585585585585585,33,16,0.6595744680851063,0.484375,31
C0,Lq_no_hit,420,group,others,0.0,24,0,0.0,0.0,0
C0,Lq_no_hit,420,hate,hate,0.15023474178403756,180,1,0.9411764705882353,0.08163265306122448,16
C0,Lq_no_hit,420,hate,non-hate,0.7113237639553429,1,180,0.5533498759305211,0.9955357142857143,223
C0,gold_size_0,252,group,LGBTQ,0.0,0,8,0.0,0.0,0
C0,gold_size_0,252,group,Racism,0.0,0,13,0.0,0.0,0
C0,gold_size_0,252,group,Region,0.0,0,26,0.0,0.0,0
C0,gold_size_0,252,group,Sexism,0.0,0,13,0.0,0.0,0
C0,gold_size_0,252,group,others,0.0,0,0,0.0,0.0,0
C0,gold_size_0,252,hate,hate,0.0,0,1,0.0,0.0,0
C0,gold_size_0,252,hate,non-hate,0.9980119284294234,1,0,1.0,0.996031746031746,251
C0,gold_size_1,328,group,LGBTQ,0.7741935483870968,13,1,0.96,0.6486486486486487,24
C0,gold_size_1,328,group,Racism,0.7605633802816901,24,10,0.84375,0.6923076923076923,54
C0,gold_size_1,328,group,Region,0.8115942028985508,24,2,0.9655172413793104,0.7,56
C0,gold_size_1,328,group,Sexism,0.6285714285714286,57,8,0.873015873015873,0.49107142857142855,55
C0,gold_size_1,328,group,others,0.0,21,0,0.0,0.0,0
C0,gold_size_1,328,hate,hate,0.1206896551724138,306,0,1.0,0.06422018348623854,21
C0,gold_size_1,328,hate,non-hate,0.006493506493506494,0,306,0.003257328990228013,1.0,1
C0,gold_size_2plus,63,group,LGBTQ,0.75,3,1,0.8571428571428571,0.6666666666666666,6
C0,gold_size_2plus,63,group,Racism,0.7906976744186046,13,5,0.8717948717948718,0.723404255319149,34
C0,gold_size_2plus,63,group,Region,0.3333333333333333,12,0,1.0,0.2,3
C0,gold_size_2plus,63,group,Sexism,0.32727272727272727,36,1,0.9,0.2,9
C0,gold_size_2plus,63,group,others,0.0,17,0,0.0,0.0,0
C0,gold_size_2plus,63,hate,hate,0.25,54,0,1.0,0.14285714285714285,9
C0,gold_size_2plus,63,hate,non-hate,0.0,0,54,0.0,0.0,0
CLnew,all,643,group,LGBTQ,0.7291666666666666,11,15,0.7,0.7608695652173914,35
CLnew,all,643,group,Racism,0.7203791469194313,49,10,0.8837209302325582,0.608,76
CLnew,all,643,group,Region,0.6352941176470588,41,21,0.72,0.5684210526315789,54
CLnew,all,643,group,Sexism,0.7245283018867924,61,12,0.8888888888888888,0.6114649681528662,96
CLnew,all,643,group,others,0.14084507042253522,33,28,0.15151515151515152,0.13157894736842105,5
CLnew,all,643,hate,hate,0.22323462414578588,341,0,1.0,0.12564102564102564,49
CLnew,all,643,hate,non-hate,0.5974025974025974,0,341,0.42592592592592593,1.0,253
CLnew,Lq_hit,223,group,LGBTQ,0.7333333333333333,7,9,0.7096774193548387,0.7586206896551724,22
CLnew,Lq_hit,223,group,Racism,0.7652173913043478,21,6,0.88,0.676923076923077,44
CLnew,Lq_hit,223,group,Region,0.8,8,7,0.8108108108108109,0.7894736842105263,30
CLnew,Lq_hit,223,group,Sexism,0.8198757763975155,27,2,0.9705882352941176,0.7096774193548387,66
CLnew,Lq_hit,223,group,others,0.14634146341463414,11,24,0.1111111111111111,0.21428571428571427,3
CLnew,Lq_hit,223,hate,hate,0.3628691983122363,151,0,1.0,0.22164948453608246,43
CLnew,Lq_hit,223,hate,non-hate,0.27751196172248804,0,151,0.16111111111111112,1.0,29
CLnew,Lq_no_hit,420,group,LGBTQ,0.7222222222222222,4,6,0.6842105263157895,0.7647058823529411,13
CLnew,Lq_no_hit,420,group,Racism,0.6666666666666666,28,4,0.8888888888888888,0.5333333333333333,32
CLnew,Lq_no_hit,420,group,Region,0.5052631578947369,33,14,0.631578947368421,0.42105263157894735,24
CLnew,Lq_no_hit,420,group,Sexism,0.5769230769230769,34,10,0.75,0.46875,30
CLnew,Lq_no_hit,420,group,others,0.13333333333333333,22,4,0.3333333333333333,0.08333333333333333,2
CLnew,Lq_no_hit,420,hate,hate,0.0594059405940594,190,0,1.0,0.030612244897959183,6
CLnew,Lq_no_hit,420,hate,non-hate,0.7021943573667712,0,190,0.5410628019323671,1.0,224
CLnew,gold_size_0,252,group,LGBTQ,0.0,0,9,0.0,0.0,0
CLnew,gold_size_0,252,group,Racism,0.0,0,5,0.0,0.0,0
CLnew,gold_size_0,252,group,Region,0.0,0,16,0.0,0.0,0
CLnew,gold_size_0,252,group,Sexism,0.0,0,4,0.0,0.0,0
CLnew,gold_size_0,252,group,others,0.0,0,13,0.0,0.0,0
CLnew,gold_size_0,252,hate,hate,0.0,0,0,0.0,0.0,0
CLnew,gold_size_0,252,hate,non-hate,1.0,0,0,1.0,1.0,252
