label,TEXT
1,说河南人偷井盖的明明是北京人，我一个南方人都知道，东北人会不知道。东北人就会舔北京，然后拉着整个北方对抗南方，搞得像分裂国家一样。真的没治了。
5,很多男同都有创伤，我们应该帮组他们走出阴影，过上正常人的生活。
5,这个炼油厂还没投产吧，丹哥特要被拖死了
1,这暴躁老哥说的好呀👍️要不是疫情我也去东南亚快乐一下，抖音上那群老板也去霍霍非洲世界小姐们了
1,上海黑起别的地方也是不遗余力呢
3,普信男明知道不能送游艇，他们多数人仍会选择在这个周末上网……而不是去好好劳动，真是无药可救无可救药
0,太假了，普通人被气死我信，有钱人不可能的，三万美金😓稍微打点下默就可以解决的事
0,这些黑猴子也真不怕死。
4,评论区怎么就有人对号入座了呢🤭🤭
5,这人真是有毛病
5,没啥用的这个吧早就被人监管了，以前很多人的
2,我就是比你m还丑也配评价恶心男同，yue
5,不要回我，我没时间跟人对线哈🍉
1,现实是自古以来种地的大省最好管制，只要给口吃的，就没人闹，另外人口太多，出点奇葩或者啥事也正常
5,你们的回复都好苍白
5,如果是大户人家我没意见，但是这年头，谁还没个贷款。
5,我太想看看了！
4,腐癌说的，腐癌是你们异性恋女生😓
0,黑人请离开，因为距离产生美
5,有意思~~请问你哪里得出结论我是山东人~~
5,美国人又在哪个国内论坛看见的谣言啊 转手就发这来了
5,好家伙，我也看过这个
5,最后两句话含义深重
5,搞笑呢 那照你这么说我就觉得不太好不太合适我就要批判 你凭什么不让我批判🤣
5,努力大姐好久不见了，我还挺想她的
5,你们这些连性教育都没有的人，可以别来搞笑吗？
0,我们这些原住民终于可以爬了
5,这几年被黑的最多的是山东吧。
1,贵州人表示在浙江贵州人的身份经常感受到来自浙江人的恶意
3,上次遇到一个坦克，直接跟说自己这么漂亮怎么可能没谈过对象我就知道是什么成分了
0,这个事情上估计是大势所趋，国家宣传口的风向都是在推进和黑人同婚，想改变这个趋势，极其困难🤔
4,他们宣传他们的，咱们抵制就好了
5,说明一下，我只关爱自己身边的女性，比如老婆女儿等，别的女人关我鸟事。v
0,估计已经成了非洲某部落的第36号王妃
0,看来人类历史的先祖们早就有预料今日这些人类的叛徒所以才有了慕尼黑这个地名对人类们随时警醒
0,找谁不行，偏要找个黑家伙。
5,这里至少还有个男的，隔壁摆摊收豆子里就没出现过男性
5,中国劳工也在非洲大杀四方😅
0,好人与坏人有绝对界限吗？其实没有，只有立场，站在我们种族的立场，黑叔叔移民入侵破坏我们种族的单一性，就是敌人。不管他是不是好人。物种竞争本就只有立场，白王军在他妈妈眼中他也是个好孩子。但是我们眼中就是敌人。因为立场。
5,放屁的时候还会用手把屁罩住，然后放在同学鼻子前把手松开，然后同学就会闻到屁味，这是我独家发明的整人招数，然后我同学也会这样报复我。我还会把头皮屑挠出一桌子，然后包在纸里送给女同学，然后看她们嫌弃的反应特别好玩。后来毕业的时候发现被我整得最多的女同桌原来一直暗恋我
5,卡肺囊虫肺炎和隐脑大几率会死人的。
2,本身同概念就是用来混乱世界的，什么同，双，跨种，都是一堆歪理
2,？？？你在说什么啊？？？你们同性恋不是真爱吗？？？怎么能出轨呢？？？
5,都散了吧，人家都饥渴到这个程度了，大家就不要再打击了🤔
5,比黄人好看多了，真养眼。
5,正什么歪成什么样子了都是群满嘴道德仁义的狗在搞笑
5,看不起你了？
5,图中那个索玛女王被扒出来是个男的😆
4,猜猜看为什么贴吧变成了垃圾场？
5,保护我方输出
3,嘴里说着男女平等，却处心积虑让男的花钱，笑死，给你们随便找一个欣赏一下
5,但现实却是没有多少个已婚女性能够明面上拒绝丈夫的性需求，否则会遭来男方家里的各样指责。类似夫妻生活不和谐就是因为妻子的不配合等说辞。
5,另外，非洲人并不是我们的兄弟，把我们送进联合国的是欧洲，欧洲25票，三票弃权，欧洲只有一票反对，加上中法关系的升温，非洲很多法国的殖民地，自己去了解一下，非洲投的票最多，但是反对票也最多。
