id,content,label,x,y,cluster
2448,我的天啊，求求你坦白吧，放过人家,non-hate,-0.7076346,5.6824303,1
3346,话是这样说，但是像我们这样的普信男国女又看不上 不但看不上 还大加嘲讽 结婚彩礼不算车房都要几十万 有些郭楠在部分国女眼里早就被开除人籍了 只有黑皮白皮才是人上人,others,-1.3109983,8.925792,5
5977,出去旅游到了挺多省份的，感觉当地人都挺好的，哪个地方大部分都是和你我一样的普通人，只不过地域文化不同，大体性格会偏向豪放或内敛，但是根本上差不了太多,non-hate,5.3934245,7.001248,2
1942,她没必要这么敏感,non-hate,-0.6895115,6.3299594,9
1646,我190+，但是这种墓垢还是铁鲨鼻,Sexism,-1.3627999,4.0359364,7
2076,笑死，要是刷男女的没人有意见，真就高贵的同性恋呗??,LGBTQ,-1.6460145,3.1109805,4
4460,居然没有一个拳师冲。,Sexism,0.18769264,5.671723,9
1460,征尼大将军,Racism,1.3953413,8.470906,7
7140,这种东西是上面的锅，甩给女性不大好,non-hate,-2.5452461,6.8844366,3
6442,说明现在法制社会啊←_←大家都挺爱护女性的,non-hate,-1.8299296,6.7369456,3
3649,非洲人踢球猛，打篮球更猛，跑步无敌。可是有什么用呢？？？根本没有办法改变国家民族，让大部分人生活的更好。,Racism,2.4650786,9.044998,0
1313,举个例子吧，一家公司要招个保安，结果有9个女人和1个男的应聘。但这家公司能拿出至少十个理由来拒绝掉女的，最终只招了那男人,Sexism,-2.8105133,5.84344,3
7108,大哥你私信没开,non-hate,1.2213527,4.163862,1
2241,别埋汰失足女，跟过黑人的那叫人么，跟动物有啥区别,others,-0.22905241,7.449198,5
2234,答主回答的时候是不是有些难过啊，抱抱，我们都理解你的,non-hate,1.049612,4.2776847,8
4452,为什么啊，我室友就是四川人，她还有很多亲戚在浙江生活工作，我们关系也很好啊，不过也可能是因为我们只是一个小城市的关系。,non-hate,6.887041,6.2160277,2
318,你可真厉害你的虫爹把曾经白人建设无比繁荣辉煌南非毁了同时又跑到这来大谈引进国际鬼子虫类及其它们后代虫混的理由对于你这点居心叵测的小心思我早已看透,Racism,1.9725542,7.618508,0
5645,哈哈哈哈，完全是调侃，男人味是指身上气味大，器大活好是女人认为的，我就顺口这么一说,others,0.11356682,7.6380115,8
423,我广东人，说实话广东人和广西人，总体来说的确是丑人多。如果你去过四川，东北这些地方玩过，你会发现这几个地方的平均颜值高广东几个档次,Region,5.569623,7.9455113,2
3761,本东北人表示的确如此，河南黑吉山东毕竟被黑一个是穷一个是毕竟知名，江西这几年彩礼也风口，至于青海这种地方，你问他青海属于西藏还是新疆，很多人的确会谨慎地二选一的。,Region,7.4801593,8.061102,2
4683,要把一滴血原则带到中国来,Racism,4.136447,7.2429705,9
2005,我说实话，我膈应，我觉得我的思想还是偏保守，再者我认为讨厌黑人不算是思想保守，只是看见了很多事情之后的一种总结,Racism,2.4712877,9.571709,0
7138,答主是大部分人的想法，很多人潜意识都是不接受的，只是很多人都不敢去表达对于同性恋的态度，随着时代发展，同性恋也越来越敢发声了，我们不能对同性恋有任何意见，有意见就是歧视。同性恋越来越会道德绑架了！,LGBTQ,-2.211291,2.2269146,4
291,我主张拆掉屋顶的时候才有人同意开窗户。,non-hate,-1.9103028,1.1119187,9
7434,你知道你们的主子是怎么评价你们的嘛 “chinese women's pussy smells like dead fish”😆声名远播了属于是，给你们取个新名字吧dead fish girl怎么样🤭,Sexism,-0.790819,4.016173,8
6295,为什么我觉得世界女权是在故意抹黑中国女性呢？中国女性中真正的口区女权比例不大吧？为什么要所有中国女性背锅,others,-2.1023893,6.9992867,3
927,广州就是黑河南、黑北方的总部,Region,5.5302258,8.597575,6
5016,举报外教从我做起，电商的发展也会把一些垃圾去除，加速才是我们想要的。,Racism,3.18113,7.501328,8
1675,西安本地作风彪悍的大多是东边某省逃荒过来的后裔,Region,7.9829946,7.0620465,6
3235,好家伙，间接黑了一波北京（玩笑）,Region,6.4746,4.9581757,6
6411,确实，我同意要自由恋爱，爱情不分人种和肤色，什么?问我女儿要找个黑人怎么办?就当没生过喽,Racism,-0.3497493,9.70896,5
6091,默滚出中国就行了。,Racism,1.091224,9.812724,9
1753,五角场附近的女大学生，基本985了吧？一群女人和黑人留学生玩转盘，比起海天盛宴还刺激，这可是985的女大学生啊，可以英语交流的，我知道你不信，可现实就是如此。🤣,others,-0.40292296,9.851086,5
2775,艾滋，滥交，犯罪，吸毒贩毒，粘上一样非死即伤。有交往就有潜在风险，大家都是正常人，趋利避害是本能。希望大家努力，打击默的生存空间，让社会光明一点。,others,-4.263567,2.7509055,4
1442,失足妇女是要钱，可以理解。,Sexism,-0.41406682,6.9060225,9
3787,妇女报是妇联名下的么？,non-hate,-2.1555543,7.0136456,3
2269,女quan真的是要挑起争端吗？大言不惭的攻击郭嘉的执fa制度，明明厌男，却又想结婚找男人要20万的彩礼，讨厌男人还让它的哥哥帮它寻找yan遇。不理解，实在是不理解。搞女quan是为了压榨男性的剩余价值吗？,Sexism,-2.5362582,5.902544,3
5962,因为一味地忍让换来的是不平等，充了这帮女权，不过说实话我现实中还没见过女权，大部分女的只是有点任性傲气而已。并且还是漂亮的,non-hate,-2.6914616,6.671717,3
460,没有世界帮助，非洲还生活在原始社会。,Racism,1.8061465,10.311298,0
638,女拳挑拨夫妻关系，婆媳关系，甚至挑拨女儿与父母的关系，以拆散家庭为目的，纯属一群变态,Sexism,-2.1619208,6.1164274,3
1950,无艾不是真基,others,0.08035657,1.2264365,7
7978,怎么大小号都拉黑我了，这就跑了？好怂喔，饭桶吧主就这战力？,non-hate,0.39606372,3.9057128,8
1037,第一句话，中国女性是唯一被批评的女性群体。这真是我见过最长的一根杆子。,Sexism,-2.0614247,7.157552,3
2750,当你已经沦落到与乐色为伍，还把乐色举高过自己的头顶的时候，你已经连乐色都不如了。那天我去买塑料袋。有黄色的白色的透明的还有黑色的，我问老板，哪一种颜色的最便宜？老板说黑色的最便宜。我问为什么黑色的最便宜？老板答，因为黑色的是垃圾材料。,Racism,0.5554269,8.363013,8
7090,性取向都扭曲了的人怎么会觉得恶心呢😓,LGBTQ,-1.8198932,2.5968668,4
3319,精神科医生好久不见我是反同二局的,LGBTQ,-1.6814591,1.248359,7
6035,哈哈雀食，上大人果然都是你这样😄,Region,-0.4491711,5.073326,1
7526,钓鱼的吧，除非让你全家女性照顾黑人,others,0.05108066,9.636121,0
1558,我就是这个意思啊：被黑并不完全是经济原因。答主不必为这个生气，各地都会因不同的原因被黑。,Region,5.675893,7.2365065,2
2733,对啊，好看的很多的都是混血,non-hate,1.2300509,8.737393,5
5267,提啥？我已经不考虑母的,Sexism,-3.2745116,7.25569,1
1266,本来我们才是白种人，被西方丑化才被说成是黄祸,Racism,1.9753383,9.463114,0
4743,这肯定怕啊！就像我不排斥找欧美白人帅哥的女生，毕竟看到那些帅哥我一个男的都喜欢，但是女生们非要找又丑又穷，还要倒贴的垃圾，我就是在费解了！,others,-1.2041376,8.860588,5
7725,反串一律水葬,non-hate,-0.72672164,4.0092826,7
2125,这贴看的我鸡皮疙瘩起来了,non-hate,-1.3696674,5.414946,7
2919,这些个女人最后找完黑皮男友爽过之后还不是要找国人结婚，祸害国内男生，谁娶到这种女生谁倒霉，找黑的女生都是不知廉耻的，道德败坏，对感情不忠的人，无一例外，以后也会给自己老公带多少顶绿帽子都不知道,others,-0.4426971,9.542365,5
3084,作为男人我认同男女一致，我也认同去追求个人幸福，只要你别回来也别带黑娃回来就行。我可不想中国变法兰西斯坦，不希望改变人种结构。也呼吁其他男性朋友不要把黑男黑女区别对待，不然你讨论的就不是黑人问题而是输出情绪或是搞性别对立,Racism,0.012770153,10.108426,5
913,其实没啥的，就是炮友吗，艾滋病毒多点而已,others,-4.266806,2.880837,4
6789,结婚纯累赘,Sexism,-3.1574347,7.794918,3
508,黑人没有教化的。非洲黑人把讨吃当成好传统，教会小孩讨吃。,Racism,1.8643451,9.963673,0
3909,真想不到这人居然还在！,non-hate,1.3589295,3.5845647,1
3382,到时候好看的妹妹一个不剩，剩下的全是重型坦克,Sexism,-1.2377623,4.0948668,7
5564,害就是淮河流域嘛，传统的农业区，自然灾害频发，经济教育资源都匮乏，文化素质整体也不高，而且距离他们最近的发达地区就是长三角，去了之后又犯事，自然就被歧视了,Region,5.9718184,6.5838823,2
5955,选择器喽，那些找泥搁的女人的智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代😄可惜就是有人爱接盘😄,others,-1.3225033,9.079879,3
5902,直接规定新法，嫁给外国人，自动失去中国国籍。,others,-1.6276796,9.020119,5
1660,不是，討厭女性，不想跟女性相處，這不是歧視，你隻是gay了,LGBTQ,-2.1055655,2.535425,4
5721,不要随意评论。毕竟大家都是人，你的评论会伤害到别人。性取向是别人的自由。请你善良,non-hate,-2.2584984,2.6267178,4
73,我嫌弃他们丑😅,others,1.684638,5.181834,9
65,告诉她们，我家牛栏的公牛最近发春，吊又长又大，是真的大，不是怕片宣传挑出来的大，送给她们夜夜春宵，免费，没艾滋病,Sexism,-1.2170086,3.0604873,8
3204,如果你已经不会听风就是雨，那么说明你成熟了,non-hate,2.2150922,5.2810907,1
1374,你可以不给，她可以不嫁，很公平啊,non-hate,-2.938853,7.942957,3
1680,美国人牛啊 能打 你们吴越人能打吗？要是古代就是吴越统一天下那现在肯定都在学吴语,Region,7.359946,7.840207,6
4834,这个索玛女王不是被曝是男的么，专门收国外的钱，然后挑拨国内性别对立。,Sexism,-1.5677577,6.54376,3
2033,吧里没落了,non-hate,0.6524714,3.7421322,8
357,地域黑比较典型的几个，按大区域东北被黑，按省河南被黑，二线城市武汉被黑，一线城市广州被黑🤣,Region,6.5324845,7.7101903,2
7890,省都没出过几次，你就不要说话了好吧！最基本的人文地理知识都缺乏😆,non-hate,6.006955,7.0881476,2
4109,这有一条公狗，鸡奸这个鸭子啊,Sexism,1.6540462,2.3255484,7
1256,说的好，生动代表了河南人那股聪明劲,non-hate,8.911915,7.5396476,6
6466,唐山也被骂的好惨😭,Region,7.9525676,7.2497582,6
