object_id,query_id,demo_id,query_text,demo_text,topic_hate,topic_group,rule_hate,rule_group,lexicon_risk,topic_hate_provenance,topic_group_provenance,rule_hate_provenance,rule_group_provenance,lexicon_risk_provenance,assessment_status,note_ai
relation:7903:966,7903,966,我还在杭州等你呢，妖怪你在哪里？,我猜你是浙江人~~,partial,partial,none,partial,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,查询杭州仅为约人地点，示例猜测浙江籍贯；地名有弱联系，身份是否成为讨论对象可作有限对照。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:7903:5708,7903,5708,我还在杭州等你呢，妖怪你在哪里？,哪来的通讯录怪物,none,none,none,none,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,怪物与妖怪的称呼相似不足以连接主题；示例明确辱骂性少数，不能为查询补性取向或攻击。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:7903:4690,7903,4690,我还在杭州等你呢，妖怪你在哪里？,这吧的都魔怔了喊不醒,none,none,none,none,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,示例贬评贴吧成员，查询在等人；没有可定位的共同话题或具体判断结构。 词典来源：魔怔=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:5086:127,5086,127,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,这问题让我明白为什么基佬在唐山不会被打。基佬染艾原来是为了防身！,direct,direct,partial,direct,no,user_discussion,user_discussion,user_discussion,user_discussion,user_discussion,user_participated,用户已明确裁定该字段；精确原答和修订顺序见独立字段事件 relation-b01-q0-group-amendment-01。 用户已明确裁定该字段；精确原答和修订顺序见独立字段事件 relation-b01-q0-01。 用户已明确裁定该字段；精确原答和修订顺序见独立字段事件 relation-b01-q9-reply06-127。 词典来源：基佬=no；染艾=no。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:5086:7464,5086,7464,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,基佬的艾正常人也不会要，还谈什么勾引，真艾只属于基佬,direct,direct,direct,direct,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,爱与艾的替换和基佬婚恋均直接重合；将同性恋与疾病绑定的命题可直接比较。 词典来源：基佬=no。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:5086:5416,5086,5416,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,这么说的话最不会传播艾滋病的是女同，女同应该打压男同跟异性恋，让世界上只有女同！,direct,direct,partial,direct,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,基佬、男同、同志或同性恋的具体性取向所指与查询对应；其他身份或相反立场不妨碍这一关键判断。 词典来源：男同=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:5086:2120,5086,2120,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,其实，爱滋在男同里的比例很低，反倒是异性恋得爱滋的比例高，不信去上网查查。我国对同性恋采取不反对、不提倡。,direct,direct,partial,direct,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,基佬、男同、同志或同性恋的具体性取向所指与查询对应；其他身份或相反立场不妨碍这一关键判断。 词典来源：男同=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:5086:7248,5086,7248,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,解决艾滋病的根本方法真的是绞杀txl吗？符合道德吗？如果txl有着和异性恋一样的社会环境，那txl就算传播是不是也应该是圈子自己人传播呢？直男直女们在害怕什么？那请问山村拐卖妇女儿童的法律惩罚就是上升到死刑能彻底解决问题吗？民智需要开化才能解决，同样的道理，txl本就不是疾病，普及性知识，提倡安全性爱，营造社会宽容的氛围，让txl不要需要隐藏自己的身份才是解决问题的关键。,direct,direct,partial,direct,yes,user_discussion,user_discussion,ai_note,ai_note,user_discussion,user_participated,基佬、男同、同志或同性恋的具体性取向所指与查询对应；其他身份或相反立场不妨碍这一关键判断。 用户已明确裁定该字段；精确原答和修订顺序见独立字段事件 relation-b01-q7-reply04-7248。 词典来源：txl=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:5086:5113,5086,5113,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,很多男的无感，我老公就是对同志无感，而且他还有一个同事一个战友是同，他们玩的都挺好的。但是他说他在部队，有个男的加他，要给他k，他不同意，然后那个男的说闭上眼睛享受就行了，结果我老公把他拉黑了。今年我不知道啥事问他，他才告诉我的，他说就是很奇怪，为啥会有男的要给他k🤔，神经病么。。。他们直男都不了解为什么同会这样，都觉得很奇怪。其实很多直男对同都是无感的,partial,partial,none,direct,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,具体性接触事件的客观转述不能仅因同涉同性恋就为疾病污名提供hate规则。 基佬、男同、同志或同性恋的具体性取向所指与查询对应；其他身份或相反立场不妨碍这一关键判断。 词典来源：同志=yes；神经病=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:5086:6006,5086,6006,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,看了那么多回答，没看到因为说害怕艾滋，搞不懂，男人娶黑女白女好像他们就没啥意见了，女人搞黑哥白男，他们反应好大，看不懂,partial,none,partial,partial,yes,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,共同出现艾滋风险与婚恋争论，但示例针对跨种族异性婚配及双标，未谈同性恋身份；身份与疾病不能互补。 词典来源：黑哥=yes；白男=yes；白女=yes；黑女=yes。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
relation:5086:243,5086,243,基佬为什么不怕染艾？因为艾是判断对方是不是基？找不到无艾的基？基佬不要艾就永久单身？对基佬来说无艾不是真爱，无艾不是真基。,同性恋大多是先天的，只是为了生存不得不一开始学会伪装。还有，同性恋也没法传染。异性恋身上也没有同性恋的基因。,partial,direct,partial,direct,no,ai_note,ai_note,ai_note,ai_note,ai_note,ai_reviewed,基佬、男同、同志或同性恋的具体性取向所指与查询对应；其他身份或相反立场不妨碍这一关键判断。 该示例没有带入词典词条。词典风险仍为AI逐条适配归纳，不说明模型实际受影响。
