suite	context	method	method_label	n_queries	n_no	n_yes	mean_no	mean_yes	balanced_gain	query_mean	median_gain	min_gain	max_gain	n_positive	n_negative	n_exact_zero	n_unresolved	rate_positive	rate_negative	rate_exact_zero	rate_unresolved	n_repairs	n_damage	n_kept_correct	n_still_wrong	n_unresolved_transitions	baseline_correct	baseline_wrong	method_correct	raw_method_correct	repair_rate	damage_rate
dictionary	D01	N	有参考原生 N	12	6	6	0E-18	0E-18	0E-18	0E-18	0E-18	0E-17	-0E-18	0	0	12	0	0	0	1	0	0	0	8	4	0	8	4	8	8	0	0
dictionary	D01	no_reference	整体去参考	12	6	6	1.80750719706217447916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	1.13490358988444010416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	1.47120539347330729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	1.47120539347330729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	0.457469940185546875	-19.879383087158203125	29.332412719726562500	8	4	0	0	0.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	0.333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	0	0	1	1	7	3	0	8	4	8	8	0.25	0.125
dictionary	D01	U0	无词典供体 U0	12	6	6	3.9707565307617187500	-0.3500614166259765625	1.81034755706787109375	1.81034755706787109375	0.1860752105712890625	-1.733463287353515625	14.956676483154296875	7	5	0	0	0.583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	0.416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	0	0	1	0	8	3	0	8	4	9	9	0.25	0
dictionary	D01	U2	普通义供体 U2	12	6	6	1.54210821787516276041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	-0.284954706827799479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	0.62857675552368164062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0.628576755523681640625	-0.1001682281494140625	-2.951221466064453125	13.463775634765625000	3	9	0	0	0.25	0.75	0	0	1	0	8	3	0	8	4	9	9	0.25	0
dictionary	D01	P0	无词典前置 P0	12	6	6	-0.264160474141438802083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	0.00249608357747395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	-0.130832195281982421875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	-0.130832195281982421875	0.0011615753173828125	-1.446685791015625000	0.068431854248046875	6	6	0	0	0.5	0.5	0	0	0	0	8	4	0	8	4	8	8	0	0
dictionary	D01	P2	普通义前置 P2	12	6	6	-0.0492137273152669270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	0.0178426106770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	-0.0156855583190917968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	-0.015685558319091796875	0.00267124176025390625	-0.166687011718750000	0.053161621093750000	7	5	0	0	0.583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	0.416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	0	0	0	0	8	4	0	8	4	8	8	0	0
dictionary	D01	plus7	固定 +7	12	6	6	7.000000000000000000	-7.000000000000000000	0E-18	0E-18	0E-18	-7.000000000000000000	7.000000000000000000	6	6	0	0	0.5	0.5	0	0	1	0	8	3	0	8	4	9	9	0.25	0
dictionary	D01	CAD05	CAD α=0.5	12	6	6	-0.903753598531087239583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	-0.567451794942220052083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	-0.735602696736653645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333335	-0.735602696736653645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	-0.2287349700927734375	-14.6662063598632812500	9.9396915435791015625	4	8	0	0	0.333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	0.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	0	0	0	0	8	4	0	8	4	8	8	0	0
mixed	MPS	N	有参考原生 N	6	4	2	0E-18	0E-18	0E-18	0E-18	0E-18	0E-18	-0E-16	0	0	6	0	0	0	1	0	0	0	5	1	0	5	1	5	5	0	0
mixed	MPS	no_reference	整体去参考	6	4	2	-8.98458766937255859375	2.8029804229736328125	-3.090803623199462890625	-5.05539830525716145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	-1.5887432098388671875	-16.513973236083984375	3.772430419921875000	3	3	0	0	0.5	0.5	0	0	0	1	4	1	0	5	1	4	4	0	0.2
mixed	MPS	U	无参考局部 U	6	4	2	1.8691024780273437500	-0.4430942535400390625	0.71300411224365234375	1.09837023417154947916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	0.3563880920410156250	-0.6139526367187500	4.81951904296875000	4	2	0	0	0.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667	0.333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333	0	0	0	0	5	1	0	5	1	5	5	0	0
