schema_version,query_id,condition,task,lex_hit,gold,pred_labels,correct,ordinal,top_score_gap,tied_top_count,within_two_epsilon,gold_margin,gold_mass,gold_nll,hate_logodds,group_label_logodds,pred_group_size,group_error_count,score_mode_sensitive,score_mode_predictions,core_mask,six_condition_mask,prompt_tokens,dictionary_tokens,demo_tokens,context_sha256,prompt_sha256,missing_reason,task_specific_null_reason,context_status
general-model-nolabel-paired-cases/v1,11,C0,hate,True,hate,"[""non-hate""]",False,1,4.644309997558594,1,False,-4.644309997558594,0.009524572707344975,4.65388021909688,-4.644309997558594,null,null,null,False,"{""answer_mean"":[""non-hate""],""answer_sum"":[""non-hate""],""mean_with_eos"":[""non-hate""],""total_with_eos"":[""non-hate""]}",0010,001000,124,0,0,5b7c2837a816d9f9db713641060dfa99ba561dab76a92a0376ec8a157f12e5b5,0df4b53eca7d963b9c14d00c4e636d73188bcbebe25ee6acc487cab4f76dfc48,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,11,C0,group,True,"[""Racism"",""Sexism""]","[""Racism""]",False,1,14.863142013549805,1,False,-24.872180938720703,1.578152300760677e-11,24.872181290110635,null,"{""LGBTQ"":-21.23799654900008,""Racism"":14.861414068985784,""Region"":-34.10918426367027,""Sexism"":-24.42134885947334,""others"":-33.403427335428205}",1,1,False,"{""answer_mean"":[""Racism""],""answer_sum"":[""Racism""],""mean_with_eos"":[""Racism""],""total_with_eos"":[""Racism""]}",0011,011101,197,0,0,bf87d74d617c1fb76a0ed92d069dee3e3c01e7cd58955d35ca317e8076d9569f,c9d036da787be66b43a2d53fb20c52a348bfae9a8a9e59df7d6b54327c769571,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,11,CLnew,hate,True,hate,"[""non-hate""]",False,1,2.286609649658203,1,False,-2.286609649658203,0.09223803239428874,2.383382734620395,-2.286609649658203,null,null,null,False,"{""answer_mean"":[""non-hate""],""answer_sum"":[""non-hate""],""mean_with_eos"":[""non-hate""],""total_with_eos"":[""non-hate""]}",0010,001000,396,272,0,02dcce79ddb799e39f3f4c6ca51058b366d68a9f119bb9cd92f937f8599c2dfe,0f975545e8cf9fa35ae446f557603ca2b9c56020df4ceb296c8c68d349105801,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,11,CLnew,group,True,"[""Racism"",""Sexism""]","[""Racism"",""Sexism""]",True,9,0.794342041015625,1,False,0.794342041015625,0.6887467890257394,0.37288158055747456,null,"{""LGBTQ"":-28.438833687701738,""Racism"":10.663778457762648,""Region"":-36.655000068365695,""Sexism"":0.7942669359470971,""others"":-21.773998512879803}",2,0,False,"{""answer_mean"":[""Racism"",""Sexism""],""answer_sum"":[""Racism"",""Sexism""],""mean_with_eos"":[""Racism"",""Sexism""],""total_with_eos"":[""Racism"",""Sexism""]}",0011,011101,469,272,0,176ae2b7b4c6791e323604b20a74e9c10977992ea0c02b4f48ff43d24921f681,3be277251c2272f1ae1ba78d0c10119ac14ab805f43d165d736b38f151c91397,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,11,CD,hate,True,hate,"[""hate""]",True,0,4.192861557006836,1,False,4.192861557006836,0.9851217021360099,0.014990089974365971,4.192861557006836,null,null,null,False,"{""answer_mean"":[""hate""],""answer_sum"":[""hate""],""mean_with_eos"":[""hate""],""total_with_eos"":[""hate""]}",0010,001000,782,0,658,6fbac01ada9b4d39d3d360b91efadef8359a9018ada9d19fbab874af4740798e,02eb47b6339e7e1e5a20169e6a473d155b137a3404b5a772f74f89b48c19ef40,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,11,CD,group,True,"[""Racism"",""Sexism""]","[""Racism"",""Sexism""]",True,9,5.353599548339844,1,False,5.353599548339844,0.995291187186009,0.004719934199131068,null,"{""LGBTQ"":-27.792275807304044,""Racism"":23.854556060812588,""Region"":-26.560307375949446,""Sexism"":5.353599538864617,""others"":-23.496564148187037}",2,0,False,"{""answer_mean"":[""Racism"",""Sexism""],""answer_sum"":[""Racism"",""Sexism""],""mean_with_eos"":[""Racism"",""Sexism""],""total_with_eos"":[""Racism"",""Sexism""]}",0011,011101,895,0,698,c67ac32a8c390229f000de66eb695cea423ea1239f8139c125a88d7831ff2bcf,9db7f183e1b1b1d73ed506edb1b80dddf0d04402e8f7c2f11c8cc2edf59a3a36,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,11,CLDnew,hate,True,hate,"[""non-hate""]",False,1,2.4385986328125,1,False,-2.4385986328125,0.0802763171187138,2.522280631558306,-2.4385986328125,null,null,null,False,"{""answer_mean"":[""non-hate""],""answer_sum"":[""non-hate""],""mean_with_eos"":[""non-hate""],""total_with_eos"":[""non-hate""]}",0010,001000,1054,272,658,9cbce4c3178d4f1e1d4837c0f2551ac8be55b47e479362162254c7df6deb7799,a223ae52968fcfa9006a48890f81da4f14339a2129f6afdc1ec12570d1453e06,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,11,CLDnew,group,True,"[""Racism"",""Sexism""]","[""Racism"",""Sexism""]",True,9,8.231494903564453,1,False,8.231494903564453,0.9997339299783087,0.00026610542459944153,null,"{""LGBTQ"":-30.36504275706961,""Racism"":19.933947227969135,""Region"":-28.760649135943996,""Sexism"":8.231486628345838,""others"":-21.524022152609767}",2,0,False,"{""answer_mean"":[""Racism"",""Sexism""],""answer_sum"":[""Racism"",""Sexism""],""mean_with_eos"":[""Racism"",""Sexism""],""total_with_eos"":[""Racism"",""Sexism""]}",0011,011101,1167,272,698,b6a57c3bc1c21983fe8acffde58e12b87433b223e5b20c27990a04272d4fb590,70b2f2e701085dbf3eab41f9ee1e74d1f43361b154ae0589e7cd291b396cf99b,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,11,CLnewNoCat,hate,True,hate,"[""non-hate""]",False,1,4.087276458740234,1,False,-4.087276458740234,0.016507804086737424,4.103922034939216,-4.087276458740234,null,null,null,False,"{""answer_mean"":[""non-hate""],""answer_sum"":[""non-hate""],""mean_with_eos"":[""non-hate""],""total_with_eos"":[""non-hate""]}",0010,001000,351,227,0,dcd3480de1febb893a5797864cd970a6bd6107b91ec441a146f6e52301026e81,b5521d157e55e3abc1eca1f136156889d30eb16d41527160bc8c2c07ed19a53b,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,11,CLnewNoCat,group,True,"[""Racism"",""Sexism""]","[""Racism""]",False,1,2.9142532348632812,1,False,-12.48641586303711,3.5199690101872267e-06,12.557058372317107,null,"{""LGBTQ"":-2.6147107627265456,""Racism"":2.6146685866059682,""Region"":-14.656825497910287,""Sexism"":-4.0189303523115525,""others"":-20.64670879340548}",1,1,False,"{""answer_mean"":[""Racism""],""answer_sum"":[""Racism""],""mean_with_eos"":[""Racism""],""total_with_eos"":[""Racism""]}",0011,011101,424,227,0,3d1c6a063814622cb0265a106f73e5235531b904841c35c8157023b54da37e93,1bc1bd176ba5034f075bba479d7f8fea46fa5665aa16606d4b8f7da23a9d34ee,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,11,CLDnewNoCat,hate,True,hate,"[""non-hate""]",False,1,1.0699615478515625,1,False,-1.0699615478515625,0.25541039677668376,1.3648836283943697,-1.0699615478515625,null,null,null,False,"{""answer_mean"":[""non-hate""],""answer_sum"":[""non-hate""],""mean_with_eos"":[""non-hate""],""total_with_eos"":[""non-hate""]}",0010,001000,1009,227,658,18471729798ebb4b6d7da127e57674f6a2d8f7e9752cc86aeb4c82156a31c128,870e09f3f6167bf47b1d05eb282cac0b67bb0785a7048e754356ad4e1509e206,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,11,CLDnewNoCat,group,True,"[""Racism"",""Sexism""]","[""Racism"",""Sexism""]",True,9,0.07745742797851562,1,False,0.07745742797851562,0.5193546785129782,0.6551682409480483,null,"{""LGBTQ"":-25.79773267597222,""Racism"":19.191248994800006,""Region"":-24.757711048135967,""Sexism"":0.07745741922398475,""others"":-21.44075839400818}",2,0,False,"{""answer_mean"":[""Racism"",""Sexism""],""answer_sum"":[""Racism"",""Sexism""],""mean_with_eos"":[""Racism"",""Sexism""],""total_with_eos"":[""Racism"",""Sexism""]}",0011,011101,1122,227,698,add21aa89b62bb5ba087a048e248af31d30ac506be284f93491ecba5da8e03a4,6f3e5d35ddc9f4e5922578a42476dfcf65a9972044fe9407ac7ceb73e47b0cf2,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,24,C0,hate,True,hate,"[""non-hate""]",False,1,3.467937469482422,1,False,-3.467937469482422,0.030238404655288716,3.4986424851706346,-3.467937469482422,null,null,null,False,"{""answer_mean"":[""non-hate""],""answer_sum"":[""non-hate""],""mean_with_eos"":[""non-hate""],""total_with_eos"":[""non-hate""]}",0111,011111,116,0,0,f65a8cc81a0d60757be34749ab5ce26af712dce0f9dacff2633ce4eb8ed16241,bbe5b98fcc7e2d371a3f6694453e824930a1817e73086f3d669c466b8be11faf,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,24,C0,group,True,"[""Racism""]","[""Racism""]",True,1,7.449489593505859,1,False,7.449489593505859,0.9994182476294433,0.0005819216541242955,null,"{""LGBTQ"":-15.470612383472323,""Racism"":7.448883780219949,""Region"":-15.656243966677584,""Sexism"":-22.819946066205116,""others"":-19.830246827048136}",1,0,False,"{""answer_mean"":[""Racism""],""answer_sum"":[""Racism""],""mean_with_eos"":[""Racism""],""total_with_eos"":[""Racism""]}",1111,111111,189,0,0,9c11ce8a5d1fd5d104fd145abff3478d3115271ec83e0a15a5e734c315d55e7f,e5cd5b95e804d4e2bec57de3dc8dca5519a33abbb3b5969f8e28c03e171d6312,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,24,CLnew,hate,True,hate,"[""hate""]",True,0,0.1990222930908203,1,False,0.1990222930908203,0.5495919868769944,0.5985791180984179,0.1990222930908203,null,null,null,True,"{""answer_mean"":[""non-hate""],""answer_sum"":[""hate""],""mean_with_eos"":[""non-hate""],""total_with_eos"":[""hate""]}",0111,011111,320,204,0,9bb67b7edddc62dcc828b13d464a872e26a70805a14281a34c6bbc2eae9c3591,2826515388d5f35f7187226825e55cb4cb8f0fb0f967189f81c24358ac9ea8d3,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,24,CLnew,group,True,"[""Racism""]","[""Racism""]",True,1,14.232437133789062,1,False,14.232437133789062,0.999999340929524,6.590706931042245e-07,null,"{""LGBTQ"":-37.967310367092196,""Racism"":14.23243713374122,""Region"":-41.44595761693473,""Sexism"":-27.275691056238593,""others"":-29.379498395602337}",1,0,False,"{""answer_mean"":[""Racism""],""answer_sum"":[""Racism""],""mean_with_eos"":[""Racism""],""total_with_eos"":[""Racism""]}",1111,111111,393,204,0,7d32a207e55affcefef3599a00748964f1c8d02a6347671de366fa574ff23546,08e69015ae3adc306abb4a36112a347b72a8b15e656a75c127c03ba03c4b6634,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,24,CD,hate,True,hate,"[""hate""]",True,0,0.6484565734863281,1,False,0.6484565734863281,0.656662570798966,0.42058498329964583,0.6484565734863281,null,null,null,False,"{""answer_mean"":[""hate""],""answer_sum"":[""hate""],""mean_with_eos"":[""hate""],""total_with_eos"":[""hate""]}",0111,011111,396,0,280,57147dde6768504011b17a653c77408067afad4b200daa3c5f48d3101abd12f8,4a677f1277139361a755c6823e0315b28563324030259d24ed9c07ad71bbe95a,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,24,CD,group,True,"[""Racism""]","[""Racism""]",True,1,22.366039276123047,1,False,22.366039276123047,0.9999999995848481,4.1515191275893126e-10,null,"{""LGBTQ"":-22.366036872573183,""Racism"":21.602879616885637,""Region"":-27.323186948332612,""Sexism"":-22.481487483854657,""others"":-33.708987215915855}",1,0,False,"{""answer_mean"":[""Racism""],""answer_sum"":[""Racism""],""mean_with_eos"":[""Racism""],""total_with_eos"":[""Racism""]}",1111,111111,474,0,285,e078d4f92d28ef1324b67ce10609f0cc8ea5c7b97460749f9f39369d6be5e0b6,9782e4b69c79b00131f743d71f65ea642a6a3bda6295ba29bb7594c382e61691,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,24,CLDnew,hate,True,hate,"[""hate""]",True,0,1.1973705291748047,1,False,1.1973705291748047,0.7680566850129976,0.2638917399475124,1.1973705291748047,null,null,null,False,"{""answer_mean"":[""hate""],""answer_sum"":[""hate""],""mean_with_eos"":[""hate""],""total_with_eos"":[""hate""]}",0111,011111,600,204,280,f141452efb044079e3a98e8efbea67b065a00d8395954dca6c8f2e2a28b2fdeb,3ca7ed92643f62535165be0bc4c1844ea0111c3ce7c0599989905e8042b04d68,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,24,CLDnew,group,True,"[""Racism""]","[""Racism""]",True,1,22.368877410888672,1,False,22.368877410888672,0.9999999998064719,1.935280824483243e-10,null,"{""LGBTQ"":-33.117595883430226,""Racism"":22.36883753880465,""Region"":-32.20529065685752,""Sexism"":-28.472196210442895,""others"":-29.30340537352705}",1,0,False,"{""answer_mean"":[""Racism""],""answer_sum"":[""Racism""],""mean_with_eos"":[""Racism""],""total_with_eos"":[""Racism""]}",1111,111111,678,204,285,7c3dfdf8dc10f7a16603d2c9c937cf8c50588f0d9ba14fa3743901e944914080,233cd57c9c5cf50d4077b96bb7c59427f9e3a8c1690f038c2d4a1ec99fe04eea,null,field_belongs_to_other_task,complete
general-model-nolabel-paired-cases/v1,24,CLnewNoCat,hate,True,hate,"[""hate""]",True,0,1.6577835083007812,1,False,1.6577835083007812,0.8399402409883272,0.17442453135602995,1.6577835083007812,null,null,null,False,"{""answer_mean"":[""hate""],""answer_sum"":[""hate""],""mean_with_eos"":[""hate""],""total_with_eos"":[""hate""]}",0111,011111,286,170,0,48ca907e9a1e11baecb8a94cc2f4dfb80f4efb9e89261bba69035b8f379f2ce1,6b49a56fdf31da681b6a90f4ba0f5a7d88eb3985d7d306808b48793664560feb,null,field_belongs_to_other_task,complete
