id,content,label,x,y,cluster
3346,话是这样说，但是像我们这样的普信男国女又看不上 不但看不上 还大加嘲讽 结婚彩礼不算车房都要几十万 有些郭楠在部分国女眼里早就被开除人籍了 只有黑皮白皮才是人上人,others,23.223265,1.3363144,-1
1646,我190+，但是这种墓垢还是铁鲨鼻,Sexism,-33.868683,28.964787,-1
2076,笑死，要是刷男女的没人有意见，真就高贵的同性恋呗??,LGBTQ,-0.27441984,42.304165,-1
4460,居然没有一个拳师冲。,Sexism,-15.595344,13.338666,-1
1460,征尼大将军,Racism,-15.952548,0.094854884,-1
3649,非洲人踢球猛，打篮球更猛，跑步无敌。可是有什么用呢？？？根本没有办法改变国家民族，让大部分人生活的更好。,Racism,13.035816,-29.61763,-1
1313,举个例子吧，一家公司要招个保安，结果有9个女人和1个男的应聘。但这家公司能拿出至少十个理由来拒绝掉女的，最终只招了那男人,Sexism,25.165049,26.429241,-1
2241,别埋汰失足女，跟过黑人的那叫人么，跟动物有啥区别,others,12.039416,-4.314056,-1
318,你可真厉害你的虫爹把曾经白人建设无比繁荣辉煌南非毁了同时又跑到这来大谈引进国际鬼子虫类及其它们后代虫混的理由对于你这点居心叵测的小心思我早已看透,Racism,-32.116196,1.3239484,-1
5645,哈哈哈哈，完全是调侃，男人味是指身上气味大，器大活好是女人认为的，我就顺口这么一说,others,-5.6203585,5.691408,-1
423,我广东人，说实话广东人和广西人，总体来说的确是丑人多。如果你去过四川，东北这些地方玩过，你会发现这几个地方的平均颜值高广东几个档次,Region,0.80451155,-55.79576,0
3761,本东北人表示的确如此，河南黑吉山东毕竟被黑一个是穷一个是毕竟知名，江西这几年彩礼也风口，至于青海这种地方，你问他青海属于西藏还是新疆，很多人的确会谨慎地二选一的。,Region,-12.250381,-52.102016,-1
4683,要把一滴血原则带到中国来,Racism,19.592867,-24.196688,-1
2005,我说实话，我膈应，我觉得我的思想还是偏保守，再者我认为讨厌黑人不算是思想保守，只是看见了很多事情之后的一种总结,Racism,7.98365,-17.48784,-1
7138,答主是大部分人的想法，很多人潜意识都是不接受的，只是很多人都不敢去表达对于同性恋的态度，随着时代发展，同性恋也越来越敢发声了，我们不能对同性恋有任何意见，有意见就是歧视。同性恋越来越会道德绑架了！,LGBTQ,1.7561513,51.914894,2
7434,你知道你们的主子是怎么评价你们的嘛 “chinese women's pussy smells like dead fish”😆声名远播了属于是，给你们取个新名字吧dead fish girl怎么样🤭,Sexism,4.679633,4.585518,-1
6295,为什么我觉得世界女权是在故意抹黑中国女性呢？中国女性中真正的口区女权比例不大吧？为什么要所有中国女性背锅,others,13.8631525,26.761122,-1
927,广州就是黑河南、黑北方的总部,Region,6.12083,-50.099644,-1
5016,举报外教从我做起，电商的发展也会把一些垃圾去除，加速才是我们想要的。,Racism,-13.93992,-13.341835,-1
1675,西安本地作风彪悍的大多是东边某省逃荒过来的后裔,Region,-25.935154,-52.152424,-1
3235,好家伙，间接黑了一波北京（玩笑）,Region,-25.24198,-36.85401,-1
