contrast_id,query_id,kind,terms,main_effects,main_directions,original_background_effect,mean_to_ncc_direction_preserved,ab_directions_agree_resolved,all_five_directions_agree_resolved,single_probe_directions,leave_one_out_directions,all_single_probes_agree_with_ncc,all_leave_one_out_agree_with_ncc,role,template
ECD-541-F1-rule_at_T0,541,rule_at_T0,"[{""coefficient"":-1,""condition"":""F1-T0R0""},{""coefficient"":1,""condition"":""F1-T0R1""}]","{""ab_forward/answer_sum"":0.5703544616699219,""ab_reverse/answer_sum"":-0.21729278564453125,""ncc"":0.3119288910158975,""original/answer_mean"":-0.02762959798177078,""original/answer_sum"":-0.0763702392578125}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""positive"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.33955848899766794,False,False,False,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True,primary,1
ECD-541-F1-rule_at_T1,541,rule_at_T1,"[{""coefficient"":-1,""condition"":""F1-T1R0""},{""coefficient"":1,""condition"":""F1-T1R1""}]","{""ab_forward/answer_sum"":0.5761795043945312,""ab_reverse/answer_sum"":-0.18088912963867188,""ncc"":0.20567196379059105,""original/answer_mean"":0.009576161702473995,""original/answer_sum"":0.031459808349609375}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",-0.19609580208811694,True,False,False,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True,primary,1
ECD-541-F1-topic_at_R0,541,topic_at_R0,"[{""coefficient"":-1,""condition"":""F1-T0R0""},{""coefficient"":1,""condition"":""F1-T1R0""}]","{""ab_forward/answer_sum"":0.12521743774414062,""ab_reverse/answer_sum"":0.060703277587890625,""ncc"":0.13977093918483918,""original/answer_mean"":-0.04240722656250001,""original/answer_sum"":-0.16268157958984375}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.18217816574733892,False,True,False,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True,primary,1
ECD-541-F1-topic_at_R1,541,topic_at_R1,"[{""coefficient"":-1,""condition"":""F1-T0R1""},{""coefficient"":1,""condition"":""F1-T1R1""}]","{""ab_forward/answer_sum"":0.13104248046875,""ab_reverse/answer_sum"":0.09710693359375,""ncc"":0.03351401195953274,""original/answer_mean"":-0.005201466878255234,""original/answer_sum"":-0.054851531982421875}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",-0.03871547883778792,False,True,False,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True,primary,1
ECD-541-F1-topic_rule_interaction,541,topic_rule_interaction,"[{""coefficient"":1,""condition"":""F1-T0R0""},{""coefficient"":-1,""condition"":""F1-T0R1""},{""coefficient"":-1,""condition"":""F1-T1R0""},{""coefficient"":1,""condition"":""F1-T1R1""}]","{""ab_forward/answer_sum"":0.005825042724609375,""ab_reverse/answer_sum"":0.036403656005859375,""ncc"":-0.10625692722530644,""original/answer_mean"":0.03720575968424478,""original/answer_sum"":0.10783004760742188}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""negative"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",0.143462686909551,False,True,False,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True,primary,1
ECD-541-F1-original_bridge,541,original_bridge,"[{""coefficient"":1,""condition"":""F1-T1R1""},{""coefficient"":-1,""condition"":""R-A""}]","{""ab_forward/answer_sum"":-0.056331634521484375,""ab_reverse/answer_sum"":-1.1812973022460938,""ncc"":-0.18312491822170873,""original/answer_mean"":0.045902760823567756,""original/answer_sum"":0.10181045532226562}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",0.22902767904527677,False,True,False,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True,bridge,1
ECD-541-F1-D_bridge,541,D_bridge,"[{""coefficient"":1,""condition"":""F1-T1R1""},{""coefficient"":-1,""condition"":""R-D1""}]","{""ab_forward/answer_sum"":0.044452667236328125,""ab_reverse/answer_sum"":-0.9065589904785156,""ncc"":-0.1980203701944374,""original/answer_mean"":0.073663075764974,""original/answer_sum"":0.21175765991210938}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",0.2716834459594115,False,False,False,"{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}","{""empty"":""negative"",""lorem"":""negative"",""mask"":""negative"",""na"":""negative"",""space"":""negative""}",True,True,bridge,1
ECD-541-F1-C_bridge,541,C_bridge,"[{""coefficient"":1,""condition"":""F1-T0R0""},{""coefficient"":-1,""condition"":""R-C1""}]","{""ab_forward/answer_sum"":0.3565788269042969,""ab_reverse/answer_sum"":-0.0687713623046875,""ncc"":0.28752404965593215,""original/answer_mean"":0.1058064778645833,""original/answer_sum"":0.5756759643554688}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",-0.18171757179134929,True,False,False,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True,bridge,1
ECD-541-F1-historical_D_minus_C,541,historical_D_minus_C,"[{""coefficient"":1,""condition"":""R-D1""},{""coefficient"":-1,""condition"":""R-C1""}]","{""ab_forward/answer_sum"":1.0135231018066406,""ab_reverse/answer_sum"":0.7176017761230469,""ncc"":0.8309873228257998,""original/answer_mean"":-0.0006876627604167074,""original/answer_sum"":0.232696533203125}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""unresolved"",""original/answer_sum"":""positive""}",-0.8316749855862167,False,True,False,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True,historical_anchor,1
ECD-541-F2-rule_at_T0,541,rule_at_T0,"[{""coefficient"":-1,""condition"":""F2-T0R0""},{""coefficient"":1,""condition"":""F2-T0R1""}]","{""ab_forward/answer_sum"":-0.3281135559082031,""ab_reverse/answer_sum"":-0.3494911193847656,""ncc"":0.26744470920506824,""original/answer_mean"":0.0035288492838541075,""original/answer_sum"":0.0140380859375}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",-0.26391585992121414,True,True,False,"{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}","{""empty"":""positive"",""lorem"":""positive"",""mask"":""positive"",""na"":""positive"",""space"":""positive""}",True,True,primary,2
