query_id	source_frame	analysis_role	adopted_reference	correlated_conditions	qwen3-8b_raw_correct	qwen3-8b_conservative_correct	qwen3-14b_raw_correct	qwen3-14b_conservative_correct	glm4-9b-chat_raw_correct	glm4-9b-chat_conservative_correct
CMAD-HP-Q1	naturalistic_primary_development	naturalistic_primary_development	无	24	24	24	24	24	24	24
CMAD-HP-Q2	naturalistic_primary_development	naturalistic_primary_development	无	24	24	24	24	24	24	24
CMAD-HP-Q3	naturalistic_primary_development	naturalistic_primary_development	有	24	24	24	24	24	24	24
CMAD-HP-Q4	naturalistic_primary_development	naturalistic_primary_development	有	24	24	24	24	24	24	24
CMAD-JSC-Q1	explanatory_supplement	explanatory_supplement	无	24	16	16	19	19	21	21
CMAD-JSC-Q2	explanatory_supplement	explanatory_supplement	无	24	23	23	24	24	24	24
CMAD-JSC-Q3	explanatory_supplement	explanatory_supplement	有	24	24	24	24	24	24	24
CMAD-JSC-Q4	explanatory_supplement	explanatory_supplement	有	24	24	24	24	24	24	24
CMAD-MT-Q1	explanatory_supplement	explanatory_supplement	无	24	21	21	24	24	23	23
CMAD-MT-Q2	explanatory_supplement	explanatory_supplement	无	24	23	23	24	24	24	24
CMAD-MT-Q3	explanatory_supplement	explanatory_supplement	有	24	24	24	22	22	24	24
CMAD-MT-Q4	explanatory_supplement	explanatory_supplement	有	24	24	24	24	24	24	24
CMAD-XC-Q1	naturalistic_primary_development	naturalistic_primary_development	无	24	24	24	24	24	24	24
CMAD-XC-Q2	naturalistic_primary_development	naturalistic_primary_development	无	24	24	24	24	24	24	24
CMAD-XC-Q3	naturalistic_primary_development	naturalistic_primary_development	有	24	24	24	24	24	24	24
CMAD-XC-Q4	naturalistic_primary_development	naturalistic_primary_development	有	24	24	24	24	24	24	24
