id,content,label,x,y,cluster
2076,笑死，要是刷男女的没人有意见，真就高贵的同性恋呗??,LGBTQ,-1.2832474,-7.9523587,-1
7138,答主是大部分人的想法，很多人潜意识都是不接受的，只是很多人都不敢去表达对于同性恋的态度，随着时代发展，同性恋也越来越敢发声了，我们不能对同性恋有任何意见，有意见就是歧视。同性恋越来越会道德绑架了！,LGBTQ,-2.7627032,-9.982189,-1
7090,性取向都扭曲了的人怎么会觉得恶心呢😓,LGBTQ,-1.2068443,-9.822728,-1
3319,精神科医生好久不见我是反同二局的,LGBTQ,-4.5074463,-7.7816424,-1
1660,不是，討厭女性，不想跟女性相處，這不是歧視，你隻是gay了,LGBTQ,-2.391121,-9.782747,-1
7398,所以他是gay，然后跑到反同群里面开盒，是这样吗？还是你们是....,LGBTQ,-4.188715,-6.677333,-1
7259,小汪汪没基佬危害大,LGBTQ,-0.71631277,-5.6467257,-1
7407,如果馆内没有他们的同类异性他们当然不会去寻找异性。,LGBTQ,-4.4189076,-9.380154,-1
102,你们同性恋不包容反同可以拉黑对方龟缩在家里不见人见光就可以了，你们同性恋不需要来这个吧，有拉黑功能可以让你们逃避现实活在自己的世界里。同性恋太丢脸太恶心了一定要拉黑回避正常人。反同是正常的逃不逃避拉不拉黑你们也是正常的但你们同性恋是不正常的不能见人见光所以需要拉黑我们反同才能逃避现实活在自己的世界里。,LGBTQ,-2.8728378,-8.753094,-1
1245,同性恋不过是一种性癖而已，有什么可歌颂的。如果真要这样的话，是不是也该把恋物pi，恋tong癖，恋shou癖，恋shi癖歌颂一下？,LGBTQ,-3.7349756,-8.867266,-1
7130,同性恋都是群脑子不正常的玩意，看着就反胃,LGBTQ,-1.5410109,-10.117614,-1
6474,支持，消灭同性恋，反同战士们速速集结,LGBTQ,-5.16882,-8.122824,-1
3853,其实互相尊重就好了，我们允许你们同性恋的存在，但也允许我们有些异性恋接受不了！这是生理上抗拒的！,LGBTQ,-3.0200827,-10.368442,-1
2482,有个贵物同支持🐔农屠邮，却不知道🐔农也屠同,LGBTQ,-4.7125907,-7.3945074,-1
4227,只有男女之间相爱才是全身心投入爱才有爱情结晶。你们同性恋的爱情结晶是什么？植物也会开花结果，你们同性恋的爱有什么结果？你们同性恋的爱是没有结果的，你们同性恋啥也不懂啥也不是，你们同婚是没有任何意义没有任何结果的。,LGBTQ,-4.0469856,-9.955702,-1
1592,同性恋很美好纯洁？呕,LGBTQ,-1.5543606,-10.188042,-1
7106,男的看男同主观恶心 女的看女同主观恶心,LGBTQ,-0.88483053,-9.15547,-1
438,在反同群不反同，你自己也说过你是双性恋了，所以要为民除害找你很合理。,LGBTQ,-3.802502,-7.6606445,-1
5129,你就可怜可怜基佬吧。给他两个吃剩的骨头,LGBTQ,-0.8995145,-5.5421543,-1
1707,我是说这个人的性别和这个人的性取向的基因是矛盾的，和性取向基因是否在性染色体无关。而且携带同性恋基因的人按理说应该没有后代了，但是自古以来就存在，说明还有很多潜在被掰弯的人。如果有掰不弯的人，那么我就希望社会支持同性恋，把潜在同性恋掰出来，这样很多年后就没有同性恋了。,LGBTQ,-2.7151287,-7.8846383,-1
6949,赞同🙋‍，还有上边有人叫讲多放同性恋电影的，我可不想以后我孩子看那些，别说啥先天的，后天影响肯定存在，整天受同性恋文化熏陶万一弯了可咋办,LGBTQ,-4.55248,-9.481554,-1
5763,"我歧视gay,我也歧视你的观点😄",LGBTQ,-2.8913286,-10.239786,-1
1281,所以一些人觉得自己是同性恋就可以高人一等了是吧,LGBTQ,-4.41227,-9.269475,-1
4688,这儿也有nt通讯录出没，不过比起我之前呆的反同恋吧好多了,LGBTQ,-4.612515,-6.2928257,-1
3038,我觉得吧，只要内容没有怂恿直男直女去同性恋爱的话那就没大问题,LGBTQ,-2.0642276,-9.0112095,-1
1848,美国华盛顿大学的研究人员发现，和谐的婚姻关系有助于促进同志的身心健康——长期保持稳定关系的未婚情侣比单身者更健康，而已婚人士的健康状况是最好的。研究者推测，财务状况、养育孩子以及伴侣相互扶持，都对健康有利，但具体原因有待进一步研究。并且出柜或许也能促进健康，因为这项研究显示，已婚同志中的出柜者最多，单身同志中的出柜者最少。,LGBTQ,-3.4529767,-9.691458,-1
97,骗婚什么时候没被抵制了吗，这本来就是个错误的行为啊，但你说的是抵制男同这个群体,LGBTQ,-3.8551247,-10.546962,-1
2008,我还见过很多炫耀自己掰歪直男的基佬，简直口区,LGBTQ,-0.8198046,-6.2579517,-1
3272,帮凶？我不知道为什么我还非得接受同性恋……,LGBTQ,-2.6333842,-10.804481,-1
3305,好家伙，见到一个同就臆想人家自己喜欢你，你可真是够够的。,LGBTQ,-2.7566519,-9.166801,-1
4261,同大多连脑都没有,LGBTQ,-3.9733882,-7.864689,-1
1584,反同们也可以来听听,LGBTQ,-5.239536,-7.23015,-1
7344,请问有没有3个女同在一起的？我看片有，现实世界有3个女的在一起？,LGBTQ,-0.9501222,-9.114384,-1
7231,异性恋天天爱挂嘴边说同性恋都是为了性,LGBTQ,-3.993462,-9.5814705,-1
5071,搜断背山看到这条，作为一个gay首先想说你们反同的直男大可不必把这么多精力放在gay身上。我也简单反驳一下你们的观点。1.同性恋为什么是同性恋只有同性恋自己知道，当然不排除外界因素，基因的原因也是有的，不管是从科学依据上还是从现实经验都可以佐证。2.同性恋之所以是同性恋，最显著的特征就是有同性性倾向，缺乏安全感或者内心女性化都不是最主要的特征，请不要恶意理解为同性恋就是受外界影响的软弱的男生。3.任何群体都有无知软弱的人，关键是得看这种缺陷到底是由于性取向还是由于缺乏文化教育。当你本身就带着歧视去了解这个群体时，还指望得出什么好的结论吗?4.现代社会是朝着更多元的价值观发展的，柔美也是一种美。过度宣传阳刚不禁让人怀疑宣传者的动机是否纯洁。事实上，这种宣传最大的受害者应该是能力不够强的直男。,LGBTQ,-2.2702777,-8.588998,-1
723,说的好，某些直男简直不要太双标,LGBTQ,-1.5793655,-7.6378694,-1
5628,那我不接受同性恋 也是我的权利,LGBTQ,-2.8014667,-10.644378,-1
606,生理不适为什么就全面反对？因为激素原因男女，男同，女同都对彼此可能会不适，但反对没必要啊，不能因为男女异性恋多就反对男同和女同,LGBTQ,-1.3937968,-9.247512,-1
260,我得提醒你一下gay一般即使看上直男也是想被上，不要操那么大的心😅,LGBTQ,-1.8857247,-8.446096,-1
953,发这条评论的时候我还没被骚扰过，现在回复你是被恶心过了，我确实是歧视男同，不过你这么说了倒也无伤大雅，我们最近一起上网一起玩的有个伙计也是男同，只要别恶心到我倒是也无所谓,LGBTQ,-2.3920758,-8.261707,-1
7519,停下吧，快停一下吧，让智商回来。反同到底有什么意义？反同是因为什么？你们真的有想清楚吗？说什么啊，这是不孝，那是人家的家事，关你何事？说什么欺骗他人，欺骗他人的是个人，不是群体，搞清楚一点。到处网暴别人，我觉得主要原因就是因为你们现实生活过得不好，所以才要去网暴那些其他过得比你们更不好的人。,LGBTQ,-3.2657034,-7.946354,-1
7291,恐同皆深柜实锤,LGBTQ,-5.7559566,-6.7238264,-1
2993,我同意你 不认同就是歧视同性恋我真的吐了 这道德绑架绑的。。。。吐了吐了,LGBTQ,-3.023513,-9.79059,-1
1624,见过不少男同就是这样理论的支持者，实际上在我看来他们其实是最自私的群体。又蠢又坏，他们除了可以骗女人和年幼无知的小孩，没人信他们。,LGBTQ,-3.078211,-9.043335,-1
4255,这个很难得，只要基佬不说谁都不知道他是基佬,LGBTQ,-1.1705366,-5.949175,-1
4765,感到txl恶心这没毛病啊，其实只要活好自己就行了，txl的生活也不会因为你的喜好就改变的,LGBTQ,-1.5009336,-9.716858,-1
4698,txl必死,LGBTQ,-2.6522474,-5.014515,-1
3887,这玩意不是男同nt搞出来的吗,LGBTQ,-1.1358149,-7.734186,-1
1883,从小这个基佬就N待小动物，果然是变太,LGBTQ,-0.7945085,-5.806274,-1
1239,同性恋没有正常人，低龄非主流觉得有和别人与众不同的思想很突出自己的高尚，就算有真正相爱的同性也是心理疾病，同时明明知道会遭到议论和歧视又改变不了，还是要为了自己的爱情把家人置于其他人歧视中的小丑，总结一下捏，txl是个自私而且低能，说理说不过又只会无脑的谩骂的低龄心理变态人群，txl这辈子就这样了,LGBTQ,-2.7855887,-8.889665,-1
6441,我突然想到一个很好的题材，【论同性恋如何发表那比法西斯还愚蠢的言论】,LGBTQ,-4.1385994,-8.713155,-1
2601,无法改变那就去死，反同入刑，最高死刑,LGBTQ,-3.592284,-8.201831,-1
2432,其实我讨厌同性恋很大一部分的原因是因为同性恋的支持者，尤其是我在追番的时候就看到一群NT在官配CP或后宫番里面刷男男或女女CP,LGBTQ,-2.2415733,-10.054799,-1
7431,看了几天帖子，反同人士除了通篇常见的几句‘txl不正常’类似的话，具体措施，如何实施，实施所需占用的社会资源，实施成效等，都没看见你们有什么想法呢。饭桶就只是口头上的吗，让我很失望。,LGBTQ,-3.3917727,-8.037534,-1
4728,直佬日常出新花样罢了,LGBTQ,-0.7945992,-6.5038233,-1
2587,同狗日常迫害正常人,LGBTQ,-0.61758345,-6.539107,-1
4905,基洞恶心不接受反驳,LGBTQ,-0.33606508,-5.8138723,-1
120,这个鸡佬，喜欢精神胜利，是一个辣鸡，真是笑死人,LGBTQ,-0.8129483,-6.574471,-1
3396,同性恋不能动武，要教化,LGBTQ,-4.8188224,-8.515832,-1
4032,不一定只有男同恶心。有的阴阳人也挺恶心的😄,LGBTQ,-1.0526109,-9.340517,-1
6303,原本就是基佬的自嘲，还是用淋语说的，结果不知道谁拿去用出基圈了吗？,LGBTQ,-1.051721,-6.1279507,-1
5708,哪来的通讯录怪物,LGBTQ,-3.7313795,-6.2668557,-1
6046,意思就是说，不平等，以及双标。同性恋回怼来自一些来自异性恋的攻击性言论，结果在你这成了同性恋过激了。但异性恋如果回怼一些来自同性恋的攻击性言论，评论就基本全是认为异性恋这么做没错，“干的漂亮”“同性恋活该”之类的，最后，结果又是同性恋过激了。看到了吗？这就是驰名双标，无论怎样结果都是同性恋的错，果然这个完全来自主观的屎盆子扣起来可是一点不费劲。,LGBTQ,-2.7433894,-9.309868,-1
4101,楼中楼的基佬你就继续装可怜洗地吧,LGBTQ,-0.8513353,-5.4331193,-1
857,卡菲勒是同性恋🤭,LGBTQ,-4.5577865,-8.965373,-1
2853,而且你说的“细胞都在反感同性恋”用稍微科学一点的话来说是“在无意识情况下就看似无理由的反感同性恋”,LGBTQ,-3.0918217,-9.267353,-1
6266,就是 我这边 以前有个男同专门杀同性恋的 说是被他们那个群体逼成这样的,LGBTQ,-3.1137404,-8.412193,-1
6315,反同就是因为要保护中国公民的人格尊严才要反同，同恋太丢中国的脸了！公民在行使自由和权利的时候不得损害国家的社会的集体的利益和其他公民的合法自由和权利。同恋就是在损害国家，所有公民也染艾不结婚生子对国家没有损害？还有注意的是要合法因为同恋的爱情不被认可所以不能同婚。,LGBTQ,-3.985237,-9.961199,-1
700,有同妻婚骗啥的，而且男同对女性有仇视倾向，男风盛行会导致女性地位下降,LGBTQ,-3.7508814,-10.492137,-1
1251,做这么多伤天害理的事难怪会成长为基佬！,LGBTQ,-0.53814864,-5.8832755,-1
6032,我真的接受不了一些喜欢同性恋的说同性恋才是真爱，异性恋不是真爱，只为了繁殖，就第一次看见这句话的时候，我的第一感觉就是耻视异性恋，还有就是让我对同性恋的好感降低了一大截。,LGBTQ,-2.3734896,-10.286877,-1
3544,希望反同恋吧越来越好,LGBTQ,-4.977365,-6.4303217,-1
5415,那么基佬能接受和女人make love吗？,LGBTQ,-1.3431457,-5.6981945,-1
3304,你们基不吃药的真面目更妖,LGBTQ,-1.0188161,-5.6387353,-1
7436,不会是个gay吧😆,LGBTQ,-1.5695937,-7.783363,-1
