condition_id,query_id,real_mean_margin,background_margin,ncc_margin,probe_margins,probe_ncc_margins,leave_one_out_ncc_margins,physical_real_record_id,physical_probe_record_ids,prediction,exact_tie,numerically_unresolved,original_reference,reviewed_reference,original_correct,reviewed_correct,reviewed_margin
FQD-3169-F1-O-A,3169,0.03019485473632813,2.8117657112581274,-2.781570856521799,"{""empty"":3.451288350423177,""lorem"":4.376014455159505,""mask"":2.8051162719726563,""na"":1.8637502034505207,""space"":2.9658251444498696}","{""empty"":-3.421093495686849,""lorem"":-4.3458196004231775,""mask"":-2.774921417236328,""na"":-1.8335553487141925,""space"":-2.9356302897135413}","{""empty"":-2.666274966574558,""lorem"":-2.591426550586193,""mask"":-2.7832393584931006,""na"":-3.2206102629156352,""space"":-2.7461462029474952}",FQP-025c2a1ede7ca90e03433bd435c6769cce155b4afad379880a2288584c20c62b,"{""empty"":""FQP-b05d2b09a9af3a0785c7a7fa801255072aac62ce6c967aa581b2c1507ccfd7ed"",""lorem"":""FQP-1d64015bddaeadd90b18f1726f650faee057cd5eadfec8966b2d92df7e7b2451"",""mask"":""FQP-a43ac97810c23a25d5f1f4923325a82baf678f9e5363e87e12a7fc4d2632eb9f"",""na"":""FQP-7a088a0ec25b707aad36562f9ec787f9074290d598651c984931c50cb649c488"",""space"":""FQP-839e0d1a2d9dd21551c2a0696ced08b03ce88509841ce03b60a4e0f6a9b241b4""}",hate,False,False,non-hate,non-hate,False,False,-2.781570856521799
FQD-3169-F1-O-H,3169,-0.13254445393880207,2.69136176104422,-2.823906214983022,"{""empty"":3.3062199910481773,""lorem"":4.366620127360027,""mask"":2.688496653238932,""na"":1.7490887959798176,""space"":2.792810312906901}","{""empty"":-3.438764444986979,""lorem"":-4.499164581298829,""mask"":-2.821041107177734,""na"":-1.8816332499186197,""space"":-2.925354766845703}","{""empty"":-2.711324444704036,""lorem"":-2.627358706815104,""mask"":-2.824623613002826,""na"":-3.2519040208150014,""space"":-2.799892711823665}",FQP-55e467c42767975638d91c10aa6f8493195b6475078c2bc8447bb7dccba3b440,"{""empty"":""FQP-481b5566480d71b4932a463d1b55aedb773ddcc3bc6f133ac612b6914492b5e4"",""lorem"":""FQP-e938a92f5f645e1d4092e2e7ca791b297082e0da755f23b6e9bb15a19de69cf8"",""mask"":""FQP-6b73b3708cc4aeacbc65526068a79fcd919c49d523eaa9f2d84e442a9837651a"",""na"":""FQP-952560bdb4a05a95038380727a669f732f59fff58f8d659fc97bb27ed975812e"",""space"":""FQP-2f8e24f5c93494c1e8d4c0d577bfe69a25015d06867108de037d6eb32579f331""}",hate,False,False,non-hate,non-hate,False,False,-2.823906214983022
FQD-3169-F2-O-A,3169,0.14035542805989581,2.8053067110471837,-2.6649512829872877,"{""empty"":3.396752675374349,""lorem"":4.427587890625,""mask"":2.9167160034179687,""na"":1.8317164103190104,""space"":2.9107706705729166}","{""empty"":-3.256397247314453,""lorem"":-4.287232462565105,""mask"":-2.7763605753580727,""na"":-1.6913609822591147,""space"":-2.7704152425130206}","{""empty"":-2.555838315350765,""lorem"":-2.472006879509773,""mask"":-2.638741300478985,""na"":-3.1247147002995095,""space"":-2.640060511247006}",FQP-77f14948d8c0a36cbea9baffd667fdc50e30886db3561af3d719cee2cb59559a,"{""empty"":""FQP-4835c1ae56dd21b6bab67dfa27937d2e97f1f697b1cb76c3b2e1edcbcd2c1dbc"",""lorem"":""FQP-37a777d383ac73f2b3c924cbd5fa7c6ddb96a76bb02b140d6e03c251d3cf9a4b"",""mask"":""FQP-106c98b6a5f803aeca6d43290fffd8def830b9a631a7f95d474ab74e31eabd07"",""na"":""FQP-b83167ab6928ba25fc4f343266ab8e905518d09bf1b677cd3111cb91bd2c148d"",""space"":""FQP-2f2b7fc14fa188548ca1b16aedf29f9e497e39f4651e6395e7e27a15ca12a0c8""}",hate,False,False,non-hate,non-hate,False,False,-2.6649512829872877
FQD-3169-F2-O-H,3169,-0.0818242390950521,2.765817443793497,-2.8476416828885487,"{""empty"":3.3976974487304688,""lorem"":4.46067606608073,""mask"":2.84797846476237,""na"":1.7849957784016925,""space"":2.8684712727864583}","{""empty"":-3.479521687825521,""lorem"":-4.542500305175782,""mask"":-2.9298027038574217,""na"":-1.8668200174967446,""space"":-2.95029551188151}","{""empty"":-2.7331468324276376,""lorem"":-2.6510754034377193,""mask"":-2.828000965151862,""na"":-3.311132478475572,""space"":-2.8233710771444285}",FQP-534439a6703274cc2669a15f8a531cf8e63d513f4bf229cbfd84dda9ba1dfbe6,"{""empty"":""FQP-686e69fb3420abc2159fd4a7a1ee1d909c58616fdc30dee608b6c7189be85ec7"",""lorem"":""FQP-4a682681b6332b339a2414e6bdc8b4e8d6b9ae25640d95b57c5213775f784176"",""mask"":""FQP-7b3c397de412fae1dd586d7b5f9cb4c2c3eed121774a14da583d21a42245be00"",""na"":""FQP-8e2ca871b9a21d5f49241232bb7e6854f7f0db5175114cb4b401d0b94170f06c"",""space"":""FQP-7d671b8e1115330056c9231ccb2f72dc877b82960a83a43f50817468777ac7e8""}",hate,False,False,non-hate,non-hate,False,False,-2.8476416828885487
FQD-FD-3169-Q01-F1-D-A,FD-3169-Q01,4.004249318440755,2.7298514565161875,1.2743978619245677,"{""empty"":3.2098340352376304,""lorem"":4.114040120442708,""mask"":2.775092569986979,""na"":1.8665224711100261,""space"":2.775407918294271}","{""empty"":0.7944152832031248,""lorem"":-0.10979080200195312,""mask"":1.2291567484537764,""na"":2.137726847330729,""space"":1.2288414001464845}","{""empty"":1.3680392099082237,""lorem"":1.4556948954871642,""mask"":1.2854325711039474,""na"":0.9030357202401662,""space"":1.2855075883866123}",FQP-51209e5e440a648bfc6a331106ccd1e6b1907a30b94650de9f5c2ba950d54102,"{""empty"":""FQP-8b5c00620b6fc99cb54490df92abe314f181183af11f673fd057514775f432d2"",""lorem"":""FQP-51d999e91eb0dbddddb5049ee6797d04c484c3c82d0990e43db1da6d9bbc041e"",""mask"":""FQP-1e7090797e5adfaa338e99dc2ff681ae9eabbcac83a250f4c40ab2fbb4c48088"",""na"":""FQP-df073c700e093232a7de4acba3ff0dcd0bb522b686d0635f387768386743e3d8"",""space"":""FQP-8731f7b9ac383106c5e80e9047a3425dad8f99d01dc7eafdf04006937b47af1a""}",non-hate,False,False,null,non-hate,null,True,1.2743978619245677
FQD-FD-3169-Q01-F1-D-H,FD-3169-Q01,4.032656606038411,2.6970369435455517,1.3356196624928591,"{""empty"":3.1661771138509116,""lorem"":4.112913513183594,""mask"":2.7422078450520835,""na"":1.8338401794433594,""space"":2.7360875447591146}","{""empty"":0.8664794921874992,""lorem"":-0.0802569071451833,""mask"":1.2904487609863273,""na"":2.1988164265950516,""space"":1.2965690612792962}","{""empty"":1.4277123080994745,""lorem"":1.5190725646317205,""mask"":1.3466388273712218,""na"":0.9656799106400902,""space"":1.345177362766898}",FQP-0a787b85bcd960b97bef687a8ec3a5cf5364f8678fa13b21a884eb8585481c63,"{""empty"":""FQP-4daa6da2fc818a38bb59b3041df5395fccf6bad9953823e95858fd5c7852a838"",""lorem"":""FQP-016cda27aa5a03952260cb9227749c3600162e92d41c34f4db5f4ef0035119c3"",""mask"":""FQP-9f181fa3da621fa6e16b1e2d5d38037c4e0a3f0a105ac650b92c10a44806d25d"",""na"":""FQP-7ce434cae8eb527d641e47122b3a5b89f6896742325361dd31a9bfbe80deb090"",""space"":""FQP-b274c576cd281cf70bec202434eda9ea35eae42fd392c2ff94f97adb31adb7ed""}",non-hate,False,False,null,non-hate,null,True,1.3356196624928591
FQD-FD-3169-Q01-F1-N1-A,FD-3169-Q01,4.436339823404948,2.8717067545134904,1.5646330688914576,"{""empty"":3.579503885904948,""lorem"":4.606534830729167,""mask"":2.8579381306966147,""na"":1.879436747233073,""space"":3.0761029561360678}","{""empty"":0.8568359375000001,""lorem"":-0.1701950073242191,""mask"":1.5784016927083333,""na"":2.556903076171875,""space"":1.3602368672688803}","{""empty"":1.6879802797823493,""lorem"":1.761769117000822,""mask"":1.5611643124152557,""na"":1.0849343575270387,""space"":1.6103656292602189}",FQP-6ed5a95a64792f539bdc84fe47f261c3b9344b1af05f8050e3e18d71796d2c7f,"{""empty"":""FQP-27beeda054068b92b66e119e8a6caab41a80d009dd7db1693746b71b7616bc09"",""lorem"":""FQP-96917f8670e8164b5be92bee9b546111a549ce60a0853d9cd72e65246f55ec97"",""mask"":""FQP-5ffc54cc96576d3a6a336836b7ad5254514487ed15305cf1d43fde096cf1053d"",""na"":""FQP-9aff3deb49da4cf37e7ac3a38c7a91f9b31a4cd2a4fb167f2f1a763cd476a64e"",""space"":""FQP-3197ac4167b62ed1935ecd815ac992cb7a504c82dedc68fa91078a4f4899fe03""}",non-hate,False,False,null,non-hate,null,True,1.5646330688914576
FQD-FD-3169-Q01-F1-N1-H,FD-3169-Q01,4.4315945943196615,2.826161483202899,1.6054331111167626,"{""empty"":3.5256510416666664,""lorem"":4.605133565266927,""mask"":2.8228530883789062,""na"":1.8292091369628907,""space"":3.0160291035970053}","{""empty"":0.9059435526529951,""lorem"":-0.17353897094726545,""mask"":1.6087415059407553,""na"":2.602385457356771,""space"":1.4155654907226562}","{""empty"":1.727983697171732,""lorem"":1.8047891521915123,""mask"":1.6046044913904653,""na"":1.1244023164558712,""space"":1.6482645092433392}",FQP-4a114ae53fdb91e384c18ca94ea75fe9a1913c4c35c6ca0f6fdf2ddb676d0e0b,"{""empty"":""FQP-dfb2758c9585bebe9ea6596b58315e7fab4857ad24e192a4c566fcc1baa61483"",""lorem"":""FQP-079219bb679336033c08aa03f373d5fa777da2add6f96b2f7b9c05f3871d6621"",""mask"":""FQP-744affeb10f154c2f7f808b15ee2d370c8e8a9a4a2db3984802625640fc02b8a"",""na"":""FQP-184593177a28d48a2b5c6a4b5604079422c8036827708ee1e8adab5fb2233590"",""space"":""FQP-7bb96d4ba15ba3bd44799599d7ae54b3b7118d6f3b759729ece78e787d5dd992""}",non-hate,False,False,null,non-hate,null,True,1.6054331111167626
FQD-FD-3169-Q01-F1-N2-A,FD-3169-Q01,4.462628682454427,2.8203422040755806,1.6422864783788462,"{""empty"":3.55185546875,""lorem"":4.521191660563152,""mask"":2.77161865234375,""na"":1.8273757934570312,""space"":3.0523969014485677}","{""empty"":0.9107732137044269,""lorem"":-0.058562978108724906,""mask"":1.691010030110677,""na"":2.6352528889973956,""space"":1.410231781005859}","{""empty"":1.7685792137121168,""lorem"":1.8385334850688047,""mask"":1.6297696107573039,""na"":1.16508828599936,""space"":1.6934919661350794}",FQP-221ee3d644172fa43d7fa330ec61c4c326a3720d471f1d93c24a5b7e0590ba70,"{""empty"":""FQP-0f2eff1e9cbb20100d96859c77c37afdd9a0c0b3403eddd7fad4a8fa6442a3a9"",""lorem"":""FQP-da7fd557961c12469c4687f5587136fc9f0a2a96c85b6b0ceee34b0307bc7c1b"",""mask"":""FQP-a54b2542919b7e48df5d4ec47480aa2579e7fccb3c3b63f5be8c1693274c691e"",""na"":""FQP-29c3adc6fef4d10084756434182d7ae3c73e5f9b768e9f2af13284a004ec5ef3"",""space"":""FQP-d1e2f5e87c16e17fb4a58ec34a0ce93af347aeda8366b7569d84775ce506bfe5""}",non-hate,False,False,null,non-hate,null,True,1.6422864783788462
FQD-FD-3169-Q01-F1-N2-H,FD-3169-Q01,4.517024485270182,2.774417165612287,1.7426073196578953,"{""empty"":3.503947194417318,""lorem"":4.513515218098958,""mask"":2.7413787841796875,""na"":1.769927978515625,""space"":2.999597676595052}","{""empty"":1.0130772908528645,""lorem"":0.0035092671712240175,""mask"":1.775645701090495,""na"":2.7470965067545574,""space"":1.5174268086751304}","{""empty"":1.8688715807305458,""lorem"":1.940927565896449,""mask"":1.73419513823649,""na"":1.2583142758097852,""space"":1.792505643103401}",FQP-433becba578ed3860e83d374e3c7ca58b2cfabed961c2c6f34a65d6868e3b30e,"{""empty"":""FQP-44e414cfd59a7c545692e65d7dd1e7938c5b84aeb502b63a78706e28ff040c5c"",""lorem"":""FQP-21af549f62449c4aa7aa06556976a4aef9163f0c9de2edd22cea29103ce3858d"",""mask"":""FQP-103e358fd7fcc0afd01fe0dc1c0bef7138cdec30d4831e0962bcd948a095f1d9"",""na"":""FQP-e5e1ca1fad5e593621230997367ea0b44fb52283bbd10a3095ea27b0cbdf3461"",""space"":""FQP-7c7113f06826bd36b20acb9170c816b907cf69ea394abd74f42e723a9e35f9d4""}",non-hate,False,False,null,non-hate,null,True,1.7426073196578953
