object_id,text,attack_severity,assessment_status,attack_forms,targets,rationale,candidate_scores,suggested_score,candidate_forms,hate_reference,group_reference,label_review_kind,severity_review_kind,severity_policy_version,severity_policy_sha256,text_sha256,base_version,hate_reference_policy_version,hate_reference_policy_sha256,group_reference_policy_version,group_reference_policy_sha256,human_numeric_score_confirmed,online_material_confirmed,user_score_rationale
demo:6469,批评干嘛，求仁得仁又何求！求黑得黑，与黑长存嘛,1,scored,"[""derogation""]","[""黑人及与黑人交往者""]",用户明确回复：“1 级：只确认轻度挖苦”。仅确认轻度挖苦，移除承接严重不幸的候选，不补造未提供的事件。 group 沿用 AI 草稿，本次分数回复不记作类别裁决。 当前 hate 按已接受规则由用户分数派生，不新增直接 hate 裁决。,[],,[],hate,"[""Racism""]",ai_note,human_with_ai,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,f802c914398438d374b85cb68b566288fee5ddf094ff1a63576d28aafe70e17f,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,True,False,1 级：只确认轻度挖苦
demo:649,回族不算被黑的吧？毕竟除了关外，回族在哪儿都挺强势的，唐山条约我还记得呢,0,scored,[],"[""回族""]",讨论回族是否受到歧视及其处境，当前“强势”没有展开明确贬损。参照 #5900 不仅凭强弱、优势的描述补出攻击，拟 0／Racism。关外只是例外范围，唐山条约只是所引事件，不另计 Region，也不认证事件真伪。,[],,[],non-hate,"[""Racism""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,c2ad4c2c55415e820ff479a1d4de204c8e80623d17787e69bb6352fb56c7b4f0,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:6493,哈哈哈，没想到现在妹子都挺聪明，也知道嘿人那些手段了,1,scored,"[""derogation"", ""group_stigmatization""]","[""黑人群体"", ""女性""]",赞美女性识破“嘿人那些手段”，把黑人概括成惯用可疑手段者，拟 1／Racism、Sexism。未补出手段的具体内容，也未把仅泛指的对象记成独立个人辱骂。,[],,[],hate,"[""Racism"", ""Sexism""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,c60ee825acb4bfd3b1727099815cb0bb1ae8170f587295f4deb3a1581479e873,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:6525,说个最简单的，回家打开电视，调到cctv3，每天都有宣传黑人的节目,0,scored,[],"[""节目中的黑人群体""]",只描述电视节目宣传黑人，未出现对黑人或观众的贬损命题，参照 #4744、#5780 取 0／Racism。频道名本身不是被评价的人群。,[],,[],non-hate,"[""Racism""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,c9dd34027b298275e3d72667f9d5f6c1ad90ec055215c1b3bc0d777f33f0006c,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:6553,毕竟东北人也就一亿人 肯定反驳力度差,0,scored,[],"[""东北居民""]",以人数说明反驳力度，未把地域群体归为人格或能力低等，拟 0／Region。语气本身不足以补出具体辱骂。,[],,[],non-hate,"[""Region""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,24013dda997eff7cfbb980a468153e4c9aa17f04de0761349792913719ac3e54,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:6554,我不清楚那个文化，把你研究犹太人的证据说出来！ 我的观点就是法兰西列强进行黑奴贩卖，大量黑人被贩卖到法国，葡萄牙等地进行劳动，随着林肯解放黑奴，这些黑人就在其国家繁衍！ 你的呢？？？说出来听听,0,scored,[],"[""犹太人"", ""被贩卖的黑人"", ""所讨论国家的人群""]",争论犹太人、黑奴及不同国家的历史联系，没有另行认可的身份贬损，拟 0／Racism、Region。国家作为实施历史行为的主体参与讨论；奴隶经历为描述，非作者认可伤害，不核实其历史断言。,[],,[],non-hate,"[""Racism"", ""Region""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,b5fc71ec4e2e9de472146b745dc9f4a88cea1a4c65873013df818b7d5c6b12ec,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:6624,结果那个泼男就是他们另外反同吧的吧主？哎哟，我都兴奋了！打的就是你们窝里的老杂毛！把话带到，我回重庆的时候约他不要怂,4,scored,"[""personal_insult"", ""violence_threat_or_call""]","[""被约架的男性吧主""]",针对具体男性反同吧主辱骂，并明确挑衅线下打架，拟 4／Sexism、others；最高分来自身体暴力威胁。反对反同者不抵消独立攻击；未实际评价同性恋本身，不因反同吧一词另加 LGBTQ。重庆仅为会面地点。,[],,[],hate,"[""Sexism"", ""others""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,e68acabb20fc5ef17bb109ebf89caf371177b9ebeabbc0f45551375ba580a35c,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:6629,我怀疑你还活在梦里全世界著名的公交车eglkd还以为自己受欢迎有人高价接盘现在是你们想嫁都没愿意娶的,2,scored,"[""personal_insult"", ""group_stigmatization""]","[""被辱骂的女性受话者""]",直接对受话者作女性私生活和婚配价值羞辱，eg 与 lkd 采用用户已确认的用法，拟 2／Sexism、others。公交车为性污名比喻，没有据物品词单独升为 3。,[],,[],hate,"[""Sexism"", ""others""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,1f4824e21ddff4105e5c31fe140c01d26dde2491c90557d63c064f99eaf80119,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
demo:6631,现实中不敢跟黑人硬碰硬，网络上还收拾不了本国人？😆,0,scored,[],"[""网络冲突参与者"", ""黑人及本国人""]",用户明确回复：“0 / Racism、Region：只是批评行为”。仅批评网络欺凌行为，不成立独立个人辱骂；删除 others。 当前 hate 按已接受规则由用户分数派生，不新增直接 hate 裁决。,[],,[],,null,ai_note,human_with_ai,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,ecb51caba38ac0bfce7713b7d2ca943f8bc1484fc4390d591078abb5a6b80f98,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,True,False,0 / Racism、Region：只是批评行为
demo:6644,为啥？就是因为现在中国女人地位高到离谱，男人任劳任怨还被女性瞧不起。破坏人类的根本原则,2,scored,"[""group_stigmatization""]","[""中国女性"", ""男性""]",把中国女性的地位和对男性的态度概括为不合理，形成明确的性别及国别污名，拟 2／Region、Sexism。虽宣称破坏原则，未明说女性天生低等或要求剥夺某项基本权利，不仅凭夸张语升 3。,[],,[],hate,"[""Region"", ""Sexism""]",ai_note,ai_note,evidence-attack-severity-policy/v1,bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6,a6f84d63b46a9b5ce52a53cdbc8eddb0ea9c63f30456ce2178409598c859b33b,0,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d,False,False,
