job_id	query_id	donor	recipient	condition	m	delta_m	reference_aligned_delta	prediction	transition	donor_state_l2
T01-D01-upstream	T01	htr-T01-D02	htr-T01-D01	upstream	-8.937919616699219	11.647472381591797	11.647472381591797	有	unchanged	24.69566178664651
T01-D01-restore-L26-attention	T01	htr-T01-D02	htr-T01-D01	restore-L26-attention	-12.298694610595703	8.286697387695312	8.286697387695312	有	unchanged	24.69566178664651
T01-D01-restore-L28-mlp	T01	htr-T01-D02	htr-T01-D01	restore-L28-mlp	-10.931255340576172	9.654136657714844	9.654136657714844	有	unchanged	24.69566178664651
T01-D01-restore-joint	T01	htr-T01-D02	htr-T01-D01	restore-joint	-13.340755462646484	7.244636535644531	7.244636535644531	有	unchanged	24.69566178664651
T01-D01-preceding	T01	htr-T01-D02	htr-T01-D01	preceding	-20.57864761352539	0.006744384765625	0.006744384765625	有	unchanged	2.3801519369243294
T01-D02-upstream	T01	htr-T01-D01	htr-T01-D02	upstream	-16.843563079833984	-25.619525909423828	-25.619525909423828	有	damage	24.69566178664651
T01-D02-restore-L26-attention	T01	htr-T01-D01	htr-T01-D02	restore-L26-attention	-11.016067504882812	-19.792030334472656	-19.792030334472656	有	damage	24.69566178664651
T01-D02-restore-L28-mlp	T01	htr-T01-D01	htr-T01-D02	restore-L28-mlp	-11.932239532470703	-20.708202362060547	-20.708202362060547	有	damage	24.69566178664651
T01-D02-restore-joint	T01	htr-T01-D01	htr-T01-D02	restore-joint	-7.771915435791016	-16.54787826538086	-16.54787826538086	有	damage	24.69566178664651
T01-D02-preceding	T01	htr-T01-D01	htr-T01-D02	preceding	9.05105972290039	0.2750968933105469	0.2750968933105469	无	unchanged	2.3801519369243294
T02-D01-upstream	T02	htr-T02-D02	htr-T02-D01	upstream	17.740524291992188	33.079490661621094	33.079490661621094	无	repair	20.77059187182235
T02-D01-restore-L26-attention	T02	htr-T02-D02	htr-T02-D01	restore-L26-attention	9.385673522949219	24.724639892578125	24.724639892578125	无	repair	20.77059187182235
T02-D01-restore-L28-mlp	T02	htr-T02-D02	htr-T02-D01	restore-L28-mlp	10.306568145751953	25.64553451538086	25.64553451538086	无	repair	20.77059187182235
T02-D01-restore-joint	T02	htr-T02-D02	htr-T02-D01	restore-joint	2.263988494873047	17.602954864501953	17.602954864501953	无	repair	20.77059187182235
T02-D01-preceding	T02	htr-T02-D02	htr-T02-D01	preceding	-15.346466064453125	-0.00749969482421875	-0.00749969482421875	有	unchanged	1.7348833317451613
T02-D02-upstream	T02	htr-T02-D01	htr-T02-D02	upstream	4.248752593994141	-17.661128997802734	-17.661128997802734	无	unchanged	20.77059187182235
T02-D02-restore-L26-attention	T02	htr-T02-D01	htr-T02-D02	restore-L26-attention	7.404071807861328	-14.505809783935547	-14.505809783935547	无	unchanged	20.77059187182235
T02-D02-restore-L28-mlp	T02	htr-T02-D01	htr-T02-D02	restore-L28-mlp	8.700279235839844	-13.209602355957031	-13.209602355957031	无	unchanged	20.77059187182235
T02-D02-restore-joint	T02	htr-T02-D01	htr-T02-D02	restore-joint	11.01089096069336	-10.898990631103516	-10.898990631103516	无	unchanged	20.77059187182235
T02-D02-preceding	T02	htr-T02-D01	htr-T02-D02	preceding	21.917320251464844	0.00743865966796875	0.00743865966796875	无	unchanged	1.7348833317451613
T03-D01-upstream	T03	htr-T03-D02	htr-T03-D01	upstream	-19.02788543701172	3.909748077392578	-3.909748077392578	有	unchanged	20.964088616368453
T03-D01-restore-L26-attention	T03	htr-T03-D02	htr-T03-D01	restore-L26-attention	-19.26622772216797	3.671405792236328	-3.671405792236328	有	unchanged	20.964088616368453
T03-D01-restore-L28-mlp	T03	htr-T03-D02	htr-T03-D01	restore-L28-mlp	-19.560779571533203	3.3768539428710938	-3.3768539428710938	有	unchanged	20.964088616368453
T03-D01-restore-joint	T03	htr-T03-D02	htr-T03-D01	restore-joint	-19.76214599609375	3.175487518310547	-3.175487518310547	有	unchanged	20.964088616368453
T03-D01-preceding	T03	htr-T03-D02	htr-T03-D01	preceding	-22.927156448364258	0.010477066040039062	-0.010477066040039062	有	unchanged	2.5898854203822914
T03-D02-upstream	T03	htr-T03-D01	htr-T03-D02	upstream	-21.492481231689453	-6.155269622802734	6.155269622802734	有	unchanged	20.964088616368453
T03-D02-restore-L26-attention	T03	htr-T03-D01	htr-T03-D02	restore-L26-attention	-20.418601989746094	-5.081390380859375	5.081390380859375	有	unchanged	20.964088616368453
T03-D02-restore-L28-mlp	T03	htr-T03-D01	htr-T03-D02	restore-L28-mlp	-20.26041030883789	-4.923198699951172	4.923198699951172	有	unchanged	20.964088616368453
T03-D02-restore-joint	T03	htr-T03-D01	htr-T03-D02	restore-joint	-19.44698715209961	-4.109775543212891	4.109775543212891	有	unchanged	20.964088616368453
T03-D02-preceding	T03	htr-T03-D01	htr-T03-D02	preceding	-15.343631744384766	-0.006420135498046875	0.006420135498046875	有	unchanged	2.5898854203822914
T04-D01-upstream	T04	htr-T04-D02	htr-T04-D01	upstream	-19.580997467041016	0.8279705047607422	-0.8279705047607422	有	unchanged	19.24020651146485
T04-D01-restore-L26-attention	T04	htr-T04-D02	htr-T04-D01	restore-L26-attention	-19.68551254272461	0.7234554290771484	-0.7234554290771484	有	unchanged	19.24020651146485
T04-D01-restore-L28-mlp	T04	htr-T04-D02	htr-T04-D01	restore-L28-mlp	-19.789813995361328	0.6191539764404297	-0.6191539764404297	有	unchanged	19.24020651146485
T04-D01-restore-joint	T04	htr-T04-D02	htr-T04-D01	restore-joint	-19.87070083618164	0.5382671356201172	-0.5382671356201172	有	unchanged	19.24020651146485
T04-D01-preceding	T04	htr-T04-D02	htr-T04-D01	preceding	-20.40690803527832	0.0020599365234375	-0.0020599365234375	有	unchanged	2.451691373395767
T04-D02-upstream	T04	htr-T04-D01	htr-T04-D02	upstream	-19.898040771484375	-0.5660896301269531	0.5660896301269531	有	unchanged	19.24020651146485
T04-D02-restore-L26-attention	T04	htr-T04-D01	htr-T04-D02	restore-L26-attention	-19.787033081054688	-0.4550819396972656	0.4550819396972656	有	unchanged	19.24020651146485
T04-D02-restore-L28-mlp	T04	htr-T04-D01	htr-T04-D02	restore-L28-mlp	-19.801776885986328	-0.46982574462890625	0.46982574462890625	有	unchanged	19.24020651146485
T04-D02-restore-joint	T04	htr-T04-D01	htr-T04-D02	restore-joint	-19.727203369140625	-0.3952522277832031	0.3952522277832031	有	unchanged	19.24020651146485
T04-D02-preceding	T04	htr-T04-D01	htr-T04-D02	preceding	-19.321449279785156	0.010501861572265625	-0.010501861572265625	有	unchanged	2.451691373395767
