query_id,task,original_label,reviewed_label,original_mask,reviewed_mask,observed_behavior,proposed_roles,strict_u_candidate_demo_ids,demo_answer_difference_ids,dictionary_effective_single_demo_options,protocol_ids,next_action,pending_work
3683,hate,hate,non-hate,0011,1100,仅 C0、S 正确,"[""示例增量对照候选"",""参考切换敏感案例""]","[""4928"",""4046"",""6334""]","[""495"",""2948"",""5655""]",1,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
3683,group,"[""Region""]",[],1111,0000,四个核心条件均错误,"[""持续错误诊断候选"",""参考切换敏感案例""]","[""6334""]","[""5110"",""6943"",""4928"",""4046"",""5655""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
541,hate,non-hate,non-hate,1111,1111,四个核心条件均正确,"[""稳定正确对照候选""]",[],"[""2430""]",0,"[""EA-541-hate-v1""]",current_model_replay_then_score_fixed_inputs,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run"",""matched_position_controls"",""activation_collection_and_writeback_checks""]"
541,group,[],"[""LGBTQ"",""Sexism""]",0000,0011,仅 D、SD 正确,"[""示例增量对照候选"",""参考切换敏感案例""]",[],"[""4041"",""826"",""2430"",""7499"",""3156"",""4956""]",0,"[""EA-541-group-v1""]",current_model_replay_then_score_fixed_inputs,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run"",""matched_position_controls"",""activation_collection_and_writeback_checks""]"
4615,hate,hate,hate,0011,0011,仅 D、SD 正确,"[""示例增量对照候选""]",[],"[""6062"",""4652"",""7880""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
4615,group,"[""Racism"",""Sexism""]","[""Racism"",""Sexism""]",0010,0010,仅 D 正确,"[""词典增量对照候选""]",[],"[""6153"",""2130"",""7880""]",0,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""no_demo_passes_strict_U_screen; define_another_intervention_if_needed"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
7903,hate,non-hate,non-hate,1111,1111,四个核心条件均正确,"[""稳定正确对照候选""]","[""3366"",""5997"",""5708"",""4690""]","[""5529"",""5024""]",3,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast""]"
7903,group,[],[],1100,1100,仅 C0、S 正确,"[""示例增量对照候选""]","[""3366"",""5997"",""4690""]","[""5024"",""5708""]",3,[],select_material_and_contrast_from_recorded_options,"[""specific_material_operation_not_selected"",""hypothesis_and_alternative_not_frozen"",""retained_inputs_and_shared_sources_not_checked_for_operation"",""new_prompt_replay_and_position_controls_not_prepared"",""keep_demo_answer_differences_separate_from_applicability_contrast"",""fixed_group_foil_not_selected""]"
5086,hate,hate,hate,0110,0110,仅 S、D 正确,"[""单独正确、组合错误的对照候选"",""词典增量对照候选"",""示例增量对照候选""]",[],"[""5113"",""6006""]",0,"[""EA-5086-hate-v1""]",current_model_replay_then_score_fixed_inputs,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run"",""matched_position_controls"",""activation_collection_and_writeback_checks""]"
5086,group,"[""LGBTQ"",""others""]","[""LGBTQ""]",0011,1100,仅 C0、S 正确,"[""示例增量对照候选"",""参考切换敏感案例""]",[],"[""127"",""5416"",""2120"",""7248"",""5113"",""243"",""1517"",""2747""]",0,"[""EA-5086-group-v1""]",current_model_replay_then_score_fixed_inputs,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run"",""matched_position_controls"",""activation_collection_and_writeback_checks""]"
3169,hate,non-hate,non-hate,1110,1110,仅 C0、S、D 正确,"[""单独正确、组合错误的对照候选"",""词典增量对照候选"",""示例增量对照候选""]","[""6493"",""3519"",""3582"",""3585""]","[""7611"",""7640"",""6035""]",3,"[""EA-3169-hate-v1""]",current_model_replay_then_score_fixed_inputs,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run"",""matched_position_controls"",""activation_collection_and_writeback_checks"",""definition_variant_not_adopted; separate_from_current_demo_removal""]"
3169,group,[],[],1010,1010,仅 C0、D 正确,"[""词典增量对照候选""]","[""3602"",""5780"",""3585""]","[""6493"",""7611"",""7640"",""3519"",""3582"",""6035""]",1,"[""EA-3169-group-v1""]",current_model_replay_then_score_fixed_inputs,"[""current_model_numeric_replay"",""all_arms_scored_in_one_new_run"",""matched_position_controls"",""activation_collection_and_writeback_checks"",""definition_variant_not_adopted; separate_from_current_demo_removal""]"
