query_id,condition,original_tokens,ab_tokens,ab_minus_original_tokens,ab_forward_reverse_layout_equal,original_ab_layout_equal,query_dictionary_and_demo_texts_fixed
3169,F1-G_E,743,745,2,True,False,True
3169,F1-G_H,743,745,2,True,False,True
3169,F1-L_H,743,745,2,True,False,True
3169,F1-L_O,743,745,2,True,False,True
3169,F2-G_E,743,745,2,True,False,True
3169,F2-G_H,743,745,2,True,False,True
3169,F2-L_H,743,745,2,True,False,True
3169,F2-L_O,743,745,2,True,False,True
3169,R-A,742,744,2,True,False,True
3169,R-C1,742,744,2,True,False,True
3169,R-C2,742,744,2,True,False,True
3169,R-D1,742,744,2,True,False,True
3169,R-D2,742,744,2,True,False,True
541,F1-T0R0,918,920,2,True,False,True
541,F1-T0R1,918,920,2,True,False,True
541,F1-T1R0,918,920,2,True,False,True
541,F1-T1R1,918,920,2,True,False,True
541,F2-T0R0,918,920,2,True,False,True
541,F2-T0R1,918,920,2,True,False,True
541,F2-T1R0,918,920,2,True,False,True
541,F2-T1R1,918,920,2,True,False,True
541,R-A,918,920,2,True,False,True
541,R-C1,918,920,2,True,False,True
541,R-C2,918,920,2,True,False,True
541,R-D1,918,920,2,True,False,True
541,R-D2,918,920,2,True,False,True
