method,run,class,precision,recall,f1,tp,fp,fn
Random,wo_stratified.json,Racism,0.26649076517150394,0.2700534759358289,0.2682602921646746,101.0,278.0,273.0
Random,wo_stratified.json,Sexism,0.22903885480572597,0.23045267489711935,0.22974358974358972,112.0,377.0,374.0
Random,wo_stratified.json,LGBTQ,0.1897810218978102,0.19548872180451127,0.19259259259259257,26.0,111.0,107.0
Random,wo_stratified.json,Region,0.24074074074074073,0.2181208053691275,0.22887323943661972,65.0,205.0,233.0
Random,wo_stratified.json,others,0.2631578947368421,0.125,0.1694915254237288,15.0,42.0,105.0
Random,wo_stratified.json,non-hate,0.28402366863905326,0.28193832599118945,0.28297715549005154,192.0,484.0,489.0
Clustered,ours_prompt_al1280.json,Racism,0.28804347826086957,0.28342245989304815,0.2857142857142857,106.0,262.0,268.0
Clustered,ours_prompt_al1280.json,Sexism,0.2653927813163482,0.257201646090535,0.2612330198537095,125.0,346.0,361.0
Clustered,ours_prompt_al1280.json,LGBTQ,0.1875,0.20300751879699247,0.19494584837545129,27.0,117.0,106.0
Clustered,ours_prompt_al1280.json,Region,0.22,0.2214765100671141,0.22073578595317728,66.0,234.0,232.0
Clustered,ours_prompt_al1280.json,others,0.25,0.08333333333333333,0.125,10.0,30.0,110.0
Clustered,ours_prompt_al1280.json,non-hate,0.30505952380952384,0.3010279001468429,0.30303030303030304,205.0,467.0,476.0
Global,clustered_n5.json,Racism,0.2677595628415301,0.2620320855614973,0.2648648648648649,98.0,268.0,276.0
Global,clustered_n5.json,Sexism,0.2474437627811861,0.24897119341563786,0.24820512820512822,121.0,368.0,365.0
Global,clustered_n5.json,LGBTQ,0.17123287671232876,0.18796992481203006,0.1792114695340502,25.0,121.0,108.0
Global,clustered_n5.json,Region,0.24054982817869416,0.2348993288590604,0.23769100169779286,70.0,221.0,228.0
Global,clustered_n5.json,others,0.22950819672131148,0.11666666666666667,0.15469613259668508,14.0,47.0,106.0
Global,clustered_n5.json,non-hate,0.3048211508553655,0.2878120411160059,0.29607250755287007,196.0,447.0,485.0
Ours,lambda08.json,Racism,0.2722371967654987,0.2700534759358289,0.27114093959731544,101.0,270.0,273.0
Ours,lambda08.json,Sexism,0.24791666666666667,0.2448559670781893,0.2463768115942029,119.0,361.0,367.0
Ours,lambda08.json,LGBTQ,0.2014388489208633,0.21052631578947367,0.20588235294117646,28.0,111.0,105.0
Ours,lambda08.json,Region,0.1939799331103679,0.19463087248322147,0.1943048576214405,58.0,241.0,240.0
Ours,lambda08.json,others,0.22727272727272727,0.125,0.16129032258064516,15.0,51.0,105.0
Ours,lambda08.json,non-hate,0.2996987951807229,0.2922173274596182,0.29591078066914495,199.0,465.0,482.0
MMR,wo_stratified+stochasticWeighted_10.json,Racism,0.27049180327868855,0.2647058823529412,0.26756756756756755,99.0,267.0,275.0
MMR,wo_stratified+stochasticWeighted_10.json,Sexism,0.2544642857142857,0.2345679012345679,0.24411134903640255,114.0,334.0,372.0
MMR,wo_stratified+stochasticWeighted_10.json,LGBTQ,0.21739130434782608,0.22556390977443608,0.22140221402214022,30.0,108.0,103.0
MMR,wo_stratified+stochasticWeighted_10.json,Region,0.22878228782287824,0.2080536912751678,0.2179261862917399,62.0,209.0,236.0
MMR,wo_stratified+stochasticWeighted_10.json,others,0.19607843137254902,0.08333333333333333,0.11695906432748536,10.0,41.0,110.0
MMR,wo_stratified+stochasticWeighted_10.json,non-hate,0.28507462686567164,0.28046989720998533,0.2827535159141377,191.0,479.0,490.0
