task,contrast,reference,n,exact_accuracy_delta,macro_f1_delta,micro_f1_delta
hate,remove_with_D,original,32,0.15625,0.14451951951951947,0.15625
hate,remove_with_D,reviewed,32,0.09375,0.11017267267267267,0.09375
hate,remove_without_D,original,32,0.0625,0.08902955651630096,0.0625
hate,remove_without_D,reviewed,32,0.0,0.036539306104523495,0.0
hate,S_given_D,original,32,-0.09375,-0.08048048048048051,-0.09375
hate,S_given_D,reviewed,32,-0.21875,-0.21570197044334982,-0.21875
hate,S_vs_0,original,32,0.0,0.0,0.0
hate,S_vs_0,reviewed,32,-0.0625,-0.07272727272727264,-0.0625
hate,D_vs_0,original,32,0.21875,0.2235897435897436,0.21875
hate,D_vs_0,reviewed,32,0.09375,0.16229287953425897,0.09375
hate,D_given_S,original,32,0.125,0.14310926310926309,0.125
hate,D_given_S,reviewed,32,-0.0625,0.01931818181818179,-0.0625
group,remove_with_D,original,32,0.0,0.040233918128654955,-0.01564027370478982
group,remove_with_D,reviewed,32,-0.09375,-0.12469089390142019,-0.0730593607305936
group,remove_without_D,original,32,-0.15625,-0.09455047876100509,-0.1132075471698113
group,remove_without_D,reviewed,32,-0.125,-0.12396550645776655,-0.1333333333333333
group,S_given_D,original,32,0.09375,0.1975261683620816,0.12903225806451613
group,S_given_D,reviewed,32,0.0,0.0692029315713526,0.08695652173913038
group,S_vs_0,original,32,-0.09375,-0.017704517704517753,0.0037735849056603765
group,S_vs_0,reviewed,32,-0.125,-0.029975607467867593,-0.029824561403508754
group,D_vs_0,original,32,0.0,0.06405085110967468,0.012903225806451646
group,D_vs_0,reviewed,32,-0.0625,0.005473241928350303,-0.016781083142639153
group,D_given_S,original,32,0.1875,0.279281537176274,0.1381618989653074
group,D_given_S,reviewed,32,0.0625,0.1046517809675705,0.09999999999999998
