query_id	recipient	donor	focal_job_id	pre_job_id	delta_m	bound	reference_aligned_delta
J01	synthetic-J01-D01	synthetic-J01-D02	J01-D01-upstream	J01-D01-preceding	4.5672218799591064	2e-06	4.5672218799591064
J01	synthetic-J01-D02	synthetic-J01-D01	J01-D02-upstream	J01-D02-preceding	-4.5672218799591064	2e-06	-4.5672218799591064
J02	synthetic-J02-D01	synthetic-J02-D02	J02-D01-upstream	J02-D01-preceding	4.5672218799591064	2e-06	-4.5672218799591064
J02	synthetic-J02-D02	synthetic-J02-D01	J02-D02-upstream	J02-D02-preceding	-4.5672218799591064	2e-06	4.5672218799591064
J03	synthetic-J03-D01	synthetic-J03-D02	J03-D01-upstream	J03-D01-preceding	4.5672218799591064	2e-06	4.5672218799591064
J03	synthetic-J03-D02	synthetic-J03-D01	J03-D02-upstream	J03-D02-preceding	-4.5672218799591064	2e-06	-4.5672218799591064
J04	synthetic-J04-D01	synthetic-J04-D02	J04-D01-upstream	J04-D01-preceding	4.5672218799591064	2e-06	-4.5672218799591064
J04	synthetic-J04-D02	synthetic-J04-D01	J04-D02-upstream	J04-D02-preceding	-4.5672218799591064	2e-06	4.5672218799591064
G01	synthetic-G01-D01	synthetic-G01-D02	G01-D01-upstream	G01-D01-preceding	4.5672218799591064	2e-06	4.5672218799591064
G01	synthetic-G01-D02	synthetic-G01-D01	G01-D02-upstream	G01-D02-preceding	-4.5672218799591064	2e-06	-4.5672218799591064
G02	synthetic-G02-D01	synthetic-G02-D02	G02-D01-upstream	G02-D01-preceding	4.5672218799591064	2e-06	-4.5672218799591064
G02	synthetic-G02-D02	synthetic-G02-D01	G02-D02-upstream	G02-D02-preceding	-4.5672218799591064	2e-06	4.5672218799591064
G03	synthetic-G03-D01	synthetic-G03-D02	G03-D01-upstream	G03-D01-preceding	4.5672218799591064	2e-06	4.5672218799591064
G03	synthetic-G03-D02	synthetic-G03-D01	G03-D02-upstream	G03-D02-preceding	-4.5672218799591064	2e-06	-4.5672218799591064
G04	synthetic-G04-D01	synthetic-G04-D02	G04-D01-upstream	G04-D01-preceding	4.5672218799591064	2e-06	-4.5672218799591064
G04	synthetic-G04-D02	synthetic-G04-D01	G04-D02-upstream	G04-D02-preceding	-4.5672218799591064	2e-06	4.5672218799591064
B01	synthetic-B01-D01	synthetic-B01-D02	B01-D01-upstream	B01-D01-preceding	4.5672218799591064	2e-06	4.5672218799591064
B01	synthetic-B01-D02	synthetic-B01-D01	B01-D02-upstream	B01-D02-preceding	-4.5672218799591064	2e-06	-4.5672218799591064
B02	synthetic-B02-D01	synthetic-B02-D02	B02-D01-upstream	B02-D01-preceding	4.5672218799591064	2e-06	-4.5672218799591064
B02	synthetic-B02-D02	synthetic-B02-D01	B02-D02-upstream	B02-D02-preceding	-4.5672218799591064	2e-06	4.5672218799591064
B03	synthetic-B03-D01	synthetic-B03-D02	B03-D01-upstream	B03-D01-preceding	4.5672218799591064	2e-06	4.5672218799591064
B03	synthetic-B03-D02	synthetic-B03-D01	B03-D02-upstream	B03-D02-preceding	-4.5672218799591064	2e-06	-4.5672218799591064
B04	synthetic-B04-D01	synthetic-B04-D02	B04-D01-upstream	B04-D01-preceding	4.5672218799591064	2e-06	-4.5672218799591064
B04	synthetic-B04-D02	synthetic-B04-D01	B04-D02-upstream	B04-D02-preceding	-4.5672218799591064	2e-06	4.5672218799591064
