comparison_id	kind	query_short_id	family_id	priority	exposure	value	bound	resolution	reference_aligned_change	reference_aligned_resolution	verified_classification_transition
CTD2-G1-E_A	E_A	G1	CTD-family-01	primary	contains_new_unscored_input	1.0071144104003906	2e-06	positive	-1.0071144104003906	negative	stable_correct
CTD2-G1-I_A	I_A	G1	CTD-family-01	primary	contains_new_unscored_input	-0.6255340576171875	0.0009022685546875	negative	0.6255340576171875	positive	
CTD2-G1-K_A	K_A	G1	CTD-family-01	primary	contains_new_unscored_input	0.7688732147216797	0.0009022685546875	positive	-0.7688732147216797	negative	
CTD2-G1-D_empty_A	D_empty_A	G1	CTD-family-01	primary	contains_new_unscored_input	-1.4909439086914062	0.00045113427734375	negative	1.4909439086914062	positive	stable_correct
CTD2-G1-D_L_A	D_L_A	G1	CTD-family-01	primary	contains_new_unscored_input	-2.1164779663085938	0.00045113427734375	negative	2.1164779663085938	positive	stable_correct
CTD2-G1-X_minus_same_empty_A	X_minus_same_empty_A	G1	CTD-family-01	secondary_bundle	contains_new_unscored_input	-1.9352493286132812	0.00045113427734375	negative	1.9352493286132812	positive	stable_correct
CTD2-G1-E_B	E_B	G1	CTD-family-01	primary	contains_new_unscored_input	2.735471725463867	2e-06	positive	-2.735471725463867	negative	stable_correct
CTD2-G1-I_B	I_B	G1	CTD-family-01	primary	contains_new_unscored_input	1.102823257446289	0.0009022685546875	positive	-1.102823257446289	negative	
CTD2-G1-K_B	K_B	G1	CTD-family-01	primary	contains_new_unscored_input	1.765340805053711	0.0009022685546875	positive	-1.765340805053711	negative	
CTD2-G1-D_empty_B	D_empty_B	G1	CTD-family-01	primary	contains_new_unscored_input	-0.46791648864746094	0.00045113427734375	negative	0.46791648864746094	positive	stable_correct
CTD2-G1-D_L_B	D_L_B	G1	CTD-family-01	primary	contains_new_unscored_input	0.6349067687988281	0.00045113427734375	positive	-0.6349067687988281	negative	stable_correct
CTD2-G1-X_minus_same_empty_B	X_minus_same_empty_B	G1	CTD-family-01	secondary_bundle	contains_new_unscored_input	-2.884183883666992	0.00045113427734375	negative	2.884183883666992	positive	stable_correct
CTD2-G1-X_B_minus_A_absent	X_B_minus_A_absent	G1	CTD-family-01	secondary_bundle	contains_new_unscored_input	1.0230274200439453	2e-06	positive	-1.0230274200439453	negative	stable_correct
CTD2-G1-X_B_minus_A_L	X_B_minus_A_L	G1	CTD-family-01	secondary_bundle	contains_new_unscored_input	2.751384735107422	2e-06	positive	-2.751384735107422	negative	stable_correct
CTD2-G2-E_A	E_A	G2	CTD-family-01	primary	contains_new_unscored_input	-3.3747596740722656	0.00045113427734375	negative	-3.3747596740722656	negative	stable_correct
CTD2-G2-I_A	I_A	G2	CTD-family-01	primary	contains_new_unscored_input	4.366489410400391	0.00135140283203125	positive	4.366489410400391	positive	
CTD2-G2-K_A	K_A	G2	CTD-family-01	primary	contains_new_unscored_input	-4.271839141845703	0.00135140283203125	negative	-4.271839141845703	negative	
CTD2-G2-D_empty_A	D_empty_A	G2	CTD-family-01	primary	all_endpoints_previously_exposed	-1.3630447387695312	0.0009002685546875	negative	-1.3630447387695312	negative	stable_correct
CTD2-G2-D_L_A	D_L_A	G2	CTD-family-01	primary	contains_new_unscored_input	3.0034446716308594	0.00045113427734375	positive	3.0034446716308594	positive	stable_correct
CTD2-G2-X_minus_same_empty_A	X_minus_same_empty_A	G2	CTD-family-01	secondary_bundle	all_endpoints_previously_exposed	0.21426010131835938	0.0009002685546875	positive	0.21426010131835938	positive	stable_correct
CTD2-G2-E_B	E_B	G2	CTD-family-01	primary	contains_new_unscored_input	-6.135585784912109	0.00045113427734375	negative	-6.135585784912109	negative	stable_correct
CTD2-G2-I_B	I_B	G2	CTD-family-01	primary	contains_new_unscored_input	1.6056632995605469	0.00135140283203125	positive	1.6056632995605469	positive	
CTD2-G2-K_B	K_B	G2	CTD-family-01	primary	contains_new_unscored_input	-3.6428298950195312	0.00135140283203125	negative	-3.6428298950195312	negative	
CTD2-G2-D_empty_B	D_empty_B	G2	CTD-family-01	primary	all_endpoints_previously_exposed	0.3307456970214844	0.0009002685546875	positive	0.3307456970214844	positive	stable_correct
CTD2-G2-D_L_B	D_L_B	G2	CTD-family-01	primary	contains_new_unscored_input	1.9364089965820312	0.00045113427734375	positive	1.9364089965820312	positive	stable_correct
CTD2-G2-X_minus_same_empty_B	X_minus_same_empty_B	G2	CTD-family-01	secondary_bundle	all_endpoints_previously_exposed	0.20859146118164062	0.0009002685546875	positive	0.20859146118164062	positive	stable_correct
CTD2-G2-X_B_minus_A_absent	X_B_minus_A_absent	G2	CTD-family-01	secondary_bundle	all_endpoints_previously_exposed	1.6937904357910156	0.0009002685546875	positive	1.6937904357910156	positive	stable_correct
CTD2-G2-X_B_minus_A_L	X_B_minus_A_L	G2	CTD-family-01	secondary_bundle	contains_new_unscored_input	-1.0670356750488281	2e-06	negative	-1.0670356750488281	negative	stable_correct
CTD2-G3-E_A	E_A	G3	CTD-family-01	primary	contains_new_unscored_input	14.216121673583984	2e-06	positive	14.216121673583984	positive	stable_wrong
CTD2-G3-I_A	I_A	G3	CTD-family-01	primary	contains_new_unscored_input	0.6427955627441406	0.0009022685546875	positive	0.6427955627441406	positive	
