condition_id	query_short_id	lexicon_arm	demo_arm	lexicon_slot_material_ids	demo_ids	demo_answers	prompt_tokens	prompt_sha256
CTD2-G1-absent-other_A	G1	absent	other_A	[]	"[""CTDD-X-A-01"", ""CTDD-X-A-02""]"	"[""有"", ""无""]"	631	68e1c28052df39c5a73443c93af2e23733d71388a7382f58419a54b3e87bdb50
CTD2-G1-L-other_A	G1	L	other_A	"[""CTD-L01""]"	"[""CTDD-X-A-01"", ""CTDD-X-A-02""]"	"[""有"", ""无""]"	654	d201e223229653f6c6556d8a98182dbedc1b962705272f501f67dd6a724a885a
CTD2-G1-absent-other_B	G1	absent	other_B	[]	"[""CTDD-X-B-01"", ""CTDD-X-B-02""]"	"[""有"", ""无""]"	628	dd96da8fcbaeab2eb16249f20da1b18cde193989adc512d63af3ff11acbf5d60
CTD2-G1-L-other_B	G1	L	other_B	"[""CTD-L01""]"	"[""CTDD-X-B-01"", ""CTDD-X-B-02""]"	"[""有"", ""无""]"	651	81d18418395746445c4df3fa5d7adb56ca6480334818e80304d78b3978890edd
CTD2-G2-L-other_A	G2	L	other_A	"[""CTD-L01""]"	"[""CTDD-X-A-01"", ""CTDD-X-A-02""]"	"[""有"", ""无""]"	648	894b2f4ecda6769af55acfbeda73fd7b270898d091b9e60c3d5b8a0baacfd706
CTD2-G2-L-other_B	G2	L	other_B	"[""CTD-L01""]"	"[""CTDD-X-B-01"", ""CTDD-X-B-02""]"	"[""有"", ""无""]"	645	b7eb2e82ce20c32e11f1674e17690087b70c700568c8294732ab7643ab7b6fba
CTD2-G3-absent-other_A	G3	absent	other_A	[]	"[""CTDD-X-A-01"", ""CTDD-X-A-02""]"	"[""有"", ""无""]"	628	9e9b801126903e571bef37f57fa5842edf161555d695b31c63b55330c01b6719
CTD2-G3-L-other_A	G3	L	other_A	"[""CTD-L01""]"	"[""CTDD-X-A-01"", ""CTDD-X-A-02""]"	"[""有"", ""无""]"	651	09513480a237f59a824ee0ef46d87486aff0973518b8cf08819c5a5614217da4
CTD2-G3-absent-other_B	G3	absent	other_B	[]	"[""CTDD-X-B-01"", ""CTDD-X-B-02""]"	"[""有"", ""无""]"	625	82d9eeb7d7274b91252db6f9f137132ef04233521e9cf3eb8ec44d2b07ee9e4c
CTD2-G3-L-other_B	G3	L	other_B	"[""CTD-L01""]"	"[""CTDD-X-B-01"", ""CTDD-X-B-02""]"	"[""有"", ""无""]"	648	04d8fa5a95dc1f246a1a587f055e2ee7868aafbbc8c26fe9cae74e13719ba429
CTD2-G4-L-other_A	G4	L	other_A	"[""CTD-L01""]"	"[""CTDD-X-A-01"", ""CTDD-X-A-02""]"	"[""有"", ""无""]"	647	b7c0cfafa9ee342e9c86e65652295e0da964d8f7b6580d0987f212a12be72f36
CTD2-G4-L-other_B	G4	L	other_B	"[""CTD-L01""]"	"[""CTDD-X-B-01"", ""CTDD-X-B-02""]"	"[""有"", ""无""]"	644	f9642f31b7e7316485a485b8934129939dbbacbe7df08774cfb88e023b3eed34
CTD2-J1-absent-other_A	J1	absent	other_A	[]	"[""CTDD-X-A-01"", ""CTDD-X-A-02""]"	"[""有"", ""无""]"	628	13cc1c6e101e4c6141a156a38f59714ce0b2c67c050d0a48b1f9d87f7ec39a88
