condition_id	query_short_id	lexicon_arm	demo_arm	input_status	prompt_tokens	prompt_sha256
CTDJ-G1-absent-none	G1	absent	none	historical_reuse	581	5f81c6c7452a0490975162cb6c3acb6d58e670de083636749d86ed5d2dfe10a5
CTDJ-G1-L-none	G1	L	none	historical_reuse	604	50f4994f8597429626736c0b4adbdc4417701fc93268d8885b9d0c45cac299c8
CTDJ-G1-absent-same_A	G1	absent	same_A	historical_reuse	629	04f7b3feacb372043bfe77f9eb207280d53645cf61fd8851c37d9bf2ebb61bac
CTDJ-G1-L-same_A	G1	L	same_A	historical_reuse	652	054fe423dc3941b81eb6dd9171f6a72e920c1c7adc88fca228e02f6b1cfde0dd
CTDJ-G1-absent-same_B	G1	absent	same_B	historical_reuse	625	a396aa92aad93788edc7793e432eb11a14ee8d02003d61fc33b664d31550a393
CTDJ-G1-L-same_B	G1	L	same_B	historical_reuse	648	3f3ef75ec9a92912df8ea9b95e4ae44c1663a9b9b9f2ea1ab2d1f5d2c77963f8
CTD2-G1-absent-other_A	G1	absent	other_A	new_unscored	631	68e1c28052df39c5a73443c93af2e23733d71388a7382f58419a54b3e87bdb50
CTD2-G1-L-other_A	G1	L	other_A	new_unscored	654	d201e223229653f6c6556d8a98182dbedc1b962705272f501f67dd6a724a885a
CTD2-G1-absent-other_B	G1	absent	other_B	new_unscored	628	dd96da8fcbaeab2eb16249f20da1b18cde193989adc512d63af3ff11acbf5d60
CTD2-G1-L-other_B	G1	L	other_B	new_unscored	651	81d18418395746445c4df3fa5d7adb56ca6480334818e80304d78b3978890edd
CTDJ-G2-absent-none	G2	absent	none	historical_reuse	575	d43cad7450692e1171cbd137ac634bc7925bf29a2bc473ab5cab0503c794feb3
CTDJ-G2-L-none	G2	L	none	historical_reuse	598	e0f76c126683bc7e7dc21281ae769eacde521af8bbdb58784ac60e9580143aa6
CTDJ-G2-absent-same_A	G2	absent	same_A	historical_reuse	623	713696ab1000855a65f71bcbdfa887157d30981c0d69c18499e96311051ba525
CTDJ-G2-L-same_A	G2	L	same_A	historical_reuse	646	dd3ab30358228f1bdd0ca5600a541c687c99814177cdc91418c6d97a3f2ab762
CTDJ-G2-absent-same_B	G2	absent	same_B	historical_reuse	619	7491416dc47bd958b357cad01bf1865d4d37966ba04646e10dadff351dd0e31f
CTDJ-G2-L-same_B	G2	L	same_B	historical_reuse	642	4b553114c82c09979fbe08521bdaf56c6cc95b3a660dec7bdbe71591bd532f35
CTDJ-G2-absent-other_A	G2	absent	other_A	historical_reuse	625	b0a9f9ab872117ff4d9200f4237101a423444d40b9d70ff73a2dae27f4475584
CTD2-G2-L-other_A	G2	L	other_A	new_unscored	648	894b2f4ecda6769af55acfbeda73fd7b270898d091b9e60c3d5b8a0baacfd706
CTDJ-G2-absent-other_B	G2	absent	other_B	historical_reuse	622	df8f797a9ba669c5a8bf57eccb412ea47f155c3e3ef834c4fd88a8a8467efb71
CTD2-G2-L-other_B	G2	L	other_B	new_unscored	645	b7eb2e82ce20c32e11f1674e17690087b70c700568c8294732ab7643ab7b6fba
CTDJ-G3-absent-none	G3	absent	none	historical_reuse	578	d433775ad749a9bf50941e1bbfbad5999ea5975dafa6252ad3e8c0929329ce82
CTDJ-G3-L-none	G3	L	none	historical_reuse	601	afe9ac893dd3ba94ef19d636bb13579bdfc0c17f176365f47d9cf6e7f78644d3
CTDJ-G3-absent-same_A	G3	absent	same_A	historical_reuse	626	bc710f64cb7d486e70f9ed99fce00a18db7c52f6456b8a835c75a250d3b5993b
CTDJ-G3-L-same_A	G3	L	same_A	historical_reuse	649	43d360eb44ab2577acdb69e89dd8cc2197771afb9bfad6d91fde95a7b4a1eb62
CTDJ-G3-absent-same_B	G3	absent	same_B	historical_reuse	622	94b6bb54baff7a8abe3c8f8b0b1cab2e71f241052abf378cd0894ac04fc2e4b6
CTDJ-G3-L-same_B	G3	L	same_B	historical_reuse	645	6199790527aa53e8b1b5eb0f18a90cae30b3f11d7c0b141a080a64dbfb409876
CTD2-G3-absent-other_A	G3	absent	other_A	new_unscored	628	9e9b801126903e571bef37f57fa5842edf161555d695b31c63b55330c01b6719
CTD2-G3-L-other_A	G3	L	other_A	new_unscored	651	09513480a237f59a824ee0ef46d87486aff0973518b8cf08819c5a5614217da4
CTD2-G3-absent-other_B	G3	absent	other_B	new_unscored	625	82d9eeb7d7274b91252db6f9f137132ef04233521e9cf3eb8ec44d2b07ee9e4c
CTD2-G3-L-other_B	G3	L	other_B	new_unscored	648	04d8fa5a95dc1f246a1a587f055e2ee7868aafbbc8c26fe9cae74e13719ba429
CTDJ-G4-absent-none	G4	absent	none	historical_reuse	574	ee2dbc6242057bb774be0eb51303184d894d2fa1132fde4537ee3dae052f819f
CTDJ-G4-L-none	G4	L	none	historical_reuse	597	38921be0de16dad37d6738ce834231fd8654defd0effef1963e9144c71d40ac1
CTDJ-G4-absent-same_A	G4	absent	same_A	historical_reuse	622	43617a5bf90e70470980d9557c7dd316ed988378c0391d9dc4ed2c7b0c2ecb20
CTDJ-G4-L-same_A	G4	L	same_A	historical_reuse	645	b85263f58628e85bf8bb15d0783aa4c6924f5de5fcf00e3aa6b9c7ecf34ad4be
CTDJ-G4-absent-same_B	G4	absent	same_B	historical_reuse	618	444fcb4eba228f3c6a9ab50546b7f2450b44197626162cd8a1ba00ba6e340f6f
CTDJ-G4-L-same_B	G4	L	same_B	historical_reuse	641	20aaec1f78b281586ef61c6e55778cfd19f460bcd8cbef06ab968735f23aabcb
