contrast_id,cross_query,human_stratum_validation_required,ncc_background_cancels,role,terms,main_effects,main_directions,all_five_directions_agree_resolved,all_single_probes_agree_with_ncc,all_leave_one_out_agree_with_ncc
FD-3169-Q01-F1-O-delta,False,False,False,within_query_word_pair,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-O-H""}]","{""ab_forward/answer_sum"":0.9176864624023438,""ab_reverse/answer_sum"":2.2586326599121094,""ncc"":0.2712208040550532,""original/answer_mean"":0.15081685384114585,""original/answer_sum"":0.5850830078125}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",True,True,True
FD-3169-Q01-F1-P1-delta,False,False,False,within_query_word_pair,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P1-H""}]","{""ab_forward/answer_sum"":0.08503341674804688,""ab_reverse/answer_sum"":-0.4123077392578125,""ncc"":-0.057619231290709116,""original/answer_mean"":-0.17350819905598963,""original/answer_sum"":-0.8220748901367188}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",False,True,True
FD-3169-Q01-F1-X1-delta,False,False,False,within_query_word_pair,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X1-H""}]","{""ab_forward/answer_sum"":-0.6593780517578125,""ab_reverse/answer_sum"":-1.3454704284667969,""ncc"":-0.1993371664560044,""original/answer_mean"":-0.30305353800455725,""original/answer_sum"":-1.2598686218261719}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q01-F1-P2-delta,False,False,False,within_query_word_pair,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P2-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P2-H""}]","{""ab_forward/answer_sum"":0.5410308837890625,""ab_reverse/answer_sum"":-0.46569061279296875,""ncc"":-0.034930653400797596,""original/answer_mean"":-0.15306345621744794,""original/answer_sum"":-0.7277755737304688}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",False,False,True
FD-3169-Q01-F1-X2-delta,False,False,False,within_query_word_pair,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X2-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X2-H""}]","{""ab_forward/answer_sum"":-1.2065811157226562,""ab_reverse/answer_sum"":-1.1779670715332031,""ncc"":-0.2279883210995246,""original/answer_mean"":-0.34035237630208337,""original/answer_sum"":-1.3858413696289062}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q01-F1-P1-X1-sH,False,False,False,scope_matched,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P1-H""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X1-H""}]","{""ab_forward/answer_sum"":2.9599647521972656,""ab_reverse/answer_sum"":1.6321182250976562,""ncc"":0.24788153376714517,""original/answer_mean"":0.2740262349446615,""original/answer_sum"":1.2681159973144531}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",True,True,True
FD-3169-Q01-F1-P1-X1-sA,False,False,False,scope_matched,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X1-A""}]","{""ab_forward/answer_sum"":3.704376220703125,""ab_reverse/answer_sum"":2.5652809143066406,""ncc"":0.38959946893244046,""original/answer_mean"":0.4035715738932292,""original/answer_sum"":1.7059097290039062}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",True,True,True
FD-3169-Q01-F1-P1-X1-I,False,False,False,scope_matched,"[{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P1-A""},{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P1-H""},{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X1-A""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X1-H""}]","{""ab_forward/answer_sum"":-0.7444114685058594,""ab_reverse/answer_sum"":-0.9331626892089844,""ncc"":-0.1417179351652953,""original/answer_mean"":-0.12954533894856765,""original/answer_sum"":-0.4377937316894531}","{""ab_forward/answer_sum"":""negative"",""ab_reverse/answer_sum"":""negative"",""ncc"":""negative"",""original/answer_mean"":""negative"",""original/answer_sum"":""negative""}",True,True,True
FD-3169-Q01-F1-P1-X1-C,False,False,False,scope_matched,"[{""coefficient"":-0.5,""condition_id"":""FQD-FD-3169-Q01-F1-P1-A""},{""coefficient"":-0.5,""condition_id"":""FQD-FD-3169-Q01-F1-P1-H""},{""coefficient"":0.5,""condition_id"":""FQD-FD-3169-Q01-F1-X1-A""},{""coefficient"":0.5,""condition_id"":""FQD-FD-3169-Q01-F1-X1-H""}]","{""ab_forward/answer_sum"":3.3321704864501953,""ab_reverse/answer_sum"":2.0986995697021484,""ncc"":0.3187405013497928,""original/answer_mean"":0.33879890441894533,""original/answer_sum"":1.4870128631591797}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",True,True,True
FD-3169-Q01-F1-P2-X2-sH,False,False,False,scope_matched,"[{""coefficient"":-1.0,""condition_id"":""FQD-FD-3169-Q01-F1-P2-H""},{""coefficient"":1.0,""condition_id"":""FQD-FD-3169-Q01-F1-X2-H""}]","{""ab_forward/answer_sum"":3.271739959716797,""ab_reverse/answer_sum"":2.8345985412597656,""ncc"":0.2687264864652539,""original/answer_mean"":0.3238189697265625,""original/answer_sum"":1.5010833740234375}","{""ab_forward/answer_sum"":""positive"",""ab_reverse/answer_sum"":""positive"",""ncc"":""positive"",""original/answer_mean"":""positive"",""original/answer_sum"":""positive""}",True,True,True
