category,module,layer,role,metric,view,direction,groups,target_resolved,effect_resolved,aligned,eligible,target_min,target_max,target_abs_min,target_abs_max,effect_min,effect_max,effect_abs_min,effect_abs_max,residual_min,residual_max,residual_abs_min,residual_abs_max,closeness_gain_min,closeness_gain_max,effect_over_target_min,effect_over_target_max
primary,attention,35,pre_answer,C,ab_forward/answer_sum,K,4,4,4,4,4,21.776368141174316,22.83169174194336,21.776368141174316,22.83169174194336,0.7165117263793945,0.7579975128173828,0.7165117263793945,0.7579975128173828,21.038532257080078,22.100467681884766,21.038532257080078,22.100467681884766,0.03202671393444256,0.03388241231553912,0.03202671393444253,0.033882412315539116
primary,attention,35,pre_answer,C,ab_forward/answer_sum,R,4,4,4,0,0,21.776368141174316,22.83169174194336,21.776368141174316,22.83169174194336,-0.07410049438476562,-0.030139923095703125,0.030139923095703125,0.07410049438476562,21.830809593200684,22.885162353515625,21.830809593200684,22.885162353515625,-0.0032965488824316935,-0.001360304645571242,-0.0032965488824317447,-0.001360304645571213
primary,attention,35,pre_answer,C,ab_reverse/answer_sum,K,4,4,4,4,4,12.340879440307617,14.060646057128906,12.340879440307617,14.060646057128906,0.5898370742797852,0.7806196212768555,0.5898370742797852,0.7806196212768555,11.73530387878418,13.29849910736084,11.73530387878418,13.29849910736084,0.04604792687950543,0.05719145683490934,0.04604792687950544,0.05719145683490937
primary,attention,35,pre_answer,C,ab_reverse/answer_sum,R,4,4,4,3,3,12.340879440307617,14.060646057128906,12.340879440307617,14.060646057128906,-0.009511947631835938,0.072998046875,0.009511947631835938,0.072998046875,12.310722351074219,14.021257400512695,12.310722351074219,14.021257400512695,-0.0007425872128625777,0.005348142082382545,-0.0007425872128626171,0.005348142082382517
primary,attention,35,pre_answer,C,ncc_recalibrated,K,4,4,4,4,4,4.194666071121794,4.402528091224232,4.194666071121794,4.402528091224232,0.3014536893968318,0.32591675661094,0.3014536893968318,0.32591675661094,3.8932123817249615,4.076611334613292,3.8932123817249615,4.076611334613292,0.0709930598606957,0.07519898680565684,0.0709930598606958,0.07519898680565683
primary,attention,35,pre_answer,C,ncc_recalibrated,R,4,4,4,4,4,4.194666071121794,4.402528091224232,4.194666071121794,4.402528091224232,0.1338485739563676,0.13699130493183204,0.1338485739563676,0.13699130493183204,4.060601790464,4.2655367862924,4.060601790464,4.2655367862924,0.031097088720801302,0.03196065631559086,0.031097088720801386,0.03196065631559076
primary,attention,35,pre_answer,C,original/answer_mean,K,4,4,4,4,4,4.236976877848307,4.448344039916992,4.236976877848307,4.448344039916992,0.3207307179768879,0.3460613250732423,0.3207307179768879,0.3460613250732423,3.9162461598714193,4.103777440388997,3.9162461598714193,4.103777440388997,0.0746371874216224,0.07878486812651886,0.07463718742162237,0.07878486812651901
primary,attention,35,pre_answer,C,original/answer_mean,R,4,4,4,4,4,4.236976877848307,4.448344039916992,4.236976877848307,4.448344039916992,0.14952214558919272,0.15964698791503903,0.14952214558919272,0.15964698791503903,4.08342653910319,4.292397435506185,4.08342653910319,4.292397435506185,0.03476233288425812,0.03634548554947681,0.03476233288425816,0.036345485549476815
primary,attention,35,pre_answer,C,original/answer_sum,K,4,4,4,4,4,13.016891479492188,13.69474983215332,13.016891479492188,13.69474983215332,0.9621944427490234,1.038187026977539,0.9621944427490234,1.038187026977539,12.054697036743164,12.661046981811523,12.054697036743164,12.661046981811523,0.0729086440374015,0.07674825704812449,0.07290864403740144,0.07674825704812444
primary,attention,35,pre_answer,C,original/answer_sum,R,4,4,4,4,4,13.016891479492188,13.69474983215332,13.016891479492188,13.69474983215332,0.535003662109375,0.5806522369384766,0.535003662109375,0.5806522369384766,12.467832565307617,13.127283096313477,12.467832565307617,13.127283096313477,0.04050061495393553,0.04292487382149379,0.04050061495393549,0.04292487382149381
