module,layer,role,aligned_beyond_bound,direction,effect,group,metric,residual_improvement_beyond_bound,target,view
attention,35,pre_answer,False,R,-0.05444145202636719,F1:O-N1,C,False,21.776368141174316,ab_forward/answer_sum
attention,35,pre_answer,False,R,-0.027220726013183594,F1:O-N1,C,False,10.888184070587158,ab_forward/answer_mean
attention,35,pre_answer,False,R,-0.05444145202636719,F1:O-N1,C,False,21.77637004852295,ab_forward/total_with_eos
attention,35,pre_answer,False,R,-0.018147150675456025,F1:O-N1,C,False,7.258790016174316,ab_forward/mean_with_eos
attention,35,pre_answer,False,R,-0.030139923095703125,F1:O-N2,C,False,22.156744956970215,ab_forward/answer_sum
attention,35,pre_answer,False,R,-0.015069961547851562,F1:O-N2,C,False,11.078372478485107,ab_forward/answer_mean
attention,35,pre_answer,False,R,-0.030139923095703125,F1:O-N2,C,False,22.156746864318848,ab_forward/total_with_eos
attention,35,pre_answer,False,R,-0.010046641031901116,F1:O-N2,C,False,7.385582288106282,ab_forward/mean_with_eos
attention,35,pre_answer,False,R,-0.07410049438476562,F2:O-N1,C,False,22.47820281982422,ab_forward/answer_sum
attention,35,pre_answer,False,R,-0.03705024719238281,F2:O-N1,C,False,11.23910140991211,ab_forward/answer_mean
attention,35,pre_answer,False,R,-0.07410049438476562,F2:O-N1,C,False,22.47820472717285,ab_forward/total_with_eos
attention,35,pre_answer,False,R,-0.024700164794921875,F2:O-N1,C,False,7.492734909057617,ab_forward/mean_with_eos
attention,35,pre_answer,False,R,-0.053470611572265625,F2:O-N2,C,False,22.83169174194336,ab_forward/answer_sum
attention,35,pre_answer,False,R,-0.026735305786132812,F2:O-N2,C,False,11.41584587097168,ab_forward/answer_mean
attention,35,pre_answer,False,R,-0.053470611572265625,F2:O-N2,C,False,22.831695556640625,ab_forward/total_with_eos
attention,35,pre_answer,False,R,-0.017823537190755356,F2:O-N2,C,False,7.610565185546875,ab_forward/mean_with_eos
attention,35,pre_answer,False,R,-0.009511947631835938,F2:O-N2,C,False,12.809199333190918,ab_reverse/answer_sum
attention,35,pre_answer,False,R,-0.004755973815917969,F2:O-N2,C,False,6.404599666595459,ab_reverse/answer_mean
attention,35,pre_answer,False,R,-0.009511947631835938,F2:O-N2,C,False,12.809199333190918,ab_reverse/total_with_eos
attention,35,pre_answer,False,R,-0.003170649210612053,F2:O-N2,C,False,4.26973311106364,ab_reverse/mean_with_eos
mlp,34,pre_answer,True,K,-0.19873377482096277,F1:O-N2,I,False,-0.09642105102539023,original/answer_mean
mlp,34,pre_answer,True,K,-0.1490488052368164,F1:O-N2,I,False,-0.07784239451090479,original/mean_with_eos
mlp,34,pre_answer,True,K,-0.19873377482096277,F1:O-N2,I,False,-0.09642105102539023,ncc_fixed_recipient
mlp,34,pre_answer,True,K,-0.23346150716145697,F1:O-N2,I,False,-0.0981389363606755,ncc_single/lorem
mlp,34,pre_answer,True,K,-0.22559508162175046,F2:O-N2,I,False,-0.09640045725834592,ncc_recalibrated
mlp,34,pre_answer,True,R,-0.1513638814290366,F2:O-N2,I,False,-0.04674148559570271,ncc_single/empty
mlp,34,pre_answer,True,K,-0.22642339070637973,F2:O-N2,I,False,-0.04674148559570271,ncc_single/empty
mlp,34,pre_answer,True,K,-0.22546106974283786,F2:O-N2,I,False,-0.08898061116536396,ncc_single/space
mlp,34,pre_answer,True,K,-0.23715896606445241,F2:O-N2,I,False,-0.10393956502278592,ncc_single/na
mlp,34,pre_answer,True,R,-0.12714996337890552,F2:O-N2,I,False,-0.060551452636718156,ncc_single/lorem
mlp,34,pre_answer,True,K,-0.2033164978027333,F2:O-N2,I,False,-0.060551452636718156,ncc_single/lorem
mlp,34,pre_answer,True,K,-0.22569913186142676,F2:O-N2,I,False,-0.1027520215452942,ncc_loo/empty
mlp,34,pre_answer,True,K,-0.22562520541381614,F2:O-N2,I,False,-0.09789580254797906,ncc_loo/space
mlp,34,pre_answer,True,K,-0.2195994238588037,F2:O-N2,I,False,-0.0898513218223336,ncc_loo/na
mlp,34,pre_answer,True,K,-0.2282088016679591,F2:O-N2,I,False,-0.09024647978896064,ncc_loo/mask
mlp,34,pre_answer,True,K,-0.22713633594576343,F2:O-N2,I,False,-0.09807743510890624,ncc_loo/lorem
