content,label,label_id
没爹的黑孩到处扔,种族,0
就最近来说有两个事，lol某主播的前女友发文称其飞黄腾达后抛弃她。我个人的想法是看男方的回应，本来恋爱期间有些东西是说不清的。结果小作文来了，一群人不等男方回应直接定论。如果男方承认了那确实应该锤死，万一有什么反转呢？这次是顺风团，万一下次是逆风呢？,其他,1
有些人地域黑已经疯了，完全没有理智，比泼妇骂街还要可怕，,地域,2
因为很少人会在职场中出柜吧😢如果基佬都没工作没社会贡献咋活呢,LGBTQ,3
责任最大的显然不是国女，但只能用省略号替代了。,其他,1
坦率说，如果不是肤色原因，看起来还挺顺眼的。,种族,0
想反女权还得看女权，舔狗龟男理中客们不是男人能打醒的,性别,4
我将来都不会跟非裔结婚,种族,0
其实那女的有可能是j，留学生有补贴，用补贴找j,性别,4
舔狗以为舔狗最后应有尽有，谁知道没人领他的情。,性别,4
我靠真能下得去手啊，我去主校区的时候也见过几个又黑又肥又丑看不清脸，可能是我的学校太好了女生都挺保守的，没听说也没看见哪个女生和黑人谈恋爱😅,性别,4
別说女性男性都怕爱滋，女的既然都这样了，就应该买把枪弄死那些毁了自己的人，他们不是喜欢一起吗？一堝端了,性别,4
所谓批判作用不大的失足妇女和所谓的婚恋中介都是逆向民族主义者，自愿投向BBC的也谈不上受害者，图片来自百度图片,其他,1
正常人不会嫁给黑人,种族,0
来看看基佬的光荣事迹,LGBTQ,3
这女人能活到现在也是个奇迹！,性别,4
好像基督教徒没有童姓恋的,LGBTQ,3
我们潮汕黑成灰了,地域,2
那胸不大的女人没有人权？,性别,4
《啥好处没捞到》男人要感谢这种女人，看看当供养者是什么下场，出钱出力还被嫌弃,性别,4
在所谓“自立自强”中走向极端，然后彻底反智。管中窥豹，略见一斑，权拳二象性实乃真知灼见PS：素材来自吧中某帖一个破防幕刃的主页，欢迎仗义之辈同去屠?,性别,4
我觉得很奇怪啊，我从来没歧视过外地人，我同学也不歧视外地人，怎么网上都在说排外，搞得我现在真的排外了😅,地域,2
