id,content,label,x,y,cluster
423,我广东人，说实话广东人和广西人，总体来说的确是丑人多。如果你去过四川，东北这些地方玩过，你会发现这几个地方的平均颜值高广东几个档次,Region,7.4054503,7.180704,6
3761,本东北人表示的确如此，河南黑吉山东毕竟被黑一个是穷一个是毕竟知名，江西这几年彩礼也风口，至于青海这种地方，你问他青海属于西藏还是新疆，很多人的确会谨慎地二选一的。,Region,10.258564,6.3677416,3
927,广州就是黑河南、黑北方的总部,Region,7.684563,8.738338,6
1675,西安本地作风彪悍的大多是东边某省逃荒过来的后裔,Region,10.5137615,3.5525331,0
3235,好家伙，间接黑了一波北京（玩笑）,Region,5.695247,4.4185066,0
6035,哈哈雀食，上大人果然都是你这样😄,Region,8.408871,6.702668,0
1558,我就是这个意思啊：被黑并不完全是经济原因。答主不必为这个生气，各地都会因不同的原因被黑。,Region,7.35067,5.854156,7
5564,害就是淮河流域嘛，传统的农业区，自然灾害频发，经济教育资源都匮乏，文化素质整体也不高，而且距离他们最近的发达地区就是长三角，去了之后又犯事，自然就被歧视了,Region,7.228275,4.440161,2
1680,美国人牛啊 能打 你们吴越人能打吗？要是古代就是吴越统一天下那现在肯定都在学吴语,Region,6.7424955,7.22659,8
357,地域黑比较典型的几个，按大区域东北被黑，按省河南被黑，二线城市武汉被黑，一线城市广州被黑🤣,Region,8.791181,6.4621897,7
6466,唐山也被骂的好惨😭,Region,9.305687,7.252974,0
293,看来非洲真是未来人口增长的主动力。,Region,4.9308248,7.1254964,8
7190,为啥是回民和东北人会被黑啊？,Region,9.629795,7.116079,1
1966,你这心态不行啊，经济基础决定上层建筑么不是，河南省要是在东南沿海你看谁敢多说一句？🙂北方嘛，说那么多没什么意义，什么好的坏的，你看黑吉辽那一亿人还不是被黑的裤子都穿不上？,Region,10.416831,6.2391167,3
4829,你这加一起四舍五入没有黑天津的多,Region,8.974781,6.0768228,0
5138,所以 就更该学日本人，啥都没有，踩雷了损失也不大。,Region,5.9541707,7.707664,8
2228,我就是湖南人呀，你们讨厌我们，我们湖南人还讨厌你，你以为你是谁啊！我们湖南人大部分都是好人，热情好客，包括我自己也是。有本事你一辈子别来湖南！！！,Region,10.27248,5.0607038,6
2290,黑河南、黑北方的总部是广州，核心地带是从上海到广州的整个东南沿海，范围是整个南方,Region,7.664666,8.889058,6
6312,一般人都怼东北吧😅。有些东北人不是搞不清，他就是直说江浙沪，所以最近被打脸打太厉害硬造了一个江南系，我也不知道是说谁。。。,Region,8.779606,8.000952,1
4203,你说的河南人偷井盖才是无关紧要的，都带调侃的味道，但广东是在文化，族群等方面被黑，你别混淆视听，各种社区贴吧用户进去知乎，用户质量素质越来越低，各种地域黑，粤黑会越来越多,Region,11.792829,5.471484,5
