object_id,text,hate,group,attack_severity,pending_tasks,severity_status,label_review_kind,severity_review_kind,label_note,severity_rationale,severity_candidates,severity_suggested_score,hate_policy,group_policy,severity_policy,severity_label_reference_matches_current_values,online_material_confirmed
demo:3612,rush，增加kuai感的,non-hate,[],0,,scored,ai_note,ai_note,只谈物品或物质的用途，不能由其使用联想补出性少数身份。,仅讨论物品或物质的用途，没有针对人的攻击；不据物品联想性少数身份。,[],,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False
demo:3619,其实仔细想想这些地域黑言论，主要都是河南山东和东北，这些还都是粮食大省，微博知乎上都有很多地域黑，就是不断的损毁这些省份的声誉，我是河南人，身边有很对东北同学，我觉的人很好啊，没什么可黑的，室友就是山东的也特别好，真的不知道那些黑子的经历是怎么来的，我遇见的这些省份的人都觉的很好，到黑子嘴里就是十恶不赦了,non-hate,"[""Region""]",0,,scored,ai_note,ai_note,明确用个人经验反对地域居民污名；十恶不赦属于被批评的说法。,作者明确反对地域黑，十恶不赦是被反驳的说法。黑子在本段指地域攻击行为者，未见另外的人格羞辱。,[],,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False
demo:3652,姐姐你的圈子有点小啊，我就见过黑白在学校门口扭打（女的撕打，嘿人被打），女的带着哭腔质问“选我还是选她”？。。。平时不知道用啥语言沟通，这句倒是字正腔圆的京片子。,null,"[""Racism"", ""Sexism""]",null,"hate,attack_severity",needs_discussion,ai_note,ai_note,种族与性别是本句争偶故事的突出对象，group 暂取 Racism、Sexism。与 #2759 的接盘羞辱不同，本句没有同等明确的羞辱词；可能是在讥讽跨种族交往女性，也可能只是讲述冲突和语言反差。仅叙述嘿人被打不自动构成暴力认可，hate 继续待讨论。,需先区分普通叙事和语言反差玩笑，还是借故事羞辱跨种族交往女性。单独叙述打人不计暴力认可；严重度随实际立场确定。,"[0, 1, 2]",1,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False
demo:3660,主要是被嘿嘿玩过的，那不是一般的思想，那得多么的。。。,null,null,null,"hate,group,attack_severity",needs_discussion,ai_note,ai_note,被玩过、那得多么的具有贬低暗示，但嘿嘿所指及被评价者性别仍不够明确。检索未取得能确认本句释义的相关证据。参照 #1509 将词义未知与标签分别处理，但该例尚缺少如 EG 那样已经由用户确认的女性指代，hate/group 继续待讨论。,含贬低暗示，但被评价者身份、嘿嘿的用法和隐含命题尚未确定；严重度随同本句解释讨论，不从其他样本补写语境。,"[0, 1, 2]",2,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False
demo:3680,在姬圈有个别人还觉得“和男的睡过的女的都很脏”也挺无语的,non-hate,"[""Sexism""]",0,,scored,ai_note,ai_note,反对针对女性性经历的污名；姬圈是所述言论来源背景，未对性少数身份整体作评价。,很脏属于被反驳的女性性经历污名；作者的无语针对该观点，未另行实施人格侮辱。,[],,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False
demo:3701,我不喜欢黑人，第一点是，是审美上的问题。第二点是，他们刻在骨子里的懒惰，与不安分。第三点是，他们没有国家认同感，对他们再好，他们也觉得自己是落叶，只知道索取第四点是，他们没有民族荣誉感，他们不会为了民族而斗争。可以慢慢同化，但是要多少时间与代价？？,hate,"[""Racism""]",3,,scored,ai_note,ai_note,明确向黑人群体归因天生懒惰等负面本质。,将负面属性明示为天生本质，并以需要同化及代价来评价，形成对群体本身低劣的判断，倾向 3。没有明确身体伤害主张。,[],,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False
demo:3742,网上喷黑喷同胞的成万上亿，现实中敢和黑人硬碰硬的寥寥无几，看来还是上网喷同胞安全又不犯法😆,null,null,null,"hate,group,attack_severity",needs_discussion,ai_note,ai_note,讥讽网上攻击者不敢现实硬碰黑人；参照 #2773，需要区分是否认可按身份发生冲突，还是仅批评网上喷人行为。黑人明确为讨论对象；同胞是在强调国别身份还是仅指受喷的人，以及网络攻击者是否成为独立角色评价单位，影响完整 group，暂留未决。,倾向轻度讥讽网上攻击者，但要区分普通行为批评、定向贬损和对现实冲突的认可。参照 #2180 不仅凭硬碰硬升 4。,"[0, 1, 4]",1,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False
demo:3749,微博发声的最大声是女拳，讲道理女拳如果不是说那些骇人听闻的反人类的言论，而是正能量的讲这么改变，谁喷你可能还成为主流思想呢，毕竟在中国女性在言论上还是受保护的。打嘴炮那些不算呀，如果硬要算那么低端我也没话说。是女性自己不争取正确价值观，让女拳这样妖魔橫行，而女拳要的条件是政府和人类不可能接受的，也就是说不会改变什么，占着位置不做事。,hate,"[""Sexism""]",2,,scored,ai_note,ai_note,参照 #100、#1158 和第三批 #3212、#3372：本句女拳仍用于性别贬损，并泛化责备女性，不机械另加运动社群 others；未出现独立个人辱骂。妖魔横行是强烈污名，但仅靠比喻词不能自动确定严重度 3。,妖魔横行与女性整体责任的叙述构成明确污名，取 2。比喻针对言论与争论中的女性，不单凭妖魔字面推成已否定其人的地位。,[],,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False
demo:3784,还是不一样的。首先，在非洲的中国人几乎都算当地土豪，土豪享有优先交配权很正常，国内土豪也没少玩。其次，那帮渣男不会因为有个非洲对象就有优越感，更不会因此贬低国内女人。相反，有国外对象的女人明里暗里秀优越，贬国男，甚至当二鬼子的可太多了。,hate,"[""Region"", ""Sexism"", ""others""]",2,,scored,ai_note,ai_note,参照 #2298：这里中外地域身份实际参与比较，取 Region；对有国外对象的女性和国内男女作性别化评价，取 Sexism；土豪作为富裕阶层被赋予优先地位，取 others。没有明确肤色、种族对象，不补加 Racism。二鬼子和男女双重标准支持 hate。,对女性婚恋对象作侮辱性归类，并以双重标准泛化指责，取 2。交配权的粗俗说法保留在证据中，但未明确主张以强制性行为或身体暴力实现所谓优先地位。,[],,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False
demo:3845,短视频不少公的黑人跟中国女孩交往的人啊爆出来的新闻也很多啊,hate,"[""Racism"", ""Sexism""]",null,attack_severity,needs_discussion,ai_note,ai_note,公的黑人把黑人男性作为动物性称谓的贬损对象，种族和男性性别均参与这一称谓，倾向 hate / Racism、Sexism。公的是否已经形成足够强的非人化命题，或仍是 2 级侮辱，另在严重度中讨论；不因添加强度字段而预设其必为 3。,公的把动物性别称谓用于人，已支持侮辱。需校准其是否足以达到 3 级非人化，或为 2 级的贬称；当前倾向 2，与明确母畜的例子分别比较。,"[2, 3]",2,"{""sha256"": ""53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97"", ""version"": ""evidence-applicability-annotation-policy/v2""}","{""version"": ""evidence-applicability-annotation-policy/v2+personal-insult-others.1"", ""sha256"": ""c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d""}","{""version"": ""evidence-attack-severity-policy/v1"", ""sha256"": ""bf2e4dfa47e38e207de605b5d79361b5d537babcf10677208f82172b061eb4d6""}",True,False
