query_id,condition,real_mean_margin,background_margin,ncc_margin,probe_margins,probe_ncc_margins,leave_one_out_ncc_margins,prediction,exact_tie,numerically_unresolved,original_reference,reviewed_reference,original_correct,reviewed_correct,numeric_bound,normalized_original_non_hate_probability,background_non_hate_probability,calibrated_non_hate_probability
3169,F1-G_E,-0.4111002604166667,2.651315099250197,-3.0624153596668635,"{""empty"":3.2389912923177087,""lorem"":4.35080057779948,""mask"":2.810102844238281,""na"":1.6877243041992187,""space"":2.6461418151855467}","{""empty"":-3.6500915527343754,""lorem"":-4.761900838216146,""mask"":-3.221203104654948,""na"":-2.098824564615885,""space"":-3.0572420756022134}","{""empty"":-2.9532761505370355,""lorem"":-2.864340356656194,""mask"":-3.0259339052993997,""na"":-3.504841487847094,""space"":-3.063712318667386}",hate,False,False,non-hate,non-hate,False,False,0.002685546875,0.3986483287101701,0.9340919996919815,0.04468448324134813
3169,F1-G_H,-0.762432861328125,2.667210857537105,-3.42964371886523,"{""empty"":3.243200174967448,""lorem"":4.384314727783203,""mask"":2.7908101399739587,""na"":1.7241900126139325,""space"":2.6557462056477865}","{""empty"":-4.005633036295573,""lorem"":-5.146747589111328,""mask"":-3.553243001302084,""na"":-2.4866228739420575,""space"":-3.4181790669759113}","{""empty"":-3.3221385548189906,""lorem"":-3.2310088014221883,""mask"":-3.4007225474336664,""na"":-3.8568752170361744,""space"":-3.4325278341737704}",hate,False,False,non-hate,non-hate,False,False,0.002685546875,0.31811829888926874,0.9350638816489647,0.03138176029843727
3169,F1-L_H,-0.13254445393880207,2.69136176104422,-2.823906214983022,"{""empty"":3.3062199910481773,""lorem"":4.366620127360027,""mask"":2.688496653238932,""na"":1.7490887959798176,""space"":2.792810312906901}","{""empty"":-3.438764444986979,""lorem"":-4.499164581298829,""mask"":-2.821041107177734,""na"":-1.8816332499186197,""space"":-2.925354766845703}","{""empty"":-2.711324444704036,""lorem"":-2.627358706815104,""mask"":-2.824623613002826,""na"":-3.2519040208150014,""space"":-2.799892711823665}",hate,False,False,non-hate,non-hate,False,False,0.002685546875,0.4669123128008736,0.9365149928491037,0.05604591741786059
3169,F1-L_O,0.03019485473632813,2.8117657112581274,-2.781570856521799,"{""empty"":3.451288350423177,""lorem"":4.376014455159505,""mask"":2.8051162719726563,""na"":1.8637502034505207,""space"":2.9658251444498696}","{""empty"":-3.421093495686849,""lorem"":-4.3458196004231775,""mask"":-2.774921417236328,""na"":-1.8335553487141925,""space"":-2.9356302897135413}","{""empty"":-2.666274966574558,""lorem"":-2.591426550586193,""mask"":-2.7832393584931006,""na"":-3.2206102629156352,""space"":-2.7461462029474952}",hate,False,False,non-hate,non-hate,False,False,0.002685546875,0.507548140204444,0.9433083193740384,0.05832821473775341
3169,F2-G_E,-0.41972910563151045,2.651431773705605,-3.0711608793371155,"{""empty"":3.239812723795573,""lorem"":4.348020426432292,""mask"":2.8025202433268226,""na"":1.6914553324381512,""space"":2.645458984375}","{""empty"":-3.6595418294270834,""lorem"":-4.767749532063803,""mask"":-3.222249348958333,""na"":-2.1111844380696616,""space"":-3.0651880900065103}","{""empty"":-2.9619275639560954,""lorem"":-2.8732122966011304,""mask"":-3.0363085542200956,""na"":-3.5107324890998273,""space"":-3.072658927638185}",hate,False,False,non-hate,non-hate,False,False,0.002685546875,0.39658157459521687,0.9340991822902107,0.04431263946102732
3169,F2-G_H,-0.8028488159179688,2.684422168698299,-3.4872709846162677,"{""empty"":3.272740681966146,""lorem"":4.392634582519531,""mask"":2.797467041015625,""na"":1.7455589294433593,""space"":2.6712788899739586}","{""empty"":-4.075589497884115,""lorem"":-5.1954833984375,""mask"":-3.6003158569335936,""na"":-2.5484077453613283,""space"":-3.4741277058919273}","{""empty"":-3.378165447772159,""lorem"":-3.2892177162665837,""mask"":-3.460675340445576,""na"":-3.9122406989878122,""space"":-3.4905804712952815}",hate,False,False,non-hate,non-hate,False,False,0.002685546875,0.3094164595601635,0.9361011497709989,0.02967658781633468
3169,F2-L_H,-0.0818242390950521,2.765817443793497,-2.8476416828885487,"{""empty"":3.3976974487304688,""lorem"":4.46067606608073,""mask"":2.84797846476237,""na"":1.7849957784016925,""space"":2.8684712727864583}","{""empty"":-3.479521687825521,""lorem"":-4.542500305175782,""mask"":-2.9298027038574217,""na"":-1.8668200174967446,""space"":-2.95029551188151}","{""empty"":-2.7331468324276376,""lorem"":-2.6510754034377193,""mask"":-2.828000965151862,""na"":-3.311132478475572,""space"":-2.8233710771444285}",hate,False,False,non-hate,non-hate,False,False,0.002685546875,0.4795553457181069,0.9408004683148762,0.054803349726604784
3169,F2-L_O,0.14035542805989581,2.8053067110471837,-2.6649512829872877,"{""empty"":3.396752675374349,""lorem"":4.427587890625,""mask"":2.9167160034179687,""na"":1.8317164103190104,""space"":2.9107706705729166}","{""empty"":-3.256397247314453,""lorem"":-4.287232462565105,""mask"":-2.7763605753580727,""na"":-1.6913609822591147,""space"":-2.7704152425130206}","{""empty"":-2.555838315350765,""lorem"":-2.472006879509773,""mask"":-2.638741300478985,""na"":-3.1247147002995095,""space"":-2.640060511247006}",hate,False,False,non-hate,non-hate,False,False,0.002685546875,0.5350313670930754,0.9429619160166958,0.06507345335464315
3169,R-A,-0.7410074869791666,2.5811889863476307,-3.3221964733267972,"{""empty"":3.1081703186035154,""lorem"":4.3552090962727865,""mask"":2.675359598795573,""na"":1.6714215596516926,""space"":2.531659698486328}","{""empty"":-3.849177805582682,""lorem"":-5.0962165832519535,""mask"":-3.4163670857747395,""na"":-2.412429046630859,""space"":-3.2726671854654947}","{""empty"":-3.2212378514655864,""lorem"":-3.120119958824414,""mask"":-3.2998019732185386,""na"":-3.7198703185764095,""space"":-3.334914663272364}",hate,False,False,non-hate,non-hate,False,False,0.002685546875,0.322783873395867,0.9296410787112911,0.03481752000713107
3169,R-C1,0.12680765787760417,2.8107469379363756,-2.6839392800587714,"{""empty"":3.3871185302734377,""lorem"":4.388038380940755,""mask"":2.8097086588541664,""na"":1.895599873860677,""space"":2.916399892171224}","{""empty"":-3.2603108723958334,""lorem"":-4.261230723063151,""mask"":-2.682901000976562,""na"":-1.7687922159830727,""space"":-2.78959223429362}","{""empty"":-2.5768543572757183,""lorem"":-2.4931561031140816,""mask"":-2.684198999217767,""na"":-3.096963393205108,""space"":-2.6590073474808804}",hate,False,False,non-hate,non-hate,False,False,0.002685546875,0.5316595016222702,0.9432538130733543,0.06392774067651776
3169,R-C2,0.2773897806803386,2.836413370180498,-2.5590235895001596,"{""empty"":3.382164510091146,""lorem"":4.4233650207519535,""mask"":2.877045694986979,""na"":1.9228538513183593,""space"":2.915624237060547}","{""empty"":-3.1047747294108077,""lorem"":-4.145975240071615,""mask"":-2.5996559143066404,""na"":-1.6454640706380208,""space"":-2.6382344563802085}","{""empty"":-2.456194358968906,""lorem"":-2.3680287200811363,""mask"":-2.5490910873411146,""na"":-2.9719964437162703,""space"":-2.5400648070708653}",hate,False,False,non-hate,non-hate,False,False,0.002685546875,0.5689061780730503,0.944612108449235,0.07182260660320422
3169,R-D1,-0.655206044514974,2.6040021273614036,-3.2592081718763777,"{""empty"":3.145482889811198,""lorem"":4.348651631673177,""mask"":2.6903416951497396,""na"":1.6858472188313802,""space"":2.5788955688476562}","{""empty"":-3.800688934326172,""lorem"":-5.003857676188151,""mask"":-3.3455477396647137,""na"":-2.341053263346354,""space"":-3.2341016133626304}","{""empty"":-3.1562616845336007,""lorem"":-3.0586324783617664,""mask"":-3.2385944403927662,""na"":-3.6642061778301396,""space"":-3.2655705811330367}",hate,False,False,non-hate,non-hate,False,False,0.002685546875,0.3418173279084418,0.9311187060443102,0.03699741068535047
