condition_id	query_id	family_id	lexicon_arm	demo_arm	adopted_reference	adopted_severity	m	margin_error_bound	reference_aligned_margin	raw_prediction	resolution	raw_correct	conservative_correct	pair_support_no	legal_mass	log_legal_mass	z_yes	z_no	log_p_yes	log_p_no	physical_score_id	prompt_sha256
CTDJ-G1-absent-none	CTD-G1-v2	CTD-family-01	absent	none	有	2	-25.47872543334961	0.00045013427734375	25.47872543334961	有	resolved_yes	True	True	8.604589146071903e-12	0.9999999999949125	-5.087485988042317e-12	56.64964294433594	31.170917510986328	-1.369215851809713e-11	-25.4787254333633	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-001	5f81c6c7452a0490975162cb6c3acb6d58e670de083636749d86ed5d2dfe10a5
CTDJ-G1-L-none	CTD-G1-v2	CTD-family-01	L	none	有	2	-23.84607696533203	0.00045013427734375	23.84607696533203	有	resolved_yes	True	True	4.40332112595541e-11	0.9999999999933635	-6.636469151999336e-12	55.91239547729492	32.06631851196289	-5.0668802487052744e-11	-23.8460769653827	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-002	50f4994f8597429626736c0b4adbdc4417701fc93268d8885b9d0c45cac299c8
CTDJ-G1-N-none	CTD-G1-v2	CTD-family-01	N	none	有	2	-21.965429306030273	0.00045013427734375	21.965429306030273	有	resolved_yes	True	True	2.8875882080432903e-10	0.9999999999819522	-1.8047785488306545e-11	53.94938659667969	31.983957290649414	-3.0680524787385366e-10	-21.96542930633708	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-003	775a3a2cac0d7602becbbd9e8e4949ae19c7c738b9c970929bfcc85f5b003ff2
CTDJ-G1-absent-same_A	CTD-G1-v2	CTD-family-01	absent	same_A	有	2	-25.034420013427734	0.00045013427734375	25.034420013427734	有	resolved_yes	True	True	1.3418053851194074e-11	0.9999999999933706	-6.629363724641735e-12	56.257240295410156	31.222820281982422	-2.0044410575792426e-11	-25.03442001344778	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-004	04f7b3feacb372043bfe77f9eb207280d53645cf61fd8851c37d9bf2ebb61bac
CTDJ-G1-L-same_A	CTD-G1-v2	CTD-family-01	L	same_A	有	2	-24.796178817749023	0.00045013427734375	24.796178817749023	有	resolved_yes	True	True	1.7027714786736195e-11	0.9999999999945715	-5.4285465012071654e-12	56.11318588256836	31.317007064819336	-2.2453150450019166e-11	-24.796178817771477	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-005	054fe423dc3941b81eb6dd9171f6a72e920c1c7adc88fca228e02f6b1cfde0dd
CTDJ-G1-N-same_A	CTD-G1-v2	CTD-family-01	N	same_A	有	2	-24.14898681640625	0.00045013427734375	24.14898681640625	有	resolved_yes	True	True	3.252582208273046e-11	0.9999999999936691	-6.330935775622493e-12	55.750511169433594	31.601524353027344	-3.885958221871988e-11	-24.14898681644511	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-006	01d8e2027358c2ba3befd0c279db1f21906347779e4e39dd6738394138f842ca
CTDJ-G1-absent-same_B	CTD-G1-v2	CTD-family-01	absent	same_B	有	2	-23.062458038330078	0.00045013427734375	23.062458038330078	有	resolved_yes	True	True	9.640548299129195e-11	0.999999999984297	-1.5702994460298214e-11	55.1127815246582	32.050323486328125	-1.1210943284822861e-10	-23.062458038442188	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-007	a396aa92aad93788edc7793e432eb11a14ee8d02003d61fc33b664d31550a393
CTDJ-G1-L-same_B	CTD-G1-v2	CTD-family-01	L	same_B	有	2	-22.092327117919922	0.00045013427734375	22.092327117919922	有	resolved_yes	True	True	2.5434560651953417e-10	0.9999999999902229	-9.777068044058979e-12	55.0202751159668	32.927947998046875	-2.6412294573674444e-10	-22.092327118184045	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-008	3f3ef75ec9a92912df8ea9b95e4ae44c1663a9b9b9f2ea1ab2d1f5d2c77963f8
CTDJ-G1-N-same_B	CTD-G1-v2	CTD-family-01	N	same_B	有	2	-20.19327163696289	0.00045013427734375	20.19327163696289	有	resolved_yes	True	True	1.6989224519254015e-09	0.9999999999756142	-2.4385826691286638e-11	53.353939056396484	33.160667419433594	-1.7233077187484014e-09	-20.1932716386862	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-009	a01ddfa5797ea82b5efa5cbd2c605c5fc259197a298def32da18003ee75a65e7
CTDJ-G2-absent-none	CTD-G2-v2	CTD-family-01	absent	none	无	0	30.414289474487305	0.00045013427734375	30.414289474487305	无	resolved_no	True	True	0.9999999999999383	0.9999991606225335	-8.393778188064971e-07	21.69632911682129	52.110618591308594	-30.414290313865187	-8.393778827553433e-07	dc817e70-cd48-48f6-8097-eae86f803e76:science:CTEXEC-010	d43cad7450692e1171cbd137ac634bc7925bf29a2bc473ab5cab0503c794feb3
