template,arm,form,original_tokens,ab_tokens,ab_forward_reverse_geometry_equal,original_to_ab_is_total_encoding_bridge
1,O,H,743,745,True,True
1,O,O,743,745,True,True
1,D,H,710,712,True,True
1,D,O,710,712,True,True
1,N1,H,743,745,True,True
1,N1,O,743,745,True,True
1,E1,H,743,745,True,True
1,E1,O,743,745,True,True
1,N2,H,743,745,True,True
1,N2,O,743,745,True,True
1,E2,H,743,745,True,True
1,E2,O,743,745,True,True
1,P1,H,757,759,True,True
1,P1,O,757,759,True,True
1,X1,H,757,759,True,True
1,X1,O,757,759,True,True
1,P2,H,756,758,True,True
1,P2,O,756,758,True,True
1,X2,H,756,758,True,True
1,X2,O,756,758,True,True
2,O,H,743,745,True,True
2,O,O,743,745,True,True
2,D,H,710,712,True,True
2,D,O,710,712,True,True
2,N1,H,743,745,True,True
2,N1,O,743,745,True,True
2,E1,H,743,745,True,True
2,E1,O,743,745,True,True
2,N2,H,743,745,True,True
2,N2,O,743,745,True,True
2,E2,H,743,745,True,True
2,E2,O,743,745,True,True
2,P1,H,757,759,True,True
2,P1,O,757,759,True,True
2,X1,H,757,759,True,True
2,X1,O,757,759,True,True
2,P2,H,756,758,True,True
2,P2,O,756,758,True,True
2,X2,H,756,758,True,True
2,X2,O,756,758,True,True
