m	z_yes	z_no	log_p_yes	log_p_no	log_legal_mass	legal_mass	pair_support_no	raw_prediction	margin_error_bound	resolution	request_id	query_id	dictionary_id	reference	reference_aligned_margin	raw_reference_correct
22.465961456298828	29.819965362548828	52.285926818847656	-22.46596344580295	-1.9895041205586494e-06	-1.9893290712502676e-06	0.9999980106729075	0.9999999998249507	无	9.918212890625e-05	positive	ctm-J01-D00	J01	D00	无	22.465961456298828	True
-6.866451263427734	52.529571533203125	45.66312026977539	-0.0010416279461651357	-6.8674928913738995	-1.734214549742319e-09	0.9999999982657855	0.0010410839076791367	有	9.918212890625e-05	negative	ctm-J01-D01	J01	D01	无	-6.866451263427734	False
21.959318161010742	30.884618759155273	52.843936920166016	-21.959325796456376	-7.635445633979998e-06	-7.6351551072662e-06	0.9999923648740404	0.9999999997094733	无	9.918212890625e-05	positive	ctm-J01-D02	J01	D02	无	21.959318161010742	True
-24.084075927734375	56.07533264160156	31.991256713867188	-4.164490974289947e-11	-24.08407592777602	-6.934897101018578e-12	0.9999999999930651	3.470713162462438e-11	有	9.918212890625e-05	negative	ctm-J02-D00	J02	D00	有	24.084075927734375	True
-23.59368133544922	56.19387435913086	32.60019302368164	-6.161826604511589e-11	-23.593681335510837	-4.945377440890297e-12	0.9999999999950546	5.667537315107561e-11	有	9.918212890625e-05	negative	ctm-J02-D01	J02	D01	有	23.59368133544922	True
-23.86591339111328	55.74552536010742	31.87961196899414	-5.091749244456878e-11	-23.8659133911642	-7.752021247142693e-12	0.999999999992248	4.316835591069516e-11	有	9.918212890625e-05	negative	ctm-J02-D02	J02	D02	有	23.86591339111328	True
-19.27337646484375	54.51537322998047	35.24199676513672	-4.273246645425388e-09	-19.273376469116997	-1.0601297617540695e-11	0.9999999999893987	4.262642903689924e-09	有	9.918212890625e-05	negative	ctm-J03-D00	J03	D00	无	-19.27337646484375	False
0.6060066223144531	50.50385665893555	51.10986328125	-1.0413704818025877	-0.4353638594881346	-1.9294031261551936e-07	0.999999807059706	0.6470293213673061	无	9.918212890625e-05	positive	ctm-J03-D01	J03	D01	无	0.6060066223144531	True
-17.44255828857422	55.33192443847656	37.889366149902344	-2.6603942160363658e-08	-17.44255831517816	-9.35784782996052e-12	0.9999999999906422	2.659458229112895e-08	有	9.918212890625e-05	negative	ctm-J03-D02	J03	D02	无	-17.44255828857422	False
-23.105892181396484	55.69512176513672	32.589229583740234	-9.953993185263244e-11	-23.105892181496024	-7.23332505003782e-12	0.9999999999927667	9.230782671934731e-11	有	9.918212890625e-05	negative	ctm-J04-D00	J04	D00	有	23.105892181396484	True
