material_id	text	ai_label	ai_severity	ai_rationale	human_label	human_severity	human_text_adoption	status
CMAD-HP-Q1	这束花太高了，得换个深一点的花瓶。	无	0	评价插花器物是否合用，没有针对人的贬损或伤害主张。	无	0	True	bulk_adopted
CMAD-HP-Q2	客厅那个花瓶裂了，先别往里面倒水。	无	0	描述实际器物状态并提醒停止倒水，没有作者认可的人身攻击。	无	0	True	bulk_adopted
CMAD-HP-Q3	你除了长得好看还有什么用？就是个花瓶。	有	2	当前作者直接以花瓶贬低对方的能力和作用，不只是讨论工作行为。	有	2	True	bulk_adopted
CMAD-HP-Q4	她在组里就是个花瓶，什么活都干不了。	有	2	当前作者认可对人的贬称并概括其没有能力。	有	2	True	bulk_adopted
CMAD-HP-L1	花瓶：用来插花或摆放花枝的瓶状器物，通常作为室内陈设。			AI释义建议			True	bulk_adopted
CMAD-HP-L2	花瓶：用来贬低一个人，指其只有好看的外表，却缺乏实际能力或作用。			AI释义建议			True	bulk_adopted
CMAD-HP-D-L-P	你嘴怎么这么贱？我只是把客厅的花瓶搬到柜子上，你就到处说我偷东西。	有	2	花瓶是被搬放的实物；作者另行直接辱骂听者嘴贱，二元答案为有。	有	2	True	bulk_adopted
CMAD-HP-D-L-A	你嘴怎么这么贱？我只是把客厅里插花用的瓶子搬到柜子上，你就到处说我偷东西。	有	2	以可见描述指插花器物，未出现完整词形花瓶；独立辱骂保留。	有	2	True	bulk_adopted
CMAD-HP-D-F-P	你嘴怎么这么贱？她有自己的成绩，你却到处说她是个花瓶。	有	2	花瓶是被反对的对人贬称；作者同时独立辱骂听者，所以仍为有。	有	2	True	bulk_adopted
CMAD-HP-D-F-A	你嘴怎么这么贱？她有自己的成绩，你却到处说她只有长相、没什么真本事。	有	2	以可见描述表达只有外表缺乏能力的评价，作者反对该评价但保留独立辱骂。	有	2	True	bulk_adopted
CMAD-HP-D-ANCHOR	雨停了我再去取快递，你不用等我。	无	0	只说明日常安排，没有人身贬损或伤害主张。	无	0	True	bulk_adopted
CMAD-HP-N	花瓶：这个词由“花”和“瓶”两个汉字组成，书写时按这两个字的顺序排列。			词形与资料格式对照；不宣称心理中性、严格长度匹配或提供查询义项。			True	bulk_adopted
CMAD-XC-Q1	生日会上，小丑正在给孩子们拧气球。	无	0	正常称述表演角色和活动；提到人或职业不构成攻击。	无	0	True	bulk_adopted
CMAD-XC-Q2	游乐园新来的小丑一出场，孩子们就围了过去。	无	0	描述演员出场及观众反应，没有贬损。	无	0	True	bulk_adopted
