request_id	query_id	condition	item_id	module	variant	prompt_tokens	token_delta	changed_token_count	display_answer_counts
ccr-541-C0-base	541	C0		baseline	base	584	0	0	"{""有"": 0, ""无"": 0}"
ccr-541-D-base	541	D		baseline	base	1291	0	0	"{""有"": 5, ""无"": 5}"
ccr-541-L-base	541	L		baseline	base	631	0	0	"{""有"": 0, ""无"": 0}"
ccr-541-LD-base	541	LD		baseline	base	1338	0	0	"{""有"": 5, ""无"": 5}"
ccr-3169-C0-base	3169	C0		baseline	base	573	0	0	"{""有"": 0, ""无"": 0}"
ccr-3169-D-base	3169	D		baseline	base	922	0	0	"{""有"": 7, ""无"": 3}"
ccr-3169-L-base	3169	L		baseline	base	813	0	0	"{""有"": 0, ""无"": 0}"
ccr-3169-LD-base	3169	LD		baseline	base	1162	0	0	"{""有"": 7, ""无"": 3}"
ccr-541-D-A01	541	D	A01	answer	base	1291	0	1	"{""有"": 4, ""无"": 6}"
ccr-541-LD-A01	541	LD	A01	answer	base	1338	0	1	"{""有"": 4, ""无"": 6}"
ccr-541-D-A02	541	D	A02	answer	base	1291	0	1	"{""有"": 4, ""无"": 6}"
ccr-541-LD-A02	541	LD	A02	answer	base	1338	0	1	"{""有"": 4, ""无"": 6}"
ccr-541-D-A03	541	D	A03	answer	base	1291	0	1	"{""有"": 4, ""无"": 6}"
ccr-541-LD-A03	541	LD	A03	answer	base	1338	0	1	"{""有"": 4, ""无"": 6}"
ccr-541-D-A04	541	D	A04	answer	base	1291	0	1	"{""有"": 4, ""无"": 6}"
ccr-541-LD-A04	541	LD	A04	answer	base	1338	0	1	"{""有"": 4, ""无"": 6}"
ccr-541-D-A05	541	D	A05	answer	base	1291	0	1	"{""有"": 6, ""无"": 4}"
ccr-541-LD-A05	541	LD	A05	answer	base	1338	0	1	"{""有"": 6, ""无"": 4}"
ccr-541-D-A06	541	D	A06	answer	base	1291	0	1	"{""有"": 4, ""无"": 6}"
ccr-541-LD-A06	541	LD	A06	answer	base	1338	0	1	"{""有"": 4, ""无"": 6}"
ccr-541-D-A07	541	D	A07	answer	base	1291	0	1	"{""有"": 6, ""无"": 4}"
ccr-541-LD-A07	541	LD	A07	answer	base	1338	0	1	"{""有"": 6, ""无"": 4}"
ccr-541-D-A08	541	D	A08	answer	base	1291	0	1	"{""有"": 6, ""无"": 4}"
ccr-541-LD-A08	541	LD	A08	answer	base	1338	0	1	"{""有"": 6, ""无"": 4}"
ccr-541-D-A09	541	D	A09	answer	base	1291	0	1	"{""有"": 6, ""无"": 4}"
ccr-541-LD-A09	541	LD	A09	answer	base	1338	0	1	"{""有"": 6, ""无"": 4}"
ccr-541-D-A10	541	D	A10	answer	base	1291	0	1	"{""有"": 6, ""无"": 4}"
ccr-541-LD-A10	541	LD	A10	answer	base	1338	0	1	"{""有"": 6, ""无"": 4}"
ccr-3169-D-A11	3169	D	A11	answer	base	922	0	1	"{""有"": 8, ""无"": 2}"
ccr-3169-LD-A11	3169	LD	A11	answer	base	1162	0	1	"{""有"": 8, ""无"": 2}"
ccr-3169-D-A12	3169	D	A12	answer	base	922	0	1	"{""有"": 6, ""无"": 4}"
ccr-3169-LD-A12	3169	LD	A12	answer	base	1162	0	1	"{""有"": 6, ""无"": 4}"
ccr-3169-D-A13	3169	D	A13	answer	base	922	0	1	"{""有"": 6, ""无"": 4}"
ccr-3169-LD-A13	3169	LD	A13	answer	base	1162	0	1	"{""有"": 6, ""无"": 4}"
ccr-3169-D-A14	3169	D	A14	answer	base	922	0	1	"{""有"": 6, ""无"": 4}"
ccr-3169-LD-A14	3169	LD	A14	answer	base	1162	0	1	"{""有"": 6, ""无"": 4}"
ccr-3169-D-A15	3169	D	A15	answer	base	922	0	1	"{""有"": 8, ""无"": 2}"
ccr-3169-LD-A15	3169	LD	A15	answer	base	1162	0	1	"{""有"": 8, ""无"": 2}"
ccr-3169-D-A16	3169	D	A16	answer	base	922	0	1	"{""有"": 6, ""无"": 4}"
ccr-3169-LD-A16	3169	LD	A16	answer	base	1162	0	1	"{""有"": 6, ""无"": 4}"
ccr-3169-D-A17	3169	D	A17	answer	base	922	0	1	"{""有"": 6, ""无"": 4}"
ccr-3169-LD-A17	3169	LD	A17	answer	base	1162	0	1	"{""有"": 6, ""无"": 4}"
ccr-3169-D-A18	3169	D	A18	answer	base	922	0	1	"{""有"": 6, ""无"": 4}"
ccr-3169-LD-A18	3169	LD	A18	answer	base	1162	0	1	"{""有"": 6, ""无"": 4}"
ccr-3169-D-A19	3169	D	A19	answer	base	922	0	1	"{""有"": 8, ""无"": 2}"
ccr-3169-LD-A19	3169	LD	A19	answer	base	1162	0	1	"{""有"": 8, ""无"": 2}"
ccr-3169-D-A20	3169	D	A20	answer	base	922	0	1	"{""有"": 6, ""无"": 4}"
ccr-3169-LD-A20	3169	LD	A20	answer	base	1162	0	1	"{""有"": 6, ""无"": 4}"
ccr-541-L-L01	541	L	L01	definition	base	631	0	4	"{""有"": 0, ""无"": 0}"
ccr-541-LD-L01	541	LD	L01	definition	base	1338	0	4	"{""有"": 5, ""无"": 5}"
ccr-541-L-L02	541	L	L02	definition	base	631	0	13	"{""有"": 0, ""无"": 0}"
ccr-541-LD-L02	541	LD	L02	definition	base	1338	0	13	"{""有"": 5, ""无"": 5}"
ccr-541-L-L03	541	L	L03	definition	base	631	0	12	"{""有"": 0, ""无"": 0}"
ccr-541-LD-L03	541	LD	L03	definition	base	1338	0	12	"{""有"": 5, ""无"": 5}"
ccr-541-L-L04	541	L	L04	definition	base	631	0	9	"{""有"": 0, ""无"": 0}"
ccr-541-LD-L04	541	LD	L04	definition	base	1338	0	9	"{""有"": 5, ""无"": 5}"
ccr-3169-L-L05	3169	L	L05	definition	base	813	0	17	"{""有"": 0, ""无"": 0}"
ccr-3169-LD-L05	3169	LD	L05	definition	base	1162	0	17	"{""有"": 7, ""无"": 3}"
ccr-3169-L-L06	3169	L	L06	definition	base	813	0	1	"{""有"": 0, ""无"": 0}"
ccr-3169-LD-L06	3169	LD	L06	definition	base	1162	0	1	"{""有"": 7, ""无"": 3}"
ccr-3169-L-L07	3169	L	L07	definition	base	813	0	18	"{""有"": 0, ""无"": 0}"
ccr-3169-LD-L07	3169	LD	L07	definition	base	1162	0	18	"{""有"": 7, ""无"": 3}"
ccr-3169-L-L08	3169	L	L08	definition	base	813	0	7	"{""有"": 0, ""无"": 0}"
ccr-3169-LD-L08	3169	LD	L08	definition	base	1162	0	7	"{""有"": 7, ""无"": 3}"
ccr-541-D-B01-same	541	D	B01	body	same	1291	0	97	"{""有"": 5, ""无"": 5}"
ccr-541-D-B01-flip	541	D	B01	body	flip	1291	0	98	"{""有"": 4, ""无"": 6}"
ccr-541-LD-B01-same	541	LD	B01	body	same	1338	0	97	"{""有"": 5, ""无"": 5}"
ccr-541-LD-B01-flip	541	LD	B01	body	flip	1338	0	98	"{""有"": 4, ""无"": 6}"
ccr-3169-D-B02-same	3169	D	B02	body	same	922	0	9	"{""有"": 7, ""无"": 3}"
ccr-3169-D-B02-flip	3169	D	B02	body	flip	922	0	10	"{""有"": 8, ""无"": 2}"
ccr-3169-LD-B02-same	3169	LD	B02	body	same	1162	0	9	"{""有"": 7, ""无"": 3}"
ccr-3169-LD-B02-flip	3169	LD	B02	body	flip	1162	0	10	"{""有"": 8, ""无"": 2}"
ccr-3169-D-B03-same	3169	D	B03	body	same	922	0	15	"{""有"": 7, ""无"": 3}"
ccr-3169-D-B03-flip	3169	D	B03	body	flip	922	0	16	"{""有"": 6, ""无"": 4}"
ccr-3169-LD-B03-same	3169	LD	B03	body	same	1162	0	15	"{""有"": 7, ""无"": 3}"
ccr-3169-LD-B03-flip	3169	LD	B03	body	flip	1162	0	16	"{""有"": 6, ""无"": 4}"
ccr-3169-D-B04-same	3169	D	B04	body	same	922	0	16	"{""有"": 7, ""无"": 3}"
ccr-3169-D-B04-flip	3169	D	B04	body	flip	922	0	17	"{""有"": 6, ""无"": 4}"
ccr-3169-LD-B04-same	3169	LD	B04	body	same	1162	0	16	"{""有"": 7, ""无"": 3}"
ccr-3169-LD-B04-flip	3169	LD	B04	body	flip	1162	0	17	"{""有"": 6, ""无"": 4}"
ccr-541-D-O01	541	D	O01	order	base	1291	0	370	"{""有"": 5, ""无"": 5}"
ccr-541-LD-O01	541	LD	O01	order	base	1338	0	370	"{""有"": 5, ""无"": 5}"
ccr-3169-D-O02	3169	D	O02	order	base	922	0	141	"{""有"": 7, ""无"": 3}"
ccr-3169-LD-O02	3169	LD	O02	order	base	1162	0	141	"{""有"": 7, ""无"": 3}"
ccr-3169-D-O03	3169	D	O03	order	base	922	0	85	"{""有"": 7, ""无"": 3}"
ccr-3169-LD-O03	3169	LD	O03	order	base	1162	0	85	"{""有"": 7, ""无"": 3}"
ccr-3169-D-O04	3169	D	O04	order	base	922	0	176	"{""有"": 7, ""无"": 3}"
ccr-3169-LD-O04	3169	LD	O04	order	base	1162	0	176	"{""有"": 7, ""无"": 3}"
