飞周兄弟 | 还不认亲？ | Racism | hate [END]
广黑吧 | 没了吗？ | Region | hate [END]
卫辉官媒 | 错误 | non_hate | non_hate [END]
男权 | 男女平权 | non_hate | non_hate [END]
这 | 很niggeг | Racism | hate [END]
你 | 追求男女平等 | non_hate | non_hate [END]
中国人 | 不会吃政治正确那一套 | non_hate | non_hate [END]
中国人的性能力 | 吹黑人 | Racism | hate [END]
田楠 | 骗婚骗炮 | Sexism | hate [END]
这个视频 | 比较恶臭 | non_hate | non_hate [END]
答主 | 也该滚出中国 | non_hate | non_hate [END]
异性恋 | 理解＋不接受 | non_hate | non_hate [END]
广东 | 常常刮台风，下大雨，最多也只是水浸街 | non_hate | non_hate [END]
女拳 | 和女拳站一边 | Sexism | hate [END]
黑化的法国 | 也完蛋了 | Region | hate [END]
跟风的 | 铁nt | non_hate | non_hate [END]
她 | 跨种族跨文化优越感就会变得越充实 | Racism | hate [END]
None | 男的喜欢纸片人，女的只喜欢嫁给有钱人 | Sexism | hate [END]
它 | 送它上西天 | non_hate | non_hate [END]
混血儿 | 聪明没有任何科学依据 | Racism | hate [END]
吧主 | 别犯贱乱删 | non_hate | non_hate [END]
你 | 南满 | Region | hate [END]
既得利益者 | 责备被剥削者 | non_hate | non_hate [END]
湖北和陕西 | 嘴里说什么我都不稀奇 | Region | hate [END]
男性 | 男性荷尔蒙的男性都会把女性折服 | Sexism | hate [SEP] 女性 | 暖男或是说对女性一味好着的男的百分之九十九会被认为是舔狗 | Sexism | hate [END]
汉一点的电影或者影视作品 | 打压 | Others | hate [SEP] 美国 | 文化渗入 | Region | hate [END]
钓鱼佬 | 永不空军 | non_hate | non_hate [END]
亚非拉 | ◎◎◎不要说我无情 | Region | hate [END]
地域黑 | 没新疆吗😅😅 | Region | hate [END]
东北人 | 肯定反驳力度差 | non_hate | non_hate [END]
友军 | 厚葬 | non_hate | non_hate [END]
西戎 北狄 南蛮 东夷 | 没一个是好听的 | Region | hate [SEP] 我大中原 | 人杰地灵 | Region | hate [END]
老一辈 | 确实是这样的 | non_hate | non_hate [END]
我 | 智商是硬伤 | non_hate | non_hate [END]
我 | 詹姆斯的球迷 | non_hate | non_hate [END]
None | 老掉牙了钕全造词骂男性倒是一大堆 | Sexism | hate [END]
她們家族男性 | 清算 | Sexism | hate [END]
杨笠们 | 嘴里的普却信❤️❤️❤️ | Sexism | hate [END]
你 | 器质性变化不好恢复 | non_hate | non_hate [END]
尼 | 真艾可以永远 | Racism, Others | hate [END]
白左 | 要殖民我们 | Racism | hate [END]
非洲 | 一到非洲直接就qj，把你搞怀孕，你也拿他没办法啊！ | Region, Sexism | hate [END]
东北 | 不抵抗，就是没有血性 | Region | hate [END]
默默默默 | 三通过 | Racism, Others | hate [SEP] 艾滋病 | 整个人都不好了！ | Others | hate [END]
广c人 | 喜欢 | non_hate | non_hate [END]
王者荣耀 | 要做的速速 | non_hate | non_hate [END]
新疆人 | 被歧视 | non_hate | non_hate [END]
你 | 这样就 | non_hate | non_hate [END]
黑人 | 严重不符合我的审美 | Racism | hate [END]
他们 | 没有智商 | non_hate | non_hate [END]
我 | 在中资建筑工程公司 | non_hate | non_hate [END]
我 | 加入你们的 | non_hate | non_hate [END]
他 | 物种歧视 | Racism | hate [END]
中国 | 又不是男人的中国 | Region, Sexism | hate [END]
中国 | 14亿人总得有点奇葩 | non_hate | non_hate [END]
你 | 在东北 | non_hate | non_hate [END]
你 | gay | non_hate | non_hate [END]
黑种人 | 智商 | Racism | hate [SEP] 黄种人 | 体格 | Racism | hate [END]
前妻 | 不如dao了这个老娘们和她父母 | Sexism | hate [END]
拿刀的女人 | 战斗力高 | Sexism | hate [END]
他 | 矮姿患者 | non_hate | non_hate [END]
大家 | 没有办法完全对取向这种东西有清晰认知 | non_hate | non_hate [END]
这些女的 | 坚定的女拳 | Sexism | hate [END]
同性恋和异性恋 | 真爱 | non_hate | non_hate [END]
河南人 | 不太平 | Region | hate [END]
一位优秀的接盘侠 | 👍👍 | Sexism | hate [END]
你们 | 都去s | non_hate | non_hate [END]
基佬 | N待小动物 | LGBTQ | hate [END]
None | 以下是网址 | non_hate | non_hate [END]
这些女孩 | 追求爱情也好追求感官刺激也罢，客观上都安慰了黑人 | Sexism, Racism | hate [SEP] 黑人 | 受到慰籍就不会伤害其他女孩 | Racism | hate [SEP] 高校 | 艾滋病增长过猛有黑人的功劳 | Racism, Others | hate [END]
上海本地那男的 | 真心不行 | Region | hate [END]
中国 | 又不是男人的中国 | Sexism | hate [END]
南美 | 棉花小黑马 | Region | hate [END]
外娶 | 不打扰小仙女了 | Sexism | hate [END]
理客 | 中是这样的 | non_hate | non_hate [END]
回族 | 在中文网络上名声不太好 | Region | hate [END]
黑人 | 智慧低下，学不会那些东西 | Racism | hate [END]
东北人 | 懒 | Region | hate [SEP] 东北人 | 喜欢骂人吹币 | Region | hate [END]
你 | 发鬼图 | non_hate | non_hate [END]
黑龙江人 | 歧视辽宁吉林人 | Region | hate [END]
老黑 | 刚从树上下来没几天 | Racism | hate [SEP] 老黑 | 基因跟咱就不是一个色? | Racism | hate [END]
北方 | 在古代都南迁了 | non_hate | non_hate [END]
黑人 | 不把黑人画在择偶范围内😅 | Racism | hate [END]
东北叔叔阿姨 | 很大气 | non_hate | non_hate [SEP] 出租车司机 | 小气的 | Region | hate [SEP] 江苏省 | 有歧视的 | Region | hate [END]
你 | 自己都把自己放在弱势群体一栏 | non_hate | non_hate [END]
他们 | 闲人 | non_hate | non_hate [END]
东北话 | 去上海工作吧 | non_hate | non_hate [END]
黑人妹子 | 为啥不找个黑人妹子做女朋友？ | Sexism, Racism | hate [END]
泥革 | 能算是人？？ | Racism | hate [END]
河南小姑娘 | 极度自律 | non_hate | non_hate [SEP] 河南 | 学习好的人真的多 | non_hate | non_hate [END]
能发这评论的 | 尼葛 | Racism | hate [END]
你 | 真担心你身体吃不消 | Sexism | hate [END]
None | 把处女改成必需 | Sexism | hate [END]
你 | 把西安放哪了😅 | non_hate | non_hate [END]
黑人 | 我也是膈应的 | Racism | hate [END]
南方矮矬子 | 跟当年老人们教诲不要找南方矮矬子，外地土老帽一样 | Region | hate [END]
你 | 能忍就忍 | non_hate | non_hate [END]
天津以北 | 冀东辽西 | non_hate | non_hate [END]
她们 | 墨 | Sexism, Racism | hate [END]
你 | 攻击他们去啊 | non_hate | non_hate [END]
你 | 混血 | non_hate | non_hate [END]
黑人 | 排名下降了 | Racism | hate [END]
中国 | 重返世界第一得地位 | non_hate | non_hate [END]
氙钕 | 怕事情败露自己删了吧 | Sexism | hate [END]
黑人 | 占领中国全靠生 | Racism | hate [END]
nv拳 | 最大的敌人是谁吗？ | Sexism | hate [END]
普通女性 | 占女性总人口的比例还是太少了 | Sexism | hate [SEP] 女拳、媚外的 | 占了绝大多数🤣 | Sexism, Racism | hate [END]
大胸妹 | 精神茶党 | Sexism | hate [END]
猩猩 | 之间的交配有什么稀奇的 | Racism | hate [END]
你 | 为什么要管白人的感受呢 | non_hate | non_hate [END]
女的 | 很娇贵 | Sexism | hate [END]
你 | 一看就是江苏的 | non_hate | non_hate [END]
东北人 | 到南方上学，都是最团结的 | non_hate | non_hate [SEP] 南方人 | 对东北人的歧视是根深蒂固的 | Region | hate [END]
默 | 不是同一个默囧 | Racism | hate [END]
混血 | 眼睛是蓝色，混了白皮猪的血 | Racism | hate [END]
None | 干净与否的问题 | non_hate | non_hate [END]
东北人 | 默不作声 | Region | hate [END]
黑蛆 | 事关生死 | Racism | hate [END]
有些女的 | 喜欢玩新鲜感 | Sexism | hate [SEP] 墨人 | 有劲还带艾滋 | Racism, Others | hate [END]
北方人 | 被南方人叫侉子 | Region | hate [END]
那黑人 | 恶心人 | Racism | hate [END]
母狗 | 什么事做不出来 | Sexism | hate [END]
PUA | 贬低你说你一文不值达到从精神上控制你的作用 | non_hate | non_hate [END]
四川的 | 爸爸现在提到四川的都是一股气 | Region | hate [END]
舔狗龟男 | 十分固执 | Sexism | hate [END]
法国 | 涉外婚姻还是要多想一想 | non_hate | non_hate [END]
你 | 歪理邪说还编的津津乐道呢？ | non_hate | non_hate [END]
河北 | 偷井盖是事实 | Region | hate [END]
战士 | 不分性别 | non_hate | non_hate [END]
黑人 | 外人 | Racism | hate [END]
上海 | 只是说了实话怎么能算黑 | non_hate | non_hate [END]
黑皮 | 还是黑皮 | Racism | hate [END]
女性 | 不受惩罚 | Sexism | hate [END]
男生 | 变态很多呀，还偷拍别人 | Sexism | hate [END]
这货 | 不好发挥 | non_hate | non_hate [END]
黑人 | 太黑了，大家不太喜欢 | Racism | hate [END]
你 | 输出racial discrimination观念 | Racism | hate [END]
公司 | 外派在唐山上了三年班 | non_hate | non_hate [END]
金庸 | 大师 | non_hate | non_hate [END]
什么仙女营销号 | 这么快就破防了 | Sexism | hate [END]
离赤道越近的人 | 越黑 | non_hate | non_hate [END]
黑人英雄 | 犯罪分子 | Racism | hate [END]
嫁黑男 | 不配 | Sexism, Racism | hate [END]
你 | 基佬 | LGBTQ | hate [END]
河南 | 黑河南就觉得只是玩梗🙄 | Region | hate [END]
黑人 | 犯罪领域 | Racism | hate [END]
女厕所 | 数量多于男厕所 | non_hate | non_hate [END]
黑女 | 乱性 | Sexism, Racism | hate [END]
JATOO | 食神 | non_hate | non_hate [END]
黑人 | 不喜欢 | Racism | hate [END]
黑人吧 | 反黑 | Racism | hate [END]
腐癌 | 磕CP的前提不是自己也得是同性恋 | LGBTQ | hate [END]
黑人 | 黑人去选美 | Racism | hate [END]
老黑 | 一直没把老黑当老大 | Racism | hate [END]
楼上 | 一个无耻透顶的女人 | Sexism | hate [END]
乱性艾滋病 | 隐藏在后面 | Others | hate [END]
你 | 黑别人你有理 | Region | hate [END]
贴吧的审核 | 没有慕刃 | Sexism | hate [END]
北欧 | 一群炼铜海盗 | Region | hate [END]
艾滋病 | 要你命 | Others | hate [END]
华莱士 | 被黑得很惨 | Racism | hate [END]
杰希 | 歪果仁 | Racism | hate [END]
上海 | 不排外 | Region | hate [END]
你 | 应该天天刷这答案 | non_hate | non_hate [END]
普信男 | 国女又看不上 | Sexism | hate [SEP] 郭楠 | 在部分国女眼里早就被开除人籍了 | Sexism | hate [SEP] 黑皮白皮 | 人上人 | Racism | hate [END]
舔狗 | 很恶毒的男淫 | Sexism | hate [END]
男生 | 180以下就是残疾 | Sexism | hate [END]
你 | 东北人 | non_hate | non_hate [END]
你 | 被女的传染 | Sexism | hate [END]
txl | 直接煽风点火孤立*** | LGBTQ | hate [END]
女权 | 错误观点急需纠正 | Sexism | hate [END]
浙江人 | 挺好的 | non_hate | non_hate [END]
浏览 | 是没事的吧 | non_hate | non_hate [END]
东北人 | 任何坏事，都扣到东北人头上 | Region | hate [END]
个体女人 | 产生了不需要个体男人的错觉 | Sexism | hate [END]
None | 领美刀 | Sexism, Racism | hate [END]
这些人 | 没碰到 | non_hate | non_hate [END]
他 | 反同态度吗？ | LGBTQ | hate [END]
你 | 不是觉得两个人在一起是为了生育嘛 | non_hate | non_hate [END]
嘿畜狌 | 繁殖，都是强上的 | Racism | hate [END]
这黑人 | 应该回非洲去 | Racism | hate [END]
艾滋 | 但要小心艾滋 | Others | hate [END]
子公司财务 | 向我们骂了五分钟的贵州人 | Region | hate [END]
河南 | 文科一本分数线比7省低，理科一本线也只比两省高 | non_hate | non_hate [END]
txl | 智商 | LGBTQ | hate [END]
这人 | 还是个op | non_hate | non_hate [END]
山西 | 存在感实在是低到没人黑 | Region | hate [END]
大多国女 | 找黑人白人结婚率并不高 | Sexism, Racism | hate [END]
崇洋媚外 | 种族主义 | Racism | hate [END]
幕刃 | 应该把他自己和女性割裂开 | Sexism | hate [END]
那个节目 | 报道辽宁本省的负面新闻稍多一点 | non_hate | non_hate [END]
穆加贝 | 恶魔 | Racism | hate [END]
自由社会 | 所有无耻作为的遮羞布挡箭牌 | non_hate | non_hate [END]
直佬们 | 做好被强制纠正取向的准备 | LGBTQ | hate [END]
潳嘿 | 后世潳嘿 | Racism | hate [END]
性取向 | 个人的权利 | non_hate | non_hate [END]
家暴 | 让女权和男舔们抓住把柄来反击 | Sexism | hate [END]
同 | 扣那多字来反同有用吗 | LGBTQ | hate [END]
她们 | 生下丑陋的哥布林 | Sexism | hate [END]
大飞柱 | 应该发到正宗大飞柱吧 | Sexism | hate [END]
女👊 | 傻逼 | Sexism | hate [END]
普信奇趣蛋 | 也就能想想了 | Sexism | hate [END]
黑龙江 | GDP确实比不过辽宁 | non_hate | non_hate [END]
同性恋 | 厌恶 | LGBTQ | hate [END]
黑人 | 没有头发然后看不清五官🤣 | Racism | hate [END]
中国 | 日子比日本混的好 | Region | hate [END]
喷吧 | 被冲了就不让发言了 | non_hate | non_hate [END]
河南人 | 偷井盖被歧视 | Region | hate [END]
白人 | 里出美女的几率也太高了 | non_hate | non_hate [END]
河南 | 这个资本家还不配让爷去🙂 | Region | hate [END]
None | 女人生意真的好做 | Sexism | hate [END]
单亲妈妈 | 有些蠢人活该被淘汰 | Sexism | hate [END]
你 | 没接触黑人群体 | non_hate | non_hate [END]
贵州 | 怎么了 | non_hate | non_hate [END]
国男 | 多学着点 | Sexism | hate [END]
黑人 | 你的敌人 | Racism | hate [END]
黑小子 | 满街乱窜 | Racism | hate [SEP] 混血二代 | 会成为公害 | Racism | hate [END]
屈臣氏 | 想玩什么 | Sexism | hate [END]
这个女人 | 去送非洲 | Sexism, Racism | hate [END]
排外的 | 社会底层 | Racism | hate [END]
大龄剩女 | 从大城市回来 | Sexism, Region | hate [END]
广东 | 那个应该不算黑？ | non_hate | non_hate [END]
这个政治 | 非常正确 | non_hate | non_hate [END]
温州 | 假皮鞋 | Region | hate [END]
基佬 | 对社会的贡献远不如一个长相不佳的直男工程师 | LGBTQ | hate [END]
基佬 | 做这么多伤天害理的事难怪会成长为基佬！ | LGBTQ | hate [END]
女人 | 自己除了子宫，还有什么用啊 | Sexism | hate [END]
txl | 喜欢乱组cp | LGBTQ | hate [END]
同性恋 | 希望同性恋能幸福 | non_hate | non_hate [END]
北边的人 | 不要找北边的人 | Region | hate [END]
知乎 | 偏向女拳立场 | Sexism | hate [END]
