query_id,condition,prompt_tokens,query_block,generation_start,example_answer_counts,alignment
541,A,918,"[876,909]",918,"{""hate"":6,""non-hate"":4}","{""kind"":""historical_original""}"
541,B,855,"[813,846]",855,"{""hate"":6,""non-hate"":3}","{""kind"":""historical_natural_deletion"",""positions_matched"":false,""token_difference_from_original"":-63}"
541,C1,918,"[876,909]",918,"{""hate"":6,""non-hate"":4}","{""all_demo_block_text_and_answer_positions_equal"":true,""all_untouched_demo_token_ids_equal"":true,""full_prompt_tokens"":918,""generation_start_token"":918,""internal_semantic_token_alignment_claimed"":false,""offset_note"":""Spans cover every overlapping token, including punctuation/newline merges at a text boundary."",""passed"":true,""prefix_token_ids_equal"":true,""query_block_token_span"":[876,909],""suffix_token_ids_equal"":true,""target_text_token_span"":[421,470]}"
541,C2,918,"[876,909]",918,"{""hate"":6,""non-hate"":4}","{""all_demo_block_text_and_answer_positions_equal"":true,""all_untouched_demo_token_ids_equal"":true,""full_prompt_tokens"":918,""generation_start_token"":918,""internal_semantic_token_alignment_claimed"":false,""offset_note"":""Spans cover every overlapping token, including punctuation/newline merges at a text boundary."",""passed"":true,""prefix_token_ids_equal"":true,""query_block_token_span"":[876,909],""suffix_token_ids_equal"":true,""target_text_token_span"":[421,470]}"
541,D1,918,"[876,909]",918,"{""hate"":6,""non-hate"":4}","{""all_demo_block_text_and_answer_positions_equal"":true,""all_untouched_demo_token_ids_equal"":true,""full_prompt_tokens"":918,""generation_start_token"":918,""internal_semantic_token_alignment_claimed"":false,""offset_note"":""Spans cover every overlapping token, including punctuation/newline merges at a text boundary."",""passed"":true,""prefix_token_ids_equal"":true,""query_block_token_span"":[876,909],""suffix_token_ids_equal"":true,""target_text_token_span"":[421,470]}"
541,D2,918,"[876,909]",918,"{""hate"":6,""non-hate"":4}","{""all_demo_block_text_and_answer_positions_equal"":true,""all_untouched_demo_token_ids_equal"":true,""full_prompt_tokens"":918,""generation_start_token"":918,""internal_semantic_token_alignment_claimed"":false,""offset_note"":""Spans cover every overlapping token, including punctuation/newline merges at a text boundary."",""passed"":true,""prefix_token_ids_equal"":true,""query_block_token_span"":[876,909],""suffix_token_ids_equal"":true,""target_text_token_span"":[421,470]}"
3169,A,742,"[711,733]",742,"{""hate"":6,""non-hate"":4}","{""kind"":""historical_original""}"
3169,B,712,"[681,703]",712,"{""hate"":5,""non-hate"":4}","{""kind"":""historical_natural_deletion"",""positions_matched"":false,""token_difference_from_original"":-30}"
3169,C1,742,"[711,733]",742,"{""hate"":6,""non-hate"":4}","{""all_demo_block_text_and_answer_positions_equal"":true,""all_untouched_demo_token_ids_equal"":true,""full_prompt_tokens"":742,""generation_start_token"":742,""internal_semantic_token_alignment_claimed"":false,""offset_note"":""Spans cover every overlapping token, including punctuation/newline merges at a text boundary."",""passed"":true,""prefix_token_ids_equal"":true,""query_block_token_span"":[711,733],""suffix_token_ids_equal"":true,""target_demo_cue_absent"":true,""target_text_token_span"":[393,410]}"
3169,C2,742,"[711,733]",742,"{""hate"":6,""non-hate"":4}","{""all_demo_block_text_and_answer_positions_equal"":true,""all_untouched_demo_token_ids_equal"":true,""full_prompt_tokens"":742,""generation_start_token"":742,""internal_semantic_token_alignment_claimed"":false,""offset_note"":""Spans cover every overlapping token, including punctuation/newline merges at a text boundary."",""passed"":true,""prefix_token_ids_equal"":true,""query_block_token_span"":[711,733],""suffix_token_ids_equal"":true,""target_demo_cue_absent"":true,""target_text_token_span"":[393,410]}"
3169,D1,742,"[711,733]",742,"{""hate"":6,""non-hate"":4}","{""all_demo_block_text_and_answer_positions_equal"":true,""all_untouched_demo_token_ids_equal"":true,""full_prompt_tokens"":742,""generation_start_token"":742,""internal_semantic_token_alignment_claimed"":false,""offset_note"":""Spans cover every overlapping token, including punctuation/newline merges at a text boundary."",""passed"":true,""prefix_token_ids_equal"":true,""query_block_token_span"":[711,733],""retained_cue_token_span"":[395,396],""suffix_token_ids_equal"":true,""target_text_token_span"":[393,410]}"
3169,D2,742,"[711,733]",742,"{""hate"":6,""non-hate"":4}","{""all_demo_block_text_and_answer_positions_equal"":true,""all_untouched_demo_token_ids_equal"":true,""full_prompt_tokens"":742,""generation_start_token"":742,""internal_semantic_token_alignment_claimed"":false,""offset_note"":""Spans cover every overlapping token, including punctuation/newline merges at a text boundary."",""passed"":true,""prefix_token_ids_equal"":true,""query_block_token_span"":[711,733],""retained_cue_token_span"":[395,396],""suffix_token_ids_equal"":true,""target_text_token_span"":[393,410]}"
