comparison_id	kind	query_id	condition	terms
ccr-541-D-A01-minus-base	variant_minus_baseline	541	D	"[{""request_id"": ""ccr-541-D-A01"", ""coefficient"": 1}, {""request_id"": ""ccr-541-D-base"", ""coefficient"": -1}]"
ccr-541-LD-A01-minus-base	variant_minus_baseline	541	LD	"[{""request_id"": ""ccr-541-LD-A01"", ""coefficient"": 1}, {""request_id"": ""ccr-541-LD-base"", ""coefficient"": -1}]"
ccr-541-D-A02-minus-base	variant_minus_baseline	541	D	"[{""request_id"": ""ccr-541-D-A02"", ""coefficient"": 1}, {""request_id"": ""ccr-541-D-base"", ""coefficient"": -1}]"
ccr-541-LD-A02-minus-base	variant_minus_baseline	541	LD	"[{""request_id"": ""ccr-541-LD-A02"", ""coefficient"": 1}, {""request_id"": ""ccr-541-LD-base"", ""coefficient"": -1}]"
ccr-541-D-A03-minus-base	variant_minus_baseline	541	D	"[{""request_id"": ""ccr-541-D-A03"", ""coefficient"": 1}, {""request_id"": ""ccr-541-D-base"", ""coefficient"": -1}]"
ccr-541-LD-A03-minus-base	variant_minus_baseline	541	LD	"[{""request_id"": ""ccr-541-LD-A03"", ""coefficient"": 1}, {""request_id"": ""ccr-541-LD-base"", ""coefficient"": -1}]"
ccr-541-D-A04-minus-base	variant_minus_baseline	541	D	"[{""request_id"": ""ccr-541-D-A04"", ""coefficient"": 1}, {""request_id"": ""ccr-541-D-base"", ""coefficient"": -1}]"
ccr-541-LD-A04-minus-base	variant_minus_baseline	541	LD	"[{""request_id"": ""ccr-541-LD-A04"", ""coefficient"": 1}, {""request_id"": ""ccr-541-LD-base"", ""coefficient"": -1}]"
ccr-541-D-A05-minus-base	variant_minus_baseline	541	D	"[{""request_id"": ""ccr-541-D-A05"", ""coefficient"": 1}, {""request_id"": ""ccr-541-D-base"", ""coefficient"": -1}]"
ccr-541-LD-A05-minus-base	variant_minus_baseline	541	LD	"[{""request_id"": ""ccr-541-LD-A05"", ""coefficient"": 1}, {""request_id"": ""ccr-541-LD-base"", ""coefficient"": -1}]"
ccr-541-D-A06-minus-base	variant_minus_baseline	541	D	"[{""request_id"": ""ccr-541-D-A06"", ""coefficient"": 1}, {""request_id"": ""ccr-541-D-base"", ""coefficient"": -1}]"
ccr-541-LD-A06-minus-base	variant_minus_baseline	541	LD	"[{""request_id"": ""ccr-541-LD-A06"", ""coefficient"": 1}, {""request_id"": ""ccr-541-LD-base"", ""coefficient"": -1}]"
ccr-541-D-A07-minus-base	variant_minus_baseline	541	D	"[{""request_id"": ""ccr-541-D-A07"", ""coefficient"": 1}, {""request_id"": ""ccr-541-D-base"", ""coefficient"": -1}]"
ccr-541-LD-A07-minus-base	variant_minus_baseline	541	LD	"[{""request_id"": ""ccr-541-LD-A07"", ""coefficient"": 1}, {""request_id"": ""ccr-541-LD-base"", ""coefficient"": -1}]"
ccr-541-D-A08-minus-base	variant_minus_baseline	541	D	"[{""request_id"": ""ccr-541-D-A08"", ""coefficient"": 1}, {""request_id"": ""ccr-541-D-base"", ""coefficient"": -1}]"
ccr-541-LD-A08-minus-base	variant_minus_baseline	541	LD	"[{""request_id"": ""ccr-541-LD-A08"", ""coefficient"": 1}, {""request_id"": ""ccr-541-LD-base"", ""coefficient"": -1}]"
ccr-541-D-A09-minus-base	variant_minus_baseline	541	D	"[{""request_id"": ""ccr-541-D-A09"", ""coefficient"": 1}, {""request_id"": ""ccr-541-D-base"", ""coefficient"": -1}]"
ccr-541-LD-A09-minus-base	variant_minus_baseline	541	LD	"[{""request_id"": ""ccr-541-LD-A09"", ""coefficient"": 1}, {""request_id"": ""ccr-541-LD-base"", ""coefficient"": -1}]"
ccr-541-D-A10-minus-base	variant_minus_baseline	541	D	"[{""request_id"": ""ccr-541-D-A10"", ""coefficient"": 1}, {""request_id"": ""ccr-541-D-base"", ""coefficient"": -1}]"
ccr-541-LD-A10-minus-base	variant_minus_baseline	541	LD	"[{""request_id"": ""ccr-541-LD-A10"", ""coefficient"": 1}, {""request_id"": ""ccr-541-LD-base"", ""coefficient"": -1}]"
ccr-3169-D-A11-minus-base	variant_minus_baseline	3169	D	"[{""request_id"": ""ccr-3169-D-A11"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-D-base"", ""coefficient"": -1}]"
ccr-3169-LD-A11-minus-base	variant_minus_baseline	3169	LD	"[{""request_id"": ""ccr-3169-LD-A11"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-LD-base"", ""coefficient"": -1}]"
ccr-3169-D-A12-minus-base	variant_minus_baseline	3169	D	"[{""request_id"": ""ccr-3169-D-A12"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-D-base"", ""coefficient"": -1}]"
ccr-3169-LD-A12-minus-base	variant_minus_baseline	3169	LD	"[{""request_id"": ""ccr-3169-LD-A12"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-LD-base"", ""coefficient"": -1}]"
ccr-3169-D-A13-minus-base	variant_minus_baseline	3169	D	"[{""request_id"": ""ccr-3169-D-A13"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-D-base"", ""coefficient"": -1}]"
ccr-3169-LD-A13-minus-base	variant_minus_baseline	3169	LD	"[{""request_id"": ""ccr-3169-LD-A13"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-LD-base"", ""coefficient"": -1}]"
ccr-3169-D-A14-minus-base	variant_minus_baseline	3169	D	"[{""request_id"": ""ccr-3169-D-A14"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-D-base"", ""coefficient"": -1}]"
ccr-3169-LD-A14-minus-base	variant_minus_baseline	3169	LD	"[{""request_id"": ""ccr-3169-LD-A14"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-LD-base"", ""coefficient"": -1}]"
ccr-3169-D-A15-minus-base	variant_minus_baseline	3169	D	"[{""request_id"": ""ccr-3169-D-A15"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-D-base"", ""coefficient"": -1}]"
ccr-3169-LD-A15-minus-base	variant_minus_baseline	3169	LD	"[{""request_id"": ""ccr-3169-LD-A15"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-LD-base"", ""coefficient"": -1}]"
ccr-3169-D-A16-minus-base	variant_minus_baseline	3169	D	"[{""request_id"": ""ccr-3169-D-A16"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-D-base"", ""coefficient"": -1}]"
ccr-3169-LD-A16-minus-base	variant_minus_baseline	3169	LD	"[{""request_id"": ""ccr-3169-LD-A16"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-LD-base"", ""coefficient"": -1}]"
ccr-3169-D-A17-minus-base	variant_minus_baseline	3169	D	"[{""request_id"": ""ccr-3169-D-A17"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-D-base"", ""coefficient"": -1}]"
ccr-3169-LD-A17-minus-base	variant_minus_baseline	3169	LD	"[{""request_id"": ""ccr-3169-LD-A17"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-LD-base"", ""coefficient"": -1}]"
ccr-3169-D-A18-minus-base	variant_minus_baseline	3169	D	"[{""request_id"": ""ccr-3169-D-A18"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-D-base"", ""coefficient"": -1}]"
ccr-3169-LD-A18-minus-base	variant_minus_baseline	3169	LD	"[{""request_id"": ""ccr-3169-LD-A18"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-LD-base"", ""coefficient"": -1}]"
ccr-3169-D-A19-minus-base	variant_minus_baseline	3169	D	"[{""request_id"": ""ccr-3169-D-A19"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-D-base"", ""coefficient"": -1}]"
ccr-3169-LD-A19-minus-base	variant_minus_baseline	3169	LD	"[{""request_id"": ""ccr-3169-LD-A19"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-LD-base"", ""coefficient"": -1}]"
ccr-3169-D-A20-minus-base	variant_minus_baseline	3169	D	"[{""request_id"": ""ccr-3169-D-A20"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-D-base"", ""coefficient"": -1}]"
ccr-3169-LD-A20-minus-base	variant_minus_baseline	3169	LD	"[{""request_id"": ""ccr-3169-LD-A20"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-LD-base"", ""coefficient"": -1}]"
ccr-541-L-L01-minus-base	variant_minus_baseline	541	L	"[{""request_id"": ""ccr-541-L-L01"", ""coefficient"": 1}, {""request_id"": ""ccr-541-L-base"", ""coefficient"": -1}]"
ccr-541-LD-L01-minus-base	variant_minus_baseline	541	LD	"[{""request_id"": ""ccr-541-LD-L01"", ""coefficient"": 1}, {""request_id"": ""ccr-541-LD-base"", ""coefficient"": -1}]"
ccr-541-L-L02-minus-base	variant_minus_baseline	541	L	"[{""request_id"": ""ccr-541-L-L02"", ""coefficient"": 1}, {""request_id"": ""ccr-541-L-base"", ""coefficient"": -1}]"
ccr-541-LD-L02-minus-base	variant_minus_baseline	541	LD	"[{""request_id"": ""ccr-541-LD-L02"", ""coefficient"": 1}, {""request_id"": ""ccr-541-LD-base"", ""coefficient"": -1}]"
ccr-541-L-L03-minus-base	variant_minus_baseline	541	L	"[{""request_id"": ""ccr-541-L-L03"", ""coefficient"": 1}, {""request_id"": ""ccr-541-L-base"", ""coefficient"": -1}]"
ccr-541-LD-L03-minus-base	variant_minus_baseline	541	LD	"[{""request_id"": ""ccr-541-LD-L03"", ""coefficient"": 1}, {""request_id"": ""ccr-541-LD-base"", ""coefficient"": -1}]"
ccr-541-L-L04-minus-base	variant_minus_baseline	541	L	"[{""request_id"": ""ccr-541-L-L04"", ""coefficient"": 1}, {""request_id"": ""ccr-541-L-base"", ""coefficient"": -1}]"
ccr-541-LD-L04-minus-base	variant_minus_baseline	541	LD	"[{""request_id"": ""ccr-541-LD-L04"", ""coefficient"": 1}, {""request_id"": ""ccr-541-LD-base"", ""coefficient"": -1}]"
ccr-3169-L-L05-minus-base	variant_minus_baseline	3169	L	"[{""request_id"": ""ccr-3169-L-L05"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-L-base"", ""coefficient"": -1}]"
ccr-3169-LD-L05-minus-base	variant_minus_baseline	3169	LD	"[{""request_id"": ""ccr-3169-LD-L05"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-LD-base"", ""coefficient"": -1}]"
ccr-3169-L-L06-minus-base	variant_minus_baseline	3169	L	"[{""request_id"": ""ccr-3169-L-L06"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-L-base"", ""coefficient"": -1}]"
ccr-3169-LD-L06-minus-base	variant_minus_baseline	3169	LD	"[{""request_id"": ""ccr-3169-LD-L06"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-LD-base"", ""coefficient"": -1}]"
ccr-3169-L-L07-minus-base	variant_minus_baseline	3169	L	"[{""request_id"": ""ccr-3169-L-L07"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-L-base"", ""coefficient"": -1}]"
ccr-3169-LD-L07-minus-base	variant_minus_baseline	3169	LD	"[{""request_id"": ""ccr-3169-LD-L07"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-LD-base"", ""coefficient"": -1}]"
ccr-3169-L-L08-minus-base	variant_minus_baseline	3169	L	"[{""request_id"": ""ccr-3169-L-L08"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-L-base"", ""coefficient"": -1}]"
ccr-3169-LD-L08-minus-base	variant_minus_baseline	3169	LD	"[{""request_id"": ""ccr-3169-LD-L08"", ""coefficient"": 1}, {""request_id"": ""ccr-3169-LD-base"", ""coefficient"": -1}]"
ccr-541-D-B01-same-minus-base	variant_minus_baseline	541	D	"[{""request_id"": ""ccr-541-D-B01-same"", ""coefficient"": 1}, {""request_id"": ""ccr-541-D-base"", ""coefficient"": -1}]"
ccr-541-D-B01-flip-minus-base	variant_minus_baseline	541	D	"[{""request_id"": ""ccr-541-D-B01-flip"", ""coefficient"": 1}, {""request_id"": ""ccr-541-D-base"", ""coefficient"": -1}]"
B01-D-body_under_flipped_label	body_under_flipped_label	541	D	"[{""request_id"": ""ccr-541-D-A01"", ""coefficient"": -1}, {""request_id"": ""ccr-541-D-B01-flip"", ""coefficient"": 1}]"
B01-D-flip_under_replacement_body	flip_under_replacement_body	541	D	"[{""request_id"": ""ccr-541-D-B01-flip"", ""coefficient"": 1}, {""request_id"": ""ccr-541-D-B01-same"", ""coefficient"": -1}]"
B01-D-body_label_interaction	body_label_interaction	541	D	"[{""request_id"": ""ccr-541-D-A01"", ""coefficient"": -1}, {""request_id"": ""ccr-541-D-B01-flip"", ""coefficient"": 1}, {""request_id"": ""ccr-541-D-B01-same"", ""coefficient"": -1}, {""request_id"": ""ccr-541-D-base"", ""coefficient"": 1}]"
ccr-541-LD-B01-same-minus-base	variant_minus_baseline	541	LD	"[{""request_id"": ""ccr-541-LD-B01-same"", ""coefficient"": 1}, {""request_id"": ""ccr-541-LD-base"", ""coefficient"": -1}]"
