query_id	reference	recipient	D00_m	D01_m	D02_m	U2_m	P2_m	U0_m	P0_m	U0_job_id	P0_job_id	U2_job_id	P2_job_id	U0_effect	P0_effect	U0_minus_P0	U0_minus_U2	U0_minus_D00	reference_aligned_U0_effect	pair_bound	U0_transition	U2_transition	P0_transition	CPU_offset	CPU_shifted_m	D00_prediction	D01_prediction	D02_prediction	U2_prediction	P2_prediction	U0_prediction	P0_prediction	CPU_shifted_prediction
J01	无	ctm-J01-D01	22.465961456298828	-6.866451263427734	21.959318161010742	6.597324371337891	-6.9124755859375	8.090225219726562	-8.31313705444336	J01-D01-no-dictionary-focal	J01-D01-no-dictionary-preceding	J01-D01-upstream	J01-D01-preceding	14.956676483154297	-1.446685791015625	16.403362274169922	1.4929008483886719	-14.375736236572266	14.956676483154297	0.0001983642578125	repair	repair	unchanged	7.0	0.13354873657226562	无	有	无	无	有	无	有	无
J02	有	ctm-J02-D01	-24.084075927734375	-23.59368133544922	-23.86591339111328	-23.566795349121094	-23.59817123413086	-23.45751953125	-23.608604431152344	J02-D01-no-dictionary-focal	J02-D01-no-dictionary-preceding	J02-D01-upstream	J02-D01-preceding	0.13616180419921875	-0.014923095703125	0.15108489990234375	0.10927581787109375	0.626556396484375	-0.13616180419921875	0.0001983642578125	unchanged	unchanged	unchanged	7.0	-16.59368133544922	有	有	有	有	有	有	有	有
J03	无	ctm-J03-D01	-19.27337646484375	0.6060066223144531	-17.44255828857422	0.10279464721679688	0.6210784912109375	1.4931716918945312	0.6744384765625	J03-D01-no-dictionary-focal	J03-D01-no-dictionary-preceding	J03-D01-upstream	J03-D01-preceding	0.8871650695800781	0.06843185424804688	0.8187332153320312	1.3903770446777344	20.76654815673828	0.8871650695800781	0.0001983642578125	unchanged	unchanged	unchanged	7.0	7.606006622314453	有	无	有	无	无	无	无	无
J04	有	ctm-J04-D01	-23.105892181396484	-19.068363189697266	-16.649524688720703	-18.860767364501953	-19.121524810791016	-18.505882263183594	-19.013530731201172	J04-D01-no-dictionary-focal	J04-D01-no-dictionary-preceding	J04-D01-upstream	J04-D01-preceding	0.5624809265136719	0.05483245849609375	0.5076484680175781	0.3548851013183594	4.600009918212891	-0.5624809265136719	0.0001983642578125	unchanged	unchanged	unchanged	7.0	-12.068363189697266	有	有	有	有	有	有	有	有
G01	无	ctm-G01-D01	23.41927146911621	19.29629898071289	16.426597595214844	17.433124542236328	19.188091278076172	21.794445037841797	19.291461944580078	G01-D01-no-dictionary-focal	G01-D01-no-dictionary-preceding	G01-D01-upstream	G01-D01-preceding	2.4981460571289062	-0.0048370361328125	2.5029830932617188	4.361320495605469	-1.624826431274414	2.4981460571289062	0.0001983642578125	unchanged	unchanged	unchanged	7.0	26.29629898071289	无	无	无	无	无	无	无	无
G02	有	ctm-G02-D01	-24.791908264160156	-23.301708221435547	-22.717529296875	-23.21869659423828	-23.3201904296875	-23.562580108642578	-23.368946075439453	G02-D01-no-dictionary-focal	G02-D01-no-dictionary-preceding	G02-D01-upstream	G02-D01-preceding	-0.26087188720703125	-0.06723785400390625	-0.193634033203125	-0.3438835144042969	1.2293281555175781	0.26087188720703125	0.0001983642578125	unchanged	unchanged	unchanged	7.0	-16.301708221435547	有	有	有	有	有	有	有	有
G03	无	ctm-G03-D01	-25.433263778686523	-24.36880111694336	-24.55658531188965	-24.3740177154541	-24.367948532104492	-24.503395080566406	-24.34895133972168	G03-D01-no-dictionary-focal	G03-D01-no-dictionary-preceding	G03-D01-upstream	G03-D01-preceding	-0.13459396362304688	0.019849777221679688	-0.15444374084472656	-0.1293773651123047	0.9298686981201172	-0.13459396362304688	0.0001983642578125	unchanged	unchanged	unchanged	7.0	-17.36880111694336	有	有	有	有	有	有	有	有
G04	有	ctm-G04-D01	-25.70330047607422	-24.7913818359375	-26.2181396484375	-24.795730590820312	-24.789104461669922	-24.902660369873047	-24.790061950683594	G04-D01-no-dictionary-focal	G04-D01-no-dictionary-preceding	G04-D01-upstream	G04-D01-preceding	-0.11127853393554688	0.00131988525390625	-0.11259841918945312	-0.10692977905273438	0.8006401062011719	0.11127853393554688	0.0001983642578125	unchanged	unchanged	unchanged	7.0	-17.7913818359375	有	有	有	有	有	有	有	有
B01	无	ctm-B01-D01	-20.05282211303711	-20.19007110595703	-20.100692749023438	-19.078372955322266	-20.18035888671875	-17.454750061035156	-20.18642807006836	B01-D01-no-dictionary-focal	B01-D01-no-dictionary-preceding	B01-D01-upstream	B01-D01-preceding	2.735321044921875	0.003643035888671875	2.731678009033203	1.6236228942871094	2.598072052001953	2.735321044921875	0.0001983642578125	unchanged	unchanged	unchanged	7.0	-13.190071105957031	有	有	有	有	有	有	有	有
B02	有	ctm-B02-D01	-20.526592254638672	-21.071758270263672	-19.942249298095703	-19.792499542236328	-21.117141723632812	-19.338294982910156	-21.087242126464844	B02-D01-no-dictionary-focal	B02-D01-no-dictionary-preceding	B02-D01-upstream	B02-D01-preceding	1.7334632873535156	-0.015483856201171875	1.7489471435546875	0.4542045593261719	1.1882972717285156	-1.7334632873535156	0.0001983642578125	unchanged	unchanged	unchanged	7.0	-14.071758270263672	有	有	有	有	有	有	有	有
B03	无	ctm-B03-D01	-12.84933090209961	-11.045585632324219	-14.470748901367188	-13.996807098388672	-11.212272644042969	-8.163761138916016	-11.270950317382812	B03-D01-no-dictionary-focal	B03-D01-no-dictionary-preceding	B03-D01-upstream	B03-D01-preceding	2.881824493408203	-0.22536468505859375	3.107189178466797	5.833045959472656	4.685569763183594	2.881824493408203	0.0001983642578125	unchanged	unchanged	unchanged	7.0	-4.045585632324219	有	有	有	有	有	有	有	有
B04	有	ctm-B04-D01	-22.519588470458984	-22.095043182373047	-21.664798736572266	-21.977718353271484	-22.08285903930664	-22.054630279541016	-22.068527221679688	B04-D01-no-dictionary-focal	B04-D01-no-dictionary-preceding	B04-D01-upstream	B04-D01-preceding	0.04041290283203125	0.026515960693359375	0.013896942138671875	-0.07691192626953125	0.46495819091796875	-0.04041290283203125	0.0001983642578125	unchanged	unchanged	unchanged	7.0	-15.095043182373047	有	有	有	有	有	有	有	有
