id,content,label,x,y,cluster
423,我广东人，说实话广东人和广西人，总体来说的确是丑人多。如果你去过四川，东北这些地方玩过，你会发现这几个地方的平均颜值高广东几个档次,Region,2.1942267,4.7584825,6
3761,本东北人表示的确如此，河南黑吉山东毕竟被黑一个是穷一个是毕竟知名，江西这几年彩礼也风口，至于青海这种地方，你问他青海属于西藏还是新疆，很多人的确会谨慎地二选一的。,Region,-0.2565717,5.7022476,3
927,广州就是黑河南、黑北方的总部,Region,1.5914961,3.5645144,6
1675,西安本地作风彪悍的大多是东边某省逃荒过来的后裔,Region,-0.79486215,8.073357,6
3235,好家伙，间接黑了一波北京（玩笑）,Region,3.8901436,6.6619473,7
6035,哈哈雀食，上大人果然都是你这样😄,Region,1.1631436,5.386203,0
1558,我就是这个意思啊：被黑并不完全是经济原因。答主不必为这个生气，各地都会因不同的原因被黑。,Region,2.2311726,6.161621,7
5564,害就是淮河流域嘛，传统的农业区，自然灾害频发，经济教育资源都匮乏，文化素质整体也不高，而且距离他们最近的发达地区就是长三角，去了之后又犯事，自然就被歧视了,Region,2.310264,7.2526217,2
1680,美国人牛啊 能打 你们吴越人能打吗？要是古代就是吴越统一天下那现在肯定都在学吴语,Region,2.6539233,4.9774504,0
357,地域黑比较典型的几个，按大区域东北被黑，按省河南被黑，二线城市武汉被黑，一线城市广州被黑🤣,Region,1.0630709,5.560261,7
6466,唐山也被骂的好惨😭,Region,0.38600516,4.9135804,7
293,看来非洲真是未来人口增长的主动力。,Region,4.542125,4.8067436,0
7190,为啥是回民和东北人会被黑啊？,Region,0.02372908,4.5821557,1
1966,你这心态不行啊，经济基础决定上层建筑么不是，河南省要是在东南沿海你看谁敢多说一句？🙂北方嘛，说那么多没什么意义，什么好的坏的，你看黑吉辽那一亿人还不是被黑的裤子都穿不上？,Region,-0.3243049,5.796189,3
4829,你这加一起四舍五入没有黑天津的多,Region,0.8745328,6.099535,7
5138,所以 就更该学日本人，啥都没有，踩雷了损失也不大。,Region,3.5487216,4.480911,0
2228,我就是湖南人呀，你们讨厌我们，我们湖南人还讨厌你，你以为你是谁啊！我们湖南人大部分都是好人，热情好客，包括我自己也是。有本事你一辈子别来湖南！！！,Region,-0.4691208,6.748457,6
2290,黑河南、黑北方的总部是广州，核心地带是从上海到广州的整个东南沿海，范围是整个南方,Region,1.5395544,3.43882,6
6312,一般人都怼东北吧😅。有些东北人不是搞不清，他就是直说江浙沪，所以最近被打脸打太厉害硬造了一个江南系，我也不知道是说谁。。。,Region,0.8098611,4.461163,1
4203,你说的河南人偷井盖才是无关紧要的，都带调侃的味道，但广东是在文化，族群等方面被黑，你别混淆视听，各种社区贴吧用户进去知乎，用户质量素质越来越低，各种地域黑，粤黑会越来越多,Region,-1.85973,6.57839,5
6568,陕西不算，高贵的陕西人只会黑甘肃人，如果自己做了丑事就会甩锅给甘肃庆阳人跟天水人，反正这两群人也不认为自己是甘肃人。,Region,-0.37664184,7.4815187,3
7400,也不是完全说是背锅 如果是大城市 北京上海 广州你去问老一辈确实很多外地穷的地方来的，加上八九十年代改革开放和华北东北工人失业潮，大批劳工南下经商，很多社会问题，然后老一辈就把这种印象传下来，然后接着有，不过现在没了，我很好奇现实中早已作古的地域黑，怎么网上一见一个有,Region,2.2234318,6.255027,7
2860,总结一句话 北方太大了人口众多感觉长的都一样操着原味国语，东北三省更是北方代表，南方人则强调地域的独特性。整体来看南方并不如北方团结😅,Region,0.7673754,4.238135,6
4551,上海属于被反噬,Region,4.4661016,7.262588,4
5536,说实话，我认识的苏北男生多数确实不想和他相处。,Region,1.742385,8.194044,2
2908,🤣🤣🤣确实内斗严重，天天看苏南苏北互喷,Region,2.0730026,8.46422,2
5396,女生我更不想了。。。苏北男的当街打老婆我亲眼目睹,Region,1.7147883,8.040097,0
2983,广西的桂柳地区长相跟全国其他地区差异不大，其他地区，嗯，就典型的岭南长相。,Region,2.2235832,4.741412,6
4604,真的就“最”了？才见过多少。想象过、思考过、体会过就够了，至于高密，谁知道那是个什么地方，如果有天到那，我会想这个名字有点耳熟，这是兴趣的一部分。而不是读完合上书想，高密是吧，太可怕了。二十世纪是吧，太可怕了。人类社会是吧，太可怕了。,Region,1.4685608,6.1519504,0
5054,为什么黑浙江啊,Region,2.8158805,7.8730464,7
3250,南方周末确实很多公知在里面，总说一些地域黑的话,Region,2.3161798,5.3559637,6
1904,当然，香港不说了，不过台湾是真不冤，台湾黑大陆几十年没断过，现在大陆都还没有黑台湾呢！做的最多的仅仅只是把台湾黑大陆的言论放到了大众面前。互联网上台湾和大陆之间的几乎所有视频都是从台媒那里截取的。,Region,2.7239957,5.3251023,7
7967,自己不理解说别人糊涂，行河南人是全国的祖宗，怪不得你们被黑的厉害。,Region,-0.74510753,6.7467575,3
5149,嗐，上次还有人跟我诡辩说称北京人为正黄旗不算地域歧视，只能算嫉妒、情绪发泄，我能说啥🤔,Region,3.2165103,6.4131403,6
