query_id	recipient	donor	focal_job_id	pre_job_id	delta_m	bound	reference_aligned_delta
J05	synthetic-J05-D01	synthetic-J05-D02	J05-D01-upstream	J05-D01-preceding	4.5672218799591064	2e-06	4.5672218799591064
J05	synthetic-J05-D02	synthetic-J05-D01	J05-D02-upstream	J05-D02-preceding	-4.5672218799591064	2e-06	-4.5672218799591064
J06	synthetic-J06-D01	synthetic-J06-D02	J06-D01-upstream	J06-D01-preceding	4.5672218799591064	2e-06	4.5672218799591064
J06	synthetic-J06-D02	synthetic-J06-D01	J06-D02-upstream	J06-D02-preceding	-4.5672218799591064	2e-06	-4.5672218799591064
J07	synthetic-J07-D01	synthetic-J07-D02	J07-D01-upstream	J07-D01-preceding	4.5672218799591064	2e-06	4.5672218799591064
J07	synthetic-J07-D02	synthetic-J07-D01	J07-D02-upstream	J07-D02-preceding	-4.5672218799591064	2e-06	-4.5672218799591064
J08	synthetic-J08-D01	synthetic-J08-D02	J08-D01-upstream	J08-D01-preceding	4.5672218799591064	2e-06	4.5672218799591064
J08	synthetic-J08-D02	synthetic-J08-D01	J08-D02-upstream	J08-D02-preceding	-4.5672218799591064	2e-06	-4.5672218799591064
J09	synthetic-J09-D01	synthetic-J09-D02	J09-D01-upstream	J09-D01-preceding	4.5672218799591064	2e-06	-4.5672218799591064
J09	synthetic-J09-D02	synthetic-J09-D01	J09-D02-upstream	J09-D02-preceding	-4.5672218799591064	2e-06	4.5672218799591064
J10	synthetic-J10-D01	synthetic-J10-D02	J10-D01-upstream	J10-D01-preceding	4.5672218799591064	2e-06	-4.5672218799591064
J10	synthetic-J10-D02	synthetic-J10-D01	J10-D02-upstream	J10-D02-preceding	-4.5672218799591064	2e-06	4.5672218799591064
