request_id	query_id	dictionary_id	tokens	focal	pre	prompt_sha256
ctm-J01-D00	J01	D00	578	[556, 557]	[554, 555]	df5d2fc835cc6ef82c721f19523502678fe8015752b69c07c46080151819b55a
ctm-J01-D01	J01	D01	615	[593, 594]	[591, 592]	d0f414b5b179fd05cecc2dfc3abf33c2e786504a9e102219a0945344e490c1fd
ctm-J01-D02	J01	D02	597	[575, 576]	[573, 574]	7834107412545b79b58c8a9a6716cda9ea62f4798e57795db14ebdd168083286
ctm-J02-D00	J02	D00	578	[563, 564]	[561, 562]	f508c10dfb8608cca9dd4355c1a9ee86234ae831e849d9df0f029e54b0744adb
ctm-J02-D01	J02	D01	615	[600, 601]	[598, 599]	5f6e57a0344b0098b684ab4ff1b668a6b5d4d68dca50967905e18177fd65dfff
ctm-J02-D02	J02	D02	597	[582, 583]	[580, 581]	d99ada3c6b1377c0984ff60a6760e84c20e55be30b68234c742518cd0e1b4042
ctm-J03-D00	J03	D00	578	[564, 565]	[562, 563]	affb1968b424d6a821bf1e896400931aec136cdce05060b669cf62e158b29476
ctm-J03-D01	J03	D01	615	[601, 602]	[599, 600]	b75a022f72a6707d2c560b0edbd327266c63d0a5da84ecb413465217dc66d34f
ctm-J03-D02	J03	D02	597	[583, 584]	[581, 582]	a5d6354373c8a01c66b67ff125ce1c3dd607dd36a6958003d9ddfcbd3e80b8ff
ctm-J04-D00	J04	D00	580	[558, 559]	[556, 557]	55dc10a7a379177204811fcc1f2331be1e221a2ffa622698cf41d82991c987a6
ctm-J04-D01	J04	D01	617	[595, 596]	[593, 594]	3847fd610c8ce1690b4e11e89eeeef092f3b7bd146d8c4b87b41cfa52dcbab94
ctm-J04-D02	J04	D02	599	[577, 578]	[575, 576]	9ee20ee9c2e4f0bf0911087372e82d4962ed45c67a6d034f6f0cc40adc50e888
ctm-G01-D00	G01	D00	611	[584]	[583]	bdc44fcc3d20c90dbc4a0227f7517b6efec2e0a28bfce62fea1ed47576131b5a
ctm-G01-D01	G01	D01	640	[613]	[612]	7f246600f5be73bcddf85b31c71f3346b5123fd5d5b4c5511bf5b391ebdace69
ctm-G01-D02	G01	D02	634	[607]	[606]	b9b75766d41bed804689534f008558f582335c6a47fba5565019ef050bb4ccd0
ctm-G02-D00	G02	D00	568	[557]	[556]	12603ffe50624ebf0825bc90b78320cd6111597c05831d45201129fc2750cd56
ctm-G02-D01	G02	D01	597	[586]	[585]	8d0d4fa65df2ba1e6e429bb972a04e2d965a743d85a5085726336d7c01a651e7
ctm-G02-D02	G02	D02	591	[580]	[579]	35dbd14abab5279fb654fb206118c9e02c2c62fda3cb8357cc9043bc5e0361c0
ctm-G03-D00	G03	D00	584	[564]	[563]	1a32805b0ddd08c3081c606299ad2fff85390a60feaad5539d958d9fadb6c0e7
ctm-G03-D01	G03	D01	613	[593]	[592]	2febacbb149a167f5885d75ff524a1f112aa4165170650f3f0172ab1e3c853b5
ctm-G03-D02	G03	D02	607	[587]	[586]	2c95d3dc8a96e723f75a3b8aa8774a7d024a12a3d2f92209011942c135105cec
ctm-G04-D00	G04	D00	598	[558]	[557]	5d858ca7e20de633b82aa2e45324e2250cd54d53a8095943a12c287fbfa65327
ctm-G04-D01	G04	D01	627	[587]	[586]	5fd14822169ab295131b9b67eb024070ab4e5860fa28905b3177ed185111e662
ctm-G04-D02	G04	D02	621	[581]	[580]	cf21f949eb1524ea81efae0da523759edb4ef151156e92cf16dd2ad285a6eaf7
ctm-B01-D00	B01	D00	589	[577]	[576]	44cc19c441422233a5ba8b2384b5db514a9666ffadafb9b6f37c5c260e0106ed
ctm-B01-D01	B01	D01	627	[615]	[614]	642ec657ae12a17b6218408f90dcdf530fdaddab276d897d5197e0736d958de7
ctm-B01-D02	B01	D02	610	[598]	[597]	67dc0e1ca6a86052f16fe71a0779cf0c779b4bd75226099e99d6ca3e15442ad8
ctm-B02-D00	B02	D00	591	[563]	[562]	b875e0261de7cdabcbc7c8428d9a0d9bce6c47b140501df8e0fee9cad2717def
ctm-B02-D01	B02	D01	629	[601]	[600]	9d28d3081b64bbf21dfe5dc92c535d2308725a4a3b48297f2318a886ad5fa9aa
ctm-B02-D02	B02	D02	612	[584]	[583]	e9fb32208092ed717886a95a2886bf902920bafe5fdaaa69c7e6375d694e15f4
ctm-B03-D00	B03	D00	582	[571]	[570]	4a1284263fe237c12928e2cabc5665522db9ef534763d7bb15431cbdc9ce5364
ctm-B03-D01	B03	D01	620	[609]	[608]	56a9b85a9b154c3eb5c8b5b26490260494078ec1415c63e3edf887ea5ad2d895
ctm-B03-D02	B03	D02	603	[592]	[591]	6e3fd545c63ddbdb5d63025d8f5ab489cdff427a5246b0dbeefc2972f202d5da
ctm-B04-D00	B04	D00	605	[562]	[561]	855c80ef29450843f3a958e96f9b45af44aa7de28fcc9138c5d6e7d31b615289
ctm-B04-D01	B04	D01	643	[600]	[599]	7cc11ff3d3f3ce99df4eeb8f379f01230992444791a96a64fff460fd9f345438
ctm-B04-D02	B04	D02	626	[583]	[582]	c769c1a4652ef6b1370969b77d3d229ceee9f9a048dece5326235320d5b90b83
