object_id,kind,hate,group,attack_severity,definition_verdict,adopted_definition,source_fit,query_fit,topic_hate,topic_group,rule_hate,rule_group,lexicon_risk,acceptance_mode,pre_acceptance_field_provenance,source_snapshot
definition:lex-0005:sense:01,definition,,,,other_problem,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0016:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0018:sense:01,definition,,,,other_problem,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0021:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0029:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0031:sense:01,definition,,,,other_problem,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0032:sense:01,definition,,,,other_problem,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0037:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0048:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0057:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0060:sense:01,definition,,,,other_problem,对非洲人的轻蔑或贬损称呼；不能仅凭该词把地域身份等同为黑人种族身份，具体种族指向需另有语境依据。,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""human_with_ai""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0067:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0068:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0080:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0080:sense:02,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0082:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0090:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0092:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0104:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0105:sense:01,definition,,,,other_problem,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0108:sense:01,definition,,,,other_problem,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0111:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0112:sense:01,definition,,,,other_problem,源自 gay 的粤语音译，指男同性恋者；可带贬损或调侃色彩，也可用于自称。是否构成攻击须结合语境。,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""human_with_ai""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0117:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0119:sense:01,definition,,,,other_problem,‘国男’的谐音写法，在部分网络性别争论中用于称呼或贬评中国男性；不预设使用者的性别或女权立场。,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0129:sense:01,definition,,,,other_problem,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0135:sense:01,definition,,,,other_problem,在部分指人语境中，可作对白人的轻蔑或贬损称呼；普通肤色、物品或其他字面用法不据此判攻击。,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""human_with_ai""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0174:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0175:sense:01,definition,,,,other_problem,‘恋童’的谐音写法，网络中用于提及对儿童的性兴趣，或对他人作此类指控；日常用法不必严格对应临床诊断。普通金属冶炼语境不属于此义。,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""human_with_ai""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0182:sense:01,definition,,,,other_problem,有关感染HIV或患艾滋病的简略说法；在部分语境中被用于疾病污名化，但词面本身不指明性取向，也不自动表示攻击。,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""human_with_ai""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0191:sense:01,definition,,,,other_problem,‘脑瘫’的拼音首字母写法；在网络争论中常用作贬评智力、理解力或反应能力的粗俗称呼。这是说话者的侮辱，不说明被指称者实际患有相应疾病；其他缩写用法另辨。,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""human_with_ai""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0212:sense:01,definition,,,,other_problem,借‘人种’谈论或讽刺江浙地区身份、地域优越感的网络说法；具体是在赞同优越论、自嘲、反讽还是转述，需看上下文，不预设使用者的籍贯或被称呼者确有歧视行为。,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""human_with_ai""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0235:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0236:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0247:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0256:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0267:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0279:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0282:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0286:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0287:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0290:sense:01,definition,,,,other_problem,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0292:sense:01,definition,,,,reasonable,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0310:sense:01,definition,,,,other_problem,本指黑色皮肤；在部分语境中可指黑人，也可用于贬损。是否带贬义取决于作者立场及上下文，不由肤色指称本身决定。,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""human_with_ai""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
definition:lex-0325:sense:01,definition,,,,other_problem,,,,,,,,,explicit_user_bulk_acceptance,"{""definition_verdict"": ""ai_note""}","{""path"": ""resource-reviews-v1/definitions/snapshots/263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b/reviews.json"", ""sha256"": ""263e5b0aad86124316337ba1eb3a638e278a796a3b3d265cbfcea7c8ad2e2d3b""}"
