query_id,focus_task,primary_bucket,reviewer,review_kind,stage1_resource_notes,ambiguity_stance,definition_fit,category_relation,demo_correspondence,stage2_candidate_explanation,alternative_explanation,gold_dispute,falsifiable_followup,patching_defer_reason,review_status
3683,hate,H_rescue,,,,,,,,,,,,,unreviewed
541,hate,H_rescue,,,,,,,,,,,,,unreviewed
4615,hate,H_rescue,,,,,,,,,,,,,unreviewed
7903,hate,H_rescue,,,,,,,,,,,,,unreviewed
5086,hate,H_residual,,,,,,,,,,,,,unreviewed
3169,hate,H_residual,,,,,,,,,,,,,unreviewed
1160,hate,H_residual,,,,,,,,,,,,,unreviewed
3898,hate,H_residual,,,,,,,,,,,,,unreviewed
61,hate,H_removal_harm,,,,,,,,,,,,,unreviewed
5423,hate,H_removal_harm,,,,,,,,,,,,,unreviewed
7646,hate,H_removal_harm,,,,,,,,,,,,,unreviewed
1292,hate,H_removal_harm,,,,,,,,,,,,,unreviewed
7960,group,G_category_support,,,,,,,,,,,,,unreviewed
7244,group,G_category_support,,,,,,,,,,,,,unreviewed
554,group,G_category_support,,,,,,,,,,,,,unreviewed
1746,group,G_category_support,,,,,,,,,,,,,unreviewed
2297,hate,H_joint_only,,,,,,,,,,,,,unreviewed
1900,hate,H_joint_only,,,,,,,,,,,,,unreviewed
4756,hate,H_joint_only,,,,,,,,,,,,,unreviewed
7285,hate,H_joint_only,,,,,,,,,,,,,unreviewed
6037,group,G_joint_only,,,,,,,,,,,,,unreviewed
2802,group,G_joint_only,,,,,,,,,,,,,unreviewed
376,group,G_joint_only,,,,,,,,,,,,,unreviewed
4080,group,G_joint_only,,,,,,,,,,,,,unreviewed
1128,hate,Stable_correct,,,,,,,,,,,,,unreviewed
4189,group,Stable_correct,,,,,,,,,,,,,unreviewed
3919,hate,Stable_correct,,,,,,,,,,,,,unreviewed
3950,group,Stable_correct,,,,,,,,,,,,,unreviewed
4026,hate,Stable_wrong,,,,,,,,,,,,,unreviewed
4137,group,Stable_wrong,,,,,,,,,,,,,unreviewed
4450,hate,Stable_wrong,,,,,,,,,,,,,unreviewed
2011,group,Stable_wrong,,,,,,,,,,,,,unreviewed
