request_id	role	span_id	kind	label	mean_all_layers_heads_mass	mean_all_layers_heads_density
case-541-D	pre_answer	demo-2129	demo	示例1 #2129	0.013958000738879619	0.00012805505265027175
case-541-D	pre_answer	demo-4041	demo	示例2 #4041	0.00558309765223724	0.00013293089648183906
case-541-D	pre_answer	demo-1573	demo	示例3 #1573	0.003976242678684242	9.46724447305772e-05
case-541-D	pre_answer	demo-5612	demo	示例4 #5612	0.0047232696282049486	7.049656161499924e-05
case-541-D	pre_answer	demo-826	demo	示例5 #826	0.005586399677725416	9.6317235822852e-05
case-541-D	pre_answer	demo-1289	demo	示例6 #1289	0.004582864462792855	7.512892561955498e-05
case-541-D	pre_answer	demo-2430	demo	示例7 #2430	0.03905258509272039	0.0006508764182120064
case-541-D	pre_answer	demo-7499	demo	示例8 #7499	0.014033462297347504	8.662631047745372e-05
case-541-D	pre_answer	demo-3156	demo	示例9 #3156	0.008655771611065758	0.00018816894806664692
case-541-D	pre_answer	demo-4956	demo	示例10 #4956	0.012662956951029801	0.00023892371605716608
case-541-D	demos_end	demo-2129	demo	示例1 #2129	0.02313053013213251	0.00021220669845993127
case-541-D	demos_end	demo-4041	demo	示例2 #4041	0.019190444353928457	0.0004569153417602013
case-541-D	demos_end	demo-1573	demo	示例3 #1573	0.012593841418521127	0.00029985336710764587
case-541-D	demos_end	demo-5612	demo	示例4 #5612	0.013402865917005229	0.00020004277488067508
case-541-D	demos_end	demo-826	demo	示例5 #826	0.02202009348397845	0.00037965678420652494
case-541-D	demos_end	demo-1289	demo	示例6 #1289	0.015440214971397017	0.00025311827821962327
case-541-D	demos_end	demo-2430	demo	示例7 #2430	0.03864606022148244	0.0006441010036913741
case-541-D	demos_end	demo-7499	demo	示例8 #7499	0.034595755161377334	0.0002135540442060329
case-541-D	demos_end	demo-3156	demo	示例9 #3156	0.04659254809252858	0.0010128814802723605
case-541-D	demos_end	demo-4956	demo	示例10 #4956	0.16557051929682165	0.003123972062204183
case-541-D	query_end	demo-2129	demo	示例1 #2129	0.031132864827198157	0.0002856226130935611
case-541-D	query_end	demo-4041	demo	示例2 #4041	0.010166212451804074	0.00024205267742390655
case-541-D	query_end	demo-1573	demo	示例3 #1573	0.007113236625920616	0.0001693627768076337
case-541-D	query_end	demo-5612	demo	示例4 #5612	0.01271201903773663	0.00018973162742890492
case-541-D	query_end	demo-826	demo	示例5 #826	0.0171054778066857	0.00029492203114975344
case-541-D	query_end	demo-1289	demo	示例6 #1289	0.010331200671960226	0.00016936394544197093
case-541-D	query_end	demo-2430	demo	示例7 #2430	0.055524434732199854	0.0009254072455366643
case-541-D	query_end	demo-7499	demo	示例8 #7499	0.027196587088326736	0.00016788016721189336
case-541-D	query_end	demo-3156	demo	示例9 #3156	0.013840341292918132	0.000300876984628655
case-541-D	query_end	demo-4956	demo	示例10 #4956	0.028495378849205014	0.00053764865753217
case-541-D	query_all	demo-2129	demo	示例1 #2129	0.030713754334400427	0.0002817775627009213
case-541-D	query_all	demo-4041	demo	示例2 #4041	0.012648011758430108	0.0003011431371054788
case-541-D	query_all	demo-1573	demo	示例3 #1573	0.01077196485993686	0.00025647535380802047
case-541-D	query_all	demo-5612	demo	示例4 #5612	0.017400525556123002	0.00025970933665855233
case-541-D	query_all	demo-826	demo	示例5 #826	0.020057839404305437	0.00034582481731561097
case-541-D	query_all	demo-1289	demo	示例6 #1289	0.012813175515380838	0.00021005205762919407
case-541-D	query_all	demo-2430	demo	示例7 #2430	0.05352580818066588	0.0008920968030110978
case-541-D	query_all	demo-7499	demo	示例8 #7499	0.032742950047970974	0.00020211697560475908
case-541-D	query_all	demo-3156	demo	示例9 #3156	0.0157870460754034	0.00034319665381311756
case-541-D	query_all	demo-4956	demo	示例10 #4956	0.030727179256727508	0.0005797580991835379
case-541-D	query_focal	demo-2129	demo	示例1 #2129	0.025750968995713785	0.00023624742197902556
case-541-D	query_focal	demo-4041	demo	示例2 #4041	0.012180801197031486	0.00029001907611979734
case-541-D	query_focal	demo-1573	demo	示例3 #1573	0.011483688554910807	0.0002734211560693049
case-541-D	query_focal	demo-5612	demo	示例4 #5612	0.03665911928856396	0.0005471510341576711
case-541-D	query_focal	demo-826	demo	示例5 #826	0.017831849460559657	0.0003074456803544769
case-541-D	query_focal	demo-1289	demo	示例6 #1289	0.013501960306370233	0.00022134361157983987
case-541-D	query_focal	demo-2430	demo	示例7 #2430	0.0664632610360443	0.0011077210172674048
case-541-D	query_focal	demo-7499	demo	示例8 #7499	0.03449739745829106	0.0002129468978906855
case-541-D	query_focal	demo-3156	demo	示例9 #3156	0.01575285622525311	0.00034245339620115456
case-541-D	query_focal	demo-4956	demo	示例10 #4956	0.03492338316870039	0.0006589317579000072
case-541-L	pre_answer	lex-0187	lexicon	变态	0.010812729081270504	0.0004701186557074132
case-541-L	pre_answer	lex-0215	lexicon	男同	0.009725319450581062	0.0003890127780232424
case-541-L	lexicon_end	lex-0187	lexicon	变态	0.07942247797305597	0.0034531512162198253
case-541-L	lexicon_end	lex-0215	lexicon	男同	0.22545218303093595	0.009018087321237439
case-541-L	query_end	lex-0187	lexicon	变态	0.015110278143087843	0.0006569686149168626
case-541-L	query_end	lex-0215	lexicon	男同	0.016197157973758144	0.0006478863189503259
case-541-L	query_all	lex-0187	lexicon	变态	0.028490573101111836	0.001238720569613558
case-541-L	query_all	lex-0215	lexicon	男同	0.041363013331947356	0.001654520533277894
case-541-L	query_focal	lex-0187	lexicon	变态	0.022396781608596962	0.0009737731134172591
case-541-L	query_focal	lex-0215	lexicon	男同	0.10663182439730963	0.004265272975892385
case-541-LD	pre_answer	lex-0187	lexicon	变态	0.0031780561784499886	0.00013817635558478213
case-541-LD	pre_answer	lex-0215	lexicon	男同	0.0020958805878540515	8.383522351416207e-05
case-541-LD	pre_answer	demo-2129	demo	示例1 #2129	0.010820454602919867	9.927022571486118e-05
case-541-LD	pre_answer	demo-4041	demo	示例2 #4041	0.004808724797877727	0.0001144934475685173
case-541-LD	pre_answer	demo-1573	demo	示例3 #1573	0.0036487785638646577	8.687568009201565e-05
case-541-LD	pre_answer	demo-5612	demo	示例4 #5612	0.0048581016688206856	7.250898013165202e-05
case-541-LD	pre_answer	demo-826	demo	示例5 #826	0.0051384216251444785	8.859347629559445e-05
case-541-LD	pre_answer	demo-1289	demo	示例6 #1289	0.004435521995979705	7.271347534392959e-05
case-541-LD	pre_answer	demo-2430	demo	示例7 #2430	0.011725288600918562	0.00019542147668197602
case-541-LD	pre_answer	demo-7499	demo	示例8 #7499	0.045961453819009596	0.00028371267789512104
case-541-LD	pre_answer	demo-3156	demo	示例9 #3156	0.008419430305017881	0.00018303109358734523
case-541-LD	pre_answer	demo-4956	demo	示例10 #4956	0.011844659740379003	0.00022348414604488685
case-541-LD	lexicon_end	lex-0187	lexicon	变态	0.07942249347249199	0.003453151890108347
case-541-LD	lexicon_end	lex-0215	lexicon	男同	0.22545224841729425	0.009018089936691771
case-541-LD	demos_end	lex-0187	lexicon	变态	0.0064863482296642645	0.00028201514042018534
case-541-LD	demos_end	lex-0215	lexicon	男同	0.005669395118278466	0.00022677580473113863
case-541-LD	demos_end	demo-2129	demo	示例1 #2129	0.016848567234374404	0.0001545740113245358
case-541-LD	demos_end	demo-4041	demo	示例2 #4041	0.016229780145246682	0.0003864233367915876
case-541-LD	demos_end	demo-1573	demo	示例3 #1573	0.01160150343581378	0.00027622627228128055
case-541-LD	demos_end	demo-5612	demo	示例4 #5612	0.013502801288922076	0.00020153434759585188
case-541-LD	demos_end	demo-826	demo	示例5 #826	0.024716387278336097	0.0004261446082471741
case-541-LD	demos_end	demo-1289	demo	示例6 #1289	0.014993923564719078	0.00024580202565113247
case-541-LD	demos_end	demo-2430	demo	示例7 #2430	0.02489191941498354	0.00041486532358305894
case-541-LD	demos_end	demo-7499	demo	示例8 #7499	0.054472875612388276	0.00033625231859498936
case-541-LD	demos_end	demo-3156	demo	示例9 #3156	0.047000597046606314	0.0010217521097088329
case-541-LD	demos_end	demo-4956	demo	示例10 #4956	0.16313875264184458	0.0030780896724876337
case-541-LD	query_end	lex-0187	lexicon	变态	0.002937214533900746	0.00012770497973481505
case-541-LD	query_end	lex-0215	lexicon	男同	0.003349537166796533	0.00013398148667186137
case-541-LD	query_end	demo-2129	demo	示例1 #2129	0.031761279538196296	0.00029138788567152564
case-541-LD	query_end	demo-4041	demo	示例2 #4041	0.00996853981456636	0.00023734618606110385
case-541-LD	query_end	demo-1573	demo	示例3 #1573	0.007304882225764435	0.0001739257672801056
case-541-LD	query_end	demo-5612	demo	示例4 #5612	0.01387413800982861	0.00020707668671385982
case-541-LD	query_end	demo-826	demo	示例5 #826	0.015546658895981343	0.0002680458430341611
case-541-LD	query_end	demo-1289	demo	示例6 #1289	0.009919241870894007	0.00016261052247367225
case-541-LD	query_end	demo-2430	demo	示例7 #2430	0.020010353236133555	0.00033350588726889263
case-541-LD	query_end	demo-7499	demo	示例8 #7499	0.06665375135383794	0.0004114429095915922
case-541-LD	query_end	demo-3156	demo	示例9 #3156	0.013396745085294037	0.0002912335888107399
case-541-LD	query_end	demo-4956	demo	示例10 #4956	0.02728025369777303	0.0005147217678825101
case-541-LD	query_all	lex-0187	lexicon	变态	0.005947001940915595	0.0002585653017789389
case-541-LD	query_all	lex-0215	lexicon	男同	0.009847908489600127	0.00039391633958400503
case-541-LD	query_all	demo-2129	demo	示例1 #2129	0.028960468313483104	0.00026569236984846884
case-541-LD	query_all	demo-4041	demo	示例2 #4041	0.012684581395793395	0.00030201384275698557
case-541-LD	query_all	demo-1573	demo	示例3 #1573	0.011362353228026766	0.000270532219714923
case-541-LD	query_all	demo-5612	demo	示例4 #5612	0.017924006212244277	0.0002675224807797653
case-541-LD	query_all	demo-826	demo	示例5 #826	0.01841100758253226	0.0003174311652160733
case-541-LD	query_all	demo-1289	demo	示例6 #1289	0.01226001609066339	0.00020098387033874415
case-541-LD	query_all	demo-2430	demo	示例7 #2430	0.022789092923929898	0.0003798182153988316
case-541-LD	query_all	demo-7499	demo	示例8 #7499	0.0665746585896349	0.0004109546826520673
case-541-LD	query_all	demo-3156	demo	示例9 #3156	0.015399755432724514	0.0003347772920157503
case-541-LD	query_all	demo-4956	demo	示例10 #4956	0.02941765914908369	0.0005550501726242204
case-541-LD	query_focal	lex-0187	lexicon	变态	0.006373959399684177	0.00027712866955148594
case-541-LD	query_focal	lex-0215	lexicon	男同	0.037449709759547915	0.0014979883903819167
case-541-LD	query_focal	demo-2129	demo	示例1 #2129	0.025003262183966035	0.00022938772645840396
case-541-LD	query_focal	demo-4041	demo	示例2 #4041	0.012391869870512892	0.0002950445207264975
case-541-LD	query_focal	demo-1573	demo	示例3 #1573	0.010513994298054743	0.000250333197572732
case-541-LD	query_focal	demo-5612	demo	示例4 #5612	0.03456683910973671	0.000515922971787115
case-541-LD	query_focal	demo-826	demo	示例5 #826	0.0152237982821727	0.0002624792807271155
case-541-LD	query_focal	demo-1289	demo	示例6 #1289	0.012084516681205549	0.00019810683083943523
case-541-LD	query_focal	demo-2430	demo	示例7 #2430	0.02929874225092408	0.0004883123708487346
case-541-LD	query_focal	demo-7499	demo	示例8 #7499	0.06602071303587623	0.0004075352656535569
case-541-LD	query_focal	demo-3156	demo	示例9 #3156	0.014116590876462566	0.0003068824103578818
case-541-LD	query_focal	demo-4956	demo	示例10 #4956	0.03125214248279376	0.00058966306571309
case-541-LC	pre_answer	lex-0187	lexicon	变态	0.012314882629345207	0.0004398172367623288
case-541-LC	pre_answer	lex-0215	lexicon	男同	0.012185666304751432	0.00038080207202348225
case-541-LC	lexicon_end	lex-0187	lexicon	变态	0.08108915197167371	0.00289604114184549
case-541-LC	lexicon_end	lex-0215	lexicon	男同	0.25479557375794304	0.00796236167993572
case-541-LC	query_end	lex-0187	lexicon	变态	0.017613450208140875	0.0006290517931478883
case-541-LC	query_end	lex-0215	lexicon	男同	0.018931121140922963	0.0005915975356538426
case-541-LC	query_all	lex-0187	lexicon	变态	0.03037782734227965	0.001084922405081416
case-541-LC	query_all	lex-0215	lexicon	男同	0.0454744184748798	0.0014210755773399937
case-541-LC	query_focal	lex-0187	lexicon	变态	0.022954539327442316	0.0008198049759800828
case-541-LC	query_focal	lex-0215	lexicon	男同	0.11619509371014915	0.003631096678442161
case-541-LDC	pre_answer	lex-0187	lexicon	变态	0.004379319036882712	0.00015640425131723969
case-541-LDC	pre_answer	lex-0215	lexicon	男同	0.0027192034851517754	8.497510891099298e-05
case-541-LDC	pre_answer	demo-2129	demo	示例1 #2129	0.010919482142776691	0.00010017873525483202
case-541-LDC	pre_answer	demo-4041	demo	示例2 #4041	0.004819205214922799	0.0001147429813076857
case-541-LDC	pre_answer	demo-1573	demo	示例3 #1573	0.003658212946220605	8.710030824334776e-05
case-541-LDC	pre_answer	demo-5612	demo	示例4 #5612	0.004772615227461536	7.123306309644085e-05
case-541-LDC	pre_answer	demo-826	demo	示例5 #826	0.005229704323823396	9.01673159279896e-05
case-541-LDC	pre_answer	demo-1289	demo	示例6 #1289	0.0045117552974773606	7.396320159798953e-05
case-541-LDC	pre_answer	demo-2430	demo	示例7 #2430	0.009928320552354725	0.00016547200920591208
case-541-LDC	pre_answer	demo-7499	demo	示例8 #7499	0.04646021016106714	0.00028679142074732804
case-541-LDC	pre_answer	demo-3156	demo	示例9 #3156	0.008391444378304504	0.00018242270387618486
case-541-LDC	pre_answer	demo-4956	demo	示例10 #4956	0.01177125079303876	0.0002220990715667691
case-541-LDC	lexicon_end	lex-0187	lexicon	变态	0.08108913974224428	0.0028960407050801534
case-541-LDC	lexicon_end	lex-0215	lexicon	男同	0.25479551610341616	0.007962359878231755
case-541-LDC	demos_end	lex-0187	lexicon	变态	0.00790504835805056	0.0002823231556446628
case-541-LDC	demos_end	lex-0215	lexicon	男同	0.007477137970734478	0.00023366056158545244
case-541-LDC	demos_end	demo-2129	demo	示例1 #2129	0.0169036485792598	0.00015507934476385142
case-541-LDC	demos_end	demo-4041	demo	示例2 #4041	0.015739185245466226	0.00037474250584443395
case-541-LDC	demos_end	demo-1573	demo	示例3 #1573	0.01146962870420349	0.0002730863977191307
case-541-LDC	demos_end	demo-5612	demo	示例4 #5612	0.013274119158596547	0.00019812118147159027
case-541-LDC	demos_end	demo-826	demo	示例5 #826	0.024302874475766307	0.0004190150771683846
case-541-LDC	demos_end	demo-1289	demo	示例6 #1289	0.014737863950276542	0.00024160432705371378
case-541-LDC	demos_end	demo-2430	demo	示例7 #2430	0.02257572323889312	0.00037626205398155196
case-541-LDC	demos_end	demo-7499	demo	示例8 #7499	0.055099540945902664	0.00034012062312285596
case-541-LDC	demos_end	demo-3156	demo	示例9 #3156	0.04639261366565847	0.0010085350796882274
case-541-LDC	demos_end	demo-4956	demo	示例10 #4956	0.1632024070102594	0.0030792906983067806
case-541-LDC	query_end	lex-0187	lexicon	变态	0.0034261134527430338	0.00012236119474082265
case-541-LDC	query_end	lex-0215	lexicon	男同	0.003791575257390092	0.00011848672679344038
case-541-LDC	query_end	demo-2129	demo	示例1 #2129	0.03171166509150609	0.00029093270726152375
case-541-LDC	query_end	demo-4041	demo	示例2 #4041	0.009876000318114598	0.00023514286471701425
case-541-LDC	query_end	demo-1573	demo	示例3 #1573	0.00711842945416696	0.00016948641557540384
case-541-LDC	query_end	demo-5612	demo	示例4 #5612	0.01371909118328727	0.00020476255497443684
case-541-LDC	query_end	demo-826	demo	示例5 #826	0.01571929249124903	0.00027102228433187987
case-541-LDC	query_end	demo-1289	demo	示例6 #1289	0.009934664819898346	0.00016286335770325158
case-541-LDC	query_end	demo-2430	demo	示例7 #2430	0.01806354355237687	0.0003010590592062812
case-541-LDC	query_end	demo-7499	demo	示例8 #7499	0.06715165348246138	0.00041451637952136656
case-541-LDC	query_end	demo-3156	demo	示例9 #3156	0.013344120497057653	0.00029008957602299243
case-541-LDC	query_end	demo-4956	demo	示例10 #4956	0.027054811418441002	0.000510468139970585
case-541-LDC	query_all	lex-0187	lexicon	变态	0.0065393573558009226	0.0002335484769928901
case-541-LDC	query_all	lex-0215	lexicon	男同	0.010858654739112104	0.00033933296059725324
case-541-LDC	query_all	demo-2129	demo	示例1 #2129	0.028410269258271066	0.00026064467209422997
case-541-LDC	query_all	demo-4041	demo	示例2 #4041	0.01236906175840691	0.00029450147043825976
case-541-LDC	query_all	demo-1573	demo	示例3 #1573	0.010923591058746681	0.0002600855013987305
case-541-LDC	query_all	demo-5612	demo	示例4 #5612	0.017774187356942674	0.000265286378461831
case-541-LDC	query_all	demo-826	demo	示例5 #826	0.018693478772228354	0.00032230135814186815
case-541-LDC	query_all	demo-1289	demo	示例6 #1289	0.012199834793307433	0.0001999972916935645
case-541-LDC	query_all	demo-2430	demo	示例7 #2430	0.020818784547046703	0.00034697974245077846
case-541-LDC	query_all	demo-7499	demo	示例8 #7499	0.06702868960926193	0.00041375734326704896
case-541-LDC	query_all	demo-3156	demo	示例9 #3156	0.015379444054383006	0.00033433574031267407
case-541-LDC	query_all	demo-4956	demo	示例10 #4956	0.029221468609823206	0.000551348464336287
case-541-LDC	query_focal	lex-0187	lexicon	变态	0.006706631584969478	0.00023952255660605285
case-541-LDC	query_focal	lex-0215	lexicon	男同	0.03938458330624303	0.0012307682283200947
case-541-LDC	query_focal	demo-2129	demo	示例1 #2129	0.023889238504367263	0.00021916732572814003
case-541-LDC	query_focal	demo-4041	demo	示例2 #4041	0.01222701455182177	0.0002911193940909945
case-541-LDC	query_focal	demo-1573	demo	示例3 #1573	0.010184799267453491	0.00024249522065365457
case-541-LDC	query_focal	demo-5612	demo	示例4 #5612	0.03440499582458833	0.00051350740036699
case-541-LDC	query_focal	demo-826	demo	示例5 #826	0.015789154750517218	0.00027222680604340035
case-541-LDC	query_focal	demo-1289	demo	示例6 #1289	0.012093225128576225	0.00019824959227174137
case-541-LDC	query_focal	demo-2430	demo	示例7 #2430	0.027448120160310775	0.0004574686693385129
case-541-LDC	query_focal	demo-7499	demo	示例8 #7499	0.06686208965915129	0.0004127289485132796
case-541-LDC	query_focal	demo-3156	demo	示例9 #3156	0.014203043833059058	0.00030876182245780554
case-541-LDC	query_focal	demo-4956	demo	示例10 #4956	0.03130330692432263	0.0005906284325343893
case-3169-D	pre_answer	demo-3602	demo	示例1 #3602	0.010887644174092893	0.000573033903899626
case-3169-D	pre_answer	demo-6493	demo	示例2 #6493	0.007669056548666994	0.00030676226194667976
case-3169-D	pre_answer	demo-3660	demo	示例3 #3660	0.0041421911881292465	0.00015931504569727869
case-3169-D	pre_answer	demo-7611	demo	示例4 #7611	0.004426808255890718	0.0001054001965688266
case-3169-D	pre_answer	demo-5780	demo	示例5 #5780	0.004449016112967006	0.00012711474608477158
case-3169-D	pre_answer	demo-7640	demo	示例6 #7640	0.004364338188148288	0.00017457352752593154
case-3169-D	pre_answer	demo-3519	demo	示例7 #3519	0.006609424948911837	0.00012017136270748794
case-3169-D	pre_answer	demo-3582	demo	示例8 #3582	0.008416988065861544	0.0001426608146756194
case-3169-D	pre_answer	demo-6035	demo	示例9 #6035	0.00800240537936512	0.0003810669228269105
case-3169-D	pre_answer	demo-3585	demo	示例10 #3585	0.010741726763983838	0.0003069064789709668
case-3169-D	demos_end	demo-3602	demo	示例1 #3602	0.02397182141021172	0.0012616748110637747
case-3169-D	demos_end	demo-6493	demo	示例2 #6493	0.01798805306569822	0.0007195221226279289
case-3169-D	demos_end	demo-3660	demo	示例3 #3660	0.012809688150018055	0.0004926803134622328
case-3169-D	demos_end	demo-7611	demo	示例4 #7611	0.013657577323272111	0.0003251804124588598
case-3169-D	demos_end	demo-5780	demo	示例5 #5780	0.015612875228734743	0.00044608214939242133
case-3169-D	demos_end	demo-7640	demo	示例6 #7640	0.01480615486150576	0.0005922461944602303
case-3169-D	demos_end	demo-3519	demo	示例7 #3519	0.02422940409209621	0.00044053461985629473
case-3169-D	demos_end	demo-3582	demo	示例8 #3582	0.026328155877200488	0.0004462399301220422
case-3169-D	demos_end	demo-6035	demo	示例9 #6035	0.036052098091135076	0.0017167665757683369
case-3169-D	demos_end	demo-3585	demo	示例10 #3585	0.14452838189387343	0.004129382339824955
case-3169-D	query_end	demo-3602	demo	示例1 #3602	0.012086238029526063	0.0006361177910276875
case-3169-D	query_end	demo-6493	demo	示例2 #6493	0.010042546307803508	0.00040170185231214027
case-3169-D	query_end	demo-3660	demo	示例3 #3660	0.006875344302434559	0.00026443631932440616
case-3169-D	query_end	demo-7611	demo	示例4 #7611	0.01357188910714091	0.0003231402168366883
case-3169-D	query_end	demo-5780	demo	示例5 #5780	0.010332692870139663	0.0002952197962897047
case-3169-D	query_end	demo-7640	demo	示例6 #7640	0.008477869280406383	0.0003391147712162553
case-3169-D	query_end	demo-3519	demo	示例7 #3519	0.011981129989711455	0.0002178387270856628
case-3169-D	query_end	demo-3582	demo	示例8 #3582	0.014627570146240653	0.0002479249177328924
case-3169-D	query_end	demo-6035	demo	示例9 #6035	0.009643947162804574	0.0004592355791811702
case-3169-D	query_end	demo-3585	demo	示例10 #3585	0.017908881874114685	0.0005116823392604195
case-3169-D	query_all	demo-3602	demo	示例1 #3602	0.02132591187209225	0.0011224164143206444
case-3169-D	query_all	demo-6493	demo	示例2 #6493	0.013783039865207897	0.0005513215946083159
case-3169-D	query_all	demo-3660	demo	示例3 #3660	0.013548146911506794	0.0005210825735194921
case-3169-D	query_all	demo-7611	demo	示例4 #7611	0.023675035073676794	0.0005636913112780188
case-3169-D	query_all	demo-5780	demo	示例5 #5780	0.013851825322122624	0.00039576643777493206
case-3169-D	query_all	demo-7640	demo	示例6 #7640	0.011261328595854084	0.0004504531438341634
case-3169-D	query_all	demo-3519	demo	示例7 #3519	0.015223835383354506	0.0002767970069700819
case-3169-D	query_all	demo-3582	demo	示例8 #3582	0.02025819496773964	0.00034335923674134983
case-3169-D	query_all	demo-6035	demo	示例9 #6035	0.011426889164380989	0.0005441375792562376
case-3169-D	query_all	demo-3585	demo	示例10 #3585	0.02348080450005062	0.000670880128572875
case-3169-D	query_focal	demo-3602	demo	示例1 #3602	0.029318597270649734	0.0015430840668763017
case-3169-D	query_focal	demo-6493	demo	示例2 #6493	0.024227109258229344	0.0009690843703291738
case-3169-D	query_focal	demo-3660	demo	示例3 #3660	0.029458876582555908	0.0011330337147136887
case-3169-D	query_focal	demo-7611	demo	示例4 #7611	0.028851080771612095	0.0006869304945621926
case-3169-D	query_focal	demo-5780	demo	示例5 #5780	0.015626142385716465	0.0004464612110204704
case-3169-D	query_focal	demo-7640	demo	示例6 #7640	0.015275405874525964	0.0006110162349810386
case-3169-D	query_focal	demo-3519	demo	示例7 #3519	0.020359464818155395	0.0003701720876028254
case-3169-D	query_focal	demo-3582	demo	示例8 #3582	0.02664055367707012	0.00045153480808593434
case-3169-D	query_focal	demo-6035	demo	示例9 #6035	0.015985335221098337	0.000761206439099921
case-3169-D	query_focal	demo-3585	demo	示例10 #3585	0.024637176129956716	0.0007039193179987633
case-3169-L	pre_answer	lex-0031	lexicon	仙女	0.005703480844739416	0.00019011602815798058
case-3169-L	pre_answer	lex-0104	lexicon	鸡	0.00753662300256454	0.00011419125761461423
case-3169-L	pre_answer	lex-0419	lexicon	嘿嘿	0.008421356469333147	0.00026316738966666083
case-3169-L	pre_answer	lex-0486	lexicon	fw	0.006783197770237722	0.00019380565057822063
case-3169-L	pre_answer	lex-0493	lexicon	剑人	0.008720172797274982	0.00024222702214652734
case-3169-L	pre_answer	lex-0663	lexicon	tm	0.009633567730529835	0.00025351494027710096
case-3169-L	lexicon_end	lex-0031	lexicon	仙女	0.01875940180860193	0.0006253133936200644
case-3169-L	lexicon_end	lex-0104	lexicon	鸡	0.038030951052379254	0.0005762265310966554
case-3169-L	lexicon_end	lex-0419	lexicon	嘿嘿	0.026086662359389123	0.0008152081987309101
case-3169-L	lexicon_end	lex-0486	lexicon	fw	0.03144326309618944	0.0008983789456054127
case-3169-L	lexicon_end	lex-0493	lexicon	剑人	0.04611872124699648	0.0012810755901943467
case-3169-L	lexicon_end	lex-0663	lexicon	tm	0.17791855439904466	0.00468206722102749
case-3169-L	query_end	lex-0031	lexicon	仙女	0.010756866668477407	0.00035856222228258024
case-3169-L	query_end	lex-0104	lexicon	鸡	0.02291133166743546	0.00034714138890053724
case-3169-L	query_end	lex-0419	lexicon	嘿嘿	0.025926817949546675	0.0008102130609233336
case-3169-L	query_end	lex-0486	lexicon	fw	0.01096305962184085	0.0003132302749097386
case-3169-L	query_end	lex-0493	lexicon	剑人	0.01219642267044869	0.00033878951862357473
case-3169-L	query_end	lex-0663	lexicon	tm	0.01647639435206333	0.0004335893250542981
case-3169-L	query_all	lex-0031	lexicon	仙女	0.014892557215874033	0.0004964185738624677
case-3169-L	query_all	lex-0104	lexicon	鸡	0.022279556014531885	0.00033756903052321044
case-3169-L	query_all	lex-0419	lexicon	嘿嘿	0.030293549980819345	0.0009466734369006045
case-3169-L	query_all	lex-0486	lexicon	fw	0.014326751997000937	0.00040933577134288386
case-3169-L	query_all	lex-0493	lexicon	剑人	0.015635660795426852	0.0004343239109840792
case-3169-L	query_all	lex-0663	lexicon	tm	0.018370014285803912	0.0004834214285737872
case-3169-L	query_focal	lex-0031	lexicon	仙女	0.014577776288206199	0.00048592587627354
case-3169-L	query_focal	lex-0104	lexicon	鸡	0.026629944136041632	0.00040348400206123683
case-3169-L	query_focal	lex-0419	lexicon	嘿嘿	0.06778846668604852	0.002118389583939016
case-3169-L	query_focal	lex-0486	lexicon	fw	0.019836699676720214	0.0005667628479062918
case-3169-L	query_focal	lex-0493	lexicon	剑人	0.023490749224835725	0.0006525208118009924
case-3169-L	query_focal	lex-0663	lexicon	tm	0.024508126601080166	0.0006449507000284255
case-3169-LD	pre_answer	lex-0031	lexicon	仙女	0.0037826041556704945	0.00012608680518901648
case-3169-LD	pre_answer	lex-0104	lexicon	鸡	0.004046519070545274	6.131089500826174e-05
case-3169-LD	pre_answer	lex-0419	lexicon	嘿嘿	0.004147259154359508	0.00012960184857373463
case-3169-LD	pre_answer	lex-0486	lexicon	fw	0.003317986643212723	9.479961837750637e-05
case-3169-LD	pre_answer	lex-0493	lexicon	剑人	0.003647755595707907	0.00010132654432521961
case-3169-LD	pre_answer	lex-0663	lexicon	tm	0.0030317867071617925	7.978386071478401e-05
case-3169-LD	pre_answer	demo-3602	demo	示例1 #3602	0.006233275049727217	0.00032806710788037984
case-3169-LD	pre_answer	demo-6493	demo	示例2 #6493	0.006328089782272917	0.0002531235912909167
case-3169-LD	pre_answer	demo-3660	demo	示例3 #3660	0.005380294384747417	0.00020693439941336215
case-3169-LD	pre_answer	demo-7611	demo	示例4 #7611	0.004864701932379593	0.0001158262364852284
case-3169-LD	pre_answer	demo-5780	demo	示例5 #5780	0.0038344214447720276	0.00010955489842205794
case-3169-LD	pre_answer	demo-7640	demo	示例6 #7640	0.003967752344370783	0.00015871009377483133
case-3169-LD	pre_answer	demo-3519	demo	示例7 #3519	0.00594722859329786	0.00010813142896905201
case-3169-LD	pre_answer	demo-3582	demo	示例8 #3582	0.008447212789272705	0.00014317309812326618
