comparison_id	query_id	kind	terms	reference_aligned_delta	delta_m	bound	direction_resolved	direction	transition	value	numerical_bound
Q01-D02-minus-D01	Q01	single_sense	[{'request_id': 'hpm-Q01-D02', 'coefficient': 1}, {'request_id': 'hpm-Q01-D01', 'coefficient': -1}]	45.215362548828125	45.215362548828125	2e-06	True	positive	repair	45.215362548828125	2e-06
Q01-D03-minus-D01	Q01	dual_vs_original	[{'request_id': 'hpm-Q01-D03', 'coefficient': 1}, {'request_id': 'hpm-Q01-D01', 'coefficient': -1}]	8.168399810791016	8.168399810791016	2e-06	True	positive	unchanged	8.168399810791016	2e-06
Q01-D03-minus-D02	Q01	dual_vs_ordinary	[{'request_id': 'hpm-Q01-D03', 'coefficient': 1}, {'request_id': 'hpm-Q01-D02', 'coefficient': -1}]	-37.04696273803711	-37.04696273803711	2e-06	True	negative	damage	-37.04696273803711	2e-06
Q01-D04-minus-D03	Q01	order_lines	[{'request_id': 'hpm-Q01-D04', 'coefficient': 1}, {'request_id': 'hpm-Q01-D03', 'coefficient': -1}]	-8.245124816894531	-8.245124816894531	2e-06	True	negative	unchanged	-8.245124816894531	2e-06
Q01-D06-minus-D05	Q01	order_sentence	[{'request_id': 'hpm-Q01-D06', 'coefficient': 1}, {'request_id': 'hpm-Q01-D05', 'coefficient': -1}]	5.495277404785156	5.495277404785156	2e-06	True	positive	unchanged	5.495277404785156	2e-06
Q01-D05-minus-D03	Q01	expression_original_first	[{'request_id': 'hpm-Q01-D05', 'coefficient': 1}, {'request_id': 'hpm-Q01-D03', 'coefficient': -1}]	-3.26715087890625	-3.26715087890625	2e-06	True	negative	unchanged	-3.26715087890625	2e-06
Q01-D06-minus-D04	Q01	expression_ordinary_first	[{'request_id': 'hpm-Q01-D06', 'coefficient': 1}, {'request_id': 'hpm-Q01-D04', 'coefficient': -1}]	10.473251342773438	10.473251342773438	2e-06	True	positive	unchanged	10.473251342773438	2e-06
Q01-order-by-expression	Q01	interaction	[{'request_id': 'hpm-Q01-D06', 'coefficient': 1}, {'request_id': 'hpm-Q01-D05', 'coefficient': -1}, {'request_id': 'hpm-Q01-D04', 'coefficient': -1}, {'request_id': 'hpm-Q01-D03', 'coefficient': 1}]	13.740402221679688	13.740402221679688	4e-06	True	positive		13.740402221679688	4e-06
Q02-D02-minus-D01	Q02	single_sense	[{'request_id': 'hpm-Q02-D02', 'coefficient': 1}, {'request_id': 'hpm-Q02-D01', 'coefficient': -1}]	-31.169227600097656	31.169227600097656	2e-06	True	positive	damage	31.169227600097656	2e-06
Q02-D03-minus-D01	Q02	dual_vs_original	[{'request_id': 'hpm-Q02-D03', 'coefficient': 1}, {'request_id': 'hpm-Q02-D01', 'coefficient': -1}]	-0.2766838073730469	0.2766838073730469	2e-06	True	positive	unchanged	0.2766838073730469	2e-06
Q02-D03-minus-D02	Q02	dual_vs_ordinary	[{'request_id': 'hpm-Q02-D03', 'coefficient': 1}, {'request_id': 'hpm-Q02-D02', 'coefficient': -1}]	30.89254379272461	-30.89254379272461	2e-06	True	negative	repair	-30.89254379272461	2e-06
Q02-D04-minus-D03	Q02	order_lines	[{'request_id': 'hpm-Q02-D04', 'coefficient': 1}, {'request_id': 'hpm-Q02-D03', 'coefficient': -1}]	1.483917236328125	-1.483917236328125	2e-06	True	negative	unchanged	-1.483917236328125	2e-06
Q02-D06-minus-D05	Q02	order_sentence	[{'request_id': 'hpm-Q02-D06', 'coefficient': 1}, {'request_id': 'hpm-Q02-D05', 'coefficient': -1}]	-0.5164108276367188	0.5164108276367188	2e-06	True	positive	unchanged	0.5164108276367188	2e-06
Q02-D05-minus-D03	Q02	expression_original_first	[{'request_id': 'hpm-Q02-D05', 'coefficient': 1}, {'request_id': 'hpm-Q02-D03', 'coefficient': -1}]	-2.0822601318359375	2.0822601318359375	2e-06	True	positive	unchanged	2.0822601318359375	2e-06
Q02-D06-minus-D04	Q02	expression_ordinary_first	[{'request_id': 'hpm-Q02-D06', 'coefficient': 1}, {'request_id': 'hpm-Q02-D04', 'coefficient': -1}]	-4.082588195800781	4.082588195800781	2e-06	True	positive	unchanged	4.082588195800781	2e-06
Q02-order-by-expression	Q02	interaction	[{'request_id': 'hpm-Q02-D06', 'coefficient': 1}, {'request_id': 'hpm-Q02-D05', 'coefficient': -1}, {'request_id': 'hpm-Q02-D04', 'coefficient': -1}, {'request_id': 'hpm-Q02-D03', 'coefficient': 1}]	-2.0003280639648438	2.0003280639648438	4e-06	True	positive		2.0003280639648438	4e-06
Q03-D02-minus-D01	Q03	single_sense	[{'request_id': 'hpm-Q03-D02', 'coefficient': 1}, {'request_id': 'hpm-Q03-D01', 'coefficient': -1}]	10.926050186157227	10.926050186157227	2e-06	True	positive	unchanged	10.926050186157227	2e-06
Q03-D03-minus-D01	Q03	dual_vs_original	[{'request_id': 'hpm-Q03-D03', 'coefficient': 1}, {'request_id': 'hpm-Q03-D01', 'coefficient': -1}]	-2.3401412963867188	-2.3401412963867188	2e-06	True	negative	unchanged	-2.3401412963867188	2e-06
Q03-D03-minus-D02	Q03	dual_vs_ordinary	[{'request_id': 'hpm-Q03-D03', 'coefficient': 1}, {'request_id': 'hpm-Q03-D02', 'coefficient': -1}]	-13.266191482543945	-13.266191482543945	2e-06	True	negative	unchanged	-13.266191482543945	2e-06
Q03-D04-minus-D03	Q03	order_lines	[{'request_id': 'hpm-Q03-D04', 'coefficient': 1}, {'request_id': 'hpm-Q03-D03', 'coefficient': -1}]	-4.461566925048828	-4.461566925048828	2e-06	True	negative	unchanged	-4.461566925048828	2e-06
Q03-D06-minus-D05	Q03	order_sentence	[{'request_id': 'hpm-Q03-D06', 'coefficient': 1}, {'request_id': 'hpm-Q03-D05', 'coefficient': -1}]	0.46147918701171875	0.46147918701171875	2e-06	True	positive	unchanged	0.46147918701171875	2e-06
Q03-D05-minus-D03	Q03	expression_original_first	[{'request_id': 'hpm-Q03-D05', 'coefficient': 1}, {'request_id': 'hpm-Q03-D03', 'coefficient': -1}]	2.5913467407226562	2.5913467407226562	2e-06	True	positive	unchanged	2.5913467407226562	2e-06
Q03-D06-minus-D04	Q03	expression_ordinary_first	[{'request_id': 'hpm-Q03-D06', 'coefficient': 1}, {'request_id': 'hpm-Q03-D04', 'coefficient': -1}]	7.514392852783203	7.514392852783203	2e-06	True	positive	unchanged	7.514392852783203	2e-06
Q03-order-by-expression	Q03	interaction	[{'request_id': 'hpm-Q03-D06', 'coefficient': 1}, {'request_id': 'hpm-Q03-D05', 'coefficient': -1}, {'request_id': 'hpm-Q03-D04', 'coefficient': -1}, {'request_id': 'hpm-Q03-D03', 'coefficient': 1}]	4.923046112060547	4.923046112060547	4e-06	True	positive		4.923046112060547	4e-06
