id,content,label,x,y,cluster
1460,征尼大将军,Racism,-3.367642,2.440638,5
3649,非洲人踢球猛，打篮球更猛，跑步无敌。可是有什么用呢？？？根本没有办法改变国家民族，让大部分人生活的更好。,Racism,-6.273263,1.4391476,4
318,你可真厉害你的虫爹把曾经白人建设无比繁荣辉煌南非毁了同时又跑到这来大谈引进国际鬼子虫类及其它们后代虫混的理由对于你这点居心叵测的小心思我早已看透,Racism,-1.86029,1.3525999,4
4683,要把一滴血原则带到中国来,Racism,-5.710902,1.1294358,0
2005,我说实话，我膈应，我觉得我的思想还是偏保守，再者我认为讨厌黑人不算是思想保守，只是看见了很多事情之后的一种总结,Racism,-6.7387733,-0.021905275,3
5016,举报外教从我做起，电商的发展也会把一些垃圾去除，加速才是我们想要的。,Racism,-5.117942,1.2350453,4
6411,确实，我同意要自由恋爱，爱情不分人种和肤色，什么?问我女儿要找个黑人怎么办?就当没生过喽,Racism,-5.462378,-1.4171695,3
6091,默滚出中国就行了。,Racism,-4.292474,0.55765104,5
460,没有世界帮助，非洲还生活在原始社会。,Racism,-6.741072,1.8471607,0
2750,当你已经沦落到与乐色为伍，还把乐色举高过自己的头顶的时候，你已经连乐色都不如了。那天我去买塑料袋。有黄色的白色的透明的还有黑色的，我问老板，哪一种颜色的最便宜？老板说黑色的最便宜。我问为什么黑色的最便宜？老板答，因为黑色的是垃圾材料。,Racism,-5.097057,-0.3480802,4
1266,本来我们才是白种人，被西方丑化才被说成是黄祸,Racism,-5.5436325,0.3408502,1
3084,作为男人我认同男女一致，我也认同去追求个人幸福，只要你别回来也别带黑娃回来就行。我可不想中国变法兰西斯坦，不希望改变人种结构。也呼吁其他男性朋友不要把黑男黑女区别对待，不然你讨论的就不是黑人问题而是输出情绪或是搞性别对立,Racism,-5.7607265,-1.1162164,3
508,黑人没有教化的。非洲黑人把讨吃当成好传统，教会小孩讨吃。,Racism,-6.7674613,1.6700442,2
2554,犹太人凯乐奇计划就是要中国引入其他种族，制造新的种族，灭绝中华民族、中华文化。,Racism,-5.735368,1.0078193,1
5268,很好，以其人之道还治其人之身，可惜某些人却要倒贴黑,Racism,-5.084656,2.352426,4
5691,娶N婚也不能要和黑人处过的啊,Racism,-5.9906025,-1.7791786,3
1378,浦东惠南地铁站经常看到黑人出没，应该是那几个外国语学校的留学生或者洋垃圾黑外教，发现它的窝就举报它,Racism,-6.057034,0.5727171,4
3187,大家把我帖子多宣传，我们开发出可以使黑人的古龙水发臭的东西在黑人聚集地发散开，或者给中国女人们使用或者佩戴，保证黑人们一个都混不下去。,Racism,-4.942243,1.3508072,4
7049,可见全球所有国际鬼子虫类及其它们后代虫混它们统一基因的激情犯罪是它们身体内必不可少基因之一,Racism,-1.9055456,1.3497488,4
5565,崇洋媚外本身就是一种种族主义，这种行为不也是看皮肤说事么？他们有啥资格指责别人？,Racism,-5.559065,-0.41443068,3
487,左白舔功令人作呕,Racism,-3.399053,3.473677,5
6678,我不懂那么多花里胡哨的大道理，我就是单纯的歧视黑人。😓,Racism,-7.9291916,0.29793695,1
3036,"外娶你就不制造黑娃了? 外娶外嫁不是重点啊, 黑娃是重点, 你要娶个黑妹白妹, 能别回来吗? 至少别把你的孩子带回中国.",Racism,-4.910573,-1.2453026,3
3957,不管在任何平台看到有中国人跟黑人结婚的，就告诉他他们的孩子一辈子会遭到歧视，父母都是爱孩子的，他们听了这个话会受到很大的打击,Racism,-5.477591,0.2968152,3
5965,值得批判！我不明白为什么人种没有生殖隔离呢？爱美之心人皆有之！一白遮百丑！美白，美白，美听说过美黑的。没见过黑人去选美的。,Racism,-5.3646607,-0.50859576,3
2820,不管你咋说，我不喜欢非洲黑人，男人 ，也没怎么看到中国男人搞黑人 倒是在某些网站上看到不少某些中国女人被黑人玩,Racism,-5.9988737,-0.94191855,3
49,阎王老子来了 我就是种族内个歧视了🐶帽子我自己带好,Racism,-7.501409,0.47472113,1
6404,猩猩有文化？,Racism,-1.7997588,-0.13356763,0
2280,人人平等，人和冻物怎么能平等呢,Racism,-2.3389335,-0.19920158,0
7552,好奇纹了什么字，默吗,Racism,-3.8113923,4.0766735,5
5102,万一他就是黑黑了,Racism,-4.911999,2.9145434,5
4574,大张伟的《阳光彩虹小白马》我最喜欢的歌,Racism,-3.975628,1.8129424,5
74,老外很老，一般发育早，在它家乡可能有老婆孩子了。20多岁相当于人类30、40岁夹你，你别回复评论。永远也改不了黑猩猩劣质人的性质。全世界都不欢迎黑，即是到了美国政治正确的国家，也不要你们，马上遣返回老窝。,Racism,-4.958919,0.55850893,4
1379,看片都不看黑人,Racism,-7.0050507,-0.6769308,2
1494,黑人血统真的太顽固了，哪怕只有四分之一甚至六分之一还全是黑人的影子，说真的看见黄黑小孩比看见纯种黑人还令人难受😅,Racism,-4.8318343,-0.19278024,3
3867,黑**应该被美国全面入侵抹杀,Racism,-7.123281,2.7547445,2
7481,一般会这么想，竟然真有憨批找黑人,Racism,-5.952664,2.4889634,2
5480,黑人网红的出现本就是三观不正的体现。,Racism,-5.508713,2.3782759,2
4640,原来这个吧有反虫吧主不过最后就是被跪虫族就整掉然后过家和百毒从此就监管此吧把这个吧弄成无主之地,Racism,-1.685613,1.592762,4
3778,哪个小区居然可以饲养猩猩,Racism,-1.6691513,-0.14868236,0
959,没接触黑人群体，不怪你，真的。,Racism,-7.2548294,-0.6050678,2
6376,不奇怪有些动物喜欢缠着人类小狒狒也不例外,Racism,-2.0288792,0.23736355,0
