query_id,condition,original_tokens,ab_tokens,ab_minus_original_tokens,ab_forward_reverse_layout_equal,original_ab_layout_equal,non_answer_demo_texts_equal,query_and_dictionary_texts_equal
541,L,938,940,2,True,False,True,True
3169,L,749,751,2,True,False,True,True
541,P0-A,930,932,2,True,False,True,True
3169,P0-A,743,745,2,True,False,True,True
541,P0-C1,930,932,2,True,False,True,True
3169,P0-C1,743,745,2,True,False,True,True
541,P0-C2,930,932,2,True,False,True,True
3169,P0-C2,743,745,2,True,False,True,True
541,P0-D1,930,932,2,True,False,True,True
3169,P0-D1,743,745,2,True,False,True,True
541,P0-D2,930,932,2,True,False,True,True
3169,P0-D2,743,745,2,True,False,True,True
541,P1-A,930,932,2,True,False,True,True
3169,P1-A,743,745,2,True,False,True,True
541,P1-C1,930,932,2,True,False,True,True
3169,P1-C1,743,745,2,True,False,True,True
541,P1-C2,930,932,2,True,False,True,True
3169,P1-C2,743,745,2,True,False,True,True
541,P1-D1,930,932,2,True,False,True,True
3169,P1-D1,743,745,2,True,False,True,True
541,P1-D2,930,932,2,True,False,True,True
3169,P1-D2,743,745,2,True,False,True,True
541,R-A,918,920,2,True,False,True,True
3169,R-A,742,744,2,True,False,True,True
541,R-B,855,859,4,True,False,True,True
3169,R-B,712,715,3,True,False,True,True
541,R-C1,918,920,2,True,False,True,True
3169,R-C1,742,744,2,True,False,True,True
541,R-C2,918,920,2,True,False,True,True
3169,R-C2,742,744,2,True,False,True,True
541,R-D1,918,920,2,True,False,True,True
3169,R-D1,742,744,2,True,False,True,True
541,R-D2,918,920,2,True,False,True,True
3169,R-D2,742,744,2,True,False,True,True
541,S,907,909,2,True,False,True,True
3169,S,736,738,2,True,False,True,True
