query_id,task,reference,score_scale,values,SD_minus_S_minus_D_plus_0
3683,hate,original,reference_best_nongold_margin,"{""C0"":-3.9400291442871094,""CD"":3.166330337524414,""CLDnewNoCat"":0.7276153564453125,""CLnewNoCat"":-12.106021881103516}",5.727277755737305
3683,hate,reviewed,reference_best_nongold_margin,"{""C0"":3.9400291442871094,""CD"":-3.166330337524414,""CLDnewNoCat"":-0.7276153564453125,""CLnewNoCat"":12.106021881103516}",-5.727277755737305
541,hate,original,reference_best_nongold_margin,"{""C0"":6.627841949462891,""CD"":0.6117820739746094,""CLDnewNoCat"":0.579376220703125,""CLnewNoCat"":7.737434387207031}",-1.141998291015625
541,hate,reviewed,reference_best_nongold_margin,"{""C0"":6.627841949462891,""CD"":0.6117820739746094,""CLDnewNoCat"":0.579376220703125,""CLnewNoCat"":7.737434387207031}",-1.141998291015625
4615,hate,original,reference_best_nongold_margin,"{""C0"":-3.3693695068359375,""CD"":3.434144973754883,""CLDnewNoCat"":0.6347064971923828,""CLnewNoCat"":-3.707355499267578}",-2.4614524841308594
4615,hate,reviewed,reference_best_nongold_margin,"{""C0"":-3.3693695068359375,""CD"":3.434144973754883,""CLDnewNoCat"":0.6347064971923828,""CLnewNoCat"":-3.707355499267578}",-2.4614524841308594
7903,hate,original,reference_best_nongold_margin,"{""C0"":10.417671203613281,""CD"":5.511539459228516,""CLDnewNoCat"":0.19975662231445312,""CLnewNoCat"":16.549083709716797}",-11.443195343017578
7903,hate,reviewed,reference_best_nongold_margin,"{""C0"":10.417671203613281,""CD"":5.511539459228516,""CLDnewNoCat"":0.19975662231445312,""CLnewNoCat"":16.549083709716797}",-11.443195343017578
5086,hate,original,reference_best_nongold_margin,"{""C0"":-2.3008174896240234,""CD"":2.634798049926758,""CLDnewNoCat"":-0.277862548828125,""CLnewNoCat"":1.2169609069824219}",-6.430438995361328
5086,hate,reviewed,reference_best_nongold_margin,"{""C0"":-2.3008174896240234,""CD"":2.634798049926758,""CLDnewNoCat"":-0.277862548828125,""CLnewNoCat"":1.2169609069824219}",-6.430438995361328
3169,hate,original,reference_best_nongold_margin,"{""C0"":15.286598205566406,""CD"":4.859245300292969,""CLDnewNoCat"":-3.7691802978515625,""CLnewNoCat"":1.2375144958496094}",5.420658111572266
3169,hate,reviewed,reference_best_nongold_margin,"{""C0"":15.286598205566406,""CD"":4.859245300292969,""CLDnewNoCat"":-3.7691802978515625,""CLnewNoCat"":1.2375144958496094}",5.420658111572266
1160,hate,original,reference_best_nongold_margin,"{""C0"":-7.694511413574219,""CD"":1.6105918884277344,""CLDnewNoCat"":-0.8663101196289062,""CLnewNoCat"":-9.673316955566406}",-0.4980964660644531
1160,hate,reviewed,reference_best_nongold_margin,"{""C0"":7.694511413574219,""CD"":-1.6105918884277344,""CLDnewNoCat"":0.8663101196289062,""CLnewNoCat"":9.673316955566406}",0.4980964660644531
3898,hate,original,reference_best_nongold_margin,"{""C0"":-1.9487228393554688,""CD"":2.3527889251708984,""CLDnewNoCat"":-0.08431434631347656,""CLnewNoCat"":-0.3055267333984375}",-4.080299377441406
