family,task,label,score_mode,metric,cell,cell_label,stratum,n,mean,median,p05,p95,q25,q75,iqr,min,max,status,error_bound,raw_sign,direction,positive_query_count,negative_query_count,unresolved_query_count,positive_query_fraction,negative_query_fraction,unresolved_query_fraction,ci95_low,ci95_high
contrast,hate,hate,answer_sum,answer_sum/margin/hate,CLnew_minus_CLq,CLnew minus CLq,all,643,-2.894108138966894,-2.4118499755859375,-9.371591949462891,2.4268974304199213,-5.234528541564941,-0.3464956283569336,4.888032913208008,-15.43301773071289,7.893161773681641,defined,0.002685546875,-1,negative,129,511,3,0.2006220839813375,0.7947122861586314,0.004665629860031105,-3.1691021541785305,-2.620779470856045
contrast,hate,hate,answer_sum,answer_sum/margin/hate,CLDnew_minus_CLqD,CLDnew minus CLqD,all,643,-2.374238220380958,-2.2555694580078125,-6.679296493530273,1.3275949478149407,-3.550198554992676,-0.7208967208862305,2.8293018341064453,-13.189590454101562,5.648334503173828,defined,0.002685546875,-1,negative,98,541,4,0.15241057542768274,0.8413685847589425,0.006220839813374806,-2.565142320140524,-2.183349008397033
contrast,group,Racism,answer_sum,answer_sum/margin/Racism,CLnew_minus_CLq,CLnew minus CLq,all,643,-5.7648532735432605,-4.550117385868214,-23.520248238415185,10.66409282457119,-13.207374521601725,1.2198038478892608,14.427178369490985,-57.132960123169056,30.19714053225674,defined,0.002685546875,-1,negative,195,445,3,0.30326594090202175,0.6920684292379471,0.004665629860031105,-6.609679221842829,-4.923409380965492
contrast,group,Racism,answer_sum,answer_sum/margin/Racism,CLDnew_minus_CLqD,CLDnew minus CLqD,all,643,-2.2968405355945523,-1.5365940615522717,-14.841886385000924,7.459720916597808,-5.611221693136059,1.928970241315783,7.540191934451842,-32.77111516810199,19.87566298329376,defined,0.002685546875,-1,negative,242,397,4,0.37636080870917576,0.6174183514774495,0.006220839813374806,-2.819280366346414,-1.7642811214795875
contrast,group,Region,answer_sum,answer_sum/margin/Region,CLnew_minus_CLq,CLnew minus CLq,all,643,-4.131112261969391,-3.7098380153268877,-18.700939127130543,10.7462200611745,-10.098356494898216,1.0892719133853253,11.18762840828354,-39.044258129451265,25.892221105327103,defined,0.002685546875,-1,negative,189,451,3,0.2939346811819596,0.7013996889580093,0.004665629860031105,-4.849582663813947,-3.4255733728968036
contrast,group,Region,answer_sum,answer_sum/margin/Region,CLDnew_minus_CLqD,CLDnew minus CLqD,all,643,-0.7868127789427383,-0.5180334630512888,-13.092441583690684,9.232105316848099,-4.078119306284781,3.0308031549887833,7.108922461273564,-22.64465536542769,20.143599836597524,defined,0.002685546875,-1,negative,289,350,4,0.4494556765163297,0.5443234836702955,0.006220839813374806,-1.291789837363827,-0.29274481864158886
contrast,group,LGBTQ,answer_sum,answer_sum/margin/LGBTQ,CLnew_minus_CLq,CLnew minus CLq,all,643,-5.1437407341486585,-4.469543637172379,-19.743410072715726,8.498614779742729,-11.567903438246745,0.22403368077585029,11.791937119022595,-33.78016470459787,26.00951746974978,defined,0.002685546875,-1,negative,174,466,3,0.27060653188180406,0.7247278382581649,0.004665629860031105,-5.797533296368803,-4.483701355903545
contrast,group,LGBTQ,answer_sum,answer_sum/margin/LGBTQ,CLDnew_minus_CLqD,CLDnew minus CLqD,all,643,-1.6753532781258917,-1.431774276168781,-10.62675400313573,6.320676065421085,-4.444072311305712,1.2442488841735742,5.688321195479286,-25.149361374989326,26.556340655415124,defined,0.002685546875,-1,negative,226,412,5,0.3514774494556765,0.640746500777605,0.007776049766718507,-2.092918494320792,-1.2634644192102749
contrast,group,Sexism,answer_sum,answer_sum/margin/Sexism,CLnew_minus_CLq,CLnew minus CLq,all,643,-1.3758727253664693,-1.096525854178097,-15.460400819490463,11.116718759437774,-6.840697347283706,4.43583540833948,11.276532755623187,-32.73560407978421,32.0639896031691,defined,0.002685546875,-1,negative,280,360,3,0.4354587869362364,0.5598755832037325,0.004665629860031105,-2.052529114765445,-0.7119208399870685
contrast,group,Sexism,answer_sum,answer_sum/margin/Sexism,CLDnew_minus_CLqD,CLDnew minus CLqD,all,643,-0.1515350928267523,0.0420841840036239,-10.932302669631582,9.361683135048754,-3.5178973226834707,3.507560241932655,7.025457564616126,-24.226195883335148,32.54278992956403,defined,0.002685546875,-1,negative,324,315,4,0.5038880248833593,0.48989113530326595,0.006220839813374806,-0.656325903106572,0.33935240997225713
contrast,group,others,answer_sum,answer_sum/margin/others,CLnew_minus_CLq,CLnew minus CLq,all,643,-1.7235918829846901,-1.801084450580614,-16.08668597911066,14.25002232630809,-7.715438575097741,3.44900760298313,11.16444617808087,-31.60781022395355,30.799714827317878,defined,0.002685546875,-1,negative,262,378,3,0.40746500777604977,0.5878693623639192,0.004665629860031105,-2.448222537231523,-0.997402237241275
contrast,group,others,answer_sum,answer_sum/margin/others,CLDnew_minus_CLqD,CLDnew minus CLqD,all,643,1.8143823401835066,1.1968512569171281,-8.90323313385482,13.518946235209025,-2.361123763038165,5.540093782382651,7.901217545420816,-31.720548603695214,46.59506686675794,defined,0.002685546875,1,positive,379,260,4,0.5894245723172629,0.40435458786936235,0.006220839813374806,1.2545859370516,2.37933898707954
