condition,iqr,max,mean,median,metric,min,n,p05,p95,q25,q75,status,stratum,task
C0,0.14809469281510917,0.6931334646293738,0.119509494662413,0.019608724255317338,answer_sum/candidate_entropy,3.019330685841879e-07,643,1.2633262094075807e-05,0.6129662200613367,0.0007366360667404558,0.14883132888184963,defined,all,hate
C0,0.28522660590650545,0.6931334646293738,0.18448988042806377,0.09479289936824623,answer_sum/candidate_entropy,3.0039378156526743e-06,223,7.219924495191101e-05,0.6469188352838792,0.010883912957546656,0.2961105188640521,defined,Lq_hit,hate
C0,0.07791029560064551,0.6924071240954297,0.08500800412493655,0.007465158576084937,answer_sum/candidate_entropy,3.019330685841879e-07,420,7.296716998819151e-06,0.5243219054375448,0.00022924900661567025,0.07813954460726118,defined,Lq_no_hit,hate
C0,0.009772790742201816,0.49130534649521873,0.020679343267621015,0.0010093015168352916,answer_sum/candidate_entropy,3.019330685841879e-07,252,3.0204801169969336e-06,0.1285874321174198,6.35072328135598e-05,0.009836297975015375,defined,gold_size_0,hate
C0,0.26854903528865287,0.6931310653879859,0.1687460254730193,0.06344296771466079,answer_sum/candidate_entropy,2.9766637534078243e-06,328,6.204480901546247e-05,0.6394242229176921,0.008675994641393982,0.27722502993004683,defined,gold_size_1,hate
C0,0.33304092169564775,0.6931334646293738,0.2584875271323925,0.17084161332233982,answer_sum/candidate_entropy,0.00023078062196823466,63,0.013530054586929772,0.6870105616549407,0.04836881321866388,0.3814097349143116,defined,gold_size_2plus,hate
CLnew,0.15121043924482988,0.6931467120680752,0.12248555324555598,0.003367281030578688,answer_sum/candidate_entropy,3.7605772786270377e-08,643,4.614663599762085e-07,0.6438802712701981,1.52625209856924e-05,0.15122570176581557,defined,all,hate
CLnew,0.4951272633357028,0.6931467120680752,0.2924249300262203,0.2610874188333473,answer_sum/candidate_entropy,8.667207497583009e-08,223,0.00036688968860611545,0.6869386693396757,0.03699916612988284,0.5321264294655856,defined,Lq_hit,hate
CLnew,0.004954477364614877,0.6725669936775591,0.032255836526298494,7.522532957622856e-05,answer_sum/candidate_entropy,3.7605772786270377e-08,420,3.4477316517093567e-07,0.22501427187778855,2.9916110712142526e-06,0.004957468975686091,defined,Lq_no_hit,hate
CLnew,0.0005008775965037738,0.5266526187730471,0.0164357317414939,1.4137223912504862e-05,answer_sum/candidate_entropy,3.7605772786270377e-08,252,2.648284845022558e-07,0.062775002111997,1.3231332223871742e-06,0.000502200729726161,defined,gold_size_0,hate
CLnew,0.2972294672897234,0.6930971616973844,0.17199497995218183,0.023672125366202355,answer_sum/candidate_entropy,8.667207497583009e-08,328,3.804422128280209e-06,0.6802000639893989,0.0006910230611632443,0.29792049035088664,defined,gold_size_1,hate
CLnew,0.41687900917556037,0.6931467120680752,0.28892147482095853,0.23872617278623154,answer_sum/candidate_entropy,7.409758018278786e-05,63,0.002331712689883013,0.6883239891875602,0.06233096121793208,0.47920997039349245,defined,gold_size_2plus,hate
CD,0.3353541971854824,0.6931471539281222,0.24128628637429156,0.16314786011045243,answer_sum/candidate_entropy,1.9577446576079707e-05,643,0.0029531520404574778,0.6717802364598872,0.06850560618223711,0.40385980336771954,defined,all,hate
CD,0.32129919861380496,0.6931471539281222,0.25521695764615826,0.1684586342309759,answer_sum/candidate_entropy,9.997083695028206e-05,223,0.031777223396215956,0.6752600766928532,0.08340729763686168,0.4047064962506666,defined,Lq_hit,hate
CD,0.35156332773549465,0.6931415140307904,0.23388976329422903,0.1591241173270905,answer_sum/candidate_entropy,1.9577446576079707e-05,420,0.0007836104019223387,0.6684429411880124,0.05142620064971408,0.40298952838520874,defined,Lq_no_hit,hate
CD,0.36148455676010566,0.6931415140307904,0.2293011070820881,0.14929183317961975,answer_sum/candidate_entropy,1.9577446576079707e-05,252,0.0002716671438530131,0.6690367538039127,0.040936463763289736,0.4024210205233954,defined,gold_size_0,hate
CD,0.33301066605482166,0.6931471539281222,0.2436766804782576,0.1599516402442955,answer_sum/candidate_entropy,9.997083695028206e-05,328,0.0227284260720841,0.6748007627429394,0.07069971332226319,0.4037103793770848,defined,gold_size_1,hate
CD,0.29093301017641404,0.6912143344421875,0.27678177709706014,0.22464206314831495,answer_sum/candidate_entropy,0.0033337104528847468,63,0.05238161299106677,0.6124321307852785,0.12334935997408433,0.4142823701504984,defined,gold_size_2plus,hate
CLDnew,0.48293202918557493,0.6931469564586821,0.3054159891901914,0.2696445589433502,answer_sum/candidate_entropy,1.1761695880189296e-06,643,0.00017010014154559858,0.6849311475920599,0.06403498013738723,0.5469670093229622,defined,all,hate
CLDnew,0.4501073824432641,0.6929877088266068,0.3809110180499575,0.3999147717001305,answer_sum/candidate_entropy,0.0004712846061297461,223,0.04692740094665677,0.6854439194023588,0.16159482042976667,0.6117022028730308,defined,Lq_hit,hate
CLDnew,0.46128612151675746,0.6931469564586821,0.2653317238670299,0.18251450009305026,answer_sum/candidate_entropy,1.1761695880189296e-06,420,4.485687829019378e-05,0.6826647017882458,0.020316445825754748,0.4816025673425122,defined,Lq_no_hit,hate
CLDnew,0.33003519158193473,0.6931469564586821,0.19681079923741052,0.0740105706971998,answer_sum/candidate_entropy,1.1761695880189296e-06,252,1.3806437778923274e-05,0.6744079263885214,0.0028395566966999825,0.3328747482786347,defined,gold_size_0,hate
