query_short_id	adopted_reference	absent/none	L/none	absent/same_A	L/same_A	absent/same_B	L/same_B	absent/other_A	L/other_A	absent/other_B	L/other_B
G1	有	-25.4787254333	-23.8460769653	-25.0344200134	-24.7961788177	-23.0624580383	-22.0923271179	-26.969669342	-25.9625549316	-25.946641922	-23.2111701965
G2	无	30.4142894745	22.67304039	28.8369846344	29.7340641022	30.5364437103	28.0436878204	29.0512447357	25.6764850616	30.7450351715	24.6094493866
G3	无	-17.8784217834	-4.30509567261	-10.1590805054	3.78551864624	-3.04651260376	-1.28588867188	-19.5662841797	-5.3501625061	-19.147403717	-6.52979660034
G4	有	-25.6435089111	-22.5525856018	-25.0340061188	-22.6619110107	-22.8119888306	-19.9337272644	-25.0752220154	-23.9334049225	-26.1345939636	-21.3013496399
J1	有	-24.0840759277	-22.8570671082	-25.3791007996	-26.4722766876	-24.2890281677	-23.059299469	-25.7693805695	-26.9674949646	-23.7290287018	-24.0835418701
J2	无	22.4659614563	-10.7859458923	29.2224025726	24.2494716644	23.5554618835	21.8512649536	24.518579483	-1.64261627197	26.6554508209	10.2326622009
J3	无	-19.2733764648	-0.521347045898	-21.0646781921	-8.74906539917	5.87474060059	1.0763130188	-22.7449760437	-14.3677635193	-20.8855743408	-10.0102310181
J4	有	-23.1058921814	-19.5155029297	-24.4673576355	-21.7401428223	-18.9468955994	-14.6523094177	-24.0929698944	-20.5363807678	-23.4865188599	-18.3454780579
B1	有	-26.1258716583	-22.7773971558	-21.3482818604	-23.5834178925	-18.8399848938	-21.931728363	-24.4133815765	-25.2047595978	-25.1021709442	-24.0077457428
B2	无	32.8999004364	30.6777305603	32.1351776123	30.8220443726	30.2902011871	28.4875850677	31.8193740845	29.1946392059	32.9929866791	30.4129505157
B3	无	-12.8493309021	-10.1917762756	-12.5281944275	-6.73305511475	11.3962059021	11.7846755981	-15.485332489	-17.4652862549	-8.04566955566	-11.7720603943
B4	有	-25.2857971191	-18.390460968	-22.8046836853	-22.6609745026	-23.753276825	-20.2155303955	-24.719493866	-22.8262634277	-24.0388755798	-20.5669364929
