object_id,review_kind,text,hate,group,uncertainties,note,human_adjudicated_tasks,user_rationale,online_material_confirmed,hate_policy_version,hate_policy_sha256,group_policy_version,group_policy_sha256
demo:5690,ai_note,基佬破防了，急得大号和小号说话,hate,"[""LGBTQ"", ""others""]",,以性取向贬称称呼具体账号使用者，并讥笑其急切表现，拟 1／LGBTQ、others。#5615 的仅 Racism 是明确个案，未据此撤销仍有效的个人辱骂增补。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5708,ai_note,哪来的通讯录怪物,hate,"[""LGBTQ"", ""others""]",,以同性恋谐称把对象叫作怪物，按明确非人称谓取 3／LGBTQ、others。未见对词语本身的释义或无害引用。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5713,ai_note,不希望以后中国遍地都是黑人小孩，怕但是治安社会矛盾突出，大家过都过不好，大家都是中国人，感觉大家还是不一样的…没有那么懒，没有那么多政治正确，没有那么多暴力和低素质，5000年的道德约束还是有的,hate,"[""Racism""]",,把黑人后代视为不受欢迎的同国籍成员，并作种族性的文明、道德与素质高低比较，拟 3／Racism。差异明确落在同一国籍内部的种族，不机械补 Region。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5734,ai_note,还有现在连某些央视都有嘿人节目，甚至嘿人评委，看着那血盆大嘴在那一张一张的心里就难受的慌，关键评论里没一个反感他们的。只要是老外，不管来自哪里长得如何，下面都是一股脑儿得说帅。眼瞎了么！但有没有发现东南亚的黄皮老外不在此列，相反是看不起越南缅甸柬埔寨等那旮瘩的老外的，感情它们喜欢的是外种？？？,hate,"[""Racism"", ""Region"", ""others""]",,作者自行贬损黑人外貌，并辱骂赞美他们的评论者；又实际比较不同国别、种族的待遇，拟 2／Racism、Region、others。无女性角色证据，不补 Sexism。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5780,ai_note,互联网没记忆，我记一辈子呢。以后反正梗就天天玩着，诶谁提到我就提这个事情,non-hate,[],,未展示要反复提起的事件或梗的内容，可见文字没有具体攻击；沿用 #3194、#4744 的证据范围，取 0／[]。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5784,ai_note,你说的很对。大部分找黑人的女人，其实分不清美国黑人，法国黑人，东非的还是西非的，总结起来，就是一无所知，完全不清楚这种文化差别会带来多少灾难，对于中国人，就要摸清楚脾气秉性，文化背景，对于外国人则毫不了解也行。这就是外国崇拜。,hate,"[""Racism"", ""Region"", ""Sexism""]",,概括与黑人交往的女性无知、崇外，并比较她们对中外伴侣的要求，拟轻度 1／Racism、Region、Sexism。这里是婚恋中的实际国别比较，有别于 #4810 的政治背景提及。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5788,ai_note,黑人的头上顶着三个大字：艾滋病其他乱搞的外国人也是垃圾渣滓，怎么了？,hate,"[""Racism"", ""Region""]",,明确把黑人与艾滋病相连，并以垃圾渣滓辱骂被指乱搞的外国人，拟 2／Racism、Region。泛用骂词未像 #2750 一样建立材料本质低等类比；未见独立个人对象，不额外加 others。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5819,ai_note,要不要一起组队猎杀默和easygirl,hate,"[""Racism"", ""Sexism""]",,直接邀请组队猎杀两个被身份贬称指代的人群，拟 4／Racism、Sexism。“默”的黑犬拆字及黑人贬称用法有外部实例；未见虚构游戏目标或反驳引用语境。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5855,ai_note,啊对对对，众所周知：河南，河北是不存在同性恋的。🤣,non-hate,"[""Region"", ""LGBTQ""]",,反讽表面断言的实际含义是两地也有同性恋，没有从该推论得到新的污名命题，拟 0／Region、LGBTQ。按 #5416 的方法检查实际含义，不因反讽形式单独赋分。,,,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
demo:5865,human_with_ai,本质上就是被身份政治洗脑，转移矛盾的傀儡罢了，西方犹资的老套路了，不能只看到表象，要知道幕后黑手是谁,non-hate,[],,用户明确判 0／[]：整句仍只谈抽象政治、资本或制度。当前 hate 依默认映射为 non-hate；不把“犹资”或“傀儡”补成已确认的人群攻击。分数与空 group 来自用户，辅助字段仍为 AI 整理。,group,0 / []：整句仍只谈抽象政治、资本或制度,False,evidence-applicability-annotation-policy/v2,53be85f067db620137f8e28e1ad8dba4963da0810ba99576ad1138a9ef96cb97,evidence-applicability-annotation-policy/v2+personal-insult-others.1,c9af65f3ab260493c9f86e1b6274d3ac09259f3e9beda78989aa8870ea6e1f9d
