schema_version,stratum,n,gold_hate_n,gold_non_hate_n,Lq_hit_n,gold_Racism_n,gold_Region_n,gold_LGBTQ_n,gold_Sexism_n,gold_others_n,gold_group_0_n,gold_group_1_n,gold_group_2plus_n,condition,hate_accuracy,hate_precision,hate_recall,hate_f1,hate_macro_f1,group_micro_f1,group_macro_f1,group_exact_match,group_sample_f1,joint_exact_match,joint_correct,missing_reason
general-model-nolabel-paired-cases/v1,all,643,390,253,223,125,95,46,157,38,252,328,63,C0,0.4385692068429238,0.967741935483871,0.07692307692307693,0.14251781472684086,0.3625883871322066,0.610126582278481,0.5206130989162501,0.5909797822706065,0.6435977190254019,0.3265940902021773,210,null
general-model-nolabel-paired-cases/v1,all,643,390,253,223,125,95,46,157,38,252,328,63,CLnew,0.46967340590979784,1.0,0.12564102564102564,0.22323462414578588,0.4103186107741916,0.6543665436654367,0.5900426607084968,0.645412130637636,0.6903058579574909,0.37169517884914466,239,null
general-model-nolabel-paired-cases/v1,all,643,390,253,223,125,95,46,157,38,252,328,63,CD,0.7371695178849145,0.7517084282460137,0.8461538461538461,0.7961399276236429,0.7131684320831563,0.7082926829268292,0.6718776667384445,0.6314152410575428,0.689565281789232,0.536547433903577,345,null
general-model-nolabel-paired-cases/v1,all,643,390,253,223,125,95,46,157,38,252,328,63,CLDnew,0.6236391912908242,0.7936507936507936,0.5128205128205128,0.6230529595015576,0.6236382809930148,0.7223823246878002,0.6797666045462224,0.640746500777605,0.7012811967710879,0.4370139968895801,281,null
general-model-nolabel-paired-cases/v1,all,643,390,253,223,125,95,46,157,38,252,328,63,CLnewNoCat,0.4758942457231726,0.9818181818181818,0.13846153846153847,0.24269662921348314,0.4209915964141137,0.5799739921976593,0.49323782502562696,0.609642301710731,0.6521513737687922,0.37947122861586313,244,null
general-model-nolabel-paired-cases/v1,all,643,390,253,223,125,95,46,157,38,252,328,63,CLDnewNoCat,0.6702954898911353,0.7947019867549668,0.6153846153846154,0.6936416184971098,0.6683696307973764,0.7346534653465346,0.6812521952480817,0.671850699844479,0.7204250907205806,0.5023328149300156,323,null
general-model-nolabel-paired-cases/v1,Lq_hit,223,194,29,223,65,38,29,93,14,29,154,40,C0,0.19282511210762332,1.0,0.07216494845360824,0.1346153846153846,0.18915643180349062,0.6421052631578947,0.554946219035202,0.484304932735426,0.5814648729446935,0.12556053811659193,28,null
general-model-nolabel-paired-cases/v1,Lq_hit,223,194,29,223,65,38,29,93,14,29,154,40,CLnew,0.32286995515695066,1.0,0.22164948453608246,0.3628691983122363,0.32019058001736217,0.7300884955752213,0.6529535928899662,0.600896860986547,0.6817638266068758,0.17040358744394618,38,null
general-model-nolabel-paired-cases/v1,Lq_hit,223,194,29,223,65,38,29,93,14,29,154,40,CD,0.820627802690583,0.9139784946236559,0.8762886597938144,0.8947368421052632,0.6443381180223285,0.7991803278688525,0.7212223874224426,0.672645739910314,0.7642323297031817,0.5964125560538116,133,null
general-model-nolabel-paired-cases/v1,Lq_hit,223,194,29,223,65,38,29,93,14,29,154,40,CLDnew,0.484304932735426,0.8691588785046729,0.4793814432989691,0.6179401993355482,0.41241837552984306,0.8145315487571702,0.7500819927495186,0.6547085201793722,0.7800768737988469,0.34977578475336324,78,null
general-model-nolabel-paired-cases/v1,Lq_hit,223,194,29,223,65,38,29,93,14,29,154,40,CLnewNoCat,0.34080717488789236,0.9795918367346939,0.24742268041237114,0.3950617283950617,0.33546189868028947,0.6374133949191686,0.534277687470024,0.5246636771300448,0.6053811659192825,0.16143497757847533,36,null
general-model-nolabel-paired-cases/v1,Lq_hit,223,194,29,223,65,38,29,93,14,29,154,40,CLDnewNoCat,0.6143497757847534,0.8913043478260869,0.634020618556701,0.7409638554216867,0.493288945254703,0.831013916500994,0.7482164900276352,0.7130044843049327,0.8038863976083707,0.47533632286995514,106,null
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,196,224,0,60,57,17,64,24,223,174,23,C0,0.569047619047619,0.9411764705882353,0.08163265306122448,0.15023474178403756,0.4307792528696902,0.5804878048780487,0.49621511207971347,0.6476190476190476,0.6765873015873015,0.43333333333333335,182,null
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,196,224,0,60,57,17,64,24,223,174,23,CLnew,0.5476190476190477,1.0,0.030612244897959183,0.0594059405940594,0.38080014898041525,0.5595567867036011,0.5208816914080072,0.669047619047619,0.6948412698412699,0.4785714285714286,201,null
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,196,224,0,60,57,17,64,24,223,174,23,CD,0.6928571428571428,0.6324110671936759,0.8163265306122449,0.7126948775055679,0.6913858019241395,0.6256983240223464,0.6106850978643131,0.6095238095238096,0.649920634920635,0.5047619047619047,212,null
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,196,224,0,60,57,17,64,24,223,174,23,CLDnew,0.6976190476190476,0.7379310344827587,0.5459183673469388,0.6275659824046921,0.68652848218431,0.6293436293436293,0.6099835153916812,0.6333333333333333,0.6594444444444445,0.48333333333333334,203,null
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,196,224,0,60,57,17,64,24,223,174,23,CLnewNoCat,0.5476190476190477,1.0,0.030612244897959183,0.0594059405940594,0.38080014898041525,0.5059523809523809,0.4495302773061686,0.6547619047619048,0.676984126984127,0.49523809523809526,208,null
general-model-nolabel-paired-cases/v1,Lq_no_hit,420,196,224,0,60,57,17,64,24,223,174,23,CLDnewNoCat,0.7,0.7134146341463414,0.5969387755102041,0.65,0.6937500000000001,0.6390532544378699,0.6153367546047789,0.65,0.6761111111111112,0.5166666666666667,217,null
general-model-nolabel-paired-cases/v1,gold_hate,390,390,0,194,125,95,46,156,38,0,327,63,C0,0.07692307692307693,1.0,0.07692307692307693,0.14285714285714285,0.07142857142857142,0.6593406593406593,0.5700404858299596,0.4794871794871795,0.5662393162393162,0.046153846153846156,18,null
general-model-nolabel-paired-cases/v1,gold_hate,390,390,0,194,125,95,46,156,38,0,327,63,CLnew,0.12564102564102564,1.0,0.12564102564102564,0.22323462414578588,0.11161731207289294,0.6954248366013072,0.6309271623366033,0.5358974358974359,0.6099145299145299,0.08461538461538462,33,null
general-model-nolabel-paired-cases/v1,gold_hate,390,390,0,194,125,95,46,156,38,0,327,63,CD,0.8461538461538461,1.0,0.8461538461538461,0.9166666666666666,0.4583333333333333,0.8071348940914158,0.7642506925879058,0.7025641025641025,0.7984371184371184,0.6205128205128205,242,null
general-model-nolabel-paired-cases/v1,gold_hate,390,390,0,194,125,95,46,156,38,0,327,63,CLDnew,0.5128205128205128,1.0,0.5128205128205128,0.6779661016949152,0.3389830508474576,0.8214676889375685,0.7765735013197036,0.7153846153846154,0.8151892551892551,0.4,156,null
general-model-nolabel-paired-cases/v1,gold_hate,390,390,0,194,125,95,46,156,38,0,327,63,CLnewNoCat,0.13846153846153847,1.0,0.13846153846153847,0.24324324324324326,0.12162162162162163,0.6109589041095891,0.5220087861583153,0.4564102564102564,0.5264957264957265,0.07692307692307693,30,null
general-model-nolabel-paired-cases/v1,gold_hate,390,390,0,194,125,95,46,156,38,0,327,63,CLDnewNoCat,0.6153846153846154,1.0,0.6153846153846154,0.7619047619047619,0.38095238095238093,0.8277404921700223,0.7675839920179095,0.7384615384615385,0.8185470085470086,0.49230769230769234,192,null
