schema_version,stratum,n,contrast,before,after,task,transition,feature,stratum_n,transition_n,mean,median,q25,q75,positive_fraction,negative_fraction,zero_fraction,missing_reason
general-model-nolabel-paired-cases/v1,all,185,remove_with_D,CLDnew,CLDnewNoCat,hate,00,lq_count,643,185,0.6918918918918919,0.0,0.0,1.0,0.43243243243243246,0.0,0.5675675675675675,null
general-model-nolabel-paired-cases/v1,all,185,remove_with_D,CLDnew,CLDnewNoCat,hate,00,ld_only_count,643,185,5.681081081081081,5.0,4.0,7.0,0.9837837837837838,0.0,0.016216216216216217,null
general-model-nolabel-paired-cases/v1,all,185,remove_with_D,CLDnew,CLDnewNoCat,hate,00,union_count,643,185,6.372972972972973,6.0,4.0,8.0,0.9837837837837838,0.0,0.016216216216216217,null
general-model-nolabel-paired-cases/v1,all,185,remove_with_D,CLDnew,CLDnewNoCat,hate,00,prompt_tokens_before,643,185,956.1945945945946,956.0,761.0,1129.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,185,remove_with_D,CLDnew,CLDnewNoCat,hate,00,prompt_tokens_after,643,185,914.627027027027,910.0,722.0,1074.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,185,remove_with_D,CLDnew,CLDnewNoCat,hate,00,prompt_tokens_before_minus_after,643,185,41.567567567567565,39.0,29.0,53.0,0.9837837837837838,0.0,0.016216216216216217,null
general-model-nolabel-paired-cases/v1,all,185,remove_with_D,CLDnew,CLDnewNoCat,hate,00,dictionary_tokens_before,643,185,285.1783783783784,263.0,193.0,367.0,0.9837837837837838,0.0,0.016216216216216217,null
general-model-nolabel-paired-cases/v1,all,185,remove_with_D,CLDnew,CLDnewNoCat,hate,00,dictionary_tokens_after,643,185,243.61081081081082,227.0,163.0,317.0,0.9837837837837838,0.0,0.016216216216216217,null
general-model-nolabel-paired-cases/v1,all,185,remove_with_D,CLDnew,CLDnewNoCat,hate,00,demo_hate_n,643,185,6.27027027027027,6.0,6.0,6.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,185,remove_with_D,CLDnew,CLDnewNoCat,hate,00,demo_Racism_n,643,185,2.32972972972973,2.0,1.0,3.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,185,remove_with_D,CLDnew,CLDnewNoCat,hate,00,demo_Region_n,643,185,1.6702702702702703,1.0,1.0,2.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,185,remove_with_D,CLDnew,CLDnewNoCat,hate,00,demo_LGBTQ_n,643,185,1.3513513513513513,1.0,1.0,1.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,185,remove_with_D,CLDnew,CLDnewNoCat,hate,00,demo_Sexism_n,643,185,3.210810810810811,3.0,2.0,4.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,185,remove_with_D,CLDnew,CLDnewNoCat,hate,00,demo_others_n,643,185,1.2486486486486486,1.0,1.0,1.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,57,remove_with_D,CLDnew,CLDnewNoCat,hate,01,lq_count,643,57,0.9122807017543859,1.0,0.0,1.0,0.6140350877192983,0.0,0.38596491228070173,null
general-model-nolabel-paired-cases/v1,all,57,remove_with_D,CLDnew,CLDnewNoCat,hate,01,ld_only_count,643,57,5.807017543859649,6.0,4.0,7.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,57,remove_with_D,CLDnew,CLDnewNoCat,hate,01,union_count,643,57,6.719298245614035,7.0,5.0,8.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,57,remove_with_D,CLDnew,CLDnewNoCat,hate,01,prompt_tokens_before,643,57,966.0877192982456,939.0,840.0,1006.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,57,remove_with_D,CLDnew,CLDnewNoCat,hate,01,prompt_tokens_after,643,57,922.3508771929825,911.0,797.0,954.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,57,remove_with_D,CLDnew,CLDnewNoCat,hate,01,prompt_tokens_before_minus_after,643,57,43.73684210526316,43.0,33.0,52.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,57,remove_with_D,CLDnew,CLDnewNoCat,hate,01,dictionary_tokens_before,643,57,293.64912280701753,282.0,222.0,373.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,57,remove_with_D,CLDnew,CLDnewNoCat,hate,01,dictionary_tokens_after,643,57,249.91228070175438,240.0,185.0,322.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,57,remove_with_D,CLDnew,CLDnewNoCat,hate,01,demo_hate_n,643,57,6.4035087719298245,6.0,6.0,7.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,57,remove_with_D,CLDnew,CLDnewNoCat,hate,01,demo_Racism_n,643,57,2.6842105263157894,2.0,1.0,4.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,57,remove_with_D,CLDnew,CLDnewNoCat,hate,01,demo_Region_n,643,57,1.6842105263157894,1.0,1.0,2.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,57,remove_with_D,CLDnew,CLDnewNoCat,hate,01,demo_LGBTQ_n,643,57,1.368421052631579,1.0,1.0,1.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,57,remove_with_D,CLDnew,CLDnewNoCat,hate,01,demo_Sexism_n,643,57,3.43859649122807,3.0,2.0,4.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,57,remove_with_D,CLDnew,CLDnewNoCat,hate,01,demo_others_n,643,57,1.2982456140350878,1.0,1.0,1.0,1.0,0.0,0.0,null
general-model-nolabel-paired-cases/v1,all,27,remove_with_D,CLDnew,CLDnewNoCat,hate,10,lq_count,643,27,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.0,0.7777777777777778,null
general-model-nolabel-paired-cases/v1,all,27,remove_with_D,CLDnew,CLDnewNoCat,hate,10,ld_only_count,643,27,5.481481481481482,6.0,4.0,7.0,1.0,0.0,0.0,null
