job_id	query_id	condition	native_m	upstream_m	restored_m	upstream_delta_m	remaining_delta_m	removed_delta_m	removed_fraction	absolute_effect_reduced	absolute_effect_increased	upstream_prediction	restored_prediction
T01-D01-restore-L26-attention	T01	restore-L26-attention	-20.585391998291016	-8.937919616699219	-12.298694610595703	11.647472381591797	8.286697387695312	3.3607749938964844	0.2885411429872123	True	False	有	有
T01-D01-restore-L28-mlp	T01	restore-L28-mlp	-20.585391998291016	-8.937919616699219	-10.931255340576172	11.647472381591797	9.654136657714844	1.9933357238769531	0.1711389096768594	True	False	有	有
T01-D01-restore-joint	T01	restore-joint	-20.585391998291016	-8.937919616699219	-13.340755462646484	11.647472381591797	7.244636535644531	4.402835845947266	0.37800783738330307	True	False	有	有
T01-D02-restore-L26-attention	T01	restore-L26-attention	8.775962829589844	-16.843563079833984	-11.016067504882812	-25.619525909423828	-19.792030334472656	-5.827495574951172	0.22746305281190232	True	False	有	有
T01-D02-restore-L28-mlp	T01	restore-L28-mlp	8.775962829589844	-16.843563079833984	-11.932239532470703	-25.619525909423828	-20.708202362060547	-4.911323547363281	0.19170235876834518	True	False	有	有
T01-D02-restore-joint	T01	restore-joint	8.775962829589844	-16.843563079833984	-7.771915435791016	-25.619525909423828	-16.54787826538086	-9.071647644042969	0.3540911598487494	True	False	有	有
T02-D01-restore-L26-attention	T02	restore-L26-attention	-15.338966369628906	17.740524291992188	9.385673522949219	33.079490661621094	24.724639892578125	8.354850769042969	0.25256890604837173	True	False	无	无
T02-D01-restore-L28-mlp	T02	restore-L28-mlp	-15.338966369628906	17.740524291992188	10.306568145751953	33.079490661621094	25.64553451538086	7.433956146240234	0.22473006680435767	True	False	无	无
T02-D01-restore-joint	T02	restore-joint	-15.338966369628906	17.740524291992188	2.263988494873047	33.079490661621094	17.602954864501953	15.47653579711914	0.4678589508959718	True	False	无	无
T02-D02-restore-L26-attention	T02	restore-L26-attention	21.909881591796875	4.248752593994141	7.404071807861328	-17.661128997802734	-14.505809783935547	-3.1553192138671875	0.17865897555358712	True	False	无	无
T02-D02-restore-L28-mlp	T02	restore-L28-mlp	21.909881591796875	4.248752593994141	8.700279235839844	-17.661128997802734	-13.209602355957031	-4.451526641845703	0.2520522126529696	True	False	无	无
T02-D02-restore-joint	T02	restore-joint	21.909881591796875	4.248752593994141	11.01089096069336	-17.661128997802734	-10.898990631103516	-6.762138366699219	0.3828825647296112	True	False	无	无
T03-D01-restore-L26-attention	T03	restore-L26-attention	-22.937633514404297	-19.02788543701172	-19.26622772216797	3.909748077392578	3.671405792236328	0.23834228515625	0.060961033917868473	True	False	有	有
T03-D01-restore-L28-mlp	T03	restore-L28-mlp	-22.937633514404297	-19.02788543701172	-19.560779571533203	3.909748077392578	3.3768539428710938	0.5328941345214844	0.13629884175986934	True	False	有	有
T03-D01-restore-joint	T03	restore-joint	-22.937633514404297	-19.02788543701172	-19.76214599609375	3.909748077392578	3.175487518310547	0.7342605590820312	0.18780252449710563	True	False	有	有
T03-D02-restore-L26-attention	T03	restore-L26-attention	-15.337211608886719	-21.492481231689453	-20.418601989746094	-6.155269622802734	-5.081390380859375	-1.0738792419433594	0.17446502066539538	True	False	有	有
T03-D02-restore-L28-mlp	T03	restore-L28-mlp	-15.337211608886719	-21.492481231689453	-20.26041030883789	-6.155269622802734	-4.923198699951172	-1.2320709228515625	0.2001652240037135	True	False	有	有
T03-D02-restore-joint	T03	restore-joint	-15.337211608886719	-21.492481231689453	-19.44698715209961	-6.155269622802734	-4.109775543212891	-2.0454940795898438	0.33231591870681537	True	False	有	有
T04-D01-restore-L26-attention	T04	restore-L26-attention	-20.408967971801758	-19.580997467041016	-19.68551254272461	0.8279705047607422	0.7234554290771484	0.10451507568359375	0.1262304334304703	True	False	有	有
T04-D01-restore-L28-mlp	T04	restore-L28-mlp	-20.408967971801758	-19.580997467041016	-19.789813995361328	0.8279705047607422	0.6191539764404297	0.2088165283203125	0.2522028588212258	True	False	有	有
T04-D01-restore-joint	T04	restore-joint	-20.408967971801758	-19.580997467041016	-19.87070083618164	0.8279705047607422	0.5382671356201172	0.289703369140625	0.3498957601446688	True	False	有	有
T04-D02-restore-L26-attention	T04	restore-L26-attention	-19.331951141357422	-19.898040771484375	-19.787033081054688	-0.5660896301269531	-0.4550819396972656	-0.1110076904296875	0.1960956084017871	True	False	有	有
T04-D02-restore-L28-mlp	T04	restore-L28-mlp	-19.331951141357422	-19.898040771484375	-19.801776885986328	-0.5660896301269531	-0.46982574462890625	-0.09626388549804688	0.17005060749206521	True	False	有	有
T04-D02-restore-joint	T04	restore-joint	-19.331951141357422	-19.898040771484375	-19.727203369140625	-0.5660896301269531	-0.3952522277832031	-0.17083740234375	0.30178507651771935	True	False	有	有
