condition_id,query_id,parent_query_id,stage,role,demo_family,demo_surface,lexicon_arm,source_condition,input_freeze_status
FQD-FD-3169-Q01-F1-O-H,FD-3169-Q01,3169,stage_1,primary,1,H,O,F1-O-H,draft_not_frozen
FQD-FD-3169-Q01-F1-O-A,FD-3169-Q01,3169,stage_1,primary,1,A,O,F1-O-O,draft_not_frozen
FQD-FD-3169-Q01-F1-N1-H,FD-3169-Q01,3169,stage_1,primary,1,H,N1,F1-N1-H,draft_not_frozen
FQD-FD-3169-Q01-F1-N1-A,FD-3169-Q01,3169,stage_1,primary,1,A,N1,F1-N1-O,draft_not_frozen
FQD-FD-3169-Q01-F1-N2-H,FD-3169-Q01,3169,stage_1,primary,1,H,N2,F1-N2-H,draft_not_frozen
FQD-FD-3169-Q01-F1-N2-A,FD-3169-Q01,3169,stage_1,primary,1,A,N2,F1-N2-O,draft_not_frozen
FQD-FD-3169-Q01-F1-D-H,FD-3169-Q01,3169,stage_1,natural_deletion_bridge,1,H,D,F1-D-H,draft_not_frozen
FQD-FD-3169-Q01-F1-D-A,FD-3169-Q01,3169,stage_1,natural_deletion_bridge,1,A,D,F1-D-O,draft_not_frozen
FQD-FD-3169-Q01-F2-O-H,FD-3169-Q01,3169,stage_1,primary,2,H,O,F2-O-H,draft_not_frozen
FQD-FD-3169-Q01-F2-O-A,FD-3169-Q01,3169,stage_1,primary,2,A,O,F2-O-O,draft_not_frozen
FQD-FD-3169-Q01-F2-N1-H,FD-3169-Q01,3169,stage_1,primary,2,H,N1,F2-N1-H,draft_not_frozen
FQD-FD-3169-Q01-F2-N1-A,FD-3169-Q01,3169,stage_1,primary,2,A,N1,F2-N1-O,draft_not_frozen
FQD-FD-3169-Q01-F2-N2-H,FD-3169-Q01,3169,stage_1,primary,2,H,N2,F2-N2-H,draft_not_frozen
FQD-FD-3169-Q01-F2-N2-A,FD-3169-Q01,3169,stage_1,primary,2,A,N2,F2-N2-O,draft_not_frozen
FQD-FD-3169-Q01-F2-D-H,FD-3169-Q01,3169,stage_1,natural_deletion_bridge,2,H,D,F2-D-H,draft_not_frozen
FQD-FD-3169-Q01-F2-D-A,FD-3169-Q01,3169,stage_1,natural_deletion_bridge,2,A,D,F2-D-O,draft_not_frozen
