飞周兄弟 | 还不认亲？ | non_hate | non_hate [END]
广黑吧 | 没了吗？ | Region | hate [END]
卫辉官媒 | 错误 | non_hate | non_hate [END]
男权 | 男女平权 | non_hate | non_hate [END]
这 | 很niggeг | Racism | hate [END]
你 | 追求男女平等 | non_hate | non_hate [END]
中国人 | 会吃政治正确那一套 | non_hate | non_hate [END]
中国人为啥要吹黑人性能力 | 女人真信了谣言去找黑人了又哭天抢地 | Sexism, Racism | hate [END]
田楠 | 骗婚骗炮 | Sexism | hate [END]
这个视频 | 恶臭 | non_hate | non_hate [END]
答主 | 笑死我了🤣 | non_hate | non_hate [END]
异性恋 | 理解＋不接受 | non_hate | non_hate [END]
广东 | 常常刮台风，下大雨，最多也只是水浸街 | non_hate | non_hate [END]
女拳 | 和女拳站一边 | Sexism | hate [END]
黑化的法国 | 完蛋了 | Region | hate [END]
带头的 | 恰烂钱的 | Sexism | hate [END]
她 | 越充实 | Racism | hate [END]
阿三 | 四处黑公交 | Racism | hate [SEP] 日本 | 低欲望 | Region | hate [SEP] 男的 | 喜欢纸片人 | Sexism | hate [SEP] 女的 | 只喜欢嫁给有钱人 | Sexism | hate [END]
它 | 送它上西天 | non_hate | non_hate [END]
混血儿 | 没有任何科学依据 | non_hate | non_hate [END]
吧主 | 别犯贱乱删 | non_hate | non_hate [END]
你 | 南满 | Region | hate [END]
被剥削者 | 既得利益者指责被剥削者了属实是 | non_hate | non_hate [END]
湖北和陕西 | 我都觉得他们嘴里说什么我都不稀奇 | Region | hate [END]
男性 | 贱 | Sexism | hate [END]
美国 | 文化渗入这方面，美国做的很成功 | Region | hate [END]
钓鱼佬 | 永不空军😜 | non_hate | non_hate [END]
亚非拉 | ◎◎◎不要说我无情 | Region | hate [END]
地域黑 | 没新疆吗😅😅 | Region | hate [END]
东北人 | 肯定反驳力度差 | Region | hate [END]
友军 | 没有加狗头 | non_hate | non_hate [END]
西戎 | 北狄 | Region | hate [SEP] 南蛮 | 东夷 | Region | hate [END]
老一辈 | 确实是这样的 | non_hate | non_hate [END]
智商 | 硬伤 | non_hate | non_hate [END]
詹姆斯 | 球迷 | non_hate | non_hate [END]
钕全 | 老掉牙了钕全造词骂男性倒是一大堆以后统一用这个如何 | Sexism | hate [END]
她們家族男性 | 先對她們家族男性進行清算以證明勇氣 | Sexism | hate [END]
杨笠们 | 嘴里的普却信❤️❤️❤️ | non_hate | non_hate [END]
器质性变化 | 不好恢复 | non_hate | non_hate [END]
尼 | 去一起有尼的地方~ | Racism | hate [END]
白左 | 要殖民我们 | Racism | hate [END]
非洲 | 人生地不熟，说话也听不懂 | Region | hate [END]
南方人 | 保存实力 | Region | hate [SEP] 东北 | 没有血性 | Region | hate [END]
身边的人 | 被默默默默三通过，弄不好还有艾滋 | LGBTQ | hate [END]
广c人 | 我好喜欢 | Region | hate [END]
王者荣耀 | 要做的速速 | non_hate | non_hate [END]
新疆人 | 被歧视和其他省份人被歧视，本质上是不同的 | non_hate | non_hate [END]
你 | 黑 | Racism | hate [END]
黑人 | 黑人严重不符合我的审美 | Racism | hate [END]
他们 | 没有智商 | non_hate | non_hate [END]
我 | 在中资建筑工程公司 | non_hate | non_hate [END]
我 | 是来加入你们的惹 | non_hate | non_hate [END]
他 | 物种歧视 | non_hate | non_hate [END]
中国 | 又不是男人的中国 | Sexism | hate [END]
中国14亿人 | 总得有点奇葩 | non_hate | non_hate [END]
你 | 在东北😄 | non_hate | non_hate [END]
你 | 是gay？ | LGBTQ | hate [END]
黑种人 | 智商 | Racism | hate [SEP] 黄种人 | 体格 | Racism | hate [END]
前妻 | 再生小孩就不会对孩子好了 | non_hate | non_hate [END]
拿刀的女人 | 战斗力高 | Sexism | hate [END]
他 | 矮姿患者 | non_hate | non_hate [END]
走老的路子 | 最好的解决办法 | non_hate | non_hate [END]
这些女的 | 坚定的女拳🐶 | Sexism | hate [END]
同性恋和异性恋 | 都是真爱 | non_hate | non_hate [END]
河南人 | 自古的文化就一直在血脉中根深蒂固了 | Region | hate [END]
一位优秀的接盘侠 | 👍👍 | non_hate | non_hate [END]
你们 | 都去s | Sexism | hate [END]
基佬 | N待小动物 | LGBTQ | hate [END]
以下 | 是网址 | non_hate | non_hate [END]
这些女孩 | 追求爱情也好追求感官刺激也罢 | Sexism | hate [SEP] 这些女孩 | 追求爱情也好追求感官刺激也罢 | Sexism | hate [END]
上海本地那男的 | 真心不行 | Region | hate [END]
中国 | 又不是男人的中国 | Sexism | hate [END]
南美棉花小黑马 | 南美棉花小黑马 | non_hate | non_hate [END]
外娶 | 多好 | non_hate | non_hate [END]
理客 | 中是这样的 | non_hate | non_hate [END]
回族 | 名声不太好 | Region | hate [END]
黑人 | 智慧低下 | Racism | hate [END]
荷兰 | 荷兰老哥们属实聪明 | non_hate | non_hate [SEP] 东北人 | 懒 | Region | hate [END]
你 | 搁这发鬼图呢？ | non_hate | non_hate [END]
黑龙江人 | 还歧视辽宁吉林人 | Region | hate [END]
老黑 | 基因跟咱就不是一个色 | Racism | hate [END]
北方 | 在古代都南迁了 | Region | hate [END]
黑人 | 不把黑人画在择偶范围内😅 | Racism | hate [END]
东北叔叔阿姨 | 很大气 | non_hate | non_hate [SEP] 出租车司机 | 小气 | non_hate | non_hate [SEP] 江苏省 | 有歧视 | Region | hate [SEP] 上海人 | 热心 | non_hate | non_hate [END]
你自己 | 都把自己放在弱势群体一栏 | non_hate | non_hate [END]
他们 | 闲人 | Sexism | hate [END]
东北话 | 去上海工作吧 | Region | hate [END]
黑人妹子 | 做女朋友 | Racism | hate [END]
泥革 | 能算是人？？ | Racism | hate [END]
河南小姑娘 | 极度自律 | non_hate | non_hate [SEP] 河南学习好的人 | 真的多 | non_hate | non_hate [END]
能发这评论的 | 尼葛 | non_hate | non_hate [END]
你 | 真担心你身体吃不消 | Sexism | hate [END]
处女 | 必需 | Sexism | hate [END]
你 | 把西安放哪了😅 | non_hate | non_hate [END]
中国人 | 找个日本人韩国人，我也是膈应的 | Racism | hate [END]
南方矮矬子 | 跟当年老人们教诲不要找南方矮矬子，外地土老帽一样 | Region | hate [END]
你 | 能忍就忍呗 | non_hate | non_hate [END]
天津以北 | 冀东辽西 | non_hate | non_hate [END]
她们 | 墨 | Region | hate [END]
你 | 攻击他们去啊 | non_hate | non_hate [END]
你 | 混血 | non_hate | non_hate [END]
黑人 | 排名下降了 | Racism | hate [END]
中国 | 重返世界第一得地位 | non_hate | non_hate [END]
氙钕 | 不会氙钕怕事情败露自己删了吧 | LGBTQ | hate [END]
黑人 | 占领中国全靠生 | Racism | hate [END]
nv拳 | 最大的敌人是谁吗？是亲子鉴定，是基因技术 | Sexism | hate [END]
普通女性 | 占女性总人口的比例还是太少了 | Sexism | hate [SEP] 女拳、媚外的 | 占了绝大多数 | Sexism | hate [END]
大胸妹 | 精神茶党 | Sexism | hate [END]
猩猩 | 交配有什么稀奇的 | Racism | hate [END]
你 | 要为什么管白人的感受呢 | non_hate | non_hate [END]
女的 | 很娇贵 | Sexism | hate [END]
你 | 一看就是江苏的 | non_hate | non_hate [END]
东北人 | 到南方上学，都是最团结的 | non_hate | non_hate [SEP] 南方人 | 对东北人的歧视是根深蒂固的 | Region | hate [END]
默囧 | 视频里还不是同一个默囧 | Racism | hate [END]
混血 | 混了白皮猪的血 | Racism | hate [END]
爱不爱 | 干净与否的问题 | non_hate | non_hate [END]
东北人 | 默不作声 | Region | hate [END]
黑蛆 | 关系生死 | Racism | hate [END]
有些女的 | 就喜欢玩新鲜感 | Sexism | hate [SEP] 外国男 | 比郭楠好 | Sexism | hate [SEP] 墨人 | 有劲还带艾滋 | Racism | hate [END]
北方人 | 被南方人叫侉子 | Region | hate [END]
黑人 | 恶心人 | Racism | hate [END]
母狗 | 什么事做不出来 | Sexism | hate [END]
PUA | 贬低你说你一文不值达到从精神上控制你的作用 | Sexism | hate [END]
四川的 | 骗过钱 | Region | hate [SEP] 四川的 | 偷了钱 | Region | hate [SEP] 四川的 | 抢了包 | Region | hate [SEP] 四川的 | 拿到我爸的钱 | Region | hate [END]
舔狗龟男 | 大多十分固执，不愿醒悟 | Sexism | hate [END]
法国 | 每年60%的新生儿是非婚生子女 | non_hate | non_hate [END]
歪理邪说 | 断章取义，夹带个人私货 | non_hate | non_hate [END]
河北 | 偷井盖是事实 | Region | hate [END]
战士 | 是不分性别的 | non_hate | non_hate [END]
你 | 外人 | Sexism, Racism | hate [END]
上海 | 只说了实话怎么能算黑 | Region | hate [END]
黑皮 | 需要那么多嘴炮政客？还是黑皮 | Racism | hate [END]
女性 | 不受惩罚 | Sexism | hate [END]
男生 | 变态很多呀 | Sexism | hate [END]
这货 | 好不好发挥 | non_hate | non_hate [END]
黑人 | 太黑了，大家不太喜欢 | Racism | hate [END]
你 | racial discrimination观念 | Racism | hate [END]
公司外派在唐山 | 上了三年班，人们都很亲切👍👍 | non_hate | non_hate [END]
金庸 | 大师 | non_hate | non_hate [END]
什么仙女营销号 | 这么快就破防了 | non_hate | non_hate [END]
离赤道越近的人 | 越黑 | Racism | hate [END]
黑人英雄 | 犯罪分子 | Racism | hate [END]
你 | 不配 | Sexism | hate [END]
你 | 基佬 | LGBTQ | hate [END]
黑你们就觉得被骂了 | 黑河南就觉得只是玩梗 | non_hate | non_hate [END]
黑人 | 在哪个领域比别人强？嗯，犯罪领域。 | Racism | hate [END]
女厕所 | 数量多于男厕所 | Sexism | hate [END]
黑女 | 乱性 | Sexism | hate [END]
JATOO | 食神 | non_hate | non_hate [END]
黑人 | 对中国友好 | Racism | hate [END]
黑人吧 | 早被我们反黑站了 | Racism | hate [END]
这种 | 腐癌 | LGBTQ | hate [END]
黑人 | 美黑，美听说过美黑的 | Racism | hate [END]
老黑 | 没把老黑当老大 | Racism | hate [END]
楼上 | 一个无耻透顶的女人 | Sexism | hate [END]
乱性艾滋病 | 隐藏在后面的是 | LGBTQ | hate [END]
你们地域黑 | 贼喊捉贼有意思 | Region | hate [END]
贴吧的审核 | 没有慕刃，我把手机吃下去 | non_hate | non_hate [END]
北欧 | 一群炼铜海盗 | Region | hate [END]
艾滋病 | 要你命 | LGBTQ | hate [END]
华莱士 | 被黑得很惨 | non_hate | non_hate [END]
杰希 | 歪果仁 | Racism | hate [END]
上海 | 不排外的都是没去过上海或者没生活经验的 | Region | hate [END]
你 | 应该天天刷这答案 | non_hate | non_hate [END]
郭楠 | 在部分国女眼里早就被开除人籍了 | Sexism, Racism | hate [END]
舔狗 | 很恶毒的男淫 | Sexism | hate [END]
我 | 脸皮贼厚 | non_hate | non_hate [END]
你 | 东北人ba | Region | hate [END]
你 | 被女的传染 | Sexism | hate [END]
楼上那个低能 | 在现实中连句话都不敢说 | non_hate | non_hate [SEP] 这样的txl | 直接煽风点火孤立*** | non_hate | non_hate [END]
女权 | 错误观点急需纠正 | Sexism | hate [END]
浙江人 | 挺好的啊 | non_hate | non_hate [END]
浏览 | 是没事的吧 | non_hate | non_hate [END]
东北人 | 扣到东北人头上 | Region | hate [END]
个体女人 | 产生了不需要个体男人的错觉 | Sexism | hate [END]
领美刀的 | 十有八九 | Racism | hate [END]
这些人 | 江浙沪我去过，没碰到 | Region | hate [END]
他 | 反同态度吗？ | LGBTQ | hate [END]
两个人 | 在一起是为了生育嘛 | Sexism | hate [END]
嘿畜狌 | 繁殖 | Racism | hate [END]
这黑人 | 应该回非洲去 | Racism | hate [END]
警察叔叔 | 小心艾滋 | non_hate | non_hate [END]
贵州人 | 向我们骂了五分钟的贵州人 | Region | hate [END]
河南 | 文科一本分数线比7省低，理科一本线也只比两省高 | Region | hate [END]
你们 | 把正常人的智商否定了 | non_hate | non_hate [END]
这人 | 还是个op | non_hate | non_hate [END]
山西 | 存在感实在是低到没人黑 | Region | hate [END]
大多国女 | 找黑人白人结婚率并不高 | Sexism | hate [END]
崇洋媚外 | 种族主义 | Racism | hate [END]
幕刃 | 应该把他自己和女性割裂开 | Sexism | hate [END]
女主播 | 喜欢地域歧视 | Region | hate [END]
穆加贝 | 恶魔 | Racism | hate [END]
自由社会 | 真是所有无耻作为的遮羞布挡箭牌了😓 | non_hate | non_hate [END]
直佬们 | 做好被强制纠正取向的准备 | LGBTQ | hate [END]
潳嘿 | 后世潳嘿 | non_hate | non_hate [END]
性取向 | 个人的权利 | LGBTQ | hate [END]
家暴 | 对男人没有任何好处 | Sexism | hate [END]
同 | 扣那多字来反同有用吗 | LGBTQ | hate [END]
她们 | 生下丑陋的哥布林 | Sexism | hate [END]
正宗大飞柱 | 应该发到正宗大飞柱吧 | Sexism | hate [END]
女👊 | 傻逼 | Sexism | hate [END]
普信奇趣蛋 | 也就能想想了 | Sexism | hate [END]
黑龙江 | GDP确实比不过辽宁 | non_hate | non_hate [END]
我 | 厌恶就是厌恶 | LGBTQ | hate [END]
黑人 | 没有头发然后看不清五官🤣 | Racism | hate [END]
中国 | 日子比日本混的好 | non_hate | non_hate [END]
喷吧 | 被冲了就不让发言了 | non_hate | non_hate [END]
河南人 | 偷井盖 | non_hate | non_hate [END]
白人 | 出美女的几率也太高了 | Sexism | hate [END]
河南 | 这个资本家还不配让爷去🙂 | Region | hate [END]
女人生意 | 真的好做 | Sexism | hate [END]
单亲妈妈 | 熟悉的剧情 | non_hate | non_hate [END]
黑人群体 | 没接触 | non_hate | non_hate [END]
贵州 | 怎么了 | non_hate | non_hate [END]
国男 | 多学着点吧😄 | Sexism | hate [END]
黑人 | 活下来的概率较大 | Racism | hate [SEP] 黑人 | 被生死簿勾了名了 | Racism | hate [END]
黑小子 | 满街乱窜 | Racism | hate [SEP] 混血二代 | 公害 | Racism | hate [END]
屈臣氏 | 想玩什么 | LGBTQ | hate [END]
这个女人 | 去送非洲🐶🐶 | Sexism, Racism | hate [END]
排外的人 | 社会底层 | non_hate | non_hate [END]
大龄剩女 | 千万不要找 | Sexism | hate [END]
广东 | 那个应该不算黑？ | non_hate | non_hate [END]
这个政治 | 非常正确 | non_hate | non_hate [END]
温州 | 假皮鞋 | Region | hate [END]
基佬 | 对社会的贡献远不如一个长相不佳的直男工程师 | LGBTQ | hate [END]
基佬 | 长成 | LGBTQ | hate [END]
