job_id	query_id	donor	recipient	condition	m	delta_m	reference_aligned_delta	prediction	transition	donor_state_l2
J01-D01-upstream	J01	ctm-J01-D02	ctm-J01-D01	upstream	6.597324371337891	13.463775634765625	13.463775634765625	无	repair	36.88794832181225
J01-D01-restore-L26-attention	J01	ctm-J01-D02	ctm-J01-D01	restore-L26-attention	1.92608642578125	8.792537689208984	8.792537689208984	无	repair	36.88794832181225
J01-D01-restore-L28-mlp	J01	ctm-J01-D02	ctm-J01-D01	restore-L28-mlp	3.615398406982422	10.481849670410156	10.481849670410156	无	repair	36.88794832181225
J01-D01-restore-joint	J01	ctm-J01-D02	ctm-J01-D01	restore-joint	-0.09335708618164062	6.773094177246094	6.773094177246094	有	unchanged	36.88794832181225
J01-D01-preceding	J01	ctm-J01-D02	ctm-J01-D01	preceding	-6.9124755859375	-0.046024322509765625	-0.046024322509765625	有	unchanged	28.287834335095518
J01-D02-upstream	J01	ctm-J01-D01	ctm-J01-D02	upstream	15.741401672363281	-6.217916488647461	-6.217916488647461	无	unchanged	36.88794832181225
J01-D02-restore-L26-attention	J01	ctm-J01-D01	ctm-J01-D02	restore-L26-attention	16.292240142822266	-5.667078018188477	-5.667078018188477	无	unchanged	36.88794832181225
J01-D02-restore-L28-mlp	J01	ctm-J01-D01	ctm-J01-D02	restore-L28-mlp	16.837894439697266	-5.121423721313477	-5.121423721313477	无	unchanged	36.88794832181225
J01-D02-restore-joint	J01	ctm-J01-D01	ctm-J01-D02	restore-joint	17.2059326171875	-4.753385543823242	-4.753385543823242	无	unchanged	36.88794832181225
J01-D02-preceding	J01	ctm-J01-D01	ctm-J01-D02	preceding	21.995471954345703	0.03615379333496094	0.03615379333496094	无	unchanged	28.287834335095518
J02-D01-upstream	J02	ctm-J02-D02	ctm-J02-D01	upstream	-23.566795349121094	0.026885986328125	-0.026885986328125	有	unchanged	39.314983867204745
J02-D01-restore-L26-attention	J02	ctm-J02-D02	ctm-J02-D01	restore-L26-attention	-23.55264663696289	0.041034698486328125	-0.041034698486328125	有	unchanged	39.314983867204745
J02-D01-restore-L28-mlp	J02	ctm-J02-D02	ctm-J02-D01	restore-L28-mlp	-23.569480895996094	0.024200439453125	-0.024200439453125	有	unchanged	39.314983867204745
J02-D01-restore-joint	J02	ctm-J02-D02	ctm-J02-D01	restore-joint	-23.567909240722656	0.0257720947265625	-0.0257720947265625	有	unchanged	39.314983867204745
J02-D01-preceding	J02	ctm-J02-D02	ctm-J02-D01	preceding	-23.59817123413086	-0.004489898681640625	0.004489898681640625	有	unchanged	12.311036903183123
J02-D02-upstream	J02	ctm-J02-D01	ctm-J02-D02	upstream	-23.94670867919922	-0.0807952880859375	0.0807952880859375	有	unchanged	39.314983867204745
J02-D02-restore-L26-attention	J02	ctm-J02-D01	ctm-J02-D02	restore-L26-attention	-23.972543716430664	-0.10663032531738281	0.10663032531738281	有	unchanged	39.314983867204745
J02-D02-restore-L28-mlp	J02	ctm-J02-D01	ctm-J02-D02	restore-L28-mlp	-23.87278175354004	-0.0068683624267578125	0.0068683624267578125	有	unchanged	39.314983867204745
J02-D02-restore-joint	J02	ctm-J02-D01	ctm-J02-D02	restore-joint	-23.883996963500977	-0.018083572387695312	0.018083572387695312	有	unchanged	39.314983867204745
J02-D02-preceding	J02	ctm-J02-D01	ctm-J02-D02	preceding	-23.888675689697266	-0.022762298583984375	0.022762298583984375	有	unchanged	12.311036903183123
J03-D01-upstream	J03	ctm-J03-D02	ctm-J03-D01	upstream	0.10279464721679688	-0.5032119750976562	-0.5032119750976562	无	unchanged	64.68865151696565
J03-D01-restore-L26-attention	J03	ctm-J03-D02	ctm-J03-D01	restore-L26-attention	0.6045265197753906	-0.0014801025390625	-0.0014801025390625	无	unchanged	64.68865151696565
J03-D01-restore-L28-mlp	J03	ctm-J03-D02	ctm-J03-D01	restore-L28-mlp	0.19728851318359375	-0.4087181091308594	-0.4087181091308594	无	unchanged	64.68865151696565
