query_id	recipient	focal_job_id	pre_job_id	delta_m	bound	reference_aligned_delta
J05	synthetic-J05-D01	J05-MPS-upstream	J05-MPS-preceding	3.339970201253891	2e-06	3.339970201253891
J05	synthetic-J05-D02	J05-MSP-upstream	J05-MSP-preceding	-0.8602356910705566	2e-06	-0.8602356910705566
J06	synthetic-J06-D01	J06-MPS-upstream	J06-MPS-preceding	3.339970201253891	2e-06	3.339970201253891
J06	synthetic-J06-D02	J06-MSP-upstream	J06-MSP-preceding	-0.8602356910705566	2e-06	-0.8602356910705566
J07	synthetic-J07-D01	J07-MPS-upstream	J07-MPS-preceding	3.339970201253891	2e-06	3.339970201253891
J07	synthetic-J07-D02	J07-MSP-upstream	J07-MSP-preceding	-0.8602356910705566	2e-06	-0.8602356910705566
J08	synthetic-J08-D01	J08-MPS-upstream	J08-MPS-preceding	3.339970201253891	2e-06	3.339970201253891
J08	synthetic-J08-D02	J08-MSP-upstream	J08-MSP-preceding	-0.8602356910705566	2e-06	-0.8602356910705566
J09	synthetic-J09-D01	J09-MPS-upstream	J09-MPS-preceding	3.339970201253891	2e-06	-3.339970201253891
J09	synthetic-J09-D02	J09-MSP-upstream	J09-MSP-preceding	-0.8602356910705566	2e-06	0.8602356910705566
J10	synthetic-J10-D01	J10-MPS-upstream	J10-MPS-preceding	3.339970201253891	2e-06	-3.339970201253891
J10	synthetic-J10-D02	J10-MSP-upstream	J10-MSP-preceding	-0.8602356910705566	2e-06	0.8602356910705566
