query_id	recipient	donor	layer	group	site	last_layer_expected_zero	upstream_job_id	restoration	condition	kind	job_id	m	recipient_m	donor_m	delta_m	delta_bound	donor_gap	donor_gap_bound	donor_gap_fraction	reference	reference_aligned_delta	prediction	recipient_prediction	flip	transition	direction	restoration_proof	donor_state_l2	replacement_token_count	donor_state_rms_per_coordinate
J05	synthetic-J05-D01	synthetic-J05-D00	17	focal	decoder_block_output	False	J05-MPS-upstream		upstream	primary	J05-MPS-upstream	0.4846270978450775	-3.206021785736084	3.206021785736084	3.6906488835811615	2e-06	6.412043571472168	2e-06	0.5755807555646116	无	3.6906488835811615	无	有	True	repair	positive		24.0	2	6.0
J05	synthetic-J05-D01	synthetic-J05-D00	17	pre	decoder_block_output	False	J05-MPS-preceding		preceding	position_control	J05-MPS-preceding	-2.8553431034088135	-3.206021785736084	3.206021785736084	0.3506786823272705	2e-06	6.412043571472168	2e-06	0.054690626852174795	无	0.3506786823272705	有	有	False	unchanged	positive		24.0	2	6.0
J05	synthetic-J05-D02	synthetic-J05-D00	17	focal	decoder_block_output	False	J05-MSP-upstream		upstream	primary	J05-MSP-upstream	2.234327554702759	3.206021785736084	3.206021785736084	-0.9716942310333252	2e-06	0.0	2e-06		无	-0.9716942310333252	无	无	False	unchanged	negative		8.0	2	2.0
J05	synthetic-J05-D02	synthetic-J05-D00	17	pre	decoder_block_output	False	J05-MSP-preceding		preceding	position_control	J05-MSP-preceding	3.0945632457733154	3.206021785736084	3.206021785736084	-0.11145853996276855	2e-06	0.0	2e-06		无	-0.11145853996276855	无	无	False	unchanged	negative		8.0	2	2.0
J06	synthetic-J06-D01	synthetic-J06-D00	17	focal	decoder_block_output	False	J06-MPS-upstream		upstream	primary	J06-MPS-upstream	0.4846270978450775	-3.206021785736084	3.206021785736084	3.6906488835811615	2e-06	6.412043571472168	2e-06	0.5755807555646116	无	3.6906488835811615	无	有	True	repair	positive		24.0	2	6.0
J06	synthetic-J06-D01	synthetic-J06-D00	17	pre	decoder_block_output	False	J06-MPS-preceding		preceding	position_control	J06-MPS-preceding	-2.8553431034088135	-3.206021785736084	3.206021785736084	0.3506786823272705	2e-06	6.412043571472168	2e-06	0.054690626852174795	无	0.3506786823272705	有	有	False	unchanged	positive		24.0	2	6.0
J06	synthetic-J06-D02	synthetic-J06-D00	17	focal	decoder_block_output	False	J06-MSP-upstream		upstream	primary	J06-MSP-upstream	2.234327554702759	3.206021785736084	3.206021785736084	-0.9716942310333252	2e-06	0.0	2e-06		无	-0.9716942310333252	无	无	False	unchanged	negative		8.0	2	2.0
J06	synthetic-J06-D02	synthetic-J06-D00	17	pre	decoder_block_output	False	J06-MSP-preceding		preceding	position_control	J06-MSP-preceding	3.0945632457733154	3.206021785736084	3.206021785736084	-0.11145853996276855	2e-06	0.0	2e-06		无	-0.11145853996276855	无	无	False	unchanged	negative		8.0	2	2.0
J07	synthetic-J07-D01	synthetic-J07-D00	17	focal	decoder_block_output	False	J07-MPS-upstream		upstream	primary	J07-MPS-upstream	0.4846270978450775	-3.206021785736084	3.206021785736084	3.6906488835811615	2e-06	6.412043571472168	2e-06	0.5755807555646116	无	3.6906488835811615	无	有	True	repair	positive		24.0	2	6.0
J07	synthetic-J07-D01	synthetic-J07-D00	17	pre	decoder_block_output	False	J07-MPS-preceding		preceding	position_control	J07-MPS-preceding	-2.8553431034088135	-3.206021785736084	3.206021785736084	0.3506786823272705	2e-06	6.412043571472168	2e-06	0.054690626852174795	无	0.3506786823272705	有	有	False	unchanged	positive		24.0	2	6.0
J07	synthetic-J07-D02	synthetic-J07-D00	17	focal	decoder_block_output	False	J07-MSP-upstream		upstream	primary	J07-MSP-upstream	2.234327554702759	3.206021785736084	3.206021785736084	-0.9716942310333252	2e-06	0.0	2e-06		无	-0.9716942310333252	无	无	False	unchanged	negative		8.0	2	2.0
J07	synthetic-J07-D02	synthetic-J07-D00	17	pre	decoder_block_output	False	J07-MSP-preceding		preceding	position_control	J07-MSP-preceding	3.0945632457733154	3.206021785736084	3.206021785736084	-0.11145853996276855	2e-06	0.0	2e-06		无	-0.11145853996276855	无	无	False	unchanged	negative		8.0	2	2.0
J08	synthetic-J08-D01	synthetic-J08-D00	17	focal	decoder_block_output	False	J08-MPS-upstream		upstream	primary	J08-MPS-upstream	0.4846270978450775	-3.206021785736084	3.206021785736084	3.6906488835811615	2e-06	6.412043571472168	2e-06	0.5755807555646116	无	3.6906488835811615	无	有	True	repair	positive		24.0	2	6.0
J08	synthetic-J08-D01	synthetic-J08-D00	17	pre	decoder_block_output	False	J08-MPS-preceding		preceding	position_control	J08-MPS-preceding	-2.8553431034088135	-3.206021785736084	3.206021785736084	0.3506786823272705	2e-06	6.412043571472168	2e-06	0.054690626852174795	无	0.3506786823272705	有	有	False	unchanged	positive		24.0	2	6.0
J08	synthetic-J08-D02	synthetic-J08-D00	17	focal	decoder_block_output	False	J08-MSP-upstream		upstream	primary	J08-MSP-upstream	2.234327554702759	3.206021785736084	3.206021785736084	-0.9716942310333252	2e-06	0.0	2e-06		无	-0.9716942310333252	无	无	False	unchanged	negative		8.0	2	2.0
J08	synthetic-J08-D02	synthetic-J08-D00	17	pre	decoder_block_output	False	J08-MSP-preceding		preceding	position_control	J08-MSP-preceding	3.0945632457733154	3.206021785736084	3.206021785736084	-0.11145853996276855	2e-06	0.0	2e-06		无	-0.11145853996276855	无	无	False	unchanged	negative		8.0	2	2.0
J09	synthetic-J09-D01	synthetic-J09-D00	17	focal	decoder_block_output	False	J09-MPS-upstream		upstream	primary	J09-MPS-upstream	0.4846270978450775	-3.206021785736084	3.206021785736084	3.6906488835811615	2e-06	6.412043571472168	2e-06	0.5755807555646116	有	-3.6906488835811615	无	有	True	damage	positive		24.0	2	6.0
