id,content,label,x,y,cluster
2448,我的天啊，求求你坦白吧，放过人家,non-hate,0.49764735,4.810307,9
5977,出去旅游到了挺多省份的，感觉当地人都挺好的，哪个地方大部分都是和你我一样的普通人，只不过地域文化不同，大体性格会偏向豪放或内敛，但是根本上差不了太多,non-hate,5.0981827,6.6048756,5
1942,她没必要这么敏感,non-hate,0.89231324,5.056854,4
7140,这种东西是上面的锅，甩给女性不大好,non-hate,0.05030879,4.712527,4
6442,说明现在法制社会啊←_←大家都挺爱护女性的,non-hate,0.819682,3.4759634,4
7108,大哥你私信没开,non-hate,-0.6742809,8.390358,7
2234,答主回答的时候是不是有些难过啊，抱抱，我们都理解你的,non-hate,0.23958531,6.6825824,6
4452,为什么啊，我室友就是四川人，她还有很多亲戚在浙江生活工作，我们关系也很好啊，不过也可能是因为我们只是一个小城市的关系。,non-hate,6.404396,7.134653,5
291,我主张拆掉屋顶的时候才有人同意开窗户。,non-hate,1.7622619,5.1261716,2
3787,妇女报是妇联名下的么？,non-hate,0.46133408,3.2677553,4
5962,因为一味地忍让换来的是不平等，充了这帮女权，不过说实话我现实中还没见过女权，大部分女的只是有点任性傲气而已。并且还是漂亮的,non-hate,0.81680596,3.3329284,4
7978,怎么大小号都拉黑我了，这就跑了？好怂喔，饭桶吧主就这战力？,non-hate,-1.5468835,7.5552206,7
2733,对啊，好看的很多的都是混血,non-hate,2.3215027,4.0613594,3
7725,反串一律水葬,non-hate,0.5233398,7.632291,0
2125,这贴看的我鸡皮疙瘩起来了,non-hate,-0.2790359,7.4860153,0
3909,真想不到这人居然还在！,non-hate,2.4088984,7.8095107,0
5721,不要随意评论。毕竟大家都是人，你的评论会伤害到别人。性取向是别人的自由。请你善良,non-hate,-0.95438224,3.3048542,1
3204,如果你已经不会听风就是雨，那么说明你成熟了,non-hate,2.0469544,6.4726276,9
1374,你可以不给，她可以不嫁，很公平啊,non-hate,0.8110389,2.3304803,4
2033,吧里没落了,non-hate,-1.8057563,7.06908,7
7890,省都没出过几次，你就不要说话了好吧！最基本的人文地理知识都缺乏😆,non-hate,5.178244,6.523197,5
1256,说的好，生动代表了河南人那股聪明劲,non-hate,7.5805545,7.567531,8
6720,世界女权组织，这名听着就吓人,non-hate,0.4226583,3.195836,4
7237,没有广西吗？,non-hate,6.818115,5.345297,5
4744,可以说，以上的地域歧视只能说是略有夸大。但是几乎全部都有事实依据。要真是空穴来风根本不可能流传开来。,non-hate,4.8754206,6.6326723,5
7688,你是个什么逻辑，臆想别人喜欢你?,non-hate,-1.4786161,3.8240075,9
5832,难道不是小孩贫血，好心人献血过多，改变了血型吗?,non-hate,1.8240824,4.1842775,2
1652,反正我遇见的河南人都还不错,non-hate,7.412914,7.6492352,5
5720,这个赞太少了点吧。,non-hate,-1.0991497,7.3829856,8
5436,花呗干什么的,non-hate,-0.8028615,4.8676457,7
7934,这人老挠弹了，之前就被人举报封过，大过年又出来发病了,non-hate,-0.40146726,7.6317015,7
3822,没必要纠结这么多，我敢说99.9%的女性都是想为自己的丈夫生孩子的，如果你要是遇到0.1%，那就是你自己的问题了，话说我只想要一个孩子，我老婆想要两个。,non-hate,1.1980685,2.9291117,4
2655,很难不赞同，不过补充一点，杨靖宇将军是河南的，本名马尚德，驻马店的骄傲🍉,non-hate,7.5886064,7.439278,5
6339,个人感觉浙江比苏南上海友好非常多，实地都去过,non-hate,6.3943315,7.3543973,5
6903,湖北也跑了,non-hate,6.7808695,6.565177,5
7851,你比苏维埃联盟还要牢不可破,non-hate,5.267286,9.00191,9
533,谁说你了，给自己加这么多戏,non-hate,1.4578772,8.259475,9
