author,contrast_id,human_mechanism_judgment,kind,query_id,status,task,terms,primary_score,score_modes,analysis_variable,numeric_bound,numerically_unresolved_if,statistical_interval
assistant,EPL-541:position-A,False,two_example_position_effect,541,frozen_before_new_scores,hate,"[{""coefficient"":1,""condition"":""P1-A""},{""coefficient"":-1,""condition"":""P0-A""}]",answer_sum,"[""answer_sum"",""answer_mean"",""total_with_eos"",""mean_with_eos""]",non_hate_margin,0.002685546875,abs(effect) <= numeric_bound,False
assistant,EPL-541:background-A,False,partner_rewrite_bridge,541,frozen_before_new_scores,hate,"[{""coefficient"":1,""condition"":""P0-A""},{""coefficient"":-1,""condition"":""R-A""}]",answer_sum,"[""answer_sum"",""answer_mean"",""total_with_eos"",""mean_with_eos""]",non_hate_margin,0.002685546875,abs(effect) <= numeric_bound,False
assistant,EPL-541:position-C1,False,two_example_position_effect,541,frozen_before_new_scores,hate,"[{""coefficient"":1,""condition"":""P1-C1""},{""coefficient"":-1,""condition"":""P0-C1""}]",answer_sum,"[""answer_sum"",""answer_mean"",""total_with_eos"",""mean_with_eos""]",non_hate_margin,0.002685546875,abs(effect) <= numeric_bound,False
assistant,EPL-541:background-C1,False,partner_rewrite_bridge,541,frozen_before_new_scores,hate,"[{""coefficient"":1,""condition"":""P0-C1""},{""coefficient"":-1,""condition"":""R-C1""}]",answer_sum,"[""answer_sum"",""answer_mean"",""total_with_eos"",""mean_with_eos""]",non_hate_margin,0.002685546875,abs(effect) <= numeric_bound,False
assistant,EPL-541:position-C2,False,two_example_position_effect,541,frozen_before_new_scores,hate,"[{""coefficient"":1,""condition"":""P1-C2""},{""coefficient"":-1,""condition"":""P0-C2""}]",answer_sum,"[""answer_sum"",""answer_mean"",""total_with_eos"",""mean_with_eos""]",non_hate_margin,0.002685546875,abs(effect) <= numeric_bound,False
assistant,EPL-541:background-C2,False,partner_rewrite_bridge,541,frozen_before_new_scores,hate,"[{""coefficient"":1,""condition"":""P0-C2""},{""coefficient"":-1,""condition"":""R-C2""}]",answer_sum,"[""answer_sum"",""answer_mean"",""total_with_eos"",""mean_with_eos""]",non_hate_margin,0.002685546875,abs(effect) <= numeric_bound,False
assistant,EPL-541:position-D1,False,two_example_position_effect,541,frozen_before_new_scores,hate,"[{""coefficient"":1,""condition"":""P1-D1""},{""coefficient"":-1,""condition"":""P0-D1""}]",answer_sum,"[""answer_sum"",""answer_mean"",""total_with_eos"",""mean_with_eos""]",non_hate_margin,0.002685546875,abs(effect) <= numeric_bound,False
assistant,EPL-541:background-D1,False,partner_rewrite_bridge,541,frozen_before_new_scores,hate,"[{""coefficient"":1,""condition"":""P0-D1""},{""coefficient"":-1,""condition"":""R-D1""}]",answer_sum,"[""answer_sum"",""answer_mean"",""total_with_eos"",""mean_with_eos""]",non_hate_margin,0.002685546875,abs(effect) <= numeric_bound,False
assistant,EPL-541:position-D2,False,two_example_position_effect,541,frozen_before_new_scores,hate,"[{""coefficient"":1,""condition"":""P1-D2""},{""coefficient"":-1,""condition"":""P0-D2""}]",answer_sum,"[""answer_sum"",""answer_mean"",""total_with_eos"",""mean_with_eos""]",non_hate_margin,0.002685546875,abs(effect) <= numeric_bound,False
assistant,EPL-541:background-D2,False,partner_rewrite_bridge,541,frozen_before_new_scores,hate,"[{""coefficient"":1,""condition"":""P0-D2""},{""coefficient"":-1,""condition"":""R-D2""}]",answer_sum,"[""answer_sum"",""answer_mean"",""total_with_eos"",""mean_with_eos""]",non_hate_margin,0.002685546875,abs(effect) <= numeric_bound,False
assistant,EPL-541:semantic-P0-1,False,paired_content_paraphrase_comparison,541,frozen_before_new_scores,hate,"[{""coefficient"":1,""condition"":""P0-D1""},{""coefficient"":-1,""condition"":""P0-C1""}]",answer_sum,"[""answer_sum"",""answer_mean"",""total_with_eos"",""mean_with_eos""]",non_hate_margin,0.002685546875,abs(effect) <= numeric_bound,False
assistant,EPL-541:semantic-P1-1,False,paired_content_paraphrase_comparison,541,frozen_before_new_scores,hate,"[{""coefficient"":1,""condition"":""P1-D1""},{""coefficient"":-1,""condition"":""P1-C1""}]",answer_sum,"[""answer_sum"",""answer_mean"",""total_with_eos"",""mean_with_eos""]",non_hate_margin,0.002685546875,abs(effect) <= numeric_bound,False
assistant,EPL-541:position-semantic-1,False,position_by_semantic_interaction,541,frozen_before_new_scores,hate,"[{""coefficient"":1,""condition"":""P1-D1""},{""coefficient"":-1,""condition"":""P1-C1""},{""coefficient"":-1,""condition"":""P0-D1""},{""coefficient"":1,""condition"":""P0-C1""}]",answer_sum,"[""answer_sum"",""answer_mean"",""total_with_eos"",""mean_with_eos""]",non_hate_margin,0.00537109375,abs(effect) <= numeric_bound,False
assistant,EPL-541:semantic-P0-2,False,paired_content_paraphrase_comparison,541,frozen_before_new_scores,hate,"[{""coefficient"":1,""condition"":""P0-D2""},{""coefficient"":-1,""condition"":""P0-C2""}]",answer_sum,"[""answer_sum"",""answer_mean"",""total_with_eos"",""mean_with_eos""]",non_hate_margin,0.002685546875,abs(effect) <= numeric_bound,False
