reference,task,condition,label,tp,fp,fn,support,f1
original,hate,C0,hate,3,0,19,22,0.24
original,hate,C0,non-hate,10,19,0,10,0.5128205128205128
original,hate,CLnew,hate,1,0,21,22,0.08695652173913043
original,hate,CLnew,non-hate,10,21,0,10,0.4878048780487805
original,hate,CD,hate,14,4,8,22,0.7
original,hate,CD,non-hate,6,8,4,10,0.5
original,hate,CLDnew,hate,6,4,16,22,0.375
original,hate,CLDnew,non-hate,6,16,4,10,0.375
original,hate,CLnewNoCat,hate,3,0,19,22,0.24
original,hate,CLnewNoCat,non-hate,10,19,0,10,0.5128205128205128
original,hate,CLDnewNoCat,hate,11,4,11,22,0.5945945945945946
original,hate,CLDnewNoCat,non-hate,6,11,4,10,0.4444444444444444
reviewed,hate,C0,hate,3,0,14,17,0.3
reviewed,hate,C0,non-hate,15,14,0,15,0.6818181818181818
reviewed,hate,CLnew,hate,1,0,16,17,0.1111111111111111
reviewed,hate,CLnew,non-hate,15,16,0,15,0.6521739130434783
reviewed,hate,CD,hate,12,6,5,17,0.6857142857142857
reviewed,hate,CD,non-hate,9,5,6,15,0.6206896551724138
reviewed,hate,CLDnew,hate,3,7,14,17,0.2222222222222222
reviewed,hate,CLDnew,non-hate,8,14,7,15,0.43243243243243246
reviewed,hate,CLnewNoCat,hate,2,1,15,17,0.2
reviewed,hate,CLnewNoCat,non-hate,14,15,1,15,0.6363636363636364
reviewed,hate,CLDnewNoCat,hate,7,8,10,17,0.4375
reviewed,hate,CLDnewNoCat,non-hate,7,10,8,15,0.4375
original,group,C0,Racism,5,1,4,9,0.6666666666666666
original,group,C0,Region,5,1,3,8,0.7142857142857143
original,group,C0,LGBTQ,2,2,0,2,0.6666666666666666
original,group,C0,Sexism,3,3,4,7,0.46153846153846156
original,group,C0,others,0,0,2,2,0.0
original,group,CLnew,Racism,8,2,1,9,0.8421052631578947
original,group,CLnew,Region,4,1,4,8,0.6153846153846154
original,group,CLnew,LGBTQ,2,2,0,2,0.6666666666666666
original,group,CLnew,Sexism,5,1,2,7,0.7692307692307693
original,group,CLnew,others,0,0,2,2,0.0
original,group,CD,Racism,6,2,3,9,0.7058823529411765
original,group,CD,Region,7,2,1,8,0.8235294117647058
original,group,CD,LGBTQ,2,4,0,2,0.5
original,group,CD,Sexism,3,5,4,7,0.4
original,group,CD,others,1,2,1,2,0.4
original,group,CLDnew,Racism,8,3,1,9,0.8
original,group,CLDnew,Region,7,3,1,8,0.7777777777777778
original,group,CLDnew,LGBTQ,2,2,0,2,0.6666666666666666
original,group,CLDnew,Sexism,6,2,1,7,0.8
original,group,CLDnew,others,2,3,0,2,0.5714285714285714
original,group,CLnewNoCat,Racism,7,2,2,9,0.7777777777777778
original,group,CLnewNoCat,Region,4,2,4,8,0.5714285714285714
original,group,CLnewNoCat,LGBTQ,2,3,0,2,0.5714285714285714
original,group,CLnewNoCat,Sexism,3,2,4,7,0.5
original,group,CLnewNoCat,others,0,0,2,2,0.0
original,group,CLDnewNoCat,Racism,8,2,1,9,0.8421052631578947
original,group,CLDnewNoCat,Region,7,4,1,8,0.7368421052631579
original,group,CLDnewNoCat,LGBTQ,2,2,0,2,0.6666666666666666
original,group,CLDnewNoCat,Sexism,4,3,3,7,0.5714285714285714
original,group,CLDnewNoCat,others,2,0,0,2,1.0
reviewed,group,C0,Racism,5,1,5,10,0.625
reviewed,group,C0,Region,4,2,1,5,0.7272727272727273
reviewed,group,C0,LGBTQ,3,1,2,5,0.6666666666666666
reviewed,group,C0,Sexism,5,1,6,11,0.5882352941176471
reviewed,group,C0,others,0,0,4,4,0.0
reviewed,group,CLnew,Racism,8,2,2,10,0.8
reviewed,group,CLnew,Region,4,1,1,5,0.8
reviewed,group,CLnew,LGBTQ,4,0,1,5,0.8888888888888888
reviewed,group,CLnew,Sexism,5,1,6,11,0.5882352941176471
reviewed,group,CLnew,others,0,0,4,4,0.0
reviewed,group,CD,Racism,6,2,4,10,0.6666666666666666
reviewed,group,CD,Region,5,4,0,5,0.7142857142857143
reviewed,group,CD,LGBTQ,4,2,1,5,0.7272727272727273
reviewed,group,CD,Sexism,5,3,6,11,0.5263157894736842
reviewed,group,CD,others,0,3,4,4,0.0
reviewed,group,CLDnew,Racism,8,3,2,10,0.7619047619047619
reviewed,group,CLDnew,Region,5,5,0,5,0.6666666666666666
reviewed,group,CLDnew,LGBTQ,4,0,1,5,0.8888888888888888
reviewed,group,CLDnew,Sexism,8,0,3,11,0.8421052631578947
reviewed,group,CLDnew,others,2,3,2,4,0.4444444444444444
reviewed,group,CLnewNoCat,Racism,7,2,3,10,0.7368421052631579
reviewed,group,CLnewNoCat,Region,3,3,2,5,0.5454545454545454
reviewed,group,CLnewNoCat,LGBTQ,4,1,1,5,0.8
reviewed,group,CLnewNoCat,Sexism,3,2,8,11,0.375
reviewed,group,CLnewNoCat,others,0,0,4,4,0.0
reviewed,group,CLDnewNoCat,Racism,8,2,2,10,0.8
reviewed,group,CLDnewNoCat,Region,5,6,0,5,0.625
reviewed,group,CLDnewNoCat,LGBTQ,4,0,1,5,0.8888888888888888
reviewed,group,CLDnewNoCat,Sexism,6,1,5,11,0.6666666666666666
reviewed,group,CLDnewNoCat,others,0,2,4,4,0.0
