query_id	target	base	target_request	base_request	delta_m	reference_aligned_delta	bound	transition
J05	MP	M00	jmix-J05-MP	jmix-J05-M00	-6.412043571472168	-6.412043571472168	2e-06	damage
J05	MS	M00	jmix-J05-MS	jmix-J05-M00	0.0	0.0	2e-06	unchanged
J05	MPS	M00	jmix-J05-MPS	jmix-J05-M00	0.0	0.0	2e-06	unchanged
J05	MSP	M00	jmix-J05-MSP	jmix-J05-M00	-6.412043571472168	-6.412043571472168	2e-06	damage
J05	MS	MP	jmix-J05-MS	jmix-J05-MP	6.412043571472168	6.412043571472168	2e-06	repair
J05	MSP	MPS	jmix-J05-MSP	jmix-J05-MPS	-6.412043571472168	-6.412043571472168	2e-06	damage
J06	MP	M00	jmix-J06-MP	jmix-J06-M00	-6.412043571472168	-6.412043571472168	2e-06	damage
J06	MS	M00	jmix-J06-MS	jmix-J06-M00	0.0	0.0	2e-06	unchanged
J06	MPS	M00	jmix-J06-MPS	jmix-J06-M00	0.0	0.0	2e-06	unchanged
J06	MSP	M00	jmix-J06-MSP	jmix-J06-M00	-6.412043571472168	-6.412043571472168	2e-06	damage
J06	MS	MP	jmix-J06-MS	jmix-J06-MP	6.412043571472168	6.412043571472168	2e-06	repair
J06	MSP	MPS	jmix-J06-MSP	jmix-J06-MPS	-6.412043571472168	-6.412043571472168	2e-06	damage
J07	MP	M00	jmix-J07-MP	jmix-J07-M00	-6.412043571472168	-6.412043571472168	2e-06	damage
J07	MS	M00	jmix-J07-MS	jmix-J07-M00	0.0	0.0	2e-06	unchanged
J07	MPS	M00	jmix-J07-MPS	jmix-J07-M00	0.0	0.0	2e-06	unchanged
J07	MSP	M00	jmix-J07-MSP	jmix-J07-M00	-6.412043571472168	-6.412043571472168	2e-06	damage
J07	MS	MP	jmix-J07-MS	jmix-J07-MP	6.412043571472168	6.412043571472168	2e-06	repair
J07	MSP	MPS	jmix-J07-MSP	jmix-J07-MPS	-6.412043571472168	-6.412043571472168	2e-06	damage
J08	MP	M00	jmix-J08-MP	jmix-J08-M00	-6.412043571472168	-6.412043571472168	2e-06	damage
J08	MS	M00	jmix-J08-MS	jmix-J08-M00	0.0	0.0	2e-06	unchanged
J08	MPS	M00	jmix-J08-MPS	jmix-J08-M00	0.0	0.0	2e-06	unchanged
J08	MSP	M00	jmix-J08-MSP	jmix-J08-M00	-6.412043571472168	-6.412043571472168	2e-06	damage
J08	MS	MP	jmix-J08-MS	jmix-J08-MP	6.412043571472168	6.412043571472168	2e-06	repair
J08	MSP	MPS	jmix-J08-MSP	jmix-J08-MPS	-6.412043571472168	-6.412043571472168	2e-06	damage
J09	MP	M00	jmix-J09-MP	jmix-J09-M00	-6.412043571472168	6.412043571472168	2e-06	repair
J09	MS	M00	jmix-J09-MS	jmix-J09-M00	0.0	-0.0	2e-06	unchanged
J09	MPS	M00	jmix-J09-MPS	jmix-J09-M00	0.0	-0.0	2e-06	unchanged
J09	MSP	M00	jmix-J09-MSP	jmix-J09-M00	-6.412043571472168	6.412043571472168	2e-06	repair
J09	MS	MP	jmix-J09-MS	jmix-J09-MP	6.412043571472168	-6.412043571472168	2e-06	damage
J09	MSP	MPS	jmix-J09-MSP	jmix-J09-MPS	-6.412043571472168	6.412043571472168	2e-06	repair
J10	MP	M00	jmix-J10-MP	jmix-J10-M00	-6.412043571472168	6.412043571472168	2e-06	repair
J10	MS	M00	jmix-J10-MS	jmix-J10-M00	0.0	-0.0	2e-06	unchanged
J10	MPS	M00	jmix-J10-MPS	jmix-J10-M00	0.0	-0.0	2e-06	unchanged
J10	MSP	M00	jmix-J10-MSP	jmix-J10-M00	-6.412043571472168	6.412043571472168	2e-06	repair
J10	MS	MP	jmix-J10-MS	jmix-J10-MP	6.412043571472168	-6.412043571472168	2e-06	damage
J10	MSP	MPS	jmix-J10-MSP	jmix-J10-MPS	-6.412043571472168	6.412043571472168	2e-06	repair
